comment_author,comment_likes,comment_text,video_id
@MagdaleneDito,80,"복선 깔고 회수하는 게 진짜 멋지다!

중대장 점호할 때 마이크로로 노래 부르는 거 보고 진짜 소름돋았어, 이런 중대장들이 실제로 있는 줄 알았어 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ",7rpwZLmAO4M
@큰토미,8,"인기 급상승 동영상1 미쳤다 신병 이대로 쭉쭉 위로 올라갔으면,, ㄹㅇ 더 떠야되는데",7rpwZLmAO4M
@Tuss2233,3,ㅋㅋㅋㅋ 강찬석 엉덩이 내민거 개귀엽노 ㅋㅋ,7rpwZLmAO4M
@oldan5483,3,평호가 부평 통인데  강찬석이 더 위에 있는 위치에 있나보구만,7rpwZLmAO4M
@KJS-j7p,2,5:00 전형적인 강약약강 개양아치를 잘 보여줌 ㅋ,7rpwZLmAO4M
@iljungjo1406,2,문빛나리 왜케좋지 ㅋㅋㅋㅋㅋㅋㅋㅋ,7rpwZLmAO4M
@hippo785,2,찬슥이 개멋있네,7rpwZLmAO4M
@ARK2079,2,8:28 성윤모 왤캐 짠해보이누..임다혜도 같이 우네...ㅜ,7rpwZLmAO4M
@michael1004js,2,인급동 1위 될만하다ㅋㅋㅋㅋ 티비에서 볼때 소름 ㅈㄴ돋음 찬석이 개든든하네,7rpwZLmAO4M
@SeoulMoon-ux5lb,2,진짜 역대 군 드라마 중 최고다,7rpwZLmAO4M
@teddy_8figure,1,이수지 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,7rpwZLmAO4M
@장수경-p5b,1,멋있네 찬석이 ㅋㅋㅋ,7rpwZLmAO4M
@tubeyou2017,1,부평 ㅋㅋㅋㅋ,7rpwZLmAO4M
@Noname-vx1gj,1,아우ㅋㅋㅋ찬슥이 씩씩해ㅋㅋㅋ,7rpwZLmAO4M
@luxxxx88,1,유빈 목소리.. 어우야,7rpwZLmAO4M
@Citizen88,1,수지형님  러브라인 개박살날꺼 안봐도 드라마네,7rpwZLmAO4M
@더나은-h5r,1,맞어가고싶어서  간  사람이  어딨어ㅠ   아들들  잘해줘라  ㅠㅠ,7rpwZLmAO4M
@다크울버린,1,"전세계 = 본인 이미지 손해 안보고 이기는 타입
회사가 찔러준 걸로 부대 구워 삶을려는 능구렁이

중대장이 눈치까고 막을려고 하는거고",7rpwZLmAO4M
@liiiiiliilii,1,PTSD온다,7rpwZLmAO4M
@sksonson,1,화제성 보소 ㅋㅋㅋㅋㅋ레전드,7rpwZLmAO4M
@user-yx5pu8es1i,4,"원더우먼이 재능충 3명이나 있음

키썸 김설희 마지막으로 소유미  

키썸 소유미는 축구적인 재능 탑티어급임 키썸은 공중볼 능력만 키우면 넘사일듯여 다만 키는 어떻게 안되는 부분이라..가장 어렵기도함  카시야스 느낌

소유미는...축구 재능 넘사급임 다만 피지컬 능력이 많이 부족해 보이긴함   베르나르두 실바 느낌 혹음 모드리치 느낌이 있음

우희준 이분은 피지컬은 있어보이고 승부욕도 있어보이는데 축구적인 재능은 부족해 보임 그래도 어느정도는 해줄듯",qgAUNKCJ8MI
@hongandy3683,3,"원더우먼 선수분들 마음 고생이 있으셨을텐데,
열심히 하셔서 좋은 결과에 기뻐하시는 모습보니 너무 좋습니다.",qgAUNKCJ8MI
@jaeyoungoh7816,2,키썸 점점 예뻐지는구나 ㅋㅋ❤😂🎉,qgAUNKCJ8MI
@KevinPark,2,월클도 한 번쯤은 자기들이 그동안 누려온 압도적인 전력의 맛을 봐야 했어. 정말 겸손해져야지. 속이 시원한 경기였다.,qgAUNKCJ8MI
@태희이-t3x,2,마시마 원체 잘 하지만 우희준 선수 특전사 출신 맞네요. 안되면 되게하는...,qgAUNKCJ8MI
@pari1024,2,골때녀 일잘하네 ㅋㅋㅋ 한일전 너무 인상깊어서 마시마 국내에서 뛰는거 보고싶었는데 이걸 해주네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,qgAUNKCJ8MI
@rinohong9350,1,"원더우먼, 앞으로도 파이팅~!!!",qgAUNKCJ8MI
@김재형-u7c,1,국대는 골키퍼땜시 원더를 이길수가없다  원더가잘할수있는것은 마시마도잘하지만 뒤에서키썸이란 든든한골킵이 있으니까가능한일이 아닐까생각함니다,qgAUNKCJ8MI
@송다리-w6m,1,"마시마 유는 골때녀 통털어 원 탑이다~  클래스 다르네.
원더 팬 되겠네.",qgAUNKCJ8MI
@코인왕김남국-m4w,1,원더 우승 가드아 마시마 팬이 되버렸네요 축구도 잘하고 묘하게 이쁨 ㅎㅇㅇ 트루디 놀라운 결정력 원더팀 전체가 실력상승에 마시마까지더해서 극강이 되버림 우승가드아,qgAUNKCJ8MI
@alphecca8100,1,"나에겐 설희가 최고야!!!!!!!!!
좋은 팀원들 만나서 실력 많이 늘었으면 좋겠어요!!
이번 경기도 잘했어요!! 설희&원더 화이팅!!",qgAUNKCJ8MI
@여기있어줄게요,1,"조재진. 선수들 고생마니했어요❤❤❤❤❤❤❤
마시마❤❤❤❤❤❤
근데 다른 선수들 더 연습해야해요
타팀 기본 이상이 많으니",qgAUNKCJ8MI
@황조롱이-v7w,1,"프리스타일도 아주 국보급이더만..풋살 준프로 이상 실력자 영입은 밸런스 붕괴 맞지..보니까 자기 기량 
다 보여주지도 않았고 맘만 먹으면 얼마든지 골 만들수 있슴,, 이럴꺼면 박한별초롱, 이정은 등 다 집어넣어라...!!!",qgAUNKCJ8MI
@류상수-h4p,1,"와~! 마시마 유 독보기는 하네요~
키썸 행복해하는 모습 보기 좋네요~^^

동전의 양면과 같은데 월클도 회이팅!!",qgAUNKCJ8MI
@jaeyoungoh7816,1,소유미님 실력이 얼굴만큼 엄청 늘었네요^^😂🎉😅,qgAUNKCJ8MI
@니냐뇨-b8n,1,키썸덕에 가능했던 전술,qgAUNKCJ8MI
@사바하-d7c,1,키썸. 이히히히히히,qgAUNKCJ8MI
@segeunpark9597,1,분란메이커 김가영 똥차 가고 마시마 벤츠 왔네요 ㅎㅎ 원더는 이제 우승후보다,qgAUNKCJ8MI
@둥이삼촌,1,마시마 이분 축구 선출 인가요? 완전 어나더 클라스던데,qgAUNKCJ8MI
@c_0511,1,마시마는 잘 하는건 알지만 소유미 정말 눈에 띄던데요.  얼마나 진심으로 연습했을지 짐작되네요. 화이팅~~,qgAUNKCJ8MI
@Ons_.1._.9_.금채_널,1022,"*매번 레알 챔스 밀어주기 오심 봐라, 호날두 팬들은 언제 정신차리고 양심챙기냐? 🤔👀*",8XDQVguTk-Y
@olapsjaks3024,194,"정보) 이 경기에서 레알이 pk얻은 장면 토니크로스는 옵사이드위치에 있었는데 옵사이드 판정 안하고 pk판정해버림 매번 유에파가 호날두랑 레알마드리드 챔스우승 떠먹여주려고 이렇게 오심 나오는것도 한두번이어야지
괜히 즐라탄이 메시 라이벌은 호날두가 아니라 페레스라고 말한게 아니라니가
이렇게 챔스 밀어주기 받으면서 호날두팬들은 양심없게 챔스신 호날두 거리는것도 양심없어 보이고",8XDQVguTk-Y
@Alexpereira2845-d,74,이때 있던 모드리치가 지금까지 있는게 ㄹㅈㄷ,8XDQVguTk-Y
@o11yon-i9m,48,저때 레알은 조별에서 토트넘한데 3ㄷ1로 지고 결과적으로 순위도 밀려서 조 2위로 16강 갔는데 우승까지 함ㅋㅋㅋㅋㅋ,8XDQVguTk-Y
@해갑정,41,6:30 예라잇!!! ㅋㅋㅋㅋㅋ 요 효과음 귀여웡~❤ㅋㅋㅋ,8XDQVguTk-Y
@늑대-r3e,35,레알 날두는 못참지~~,8XDQVguTk-Y
@이유있는이지금,35,저거 역대급 pk네 ㅋㅋㅋㅋㅋㅋ 디딤발로 공띄우는 pkㅋㅋㅋㅋㅋㅋㅋㅋ 저걸어캐하노 ㄹㅇ,8XDQVguTk-Y
@한빈-x7h,33,판정 진짜 레알 몰아주기 ㅈ되네 ㅋㅋ 오심이 몇개노 도대체,8XDQVguTk-Y
@여수찌안,29,4:47 네이마르 패스 센스 좋다,8XDQVguTk-Y
@Srkjk2289,23,이 한 경기에도 오심이 ㅋㅋㅋ 역시 매수마드리드,8XDQVguTk-Y
@ruddnjs121,23,오심 디지게 많네 ㅋㅋㅋㅋㅋㅋ,8XDQVguTk-Y
@Maebukgangdung.vardrid,23,이경기 오심 ㅈㄴ 많은 역대급 경기 아님?,8XDQVguTk-Y
@Li1hwangg,20,"레알 잘하는거 맞고 현시점 최고 클럽중 하나 맞는데 판정 이득 ㅈㄴ 많이본건 왜캐 부정하냐...
이경기만 봐도 오심이 몇개인데 ㅋㅋㅋ
무조권 매수다 라고 하면 안돼지만
이득도 한두번 봐야 그냥 좀 운이좋네 이느낌이지 레알은 어케 중요한 경기마다 판정 이득을 받을까..",8XDQVguTk-Y
@이서진-o3i,17,음바페도 잘해주지만 신두형 시절에 비하면.. 참 아쉽다 보고싶어여 신두형 siuuuuuuuuuuuuuu,8XDQVguTk-Y
@Ieruater021,16,6년 연속 챔스 득점왕은 미친놈이긴 하네 신두형,8XDQVguTk-Y
@Cop-b2y,14,"1314 결승 베일 엘보 노파울


1516 결승 라모스 옵사골


1617 8강 카세미루 노퇴장


1617 8강 호날두 옵사트릭


1617 4강 레반 옵사판정


1617 4강 선제골 라모스 옵사


1718 조별 라모스 핸들링


1718 16강 라모스 핸들링


1718 16강 바란 싸대기


1718 16강 음바페 옵사판정


1718 16강 모들 헐리웃


2122 16강 벤제마 푸싱


2122 8강 크로스 옵사


2324 16강 세슈코 골취소


2324 16강 비닐 노퇴장


2324 4강 더리흐트 골취소


2425 16강 승차골취소


앞으로도 계속 그 첼시전만 우려먹으세요~ㅋㅋ",8XDQVguTk-Y
@펑이요-h6u,14,누가뭐래도 이 지구상 챔피언스리그 역대 그리고 미래에도 세계최고 선수는 호날두긴함,8XDQVguTk-Y
@_andresiniesta6542,14,역시 챔스두 ...음바페가 레알을 갈 줄 누가 알았을까,8XDQVguTk-Y
@JMBASGD,12,0:19 개인적으로 네이마르는 이때가 가장 외모가 물 올랐던 시절이 아닐까 생각함... 개잘생겼네 ㄹㅇ,8XDQVguTk-Y
@grboycanyoutellmewhy,12,ㅋㅋㅋ아니 근데 저게 PK네 역시 VAR드리드 7:13,8XDQVguTk-Y
@5410-o9y,22,끝날 때 되니까 각설이 3명이 있네 ㅋㅋㅋㅋㅋㅋ,R-e4dGVQDjg
@콰지-q9m,9,더밥스튜디오 이름이 어떻게 바뀌는걸까. 매우 궁금하고 기대된다,R-e4dGVQDjg
@Ferrmatta,7,통남풍 조합 미쳤다... 이게 내 보약이다 보약,R-e4dGVQDjg
@tongkilee5460,7,세화야 (이제 떠날 수 없는 강을 건넜구나 저런…) 아이고 어떡해…,R-e4dGVQDjg
@BlueWolf_alpha,6,다음주 못참겟네 ㅋㅋㅋㅋㅋ,R-e4dGVQDjg
@익환-r3v,5,다음화 최고민수님꼐서 나오신다니 담주까지 잠 못자겠다 O.O,R-e4dGVQDjg
