category,categoryId,channelTitle,commentCount,country,description,id,likeCount,publishedAt,tags,title,url,viewCount
all,24,ENA 이엔에이,2097,KR,"충성! 신병, 돌아왔습니다🤓7 진짜로 리턴즈했슴다!
좋은놈, 나쁜놈, 이상한 놈… 별별 놈 모두 모인 그곳에 3배로 재밌어진 군생활!

매주 월/화 밤 10시! 많은 시청 바랍니다!

#신병3 #ENA #신규드라마 #월화드라마 #ENA드라마 #김민호 #김동준 #오대환 #남태우 #이상진 #김요한 

📺 ENA 채널 번호 안내 📺
Genie TV 1번/ skylife 1번/ HCN 1번/ Btv 40번/ U+ 72번/ LG헬로비전 996번 / 딜라이브 58번/ CMB 1번/ Btv 알뜰 57번

✅ ENA
👉구독 : http://bit.ly/3ausdaT
👉ENA 공식 홈페이지 : https://ena.skylifetv.co.kr
👉페이스북 :   / channel.ena  
👉인스타그램 :   / channel.ena",7rpwZLmAO4M,14303,2025-04-21T14:10:00.000Z,"[skytv, 스카이티비, 예능, 드라마, ENA, ENAdrama, ENAentertain, skyTV, ena, ena드라마, 월화드라마, 군인, 군대, 군생활, 전역, 신병, 신병2, 신병3, 군수저, 일병, 장삐쭈, 장삐쭈원작, 김민호, 김동준, 오대환, 남태우, 이상진, 김요한, 조진세, 이충구, 전승훈, 이수지, 최일구, 김상훈, 임다혜, 박민석, 박재수, 스튜디오지니, 입대, 재입대, 육군, 관심병, 불침번, 신병라디오, 제국의아이들, 제아, snl, snl코리아, 국군, 국군장병, 드라마대본, 대본리딩, 메이킹, 메이킹현장, 한가인, 김지석, 성윤모, 이등병, 상병, 전입신고, 오석진, 강찬석, 중대장, 폐급, 롤리폴리, 그린캠프, 슬기로운 폐급생활, 사우스코리안파크, 스튜디오장삐쭈, 사코팍, 애니메이션, 원작, 신병시즌3, 신병3선공개, 신병3성윤모, 신병3중대장, 신병김동준, 신병가라중대장, 숏박스, 숏박스 군대]",[5회 하이라이트] 강찬석의 본캐는 죽지 않았다! 찬석의 한마디에 구사일생한 최일구 #신병3,https://www.youtube.com/watch?v=7rpwZLmAO4M,1809777
all,10,Hebi.,5310,KR,"Hebi '지금부터 (Onward)' Official MV 

 #hebi  #헤비  #지금부터    

[Hebi Official SNS] 
OFFICIAL WEVERSE ▷ https://weverse.io/hebi/artistpedia 
OFFICIAL X ▷https://twitter.com/hebi0211",yomKWG44odg,26840,2025-04-22T09:00:06.000Z,"[へび, henceforth hebi, henceforth 蛇, 歌ってみた, 늘, EVER, Chroma, 헤비, Hebi, KPOP, JPOP, LUCY, 조원상, 루시, Music, 지금부터, Onward]",Hebi - '지금부터 (Onward)' Official MV,https://www.youtube.com/watch?v=yomKWG44odg,779738
all,22,와코,363,KR,"#학생브이로그 #겟레디윗미 #GRWM 

안녕하데오 여러분..? 저희 거의 3주 만이죠? 🙏😅
그동안 제가 영상을 올리지 못한 이유를 말해보자면,,,
변명 1. 가출을 해서 멘탈이 제정신이 아니었음 (브이로그로 말아와요 이번주 금욜)
변명 2. 소개팅 후기 영상 찍었는데 오빠가 고백해서 무산됨
변명 3. 언제 헤어질지 모르는데 이런걸 올리는게 맞나 1주 넘게 고민함 (이게 제일 큼)

아무튼 그러한 이슈들이 있었답니다,, 하하 
기다려주셔서 너무너무 감사할 따름이여요
앞으로 한달동안 올릴 영상들을 낉여왔으니까 우리 더 자주보아요 ⍢

최근 제 근황은요.. 학원을 열심히 다니고 있어용
물론 수능 준비하는 학원은 아니고요 
지금까지 배우고 싶었던 것들을 하나씩 차근차근 공부하고 있답니다
요것 또한 브이로그 야무지게 말아올게요 😝
그리고 사무실도 어느정도 자리를 잡았어요!
아직 보수해야할 부분이 많지만 그래도 이정도면 셀프로 한것 치고는 만족! 하는 중입니다

최근에 생각이 너무 많아져서 복잡하고 조금은 힘들었걸랑요?🤦‍♀️
그래서 얼마전에 블로그에 제 개인적인 생각을 적은 글을 올렸는데 
댓글들이  다 너무 따수워서 눈물이 났쟈나,,,, 그래서 영상도 올리기로 결심함
여러분 정말 보고 싶었더요 엉엉 
블로그 궁금하실까봐 링크 남겨놓아요 ➡️ https://blog.naver.com/karis_ellekim/223836656618

오늘의 저메추는... 배추랑 관련된 무언가였으면 좋겠어요 ,,
양배추든 배추든.,,, 샤브샤브에 적셔진 배추도 좋고
양배추에 닭가슴살 말아서 푹 익힌 찜도 좋고 
아니면 밀푀유? 도 괜찮겠네요 
아! 아니면 배추에 전분반죽 묻혀서 배추전 간장에 찍어먹어도 맛있을 것 같아요
비도 오니까 오늘은 국물류나 전류로 강력하게 추천해봄미다 흠흠

오빠랑 어떻게 되었는지는 따로 얘기하지 않을게요..! 🥕
아마 제 구독자분들이라면 다 눈치채셨을 것 같으니까요 ㅎㅎ
어제 오늘 밀린 영상들 편집하느라 4시간 밖에 못잤더니
오늘 가는 영어학원도 정말.. 가기가 싫네요,, 정말로요 🥹
그래도 가야죠 뭐 어쩌겠어요 ㅜㅜ 
돈이 땅 판다고 나오는것도 아니고 일단 열심히 해보려고요!

오늘은 노래도 한 곡 추천하고 가겠음미당
페퍼톤스 - 공원여행
저도 제 구독자분한테 추천받은 노래인데요!
제가 소소한 행복을 여쭤보니까 산책하면서 노래를 듣는거라고 하시더라고요!!
이걸 들으면서 산책을 하면 기분이 한결 좋아질거라고 확신하면서 말씀하시길래
노래를 들으며 청계천을 걸었는데 그날 하루가 그리 행복하게 마무리 될 줄은 몰랐답니다 🤭
비록 오늘은 비가 오지만 장화 신고 웅덩이를 밟거나 
우산에 떨어지는 빗방울들을 보는것도 작은 행복이 될 것 같아요! 💧

여러분에게 오늘 하루가 행복하게 마무리 되길 바라며
얼마 안남은 4월도 화이팅이에요 여러분 🥰
늘 감사하고 사랑합니다 
이번주 금요일에 또 봐요 안농!

Contact : sawakokim0812@sandboxnetwork.net 
Instagram : sawakoko13",R9eaNhE-WVk,4928,2025-04-22T09:00:37.000Z,,나 고백받았다 ㅋㅋ오예,https://www.youtube.com/watch?v=R9eaNhE-WVk,192557
all,10,HYBE LABELS,5242,KR,"TWS (투어스) '마음 따라 뛰는 건 멋지지 않아?' Official MV

#TWS #투어스 #247WithUs
#TRY_WITH_US
#마음따라뛰는건멋지지않아 #Countdown


Credits:

Producer : HAN SUNGSOO
 
VP : Kim Daun

A&R : Yi Hyojin, Ahn Singyu, Jang Dahye, Kim Jiyoon, Park Shinyoung, Cho Inwook, Kim Yukyeong, Yang Chi Hwan

Visual Creative : Lee Hyemi, Kim Woojeong, Hwang Hyunjun
Performance Directing : Ryu Jaehee, Jeon Jongha, Lee Haesu (Assist Directing : Yoon Hyelim, Shin Minkyung)
Artist PM & Protocol & Operation : Ahn Solyang, Shin Doyun, Kim Hyejin, Park Yuri, Shim Yeonjin, Hong Ahyun, Cho Sungje, Hwang Yumi, Park Yoonjin, Che Huiling, Song Youngwoo

Production House | LIMINAL & TMTBS
Director | Lafic
Executive Producer | Soyoung Koo
A.D | Minkyeong Kim, Seoyeon Kim
Line Producer | Hyounggeun Kang, Yuseok Joung, Jungho Kee, Chanyoung Park
P.A | Seungjun Choi, Chanhyuk Park, Donghwan Youn, Dongju Lee, Seunghoon Baek, Kyunghun Park, Sunghyun Park

Director of Photography | Giung Seo
Focus Puller | Seungjong Lee
2nd AC | Hyukjae Yang
DIT | Younji Choi
3rd AC | Junsung Cha

B CAM Director l Lafic
Sub CAM | Junmo Lee, Hyunseop Song 
Synchronous Recording | Kyuri Kim, Jungsik Ahn

Gaffer | Joonghyuk Jung
Lighting Crew | Hyunsuk Kim, Minhyeok Baek, Daejin Kim, Bonhyeop Gu, Doohyun Han, Hwayong Chung, Jongseung Song, Byungjong Kim, Juyong Song, Jiseok Lee

Art Director | NOMESS
Art Team Leader | Jungsik Lee, Chaejeong Kim, Jihyun Park, Hyojin Oh, Seoyoung Lim

Jimmy Jib | Dongjin Lee
1st Assistant | Jeonghyun Yoo
2nd Assistant | Seongeum Jung
3rd Assistant | Gwanghyun Yoo

Special Effect | Changi Min(SF)

Edit | Lafic

Colorist | Changbeen Yu (THEPOSTLAB)
DI Assistant | Seowoo Kang, Yereum Yang

Sound | OV

SFX | KEYMAKER

3D VFX | Electric Leee

2D Cleaning | Kyungsik Kang, Minseo Kwon, Jurang Gong, Seoeun Kim

TItle Animation | Mareykrap

Location Management | Land Scape
Location Supervisor | Sangdong Park
Location Manager | Myeongjae Kim


Connect with TWS

Official Homepage : https://www.pledis.co.kr/artist/detail/TWS
Official YouTube : https://www.youtube.com/@TWS_PLEDIS
Official X(Twitter) : https://twitter.com/TWS_PLEDIS
Official Instagram : https://www.instagram.com/tws_pledis
Official TikTok : http://www.tiktok.com/@tws_pledis
Official Facebook : https://www.facebook.com/TWS.PLEDIS
Official Weverse : https://weverse.io/tws

ⓒ PLEDIS Entertainment. All Rights Reserved",Csaj3X6PKxY,76015,2025-04-21T08:56:07.000Z,"[HYBE, HYBE LABELS, 하이브, 하이브레이블즈]",TWS (투어스) '마음 따라 뛰는 건 멋지지 않아?' Official MV,https://www.youtube.com/watch?v=Csaj3X6PKxY,8522716
all,24,KBS 교양,956,KR,"#최수호 #강문경 #현역가왕 #트로트 #아침마당

""나는 내가 받은 등수에 만족한다?"" 
트로트 경연 프로그램에 출연했던 가수 강문경 & 최수호의 '이제는 말할 수 있다' 


✔ 따뜻한 감동, 알찬 정보 KBS 교양 공식 채널 
✔ 인간극장, 아침마당, 이웃집찰스, 2TV생생정보 등 KBS 대표 콘텐츠가 한 곳에 📺📲 
✔ KBS교양 구독하기 ➡️ http://www.youtube.com/@KBSLife
Copyright  ⓒ KBS. All rights reserved. 무단전재, 재배포 및 이용(AI 학습 포함) 금지 

📢 영상 방송 시점에 따라 현 상황과 내용이 다소 다를 수 있습니다
📢 비방 및 악성 댓글은 출연자 보호를 위해 운영자가 삭제할 수 있습니다",-_D1P1dFk00,4327,2025-04-22T05:36:32.000Z,"[KBS, KBS1, KBS2, KBS교양, KBS다큐, 한국방송, korea, documentary, 생생정보, Kculture, 한국, 다큐멘터리, 생활정보, Kpop, south Korea, Kfood]","""나는 내가 받은 등수에 만족한다?"" 트로트 경연 프로그램에 출연했던 가수 강문경 & 최수호의 '이제는 말할 수 있다' [아침마당] KBS 250422 방송",https://www.youtube.com/watch?v=-_D1P1dFk00,158974
all,22,쯔양밖정원,659,KR,"본 영상은 셀리맥스에서 제작비를 지원받아 제작되었습니다.

✨노니앰플 대용량 에어리스 100ml 특가✨
▶ 대박 할인(~4/29) 👉 https://bit.ly/3E4KWhA
💚혜택1. 노니앰플 100ml & 노니마스크 3+3 62%🔻(무료배송)
💚혜택2. 업그레이드된 노니마스크4매 + 노니앰플 17.5ml + 노니키트 추가 증정!
💚혜택3. 추가 할인 쿠폰 2종(5천원+1천원) 증정!

✅구독자 댓글 참여 이벤트
참여 방법 : 노니앰플 기대평 댓글 작성 후 아래 폼 입력
참여 링크 : https://naver.me/FIfA1EhL
- 이벤트 기간 : ~4/29(화) 23:59까지
- 당첨자 발표 : 5/9(금) 17시 *문자 개별 안내
- 선물 : 노니앰플 100ml 대용량 에어리스 (10명)

✅구독자 구매인증 이벤트
참여 방법 : 노니앰플 구매 후 아래 폼 참여
참여 링크 : https://naver.me/Fcm9rPOH
- 이벤트 기간 : ~4/29(화) 23:59까지
- 당첨자 발표 : 5/9(금) 17시 *문자 개별 안내
- 선물 : 배달의 민족 기프티콘 2만원 (10명)
관련 문의 : neyoon@celimax.co.kr

각국어 번역 자막 제작 : 
컨텐츠 제작의 마무리는 컨텐츠플라이! 글로벌 진출을 위한 최고의 파트너,
CONTENTSFLY에서 제작되었습니다.
https://www.contentsfly.com

비지니스 메일:gardenm1120@gmail.com",LwtLnFSwPqg,5885,2025-04-22T10:00:37.000Z,"[real sound, 리얼사운드, social eating, mukbang, eating show, 먹방, 맛집, 쯔양, v-log, 브이로그, 쯔양 브이로그, 쯔양 v-log, 쯔양 vlog]",코 세우고(?) 스모키 화장한 후 부모님집 냉털하러 갔더니 엄마 반응이..🤣,https://www.youtube.com/watch?v=LwtLnFSwPqg,136458
all,24,STUDIO CHOOM [스튜디오 춤],756,KR,"[STUDIO CHOOM ORIGINAL] TWS 'Countdown!'
[스튜디오 춤 오리지널] 투어스 '마음 따라 뛰는 건 멋지지 않아?'

청량 맛집 투어스 5개월 만에 컴백 완료💙
(1:54) 셋 하면 투어스를 따라가자 외치는 거야💨

#TWS #투어스 #SC_ORIGINAL

Stream various performance video on #STUDIOCHOOM!

👉SUBSCRIBE👈
YouTube: https://www.youtube.com/STUDIOCHOOM
Facebook:  https://www.facebook.com/StudioCHOOM
Instagram: https://www.instagram.com/studio_choom/
Naver TV: https://tv.naver.com/cjenm.STUDIOCHOOM",ZKgXbiR7Qkk,14786,2025-04-22T13:01:07.000Z,"[M2, 엠투, 스튜디오 춤, 스춤, Studio choom, COVERS, 커버스, 댄스, DANCE, 커버, COVER, Artist Of The Month, AOTM, Drop the dance, 드롭더댄스, Mix & Max, 믹스앤맥스, 믹앤맥, kpop dance, sc original, tws, 투어스, tws countdown, tws try with us, 투어스 마음따라, 마음 따라 뛰는 건 멋지지 않아?, 신유, shinyu, 한진, hanjin, 지훈, jihoon, 도훈, dohoon, 영재, youngjae, 경민, kyungmin, tws 마음따라]",TWS(투어스) '마음 따라 뛰는 건 멋지지 않아?' (4K) | STUDIO CHOOM ORIGINAL,https://www.youtube.com/watch?v=ZKgXbiR7Qkk,165597
all,22,먹어볼래TryToEat,216,KR,"연어 2000g에 마요네즈 비벼먹기.

[재료 및 조리도구 정보 모음]
연어 반마리, 마요네즈, 쪽파, 새송이 버섯, 양파, 스리라차, 날치알, 데리야끼소스, 와사비

[BGM] Artlist

[영상 저작권] 먹어볼래TryToEat (영상 무단도용 금지)

[비즈니스 문의❤️] 
이메일: trytoeat222@naver.com
인스타: @trytoeat222",aKramwaDHj8,3561,2025-04-22T11:00:01.000Z,"[연어, 마요네즈, salmon, mayonnaise]",생연어 1300g에 마요네즈 비비기,https://www.youtube.com/watch?v=aKramwaDHj8,211897
all,17,MBC Sports+,157,KR,"#2025 #KBO #프로야구 #비야인드 #박소영 #김선우 #김강민 #류선규 #정세영 #2위 #한화
최강 한화 2글스의 비밀! 양버지와 함께 날아오르다 I #비야인드 2025.04.21

▶MBC SPORTS+ 유튜브 : https://www.youtube.com/@MBCsportsplus
▶스톡킹 유튜브 : https://www.youtube.com/@sportstalkking
▶베이스볼런치 유튜브 : https://www.youtube.com/@baseballlunch
▶광고문의 : kimjh@mbcplus.com",ilfTncxep78,1401,2025-04-22T11:01:14.000Z,"[스포츠, 엠스플, 비야인드, 박소영, 관상, KBO, 프로야구, 김도영, 문동주, 박찬호, 김경문, 이범호, 이승엽, 정우주, 배찬승, 김영웅, 송성문, 김휘집, 김택연, 두산 베어스, SSG랜더스, 키움 히어로즈, LG 트윈스, 한화 이글스, 삼성 라이온즈, KIA 타이거즈, 롯데 자이언츠, NC 다이노스, KT 위즈, SK 와이번스, 야구 잘하는법, 야구 꿀팁, 베이스볼투나잇, MBC 스포츠플러스, Sports]",최강 한화 2글스의 비밀! 양버지와 함께 날아오르다 I #비야인드 2025.04.21,https://www.youtube.com/watch?v=ilfTncxep78,114132
all,24,지하니,304,KR,,WTfiBUhHcOw,5531,2025-04-21T12:32:38.000Z,,남자친구 첫 등장ㅋ,https://www.youtube.com/watch?v=WTfiBUhHcOw,261865
