comment_author,comment_likes,comment_text,video_id
@ussr-stalin1879,3,え...??? ㅋㅋㅋㅋㅋ,we4AWvtyrNk
@AAA-pz1of,1,타임루프에 빠짐.,we4AWvtyrNk
@lemong-red,1,0.1초 유재석,we4AWvtyrNk
@무지개-d2t,1,오야. 뭐요?? 오마카세 시키는지 알았네 ㅎㅎ 회도 드실줄알고 ㅎㅎ,we4AWvtyrNk
@Kr_Skrr-97,1,저 아저씨 오늘 월급날이였데요,we4AWvtyrNk
@할로클라인H,0,"일본은  음식이  조금나온다     
일식점알바해봐서 안다 진짜  양이너무적어",we4AWvtyrNk
@walovaycay,0,ㅋㅋㅋㅋㅋㅋㅋㅋ 재밌네,we4AWvtyrNk
@최종훈-w9g,0,쯔양? 가능,we4AWvtyrNk
@호마이-s3y,0,어 나다,we4AWvtyrNk
@acrobats1000,0,그리고 배터져서 죽었다...,we4AWvtyrNk
@우미진-d9p,0,주방장 내가 좋아하는 테라지마 스스무네. ㅋ,we4AWvtyrNk
@PioneerAZKi,0,저날 스태프들 배 제대로 채웠겠네. 음식이 전부 나오긴 해야하니까.,we4AWvtyrNk
@yangmichael1521,0,힌 칠십세?😮,we4AWvtyrNk
@키키-i5s,0,그..치매 오셔서 먹은사실을 잊어버리시고 또 먹고 먹고 한다는 슬프지만 실제이야기 떠올랐어요😢,we4AWvtyrNk
@김동알,0,걸귀다,we4AWvtyrNk
@김태훈-t1c,0,아들:엄마! 빨리 음식 가격올려!,we4AWvtyrNk
@Zzam-taker,0,"한 167,000원 돈 나오겠네요~",we4AWvtyrNk
@zunmin,0,메뉴를 읽었을뿐인데 자꾸 음식을 준다...미안해서 안먹을순없고...배터져 미치겠다.....,we4AWvtyrNk
@flyingcolors560,0,여자아닌가?,we4AWvtyrNk
@행복해져라-h2h,0,뱃속에 거지가 살고 있대요.,we4AWvtyrNk
@kimsclubs13,2,진짜 이수근은 못하는게 없음~~~,GmWDw5hkr78
@gyusa9827,1,???:뭐해요 안일어나고,GmWDw5hkr78
@danceroit9124,1,"손에 침 묻히는 건
잡겠다는 거잖아ㅋㅋ",GmWDw5hkr78
@Kk-mv2yn,1,규정없이붙으면 호동이승,GmWDw5hkr78
@장경철-d5x,1,태권도는 스포츠지 싸움이아니니까 ㅋㅋㅋㅋㅋ,GmWDw5hkr78
@이상화-i2d,1,"태권도 길거리 1:1 다이뜨면  존나 빠릅니다.

혼자 2배속으로 움직임.",GmWDw5hkr78
@user_bigboss,0,5단이면 엄청난거임,GmWDw5hkr78
@typoon0,0,"운동신경자체가
그동안보니 태권도 않해도
날아다닐 스탈임",GmWDw5hkr78
@마이꼴,0,이수근잘해ㅋㄱㅋㅋㅋ,GmWDw5hkr78
@myungjinhyun3678,0,근데 정식룰도 KO승 있는거 아닌가?ㅋㅋㅋ 10:0으로 이기다가도 한방 맞으면 갈꺼 같은데ㅋㅋㅋ,GmWDw5hkr78
@개발자-j6y,0,오잉? 태권도 하셨어?의외다 ㅋ,GmWDw5hkr78
@jinw8158,0,진심으로 강호동이 걍 발림,GmWDw5hkr78
@picoya482,0,왠지 이 뒤에 이수근씨 엄청 당하는거 나올꺼 같은데 딱 짜르네 ㅋㅋㅋ,GmWDw5hkr78
@라카루-y1l,0,"개그인줄 알았는데, 진짜 잘하네? ㅎㅎ",GmWDw5hkr78
@뤠이스퀸,0,"펀치, 잡기등 손을 못쓰면..룰로만..ㅋㅋㅋ",GmWDw5hkr78
@kk3114kk,0,씨름선수는 태권도룰이면 1단만되도 갖고논다 ㅋㅋㅋ,GmWDw5hkr78
@accountantkim572,0,체급 똑같았으면 야차떠도 이수근이 이김,GmWDw5hkr78
@히히히히리히리히리,0,"군대 동기넘이 나보다 나이 많다고 항상 날 깔봤는데 어느날 주먹으로 내 가슴을 팍팍 치더라  고참들 다 있는데 그래서 군화뒤돌려 차기로 명치 때려줌 
일병이였는데 ㅋㅋㅋ 그때부터 눈깔고 다니드라",GmWDw5hkr78
@aggro5252,0,ㄹㅇ 무술은 유단자는 장난이 아님 진짜 다른 운동 잘했어도 그냥 뭔가 다른세계임 내가 하던게 접목이 안됨 특히 그래플링 세계는 모르면 맞아야함 ㄹㅇ 진짜 주짓수 처음 배울때 당시 27 고2한테 그냥 가지고 놀림당함 나름 헬스며 수영 킥복싱등 운동 했다고 자부했는데 어휴 기술도 없고 걍 누르고만 있는데 빠져 나올 수가 없음 ㅋㅋㅋㅋ 그 이후로 겸손 장착함 😅,GmWDw5hkr78
@swbest-t7i,0,수근씨 살아있나?,GmWDw5hkr78
@Ons_.1._.9_.금채_널,913,*자기 출연료 비밀 사수하면서 막상 남들 수익 겁나게 캐묻네? 양심은 좀 챙기자 💩*,ORoA7-K_Xe4
@suha-k4o,3,오 똑같아,ORoA7-K_Xe4
@띰띰쇼츠채널,3,"진짜 말이라는게 중요하구나,,, 멋지다",ORoA7-K_Xe4
@건욱인,3,와 내가 맨날 듣던 목소리다.......,ORoA7-K_Xe4
@LaCodileClimbing,2,지미구나,ORoA7-K_Xe4
@조개킬러남철,2,"편당 100만원
700편 7억",ORoA7-K_Xe4
@he77271,2,한편에 몇 백 만원은 아니라는건 적어도 100~190만원 단위는 받는듯. 700편이면 못해도 7억은 넘게 벌었겠네 ㅋㅋㅋ,ORoA7-K_Xe4
@hayul_lee0519,1,지미 더빙한게 에코였구나..,ORoA7-K_Xe4
@오리알-d2g,1,김희철은 항상 무례하네 ㅋㅋㅋㅋㅋ 쟤는 대체 누가 좋아하는거임？ 나이값도 못하고,ORoA7-K_Xe4
@오라니-s3q,1,아는형님 멤버들 진짜 ㅈㄴ싫음,ORoA7-K_Xe4
@쩔어-d8c,1,옌예인들 지들 페이는 죽어도 공개안하더만 ㅋㅋ꼭 유튜버나 다른 직업관련 사람오면 페이 물어보더라,ORoA7-K_Xe4
@공주님-m2n,1,한편당 50씩해도 3억 5천이잔아?!!!?,ORoA7-K_Xe4
@O_O...o_o,1,미스터비스트 영상보면 킹받는 목소리로 뭔가 힘 많이줘서 채널 팔로워 늘리려는 느낌이라 그냥 안보게됨,ORoA7-K_Xe4
@Type4graphy,1,"그래도
세계1위 미스터비스트인데
편당 최소 100은 받겠지 700개면 그래도 굿",ORoA7-K_Xe4
@carrtcart,1,더 해주세욥!!❤,ORoA7-K_Xe4
@hololo1452,1,어휴 지발 천룡인들 ㅋㅋㅋ 월 수억 버는게 서민코스프레 쥰나게 하면서 남 페이 물어보네,ORoA7-K_Xe4
@필합-t3y,1,라칸 목소리가 들리는데,ORoA7-K_Xe4
@치즈-s4m,1,"페이 직접적으로 언급 안 할 수 있도록 재치 있게 잘 넘기시네
역시 짬바가 다르시네 도형 성우님",ORoA7-K_Xe4
@Dachshund777,1,"저 아저씨 목소리특
간신나라 애니목소리ㅎㅎ",ORoA7-K_Xe4
@실패하면반역성공-d7u,1,김희철 비호감이면 개추ㅋㅋ,ORoA7-K_Xe4
@웜뱃똥,80,"[남자편]도 올려달라고 말씀하셔서
급하게 제작하여서 올렸습니다!

영상 왼쪽 하단에 
▶️[화끈한 개그2]를 누르시면
'남자를 불'에 비유한 성인 유머를 보실 수 있습니다.

감사합니다^^",1tCui1j3zNg
@JSLee-dr6ms,41,"웃고 넘길수 있는여유...예전이 맘은 편했지. 
지금은 절대 있을수 없는일",1tCui1j3zNg
@이항미자,12,"최병서님
남자두표현해주셔~~ㅋ",1tCui1j3zNg
@피구왕존슨,5,"시대가 꺼꾸러 가는거 같음
세계꼴지 저출산 국가에서 너무 규제만 하는건 좀 아닌거 같다.",1tCui1j3zNg
@ceo8008,3,유머는 유머로 넘겼으면... 진짜 이런 개그 너무 좋아..,1tCui1j3zNg
@김시우-p5g,3,"저런 시절도 있었지..
요즘은 ..미투사건으로 감빵직행",1tCui1j3zNg
@장군님-m2e,3,"방송하면 완전 고소감인데?
주위사람들이 웃는다고 재밌는줄안다면 착각
진짜 불쾌함
저걸 개그라구 심지어 요즘시대에",1tCui1j3zNg
@애플-e1u5k,2,아 ㅎㅎㅎ배꼽 빠짐 ㅎㅎㅎㅎㅎ,1tCui1j3zNg
@슈퍼슈파,2,저질스럽노,1tCui1j3zNg
@홍도현-e4y,1,ㅎㅎㅎ,1tCui1j3zNg
@victoriak8839,1,하나도 안웃겨.. 저질....,1tCui1j3zNg
@user-willwin365,1,저 당시에 방송에선 할수없는 멘트고  밤무대인듯..,1tCui1j3zNg
@amos6389,1,오랜 만에 다시 봐도 잼 납니다. ㅎㅎㅎ,1tCui1j3zNg
@로이로제-b9b,1,오우야 듣는저도 화끈하시넼ㅋㅋㅋㅋㅋ,1tCui1j3zNg
@서윤남-j2d,1,"😂😂😂😂😂😂😂
너무 웃겨 😂 🙈 😭 💦",1tCui1j3zNg
@mandu8257,1,이거 한 30년쯤 전 유머책에서 본 거 같은데 ㅋㅋ,1tCui1j3zNg
@경-f3s,1,빵터짐요😅😅😅😅😅😅😅,1tCui1j3zNg
@그라목손-t9x,1,김형곤님  생각남   같은 얘길 해도  다름,1tCui1j3zNg
@sohyungsup,1,병팔이의일기,1tCui1j3zNg
@차이-d8f,1,요즘발언했음  생매장당함..,1tCui1j3zNg
@모띠-y8o,1,어어 왜 서노,0TyxWDdLWkk
@jkl9216,1,저기서 못참으면 여사친이 아닌거고ㅋㅋ 참으면 여사친인거고ㅋㅋ 남녀사이에 친구는있다,0TyxWDdLWkk
@NEW프사클릭-I9X-Onfan-S양,0,*그건 일어나도 문제고 안 일어나도 문제네요ㅎㅎ*,0TyxWDdLWkk
@nama_saya_lee,0,GR하고 앉았네....,0TyxWDdLWkk
@chuljeonyoutube9410,0,별내용도 없고 그저 자극적인거로 조회수 빨아쳐먹네,0TyxWDdLWkk
@이겨내자-s1y,0,꽈추는 다르다 정직하다,0TyxWDdLWkk
@평범한가장-b1w,0,"그래 경험상(?) 끝까지 가느냐 아니냐 
차이임
여사친 언니가 바지단추 풀고 빤쓰까지
다 보이게 하고 날 끌어 안아도 
친구 언니다 친구 언니다 
무슨 염불처럼 외우다 보니 날새서 
몰래 빠져나와 집에 감
아무일 없이 집에 가는데 
현타가 오느기는 함...
나 남자 맞을까?  ㅋㅋㅋ",0TyxWDdLWkk
