channelImage,channelLink,channelName,rank,thumbnailUrl,videoLink
https://i.playboard.app/p/ESeFH2AUcsxtnfxFOPxL3OBkZzpLmxF39-NAjXM5DiVj7qcVvL-2Wt6DINB0RjHAKzJdNEiJ/100x100.jpg,https://youtube.com/channel/UCkLNHZZsC3LKdUAroKNwOOw,CuRe 구래,1,https://img.youtube.com/vi/5Ob5R9YeP1I/mqdefault.jpg,https://youtube.com/video/5Ob5R9YeP1I?channelId=UCkLNHZZsC3LKdUAroKNwOOw
https://i.playboard.app/p/Vk63TZr8EN-cKYWeSg1JnE9UroOd8gx2Bt4dQB2Jts67OiuKwJC69cHR6Ddhk5ENBXW9Qp38pEA/100x100.jpg,https://youtube.com/channel/UC2qKQjnZI_tnG7XemGBOHxQ,Jeffrey X,2,https://img.youtube.com/vi/CGFAV-bgWCY/mqdefault.jpg,https://youtube.com/video/CGFAV-bgWCY?channelId=UC2qKQjnZI_tnG7XemGBOHxQ
https://i.playboard.app/p/8EBmqTXVxYND9Szk6RHWXt7t6dZF4vhGe78IKSuV5Jqb5GpEr_hDWBUvd-DTT7VpeCV8BQak/100x100.jpg,https://youtube.com/channel/UClKMQvXzykN067tLhvXHHxw,요즘예능 1분요약,3,https://img.youtube.com/vi/lpNdpQCITh8/mqdefault.jpg,https://youtube.com/video/lpNdpQCITh8?channelId=UClKMQvXzykN067tLhvXHHxw
https://i.playboard.app/p/aazjICpI93HlOOfb0y7qET9Y4xqL_Gs9bT-ArwQVbolqBYyKKaZlmLaMCU4DBlZ_Ho82f6OrE0Y/100x100.jpg,https://youtube.com/channel/UCg19Zha1-MjPoxNZYhDuWiQ,최반응,4,https://img.youtube.com/vi/yH9uYGAovCU/mqdefault.jpg,https://youtube.com/video/yH9uYGAovCU?channelId=UCg19Zha1-MjPoxNZYhDuWiQ
https://i.playboard.app/p/M6-9gTksE8E4K6qL4FKfvqL1IijFZBsr3gsnSr19RF9CjGBsYZ2C6Gc2xqweMU5h1oovco_V/100x100.jpg,https://youtube.com/channel/UCmjjgsm51PYMPf5REDylbSA,김켈리 Kellyfornia,5,https://img.youtube.com/vi/A7WErsHXl1k/mqdefault.jpg,https://youtube.com/video/A7WErsHXl1k?channelId=UCmjjgsm51PYMPf5REDylbSA
https://i.playboard.app/p/IJ71CRq47xMjkKXuD--J3niiqDnXDXOISNQz-l06Fhcd6-dE6h0Of6UAM59Zt3eus_RltueyAw/100x100.jpg,https://youtube.com/channel/UCNcnpXLLeDXL8MAxJULtqzA,Олег Ким,6,https://img.youtube.com/vi/tity8_ueZhM/mqdefault.jpg,https://youtube.com/video/tity8_ueZhM?channelId=UCNcnpXLLeDXL8MAxJULtqzA
https://i.playboard.app/p/wciGHiiN0QOnbyP8NGmWLPdB4mWOiUYNvcnBJwqmc7XmboZdzd8yBOY_7Ktiu8c01glOrN_5SA/100x100.jpg,https://youtube.com/channel/UC6yEsiYQjnLve24g34lVa1w,낭만박상환,7,https://img.youtube.com/vi/byVutxQtCuU/mqdefault.jpg,https://youtube.com/video/byVutxQtCuU?channelId=UC6yEsiYQjnLve24g34lVa1w
https://i.playboard.app/p/oWNCy7qa745ZzC2JMY9QkPwKusJvvV2ua9VMZ8qpjyvdr6cZLmxXgpIvHICPeVO_-4mZlZsY/100x100.jpg,https://youtube.com/channel/UCF24NMvY6K0wUUaRR2jscQA,일분일초,8,https://img.youtube.com/vi/RLkwwMlsK9A/mqdefault.jpg,https://youtube.com/video/RLkwwMlsK9A?channelId=UCF24NMvY6K0wUUaRR2jscQA
https://i.playboard.app/p/gW5w5MVULRBLouKjAdHe1ozA-2xlEjqRvkbnWjHn8RZsH7cXvOP2AVjBQI6h4WsvzcX--oaL6w/100x100.jpg,https://youtube.com/channel/UCvcW9r7VlvqkfrXZUMxq9Eg,심심숏폼,9,https://img.youtube.com/vi/ROGNi120mqE/mqdefault.jpg,https://youtube.com/video/ROGNi120mqE?channelId=UCvcW9r7VlvqkfrXZUMxq9Eg
https://i.playboard.app/p/sYV8ECj04-rifym_0hMuN5mEMRMamO6JMF7EyfI8xUPncROgILpZn8Usoxbr4DdaVdxMtI-90A/100x100.jpg,https://youtube.com/channel/UCpBpsIYfgEe2s-zazZ643xw,모르면개손해,10,https://img.youtube.com/vi/33sDMqCSzGY/mqdefault.jpg,https://youtube.com/video/33sDMqCSzGY?channelId=UCpBpsIYfgEe2s-zazZ643xw
