channelImage,channelLink,channelName,rank,thumbnailUrl,videoLink
https://i.playboard.app/p/mnLpFg2moh5k6HkGl9h2YDFqlSJkWqQMt6Rdc-497l8lAN_Cs2rPVP3nmWgIRGL3SeSs6hPrNec/100x100.jpg,https://youtube.com/channel/UCXckXSwBPzOtbBZ1mDuNJSg,Lala and Lulu,1,https://img.youtube.com/vi/XTM1EKT8yhc/mqdefault.jpg,https://youtube.com/video/XTM1EKT8yhc?channelId=UCXckXSwBPzOtbBZ1mDuNJSg
https://i.playboard.app/p/qqPRPkI1P9IcUd7c4PzytW-qTSnXxul20JwvL7taMNtMJtK2dJj_VkJIcXtaDYqpVuW8Bnz7_A/100x100.jpg,https://youtube.com/channel/UCz8gf4PK1Qth50lLHdvTCcA,유백합 kkubi99,2,https://img.youtube.com/vi/jiJ3SZY83YQ/mqdefault.jpg,https://youtube.com/video/jiJ3SZY83YQ?channelId=UCz8gf4PK1Qth50lLHdvTCcA
https://i.playboard.app/p/CNIJ_-7Qgg7vX8oQrD5snpILYyCU_aRrzFizJT52dPnvVgB1t9sB9S7cyPgqC0oGWzASxrXLAg/100x100.jpg,https://youtube.com/channel/UCspnElmzSLPhrZJDG9v7JWw,UNIS,3,https://img.youtube.com/vi/G-LzGjVZ0rQ/mqdefault.jpg,https://youtube.com/video/G-LzGjVZ0rQ?channelId=UCspnElmzSLPhrZJDG9v7JWw
https://i.playboard.app/p/MOCHJkzAVOzxS9zhGaywJzPK-bSP7xSkJMdWgJdmDnuIRhxS2HA5OKf6jOcHeu4U7rTdZWLO9Q/100x100.jpg,https://youtube.com/channel/UCiwQRG2sCcfjKkgxMEdJGPg,엠뚜루마뚜루 : MBC 공식 종합 채널,4,https://img.youtube.com/vi/vJ8C_Yjm1wE/mqdefault.jpg,https://youtube.com/video/vJ8C_Yjm1wE?channelId=UCiwQRG2sCcfjKkgxMEdJGPg
https://i.playboard.app/p/ec48db2c59fb5837e65ce96ace030cd9/100x100.jpg,https://youtube.com/channel/UCiTmQfN5_VoQvnLbuE_Gz4Q,태권크리(TAEKWONCRE),5,https://img.youtube.com/vi/p-A-ZhYTYfU/mqdefault.jpg,https://youtube.com/video/p-A-ZhYTYfU?channelId=UCiTmQfN5_VoQvnLbuE_Gz4Q
https://i.playboard.app/p/m3nYYaVpwH7_fXaU9rh1yELK0Di2EQlt0i0Gp5H0kibL2J6Dmv1WR55BrAED03fnLvy00oTLaw/100x100.jpg,https://youtube.com/channel/UCC38K-xXW3mAdm-EKNIWc4g,마드필름 Ma:de film,6,https://img.youtube.com/vi/baUOdolanso/mqdefault.jpg,https://youtube.com/video/baUOdolanso?channelId=UCC38K-xXW3mAdm-EKNIWc4g
https://i.playboard.app/p/5HS1lKLWrlfyoflas7qJHolnSjJ_5hLDgK2WFNas2vMQAU_3fPyMXVqXM0UtDXOs3r2UV5CAjQ/100x100.jpg,https://youtube.com/channel/UCGbkN-3JpOct4KuEv59NF0Q,엠키타카 MKTK,7,https://img.youtube.com/vi/CQuGf3VZ_kU/mqdefault.jpg,https://youtube.com/video/CQuGf3VZ_kU?channelId=UCGbkN-3JpOct4KuEv59NF0Q
https://i.playboard.app/p/S4tk20GSuKD6HuAd5QoO2Vi-jmkhpmz3hNPsgNLveB9ZJRT62Q_2La6Wu_7dHUTeh9OquVfUtA/100x100.jpg,https://youtube.com/channel/UCXmRJfZ3atLVLDiO5Ufycvw,스튜디오지니,8,https://img.youtube.com/vi/g8osO1xFaqQ/mqdefault.jpg,https://youtube.com/video/g8osO1xFaqQ?channelId=UCXmRJfZ3atLVLDiO5Ufycvw
https://i.playboard.app/p/0WbLIXBx3FeVCeVvAzdQC7pn9UsVV7gIH6MUUMVWE-cfYD1CDSxAv8X9GhO2Xe_14SYsqEqIBQ/100x100.jpg,https://youtube.com/channel/UCPMU3PoR_NRcCxu0X3Liiiw,야우냐?,9,https://img.youtube.com/vi/p0s-fPCTlrU/mqdefault.jpg,https://youtube.com/video/p0s-fPCTlrU?channelId=UCPMU3PoR_NRcCxu0X3Liiiw
https://i.playboard.app/p/wxUIS5Mz9mvT88Hha2h1d23I3j-S54QgX_bkGNbfeS94CEZZ3EfHJ5MOMe0PKZIzh_s3O4JqJ5M/100x100.jpg,https://youtube.com/channel/UCTQVIXvcHrR9jYoJ6qaBAow,M2,10,https://img.youtube.com/vi/l0oKtdabK5E/mqdefault.jpg,https://youtube.com/video/l0oKtdabK5E?channelId=UCTQVIXvcHrR9jYoJ6qaBAow
