comment_author,comment_likes,comment_text,video_id
@mulmangchobb,70,"임영웅 🩵신곡 천국보다 아름다운 
써클차트 6관왕 축하합니다 🥳
* 디지털 차트 1위
* 다운로드 차트 1위
* BGM 차트 1위 
* V 컬러링 차트 1위
* 벨소리 차트 1위
* 통화 연결음 차트 1위
한국 음악 컨텐츠 협회 발표
16주차 (2025년 4월 13일 ~ 19일)

임영웅 응원합니다 건행ㄱ",W-1DWS-lZ9c
@chanelh9231,68,"역시
최고의목소리
그어느누구와도비교할수없다",W-1DWS-lZ9c
@김미야-f5q,65,임영웅 멋집니다 해외에서 응원합니다 건행 추카드립니다,W-1DWS-lZ9c
@춤추는퓨젼장구,64,"임영웅 가수님 
천국보다 아름다운
감미로운 목소리 귀호강하고 갑니다 
👍 👍 👍 짝짝짝 응원합니다 ~^",W-1DWS-lZ9c
@피리나무-h6t,64,갓벽한 임영웅 언제나 응원합니다 천국보다 아름다운 엄지척입니다,W-1DWS-lZ9c
@상태박-d8q,63,매일같이 편안한 쉼터에서 느끼는 따스한 행복감 💙   임영웅  ' 천국보다 아름다운 '  노래 대박입니다   초대박 나세요,W-1DWS-lZ9c
@유경애-b6x,61,임영웅 천국보다 아름다운 써클차트 6관왕 축하해요,W-1DWS-lZ9c
@LOHAS-p1f,61,"임영웅
어제 밤 들으면서 운동하는데
산뜻한 봄밤의 날씨랑 너무 잘 어울였음요
그 아름다운 목소리로 어두운 밤을 꽉 채웠음요
위로의 노래
힐링의 노래  
응원합니다",W-1DWS-lZ9c
@희준이-i7f,59,임영웅 천국보다 아름다운 화이팅합시다,W-1DWS-lZ9c
@풀잎-p6g,59,임영웅 따뜻한 마음이 전해지는 천국보다 아름다운 노래. 늘 감사하고 응원합니다 ❤❤❤,W-1DWS-lZ9c
@imk-v5u,58,"임영웅 천국보다 아름다운 
노래 너무 좋습니다
듣고 있으면 마음이 정말
편해지고 안정을 찾네요~
사랑합니다 ~🩵🩵🩵",W-1DWS-lZ9c
@user-sxj6qxim0,58,"임영웅 천국보다 아름다운
감성 가득한 목소리 매일 매일이 힐링입니다 임영웅 응원합니다",W-1DWS-lZ9c
@고야나무-z6j,58,들어도 들어도  목소리  감동입니다  임영웅  님  사랑합니다  건행하세요,W-1DWS-lZ9c
@파란하늘-s6e,58,임영웅 오늘도 노래로 위로와 힐링을 받고 있는 행복한 날들 입니다,W-1DWS-lZ9c
@CASSD2RTV,58,이시대의 진정한 영웅인 가수죠. 감사합니다.,W-1DWS-lZ9c
@라영숙-c6g,57,임영웅 천국보다 아름다운 달콤달콤한목소리가 감동으로 마음깊이 울려퍼집니다  이번주 토요일도  기다립니다 최고의내가수 응원합니다,W-1DWS-lZ9c
@kyonggoff,57,임영웅 이름 석자만 들어도 행복해요 감사합니다 건행,W-1DWS-lZ9c
@김노영-r1o,57,임영웅 감동의노래  천국보다 아름다운 신곡도 드라마도 대박나세요 홧팅,W-1DWS-lZ9c
@정옥여-f4g,57,"임영웅 
천국보다 아름다운 
언제들어도 참 좋으네요 
따뜻한 보이스로 늘 힐링합니다 
국민가수 임영웅 
영원히 찬란하게 빛나길 
부디 건행하세요 응원합니다 사랑합니다",W-1DWS-lZ9c
@희준이-i7f,56,임영웅 천국보다 아름다운 응원합니다 모두 맛점하셨나요,W-1DWS-lZ9c
@Luly-ki8ph,10,"AROHA MOON BIN 우리는 그를 그리워합니다. 그는 천국의 천사이고, 우리를 인도하는 가장 밝은 별입니다. 그의 미소와 목소리가 그리워요. 그가 그리워요. 아름다운 추모글을 올려주신 아스트로에게 감사드립니다 💜",UUFJlUy5aA4
@Myrockstaryerin,6,"누구보다 소중한 별들이 안타까운 선택으로 떠난 후, 그들의 존재 자체가 금기시 되는 경우가 많아 제대로 추모할 수 없는 현실이 안타까웠습니다. 사람이 떠난 후 사람들 기억속에서 그 존재가 잊혀지면 그때 진짜 떠나는 것이라는 말에 깊이 공감하는 사람이라 더더욱 그랬던 것 같습니다. 그래서 이렇게 매번 문빈님을 기억하고자 하는 사람들이 모여 조용히 기적같은 일들을 해오는 것이 가슴 깊이 다가오네요. 덕분에 다시 추억하고 추모할 수 있었습니다.


문빈님을 비롯하여 우리 곁에서 너무 일찍 져버린 별들도 항상 기억하며 살아가겠습니다. 적어도 우리 기억 속에서는 항상 존재하고 있으니까요. 그러니 그들도 하늘에서 그 누구보다 행복했으면 합니다.",UUFJlUy5aA4
@gregoryc5390,5,This is a beautiful tribute. All the artists were exceptional. Had me crying from the first note. The emotion that was put in this song is felt everytime.,UUFJlUy5aA4
@kameko-cha,5,心の底から、、、ありがとう🫂すてきな仲間達🍀🍀🍀,UUFJlUy5aA4
@토토로-c2l,4,빈을 기억합니다.  모두 많이 애썼어요. 그리고....  참 잘했어요. 사랑합니다❤❤,UUFJlUy5aA4
@Luly-ki8ph,3,AROHA 🇪🇨🇪🇨💜💜💜💜🇪🇨💜🇪🇨💜🇪🇨🇪🇨💜💜💜💜😔😢😢🫂🫂🫂 MOONBIN 우리는 당신을 그리워합니다 아름다운 천사여 당신은 우리의 길을 인도하는 하늘의 가장 밝은 별입니다. 당신이 없는 것을 우리가 받아들이는 것은 여전히 어렵습니다. 당신은 항상 내 마음속에 있습니다. 아로하💜💜🇪🇨 에콰도르,UUFJlUy5aA4
@nunulover2024,3,"Bin-ah!! Sarangae😍😍🥹🙌 los chicos hicieron un excelente trabajo!! Gracias a todos, es una canción que nos llena el corazón 😍😘🤩",UUFJlUy5aA4
@aroha830,3,Astro=familia♡,UUFJlUy5aA4
@fernandamari-1,2,😢누누를 보고 싶어서 왔을 뿐인데 우린 여전히 당신을 사랑하고 앞으로 나아가길 바라요,UUFJlUy5aA4
@patygramado,2,Aroha ❤❤❤❤❤,UUFJlUy5aA4
