category,categoryId,channelTitle,commentCount,country,description,id,likeCount,publishedAt,tags,title,url,viewCount
music,10,임영웅,23881,KR,"#임영웅 #LimYoungWoong #천국보다아름다운

[MV] 임영웅 - 천국보다 아름다운 👉 https://youtu.be/QQJaxbLmmBI

임영웅 웅튜브 
구독♡좋아요♡알람설정
열심히 할게요/당신도 누를 수 있도록 

Lim Young Woong  [I'm HERO] Youtube Channel
Subscribe Like Alert Setting 
Thank You♡

공식 팬카페 [영웅시대]
http://cafe.daum.net/hero0616",W-1DWS-lZ9c,90104,2025-04-13T00:17:36.000Z,"[미스터트롯, 트로트, 임영웅, 트로트영웅, 포천의아들, 아침마당, 판듀, 전국노래자랑, 영웅, 홍대트로트, 뭣이중헌디, 계단말고 엘리베이터, kbs, 가요무대, 도전꿈의무대, 박서진, 진달래, 천재원, 명지, 성국, 미스트롯, 장윤정, 박현빈, 박상철, 박구윤, 현장스케치, 예능, 트롯, TV조선, 사랑의콜센타, 뽕숭아학당, hero, imhero, 이제나만믿어요, 이나믿, 별빛같은나의사랑아, 별나사]",임영웅 [천국보다 아름다운] Music Clip,https://www.youtube.com/watch?v=W-1DWS-lZ9c,2907650
music,10,TWS - Topic,219,KR,"Provided to YouTube by PLEDIS Entertainment

마음 따라 뛰는 건 멋지지 않아? · TWS

TWS 3rd Mini Album 'TRY WITH US'

℗ PLEDIS Entertainment

Released on: 2025-04-21

Auto-generated by YouTube.",u0lUMREEyuk,8035,2025-04-21T09:01:14.000Z,"[TWS, TWS 3rd Mini Album 'TRY WITH US', Countdown!, 마음 따라 뛰는 건 멋지지 않아?]",마음 따라 뛰는 건 멋지지 않아?,https://www.youtube.com/watch?v=u0lUMREEyuk,425575
music,10,NCT WISH - Topic,250,KR,"Provided to YouTube by SM Entertainment

poppop · NCT WISH

poppop - The 2nd Mini Album

℗ 2025 SM Entertainment

Released on: 2025-04-14

Producer: MZMC
Producer: Pink Slip
Producer: inverness
Lyricist: KENZIE
Composer: Jackson Morgan
Composer: JBACH
Composer: Amelia Moore
Composer: Kyle Buckley
Composer: Charles Roberts Nelson
Composer, Arranger: MZMC
Arranger: Pink Slip
Arranger: inverness

Auto-generated by YouTube.",sAwVsdQOogQ,12261,2025-04-14T09:04:04.000Z,"[NCT WISH, poppop - The 2nd Mini Album, poppop]",poppop,https://www.youtube.com/watch?v=sAwVsdQOogQ,1265983
music,10,HIGHLIGHT - Topic,70,KR,"Provided to YouTube by Genie Music Corporation

Endless Ending · BEAST (HIGHLIGHT)

Endless Ending

℗ 2025 Around US

Released on: 2025-04-16

Lyricist: NU’MAKER(Room01)
Composer: NU’MAKER(Room01)
Composer: STAINBOYS(Room01)
Composer: PARK JI EUN(Room01)
Arranger: STAINBOYS(Room01)
Arranger: PARK JI EUN(Room01)

Auto-generated by YouTube.",wEhfhZNKjyU,5353,2025-04-16T09:01:35.000Z,"[BEAST (HIGHLIGHT), 비스트 (하이라이트), Endless Ending]",Endless Ending,https://www.youtube.com/watch?v=wEhfhZNKjyU,536784
music,10,NCT WISH - Topic,425,KR,"Provided to YouTube by SM Entertainment

Melt Inside My Pocket · NCT WISH

poppop - The 2nd Mini Album

℗ 2025 SM Entertainment

Released on: 2025-04-14

Producer: KENZIE
Producer: Rouno
Composer, Lyricist, Arranger: KENZIE
Composer: Andrew Choi
Composer: JSONG
Composer, Arranger: Rouno

Auto-generated by YouTube.",GIoDgHfQX6Y,11029,2025-04-14T09:04:00.000Z,"[NCT WISH, poppop - The 2nd Mini Album, Melt Inside My Pocket]",Melt Inside My Pocket,https://www.youtube.com/watch?v=GIoDgHfQX6Y,865494
music,10,NCT WISH - Topic,491,KR,"Provided to YouTube by SM Entertainment

1000 · NCT WISH

poppop - The 2nd Mini Album

℗ 2025 SM Entertainment

Released on: 2025-04-14

Producer: PAPRIKAA
Composer, Lyricist, Arranger: PAPRIKAA
Composer, Lyricist: Lim Jung Woo
Composer, Lyricist: DANA

Auto-generated by YouTube.",8GCSIIzFEg8,11594,2025-04-14T09:03:33.000Z,"[NCT WISH, poppop - The 2nd Mini Album, 1000]",1000,https://www.youtube.com/watch?v=8GCSIIzFEg8,839292
music,10,ASTRO 아스트로,29008,KR,"#ASTRO #아스트로 #꿈속의문 #Moon

ASTRO - 꿈속의 문(Moon) : Memory of the Moon

with 
VIVIZ (비비지)
민혁, 기현, I.M of MONSTA X 
호시, 원우, 민규, 도겸, 승관 of SEVENTEEN
HELLO GLOOM
라키
최유정
김도연
찬희 (SF9)
방찬 (Stray Kids)
문수아 (Billlie)

▶ Twitter : http://twitter.com/offclASTRO
▶ Facebook : http://facebook.com/offclASTRO
▶ Instagram : https://www.instagram.com/officialastro
▶ Weibo : http://weibo.com/officialASTRO
▶ Fancafe : http://cafe.daum.net/fantagio-boys",UUFJlUy5aA4,612504,2025-04-19T09:00:10.000Z,"[ASTRO, 아스트로, 판타지오뮤직, 판타지오, fantagio, fantagioMusic, ASTROPLAY, 아스트로플레이, 차은우, 문빈, 진진, 엠제이, 윤산하, 라키, ChaEunWoo, MoonBin, JINJIN, MJ, YoonSanHa, ROCKY, 또까, DDOCA, 꿈속의문, Memory of the Moon, Moon, 비비지, VIVIZ, 세븐틴, SEVENTEEN, MONSTAX, 몬스타엑스, 최유정, 김도연, 찬희, SF9, 방찬, 문수아, 빌리, Billlie, StrayKids]",아스트로(ASTRO) - 꿈속의 문(Moon) : Memory of the Moon,https://www.youtube.com/watch?v=UUFJlUy5aA4,3546019
music,10,Hebi.,6079,KR,"Hebi '지금부터 (Onward)' Official MV 

 #hebi  #헤비  #지금부터    

[Hebi Official SNS] 
OFFICIAL WEVERSE ▷ https://weverse.io/hebi/artistpedia 
OFFICIAL X ▷https://twitter.com/hebi0211",yomKWG44odg,30021,2025-04-22T09:00:06.000Z,"[へび, henceforth hebi, henceforth 蛇, 歌ってみた, 늘, EVER, Chroma, 헤비, Hebi, KPOP, JPOP, LUCY, 조원상, 루시, Music, 지금부터, Onward]",Hebi - '지금부터 (Onward)' Official MV,https://www.youtube.com/watch?v=yomKWG44odg,1135368
music,10,Mido and Falasol - Topic,0,KR,"Provided to YouTube by Genie Music Corporation

Amateur · Mido and Falasol

Resident Playbook, Pt. 4 (Original Soundtrack)

℗ 2025 Studio MaumC, eggiscoming

Released on: 2025-04-20

Lyricist: Jinyoung Hong
Composer: Jinyoung Hong
Arranger: Naiv

Auto-generated by YouTube.",JWCP5xLibfA,3311,2025-04-20T09:00:33.000Z,"[Mido and Falasol, 미도와 파라솔, Resident Playbook, Pt. 4 (Original Soundtrack), Amateur]",Amateur,https://www.youtube.com/watch?v=JWCP5xLibfA,207574
music,10,워너뮤직코리아 (Warner Music Korea),870,KR,"🎧임영웅 [천국보다 아름다운] Music Clip
https://www.youtube.com/watch?v=W-1DWS-lZ9c



#임영웅 #LIMYOUNGWOONG #OST
#JTBC #천국보다아름다운 #Heavenly_Ever_After
#고고씽 #GOGOSING",95gKcG80rhI,,2025-04-15T09:00:20.000Z,,임영웅 - 천국보다 아름다운 [Music Video],https://www.youtube.com/watch?v=95gKcG80rhI,351959
