category,categoryId,channelTitle,commentCount,country,description,id,likeCount,publishedAt,tags,title,url,viewCount
news,25,어준이뉴스,123,KR,"#mbc뉴스 #뉴스데스크 

@어준이뉴스 https://www.youtube.com/channel/UCl_YDj8DFZSqESwDmmsHrqw?sub_confirmation=1",UixqFBz9dmU,16621,2025-04-22T05:30:16.000Z,"[정치뉴스, 국제정치, 국내정치, 시사분석, 정치토론, 정부정책, 선거, 정치인인터뷰, 정치시사해설, 정치이슈, 정당, 언론과정치, 국회뉴스]",윤석열이 검찰에게 훈계하자.. 닥치고 들으라는 지귀연? #mbc뉴스 #뉴스데스크,https://www.youtube.com/watch?v=UixqFBz9dmU,532451
news,22,우령의 유디오,1180,KR,#shorts #아나운서 #안내견,pNdrToGWBUU,67654,2025-04-17T06:59:28.000Z,"[앵커, 아나운서, 뉴스, 생활뉴스, 뉴스클로징, 퇴사, 허우령, 시각장애인, 안내견, 리트리버, 강아지, 보도국, 아준생, 도전, 취업, KBS, shorts, 생방송, 감동, 동기부여, 발성, 발음, 목소리, 정은혜, 뉴스12, 여자아나운서, 앵커멘트, 성공, 우령의유디오]",시각장애 앵커가 뉴스를 떠나기 전 남긴 클로징 멘트,https://www.youtube.com/watch?v=pNdrToGWBUU,1457485
news,25,숏츠파이프,1473,KR,"출처 MBCNEWS

#문형배 #헌법재판관 #윤석열파면 #김장하 #김장하선생",_C_xG10JwXs,95914,2025-04-15T15:17:28.000Z,,"문형배 헌법재판관을 이끈 진정한 어른, 김장하 선생",https://www.youtube.com/watch?v=_C_xG10JwXs,2207825
news,25,짧뉴(짧은뉴스),3248,KR,"#짧은뉴스 #짧뉴 
여러분의 '좋아요' 클릭 자체가 큰 후원입니다

'짧은뉴스'는 바쁜 사회 속 짧고 정확하게 정치의
이점과 오점을 알리는 게 목적입니다
주 영상은 '쇼츠'로 구성 됩니다

다만, 쇼츠 내용에 명확성이 필요한 경우
필요 영상 구간 내용을 최단 압축하여 업로드 합니다

문의 : the.shots.news@gmail.com

시청자 분들의 성원과 관심에 항상 감사합니다
 '슈퍼 땡스'도 너무 감사합니다!",fUHwiN3PtXw,79484,2025-04-16T11:52:32.000Z,"[짧뉴, 짧은뉴스, 더불어민주당, 조국혁신당, 정치, 국회, 뉴스, MBC, JTBC]",뱀장어 대가리에 참기름 바르는 소리 [짧뉴] 박지원 이완규 법사위 #짧은뉴스,https://www.youtube.com/watch?v=fUHwiN3PtXw,1216014
news,25,[팟빵] 매불쇼,1761,KR,"#최욱 #매불쇼 #팟빵

0:00 - 대기 시간
11:20 - 방송 시작
19:06 - 사이다 헤드라인 : 곽수산 X 노영희 X 김용민 X 이용우 X 박지원 X 이명수 X 장인수
1:52:09 언론 특집 : 홍여진 X 이명주
2:32:50 한낮의 매불 초대석 : 김동기
---------------------------------------------------------
● 세상 모든 축하, 사랑, 위로, 감사가 필요한 순간 ""꽃반장""
APP 설치시 즉시 사용 가능한 만원 적립
➜ https://tvw0a.app.link

● 카페 사장님들을 위한 오미자 메뉴 레시피 문의 070-4307-3456
스토어 알림받기 누르고, 오미베리 2병 구매 시 에코텀블러 1개 무료 증정!
➜ https://smartstore.naver.com/omiberry/products/9280502774

● 대한민국 상위 1% 맛집만 모은 해와바다
소시지형 모듬순대 4종 (고기, 찹쌀, 김치, 야채)  7,900원!!
➜ https://smartstore.naver.com/sunandsea1/products/11483928667

● 허리 어깨 무릎 뻐근할 땐 [효자손큐 초록입홍합크림]
➜ https://bit.ly/3xDenUz
---------------------------------------------------------
광고 문의 : ad@podbbang.com
출연, 사연 등 기타 문의 : mbshow@podbbang.com
또는 인스타그램 @maebulshow 메시지 주세요 :)",lSdm2cxOg78,102119,2025-04-22T08:06:01.000Z,,김건희 가족의 요양원에서 벌어지고 있는 끔찍한 일! | 풀버전,https://www.youtube.com/watch?v=lSdm2cxOg78,1552213
news,25,김어준의 겸손은힘들다 뉴스공장,1474,KR,"#김어준 #겸손은힘들다 #뉴스공장  #명랑사회 


00:00:00  겸손pick 하이라이트 
00:10:30  김어준 생각
00:11:16  겸손브리핑 
00:39:09  박범계 / 더불어민주당 의원
                  양부남 / 더불어민주당 의원
                  신장식 / 조국혁신당 의원
01:12:10  박지원 / 더불어민주당 의원
                 김병기 / 더불어민주당 의원
                  박선원 / 더불어민주당 의원
01:52:27  봉지욱 / 뉴스타파 기자
02:14:15  최종건 / 전 외교부 차관 · 연세대 정치외교학과 교수
02:27:16  이수정 / H2C Design 본부장



◎ [겸손브리핑]
▷ 김묘성 / 기자

[인터뷰 제1공장]
- 피고인석에 앉은 尹 공개에도 계속된 특혜 의혹... 이유는? 
- 지난 재판과 달리 눈과 입 닫은 윤석열, 상반된 자세 전략은?
- “사람에 충성하지 않는다” 계엄군 현장 지휘관들의 주장은? 
- 계엄군 “질서 유지에 총 왜 가져가나” VS 尹 “칼 썼다고 살인 아냐” 공방
- 지귀연 재판부, 월 3~4회 공판 예고... 내랜 재판에 미치는 영향은?
▷ 박범계 / 더불어민주당 의원
▷ 양부남 / 더불어민주당 의원
▷ 신장식 / 조국혁신당 의원

[12.3 그날 국회]
- 정보위 의원들이 기억하는 내란의 밤... ""윤핵관도 몰랐다""
- 중대 발표한다더니 '계엄'... 허술하지 않았던 윤석열
- 내란 증거인멸•계엄 축소 중... 종사자 단죄 문제는?
▷ 박지원 / 더불어민주당 의원
▷ 김병기 / 더불어민주당 의원
▷ 박선원 / 더불어민주당 의원

[인터뷰 제2공장]
- 건진법사 '공천 청탁'의 종착점은 권성동... 정황은?
- 취재 중인 기자 손틀막한 권성동 원내대표... 이유는?
- 홍준표-이준석-명태균 함께 3자 회동... 내용은?
- 윤석열 ‘직권남용’의 최대 수혜자는 한동훈... 의미는?
▷ 봉지욱 / 뉴스타파 기자

[인터뷰 제3공장]
- 한덕수 대행 정부, 한미 2+2 통상협의 개최... 우려와 전망은?
- 2017년 ‘사드 배치’도 대행 정부... 반면교사 삼아야
- 한덕수, ‘방위비 협상 가능성’ 시사... 자격 여부는?
- “트럼프와 맞서지 않겠다“ 는 한덕수 전략... 전 외교부 차관의 평가는?
▷ 최종건 / 전 외교부 차관 · 연세대 정치외교학과 교수

[패션공장]
- 얼굴 디테일을 살리는 독보적 디자인 ‘겸손 안경’
- 겸공 ‘티타늄 안경’ 컴백... 업그레이드된 컬러와 디자인
▷ 이수정 / H2C Design 본부장


제보 메일 : yp01@hahasociety.com
구글폼으로 제보 : https://forms.gle/A2rijVdt2t2dSfrMA


겸손멤버십 안내 : https://humblefactory.co.kr/%ea%b2%b8%ec%86%90%eb%a9%a4%eb%b2%84%ec%8b%ad/
인터뷰 전문과 방송내용 확인: https://humblefactory.co.kr
제보와 문의 : newsfactory2023@gmail.com
겸손몰 바로가기 : https://nonohumble.com/
겸손공장 구독하기 : https://www.youtube.com/channel/UCAAvO0ehWox1bbym3rXKBZw?sub_confirmation=1

[겸손방송국 SNS]
인스타그램 : https://www.instagram.com/gyeomson_is_nothing/
공식 트위터 : https://twitter.com/Gyeomsonfactory
겸손공장 페이스북 : https://www.facebook.com/profile.php?id=100089440778302

영상의 무단 사용을 금지합니다.
인용 보도 시 [김어준의 겸손은힘들다 뉴스공장] 출처를 표기해주세요.
인용 보도를 제외한 겸손방송국의 모든 콘텐츠 사용은 공정사용에 해당하지 않습니다.

겸손 멤버십 관련 문의 : 02-6953-1904 / 이메일: info@humblefactory.co.kr",w0KFoiQe6Hc,105830,2025-04-22T00:55:34.000Z,,"김어준의 겸손은힘들다 뉴스공장 2025년 4월 22일 화요일 [박범계, 양부남, 신장식, 박지원, 김병기, 박선원, 봉지욱, 최종건, 패션공장]",https://www.youtube.com/watch?v=w0KFoiQe6Hc,1658891
news,25,MBCNEWS,6167,KR,"00:00 尹측, 절차 문제 시비‥재판부도 '한마디' (2025.04.21/뉴스데스크/MBC)
02:16 피고인석 앉은 윤석열 전 대통령 첫 공개‥주로 눈 감고 듣기만 (2025.04.21/뉴스데스크/MBC)
04:15 [오늘 이 뉴스] ""기억은 희미해지던데"" 잽에..""특정 기억은 도드라져"" 어퍼컷 (2025.04.21/MBC뉴스)

#윤석열 #증인신문 #서울중앙지법 #검찰 
#MBC #뉴스 #뉴스데스크 #MBC뉴스 #뉴스투데이 #뉴스ZIP #뉴스꾹 #오늘이뉴스 #자막뉴스
ㅤ
ⓒ MBC & iMBC 무단 전재, 재배포 및 이용(AI학습 포함)금지",9ShD-n4cCRM,41086,2025-04-22T00:13:27.000Z,"[MBC, MBC뉴스, 뉴스데스크, newsdesk, 뉴스투데이, newstoday, 8시뉴스, 아침뉴스, 뉴스, 정오뉴스, news, 실시간, 실시간 뉴스, 엠비씨 뉴스, 엠비씨, 뉴스 실시간, 뉴스속보, genre:정치, format:리포트, type:디지털, source:영상, series:뉴스.zip, topic:윤석열 훈계, person:윤석열, person:지귀연, location:서울mbc, language:한국어, custom:2차가공, custom:일반]","尹 훈계에 '선 넘네' 불쾌감?..""아시겠나"" 직격한 지귀연 [뉴스.zip/MBC뉴스]",https://www.youtube.com/watch?v=9ShD-n4cCRM,2147737
news,25,뉴스TVCHOSUN,320,KR,"[TV조선 뉴스·시사 프로그램｜유튜브 라이브 방송시간]

📡 월~금 06:50 강스라이팅 (유튜브)
📡 월~금 07:30 뉴스퍼레이드
📡 월        08:40 네트워크 매거진
📡 월~금 09:00 신통방통 
📡 월~금 10:20 류병수의 강펀치 (유튜브)
📡 월~금 13:00 보도본부 핫라인
📡 월~금 14:30 사건파일 24
📡 월~금 17:20 시사쇼 정치다
📡 월~금 21:00 뉴스9
📡 토~일 14:00 뉴스현장
📡 토~일 17:40 시사쇼 정치다
📡 토~일 19:00 뉴스7

[Ch.19]  사실을 보고 진실을 말합니다.

👍🏻 공식 홈페이지 http://news.tvchosun.com/
👍🏻 공식  페이스북 https://www.facebook.com/tvchosunnews/
👍🏻 공식 트위터 https://twitter.com/TVChosunNews

* 뉴스제보 : 이메일(tvchosun@chosun.com), 카카오톡(tv조선제보), 전화(1661-0190)",2t-NiEm9vUY,11508,2025-04-21T00:22:21.000Z,"[TV조선, 티비조선, 조선일보, 종편, 종합편성, TV조선뉴스, 뉴스, 뉴스프로그램, NEWS, 채널19, CH19, 뉴스9, 뉴스7, 윤정호, 포커스, 윤우리, 강펀치, TVCHOSUN, LIVE, 티비조선라이브, TV조선라이브, 국회, 경선, 대선, 조기대선, 국힘, 국민의힘, 홍준표, 나경원, 이철우, 한동훈, 배신자프레임, 윤석열, 윤석열 탄핵, 탄핵, 계엄, 국힘 B조, 임기단축]","국힘, 경선 토론회서 尹 탄핵 공방 [티조Clip] #shorts",https://www.youtube.com/watch?v=2t-NiEm9vUY,375247
news,25,이슈카톡,1438,KR,"윤석열을 법원에서 혼내준 진정한 군인 조성현 단장의 뉴스입니다. 서강대교를 절대 넘지마라고 했던 진정한 군인, 이런 군인이 있어 자랑스럽습니다. 교과서에 남겨 후세에 이를 알려야 합니다

#조성현 #윤석열 #수방사 #단장 #법원 #지귀연 #판사 #김건희 #이재명 #군인 #명예 #재판 #대선 #지지율",VNO7AQmI_QQ,32946,2025-04-21T15:26:55.000Z,,"윤석열을 법원에서 밟아버린 진정한 군인 조성현 단장, 서강대교 넘지마라~ 김용현 용산 칠까봐 계엄 포기",https://www.youtube.com/watch?v=VNO7AQmI_QQ,337388
news,25,MBC 라디오 시사,1256,KR,"2025년 4월 22일 [권순표의 뉴스 하이킥]

[정치맛집]
오늘 국힘 ‘1차 컷오프’ 발표… 향후 경선 전망은?

| 출연 : 이재영 전 국민의힘 의원, 김종대 전 정의당 의원, 김용남 전 개혁신당 의원

| 권순표의 뉴스 하이킥 |

◇ 홈페이지: https://www.imbc.com/broad/radio/fm/newshigh/
◇ 네이버TV: https://tv.naver.com/mbc.mbcradionewsntalk

#MBC라디오 #권순표의뉴스하이킥 #뉴스하이킥 #시사라디오 #권순표",Vl8s_RXv_fs,10615,2025-04-22T11:30:22.000Z,"[MBC, MBC라디오, 라디오, AM, FM, 95.9, 시사, 정치, 사회, 이슈, 마봉춘, RADIO, MBC RADIO, 표준FM, 뉴스, 선거, 라디오시사, mbc라디오시사, 엠비씨라디오]","'탄찬' 안철수, '탄반' 나경원 꺾고 국힘 '1차 컷오프' 통과...국민의힘, '尹 절연' 시동거나? - 이재영&김종대&김용남, [권순표의 뉴스하이킥], MBC 250422 방송",https://www.youtube.com/watch?v=Vl8s_RXv_fs,601551
