channelImage,channelLink,channelName,rank,thumbnailUrl,videoLink
https://i.playboard.app/p/AIdro_myo6O63TGagCxbQa25E5cYAMTx2kBPbwSlqb6d8Ydae2U/100x100.jpg,https://youtube.com/channel/UCF4Wxdo3inmxP-Y59wXDsFw,MBCNEWS,1,https://img.youtube.com/vi/me0VrGvFNiw/mqdefault.jpg,https://youtube.com/video/me0VrGvFNiw?channelId=UCF4Wxdo3inmxP-Y59wXDsFw
https://i.playboard.app/p/huo8anjEzTu67FuF6mO6ui8beFyZ2rECX6-WkshXZlEfohUB1R8o66jGRbhAErooLYAXxH9U27E/100x100.jpg,https://youtube.com/channel/UCsU-I-vHLiaMfV_ceaYz5rQ,JTBC News,2,https://img.youtube.com/vi/spYzZGvvI7E/mqdefault.jpg,https://youtube.com/video/spYzZGvvI7E?channelId=UCsU-I-vHLiaMfV_ceaYz5rQ
https://i.playboard.app/p/Sd77hfGXNh1K4VgLCnYVrzWVkUKh04N5VDClPweoP-sbaZXzH3llUz2W1N_-Z4RX5_XauYpvSQ/100x100.jpg,https://youtube.com/channel/UChlgI3UHCOnwUGzWzbJ3H5w,YTN,3,https://img.youtube.com/vi/X8MsQhkfIOs/mqdefault.jpg,https://youtube.com/video/X8MsQhkfIOs?channelId=UChlgI3UHCOnwUGzWzbJ3H5w
https://i.playboard.app/p/SqFZwlQcqLs4JMZd3lthkg79kCHi68eerNpkkahvEYSPWhm2afUNqFkbMC6J6JJcy9JJ_DzQ8w/100x100.jpg,https://youtube.com/channel/UCkinYTS9IHqOEwR1Sze2JTw,SBS 뉴스,4,https://img.youtube.com/vi/f-zWfHXHrNA/mqdefault.jpg,https://youtube.com/video/f-zWfHXHrNA?channelId=UCkinYTS9IHqOEwR1Sze2JTw
https://i.playboard.app/p/AATXAJzHC0nJG9rHSkikGgNtDIDf9HZ4AlI4BJ1g-TrFEA/100x100.jpg,https://youtube.com/channel/UCFWIofVBqseX6Bmd9Dn7kgg,성창경TV,5,https://img.youtube.com/vi/e8qeV-INdus/mqdefault.jpg,https://youtube.com/video/e8qeV-INdus?channelId=UCFWIofVBqseX6Bmd9Dn7kgg
https://i.playboard.app/p/XtYafwY24d9_WRjkvLb4x1NIKq-eUPGaUD-Bmp105NrFZ1XK9GePXOhIaOO7ReuHWd7q_I-_/100x100.jpg,https://youtube.com/channel/UCfq4V1DAuaojnr2ryvWNysw,채널A News,6,https://img.youtube.com/vi/msbWzTp3hak/mqdefault.jpg,https://youtube.com/video/msbWzTp3hak?channelId=UCfq4V1DAuaojnr2ryvWNysw
https://i.playboard.app/p/3ADH5DY_RrwsY2DrNJgvs5X0rGfpfg4UGOxiim0JQpzcqnX8TZOr4tLeGLKFgGE-eonoyn8oV8g/100x100.jpg,https://youtube.com/channel/UCWGk_-J9WJxgFBAgJXi4ilA,JTV뉴스,7,https://img.youtube.com/vi/rrqbZOBJy4k/mqdefault.jpg,https://youtube.com/video/rrqbZOBJy4k?channelId=UCWGk_-J9WJxgFBAgJXi4ilA
https://i.playboard.app/p/2696d31695b58f7b8451bd60295d6bd5/100x100.jpg,https://youtube.com/channel/UCcQTRi69dsVYHN3exePtZ1A,KBS News,8,https://img.youtube.com/vi/SJJ70hcDpaw/mqdefault.jpg,https://youtube.com/video/SJJ70hcDpaw?channelId=UCcQTRi69dsVYHN3exePtZ1A
https://i.playboard.app/p/pKH9agFC_9OZQvNcs0kiwd_oPYhxN3fZeLnGQIUQztVeBHn3KTPQdSsysjd14VhjDwAdb3eqviI/100x100.jpg,https://youtube.com/channel/UCAAvO0ehWox1bbym3rXKBZw,김어준의 겸손은힘들다 뉴스공장,9,https://img.youtube.com/vi/qVH_9ygsZ4U/mqdefault.jpg,https://youtube.com/video/qVH_9ygsZ4U?channelId=UCAAvO0ehWox1bbym3rXKBZw
https://i.playboard.app/p/AtOfk6Ivk4KYoHNxFu4VOUez9H8d5uN4tNWO95wruz1_cfXWKn_FuEHmXjOl7kaE9MUzieaDuw/100x100.jpg,https://youtube.com/channel/UCWlV3Lz_55UaX4JsMj-z__Q,뉴스TVCHOSUN,10,https://img.youtube.com/vi/V3tIrAFQX_0/mqdefault.jpg,https://youtube.com/video/V3tIrAFQX_0?channelId=UCWlV3Lz_55UaX4JsMj-z__Q
