comment_author,comment_likes,comment_text,video_id
@fairytenny,1835,배달 음식이 도시락보다 심플햌ㅋㅋㅋㅋㅋㅋㅋ,PrAx1qZ_xIY
@peace5001,1030,"가끔 이렇게 사먹기도 해야 도시락생활을 오래 할 수 있는것 같아요.
그리고 신난 하말넘많팀 넘 기여워..",PrAx1qZ_xIY
@whateveryousay6,662,오널은 배달이다~ 끼얏호~~~! 졸귀넘귀,PrAx1qZ_xIY
@몽쨔-i5l,396,배달 음식 텐션 미쳤다ㅋㅋㅋㅋㅋㅋㅋ,PrAx1qZ_xIY
@user-pl7oi1eq4m,126,여태 본 모습중에 제일 행복해 보여요ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,PrAx1qZ_xIY
@lenoncookie,115,김밥에 닭강정이라니 완전 운동회 점심조합이잖아요 맛있겠다,PrAx1qZ_xIY
@Daisy_jihye,98,앜ㅋㅋㅋㅋㅋㅋㅋ 텐션 하늘 찌르신닼ㅋㅋㅋㅋㅋㅋ,PrAx1qZ_xIY
@한나-s6o,73,애장님 엠지샷 포즈 좋은느낌을 준다..,PrAx1qZ_xIY
@시야-t3g,59,이런날도 있어야죠ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,PrAx1qZ_xIY
@매운닭발-e7m,57,도시락보다 소식하는 기이한 현상,PrAx1qZ_xIY
@바람-t5l,56,배달작점 텐션 찢었다~~~~~🎉,PrAx1qZ_xIY
@user-lc1sh3bc6g,39,솔 님 메뉴 하나씩 보여줄 때마다 팔 쫙쫙 펴시는 거 귀여우심 ㅋㅋ,PrAx1qZ_xIY
@fangirl_S2,34,아 ㅋㅋㅋㅋ 텐션 너무 좋아요 남이해준밥 짱,PrAx1qZ_xIY
@alicej0613,16,배달이지만 엄청 건강한느낌,PrAx1qZ_xIY
@sahada7517,15,"오토김밥 닭강정 진짜 진리,,,",PrAx1qZ_xIY
@박혜원-j8t,11,"배달임에도 불구하고... 배달금지 작점보다 단출한 느낌이 드는 건 멀까요... 근데 맛있어보여,,,,",PrAx1qZ_xIY
@당신들이최고야,8,배달 텐션 좋닼ㅋㅋㅋㅋㅋㅋㅋㅋ❤❤,PrAx1qZ_xIY
@mgkim7080,8,ㅋㅋㅋㅋㅋㅋ 귀여워요!!! 그리고 나도 배달 시키고 싶다 휴 밥하기 시러..,PrAx1qZ_xIY
@izzypizzylemon,8,오늘 동일한 메뉴를 먹어 더더 반갑네용!!,PrAx1qZ_xIY
@김구미베어-q5m,7,아 그런날 있죠 ㅋㅋㅋㅋ와 진짜맛있겠다😂😂,PrAx1qZ_xIY
@iiieer,24,남자 isfj는 무조건 잡아야함 ㅋㅋㅋㅋㅋ 다른 유형들보다 괜찮은 남자가 많은 유형같아요 너무 나대지도않고 가치관 좋은편이고 가정적이고 착하고,R9eaNhE-WVk
@jlnenrul,10,진짜 성격을 알면 사람이 좋아지고 잘생겨보임... 맞말😢❤ 와코쨘 사랑둥이니까 이쁜 사랑해🥰,R9eaNhE-WVk
@hamdustry,5,와 와코가 오빠라 부르는데 나보다 어리다니😓 근데 21살이 잘 보이려고 카드주고 음식 싹 결제했다는게 너무 귀여운 것 같다ㅋㅋㅋㅋ 행복한 연애하시길!,R9eaNhE-WVk
@백설-l7z,5,사촌동생 연애하는거 듣는느낌 귀엽다..20살21살인데 21살도 얼마나 어린데 카드를 주면서 몰래계산하고나가달라하고 ㅋㅎㅋㅎㅋㅎㅋㅎㅋ 나중에 와코도 지나서 보면 남친분이 얼마나 어리지만귀엽게 노력했는지 알게될거에여,R9eaNhE-WVk
@nigajoa9999,5,연애 공유 안하는게 진짜 좋은거 같아요.. 저도 연애 고민이라고 하고 남친 이야기 많이 했는데 너무너무 후회했어요 ㅜ  와코님 진짜 좋은 연애 가치관 가지구 계신거 같애요❤,R9eaNhE-WVk
@하하핳-12,4,근데…그 분이 이 영상 봐도 될까요…?,R9eaNhE-WVk
@Kchaeeun012,4,인급동 3위예요..!!!!!!!!!,R9eaNhE-WVk
@다은-o7b,4,언니 인급동!!!!!!!! 축하해!!!!,R9eaNhE-WVk
@강아지_사랑해009,3,나도 와코랑 사귀고 십다 (?),R9eaNhE-WVk
@나야나야너야,3,행동력 좋은 남자 최고임 ....행복한 연애되길 🍀,R9eaNhE-WVk
@딸기맛찹살떡,3,와 진짜 인기 많으시네 ㅋㅋㅋㅋㅋ,R9eaNhE-WVk
@hannhhi,2,설명창 진짜 ㅠㅠㅠㅠ 구독잗분즐사랑하는게느껴지ㅝㅕㅕㅠㅠㅠㅠㅠㅠㅠ,R9eaNhE-WVk
@내리_바라기_채원,2,온니....대단해!,R9eaNhE-WVk
@Jyiul,2,와코소녀…. 인급동 축하해용ㅇ,R9eaNhE-WVk
@easy.sooooooo,2,왜 항상 썸네일과 다른소녀가 등장하나요 화장 참잘해.....,R9eaNhE-WVk
@kangyuuu,2,와코님을 보면서 마음 한구석이 찡했어요. 배울 게 정말 많고 무엇보다 스스로를 사랑하는 그 모습이 참 아름답다고 느꼈어요. 저는 예쁘지도 않고 살도 많이쪘다는 이유로 누군가 다가와도 세상에 이렇게 예쁜 사람이 많은데 왜 나야? 하고 스스로를 밀어냈거든요. 그런 제가 너무 안쓰러워서 이제는 저도 저를 조금씩 안아주고 싶어요. 마음을 바꿔보고 싶어요. 저도 누군가에게 그리고 제 자신에게 사랑받을 수 있는 사람이라는 걸 믿고 싶어졌어요.,R9eaNhE-WVk
@seaseacolcol,2,고백은 듣고 사귀진 않으신건가용,R9eaNhE-WVk
@yee-tv9mm,2,엉니 마인드가 넘나 내 취향이야.... ❤❤ 행벅하게 사세여ㅜㅜㅜ❤❤,R9eaNhE-WVk
@jjsu_6,2,"맨날 별의 별 최악의 남친 종류별로 듣다가
설렘뿜뿜 이야기 들으니까
괜히 제가 설레는데요 미칭거ㅠㅜ❤
9:52 이 당근 모야~~",R9eaNhE-WVk
@도토리-e3j4w,1,안녕하세요 선플달기 운동입니다 예전에 고 3에 혼자 여행가 기때 부터 즐겨봤습니다 요즘은 썰풀면서 화장하기를 자주 올리시는데 되게 재밌게 보고있어요 평소에 밥 먹을때나 할 거없을때 화장하는 영상을 찾아보는데 이때 와코님 영상이 뜨는데 볼때마다 영상처음부터 끝까지 웃는것같아요 앞으로 도 많은 썰과 화장영상 올려주세요!,R9eaNhE-WVk
@미나-i2i,49,2:21 전혀 귀엽지 않은데 초 카와잉~💖🎀 해주시는 영업왕 갸루상,myfce33zEew
@3E3E-B2B2,39,7:46 아니 이거 너무 무서운데 미제사건으로 끝난 거예요?… 영상으로 보는 저까지 심장개뜀이…ㅠㅠ,myfce33zEew
@0r7r2l,36,"📌정보는 더보기란에 있어욥‼️
더 궁금한 거 있으면 댓글로 물어봐주세여❤️",myfce33zEew
@sj310,31,6:28 언니 이날 메이크업 진짜 존예...😳 완전 찰떡이가~ 찰떡이~~😍😍,myfce33zEew
@꺙배분농,14,7:36 미이모가 노말 .. 메이크업 궁구매요 .. 섀도 .. 립 ... 🙏🏻🙏🏻🥹♥️,myfce33zEew
@정-i4v,8,언니.. 클렌징부터 스킨케어 루틴 올려줄 때까지 숨 참을게오…,myfce33zEew
@등대_youth,7,7:25 댓글 보는 언니가 많은 가랑이들이 영상덕에 행복해한다는 사실을 온몸으로 느꼇으면 좋겟당 ㅠㅠㅠ 온니 오늘도 영상고마오오옹 완전재밋당🥹🥹😘😘😘❤️❤️❤️,myfce33zEew
@bboyammii,3,가리걸 생얼 완전 여신 노말이잖아💦💦 젭알 스킨케어루틴 찍어주세욤,myfce33zEew
@imznii,3,7:44 한국이어도 종나 무서운데 타국에서 저런일을 ?? 진짜 ᶠᶸᶜᵏ♥ᵧₒᵤ 미친새끼야 너 누군데,myfce33zEew
@zer0zer00,2,아니 댝생 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 용안보고 개뿜엇네,myfce33zEew
@sun_2882,2,언니 스킨케어루틴 알려주세요🫰🫰,myfce33zEew
@우-e4j,2,4:16 청치마바지 정조 궁금해요🤤🤤🤤🤤🤤,myfce33zEew
@AI_gongzoo,2,약간 기괴...? 그냥 기괴 그 자체 !!!! 🎉🎉,myfce33zEew
@조휴일과,2,"2:24 부터 언니 약간 청하미 있음..!!
근데 이제 글리터신 웜톤신은 아니구
갸루신..⭐️✌️",myfce33zEew
@이구역보스,2,솔직히 개콘 갸루상 메이크업 이랑 똑같다 생각하면 추천 눌러,myfce33zEew
@Studyforyourfuture2026,2,"언니 피부관리 어겧해써 !!!
갸루 메이크업지운거 보고 깜놀해써요… 너무 좋아져따… 나중에 영상으로 찍어줘용 🥵😍🥵😍🥵",myfce33zEew
@하늘-d5f3k,2,"5:45 언니 미모에 기절이가 기절이
영상 하나하나에 점점 더 예뻐지면 어카미 진짜 미모 기절쌈바리...
.
.
.
.
언니는 이미 내 아이돌루야 사랑해🫶🏻",myfce33zEew
@밈쑹,1,아 개웃기넼ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ하 웃다가 뿜을뻔했어요 언니,myfce33zEew
@mehmetucar3685,1,❤❤❤❤,myfce33zEew
@0r7r2l6h,1,갸루걸이라니 💞💞💞💞💞💞💞💞💞💞💞💞💞💞,myfce33zEew
