comment_author,comment_likes,comment_text,video_id
@현혹되지마라,63,ㅋㅋ 우리 희관이 텐트쳤구나~~건강하다건강해^^,Vj4cr2Ijm6U
@어쩌다노가다맨,18,설인아 까는건가 하고 끝까지 봤는데..거기서 손떼라고 미친넘아...ㅋㅋㅋ,Vj4cr2Ijm6U
@studiotv8658,14,"유희관님이 한획을
그어놓으셨군요~
😅😅😅",Vj4cr2Ijm6U
@김성호-u6g,14,진짜 ㅈㄴ아름답다,Vj4cr2Ijm6U
@권기명-y8s,7,"'아니, 시구 훌륭한데....?!' 하고 생각하는 순간 등장하는 유랑우탄 한 마리.",Vj4cr2Ijm6U
@이승엽-o4v,3,나쁜생각😂 나쁜생각 ㅋ,Vj4cr2Ijm6U
@slowVacationer,3,자기보다 공 빠르다고 열받았구만 저거.,Vj4cr2Ijm6U
@speedkixx,2,장나라 암살 하려던 놈도 있었는데,Vj4cr2Ijm6U
@kangsom1674,2,일단 이쁘다,Vj4cr2Ijm6U
@poby770,2,사타구니 바지 낑겨서 그런거같은데...뭐가 크게 문제지?? 우연치않게 카메라 타이밍이 맞았던거야,Vj4cr2Ijm6U
@dy7287,2,"난 설인아 욕먹는 영상인줄알고 
깜놀
희관이가 욕먹는 영상이였구나",Vj4cr2Ijm6U
@studiokuho,1,지렸네,Vj4cr2Ijm6U
@윈펀치17대1,1,"정말 노력하는 배우^^
이쁘시기도 하고.... 작품에서 많이 뵀음 좋겠는데..^^",Vj4cr2Ijm6U
@kyjelee52495,1,"정리는 하고 투구해야하니까
ㅋㅋㅋ",Vj4cr2Ijm6U
@베지터Z,1,엄청 이쁘네,Vj4cr2Ijm6U
@aldnjs0410,1,개념시구에 ㅋㅋㅋ 텐트치노  선수 ㅋㅋㅋㅋ,Vj4cr2Ijm6U
@TheSundknahs,1,나 뭐지 보다가 나도 모르게 아 뛰발 했네,Vj4cr2Ijm6U
@이호진-h9c,1,설인아 향기 나는데 어찌 거기 안움직이노,Vj4cr2Ijm6U
@갱준이,1,우리 희관이 나쁜생각 했구나 ㅋㅋㅋ,Vj4cr2Ijm6U
@현준-v5u,1,하아 참 그르타,Vj4cr2Ijm6U
@상어티비happy,72,김종호 바베큐 소스에 미쳤냐❤,b4vLTTPLXgs
@홍영욱-k3s,13,볼 컨트롤은 진짜 재능의 영역이라 어쩔 수 없음 ㅠㅠ,b4vLTTPLXgs
@ze-zed,3,손흥민 선수는 원래 퍼스트 터치가 좋은 선수가 아니라서..,b4vLTTPLXgs
@조두순조강현조국,2,손창민 터치는 월드쓰레기급임 ㅇㅇ,b4vLTTPLXgs
@X_Rimuru77-_-77Tempest_X,1,"이름이 외? 
질이야?",b4vLTTPLXgs
@애무부장관-e4p,1,"역대는 베르캄프,지단 아님?",b4vLTTPLXgs
@keybaeglee8442,1,"손흥민을 왜여기에 끼는거냐
이피엘 퍼스터치 하위 5위안에드는 
고질병가진앤데",b4vLTTPLXgs
@noisia4515,1,"퍼스트터치 탑2는 마레즈랑 지단
마레즈보다 뛰어난 선수 여태 못봄
그나마 마르셀루나 호나우지뉴가 비슷한 수준이라고 생각함",b4vLTTPLXgs
