comment_author,comment_likes,comment_text,video_id
@rifandaazzahra4078,8,"tws always has its own characteristics.I really like their songs, they cheer me up.",Csaj3X6PKxY
@utb-4207,8,2:59 여기 너무 좋음….. 음원엔 안 들어간게 진짜진짜 아쉬울정도임,Csaj3X6PKxY
@hanifahisna13,7,"Ayo semangat sai menuju 4,5 M",Csaj3X6PKxY
@godrara1,7,노래 너무 잘뽑았다,Csaj3X6PKxY
@바람가을-d4l,7,컴백 소문 듣고 안티들이 또 활동시작했네..쯧쯧,Csaj3X6PKxY
@HAYEONKO,7,옆집 모안데 투어스 음색 너무 치이네요..♥ 이런 청량 너무 사랑합니다ㅠ 투어스 화이팅!!♥,Csaj3X6PKxY
@sunitajain3183,6,"i hope they never stop making songs with this concept , its theirs now ❤",Csaj3X6PKxY
@manishaseervi6440,6,"The bright youthful and energetic vibe that TWS brings each time with a new song is their trademark if it's TWS you know it will refreshing TWS music has a ability to make even the saddest lyrics into something vibrant and happy vibes within it even this time too they music sound is reflected in 
each track  but the songs are distinct and well  connected with each other TWS music makes you feel emotions we experience in our lives not too complicated but rather clear and beautiful 🩵💫",Csaj3X6PKxY
@utb-4207,6,3:09 이경민 개웃기고 개겸…,Csaj3X6PKxY
@dlsrbb,5,코디 상 줘라,Csaj3X6PKxY
@StrayKidsTheFutureofKpop,5,"TWS IS THE BEST GLOBAL, KPOP, JPOP AND POP BOY GROUP EVER",Csaj3X6PKxY
@rk-jhC,5,지금 시험기간인 42들 모두 화이팅!!틈틈히 쉬면서 스밍하자구요,Csaj3X6PKxY
@희동이네,5,영재야 인간적으로 인트로 너무이쁜거아니냐...,Csaj3X6PKxY
@MiauwNyawJiYoSahi13,4,Ku ulang2 terus lagunya enak banget. Sampe nangis terharu aku. Apalagi pas bagian Youngjae nyanyi. Suka banget,Csaj3X6PKxY
@g_g-b7d,4,"청량의 신, 청순의 대명사, 청춘 그 자체 투어스 사랑해,,,,,,,,🩵",Csaj3X6PKxY
@putuintanadindaputri4296,4,whooaaa jihoon voicee 🥺🥺❤️,Csaj3X6PKxY
@노아-n4j,4,마따뛰 가자악!!!,Csaj3X6PKxY
@seohooob,4,THIS IS SO FUN TO WATCH,Csaj3X6PKxY
@AiebdOe,4,Tws is the best,Csaj3X6PKxY
@美美-r6g,4,"絶対に今回は1️⃣位あげたい😭
みなさん頑張りましょう！！！",Csaj3X6PKxY
@Realrice_bob,228,"억지 바이럴식으로 띄워주는 느낌이 아니라 정말 성장 서사 한편 본 거 같은 기분이라서 호감임. 도파민으로 알고리즘 타다가 유퀴즈로 얼굴을 알리고, 그걸 본 지디가 섭외해서 대중들의 이목이 집중되어있던 본인 콘서트에서 띄워준 과정이 감동적임 앞으로 더 잘 됐으면. 윙도 지디도",dtJ9j8grYHk
@sipory,165,진짜 멋있다 윙은 말할 것도 없고 재능 있고 열심히 하는 아티스트 본인 콘서트에 직접 섭외해서 스포트라이트 몰아주는 지디도 너무 멋있네.. ㄹㅇ 자기 분야를 사랑하고 본인처럼 천재성 보이는 후배들 잘되길 바라는듯,dtJ9j8grYHk
@dkalduTejstkfka,161,지디 참 멋있다 저 아티스트에게 멋진 콘서트를 함께할 기회도 주고,dtJ9j8grYHk
@Roy-n8m,127,"실제로 봤을때 진짜 압도되고 장난 아니었음 ㅠㅠ 윙도 너무 최고였고 거기에 핱브 말아주는 지디도 미쳤어서 반응 난리였음 ,,,,",dtJ9j8grYHk
@iiu8528,114,지디 콘서트는 게스트 단독무대 없는데   진짜 멋있네요,dtJ9j8grYHk
@조예서10,104,지디 바이럴과 윙의 진정성이 만난 결과: 인급동 1위 ㄷㄷ,dtJ9j8grYHk
@8abc8-l7m,86,지용이형 윙님 멋지십니다 화이팅입니다,dtJ9j8grYHk
@Bang_Manito,56,"양일콘 모두 다녀왔는데 관객들 소리에 집중하느라 조용한데 웅장하게 비트박스 사운드가 퍼지다가 관객들 감탄터지면서 핱브 전주 나오고 지드래곤 베이베~~나오는데 다들 도파민 미쳤었음ㅋㅋㅋㅋ
첫 콘때 세상을 흔들어로 인트로도 너무 좋았어서 나중에 세상을 흔들어 콜라보도 해주셨으면..😆
+ 앙콘하면 또 콜라보 기원해봅니다🫶🏻
(그리고 윙님 실력도 엄청나시지만 옆에서 열심히 서포트 해주시는 매니저분이 계셔서 둘의 시너지로 이런 좋은 결과들이 따라온듯👍🏻)",dtJ9j8grYHk
@g_power8,47,재능있고 열심히하는 사람과 그 사람을 알아봐주고 도움을 주려는 사람 두 분 모두 멋있음,dtJ9j8grYHk
@Ellie-mv7nm,41,둘다 멋지고 이런 판 만들어준 지디는 보법이 다른거 같다,dtJ9j8grYHk
@옹잉-o2b,36,인급동 1위가 다 말해준다,dtJ9j8grYHk
@hwkj-b8u,31,지디와 윙님 진짜 멋졌어요 콘서트에서 직접들을수 있어서 무한감동이었음❤❤,dtJ9j8grYHk
@selee2004,29,아 다시봐도 그날 생각난다 ㅠㅠ 내 핱브 ㅠㅠ 또 가고싶다 권지용 콘서트,dtJ9j8grYHk
@tp_0410,28,지디는 아티스트 그자체고 윙님도 사운드 ㅎㄷㄷ 함 ㅋㅋ 콜라보가 하나의 문을 연가같은 느낌 길을 개척하네,dtJ9j8grYHk
@Naueiiy,27,"이 무대 진짜 레전드였어요❤ 
지디의 안목 역시 대단하네요..
지디&윙 미친천재들의 조합👏🏻👏🏻",dtJ9j8grYHk
@행복하개-y2d,19,와 인급동 1위❤,dtJ9j8grYHk
@미니밍-o6z,14,진짜 대단하더라 전참시에서만 봐도 멋있음,dtJ9j8grYHk
@daisy_HHHH,13,"지디 첫콘에서 25곡 부르고, 막콘에서는 24곡 불렀어요. 윙님에게 시간 내어준 지디님 역시 천재는 또 다른 천재를 알아보는 법이죠 두분 정말 감동적인 무대였어요 🙏",dtJ9j8grYHk
@iceice-w4o,12,지디야❤,dtJ9j8grYHk
