comment_author,comment_likes,comment_text,video_id
@ВіталійСвятий-ф7н,1,"I never liked this part and now it's even worse and even easier, it sucks, I hope they don't go to Morrowind with their crooked. hands",wFJ3PZuAjK4
@bryneg2664,1,"My god, all the simps are going nuts today. Chill out and watch the reviews from non-shill reviewers ffs.",wFJ3PZuAjK4
@D4rkKn1ght311,1,Horse armour DLC is still a thing in 2025. Nice throwback for old fans from 2006.,wFJ3PZuAjK4
@Fatsaver,1,Unreal Engine slop,wFJ3PZuAjK4
@agucci,1,"Will it have ""Oblivion NPCs"", though? 😅",wFJ3PZuAjK4
@N5O1,1,"so basically, Bethesda killed Skyblivion, instead of hiring the team or working with them as outsourced?
""here, some keys for our new game that we giving for free with Xbox subscription, for taking people hyped up all these years""",wFJ3PZuAjK4
@a-white_owl-,1,"1:35 ""RRRememba the Emperahh"" caught me off guard 😂",wFJ3PZuAjK4
@matthewh8005,1,Oblivion was better than Skyrim in every way... but the price of this for a 20 year old game is downright fucking insulting!,wFJ3PZuAjK4
@Sharkzzizzi,1,Remember. No korean,wFJ3PZuAjK4
@syroleelane2794,1,"Great idea, love Elder Scrolls, but why on earth Oblivion?? It was one of the most repetitive games in the whole offline series. Why not MORROWIND? That was the part with the best story, great as Lord of the Rings and a cool finale. Why not remake THAT? Makes me sad! I hope they do it, too. Can´t understand that decision so far...",wFJ3PZuAjK4
@phamvancuong8949,1,"Why are you making this instead of TES 6? Knowing full well Skyblivion is about to finish? I don't even mad, i just can't look at Bethesda the same way anymore.",wFJ3PZuAjK4
@VonArmagedda,1,"Gotta be honest, I wasn't expecting this, I didn't need this, but I'm kinda happy this happened",wFJ3PZuAjK4
@sameerahmadbalaganur8958,0,I read that lV two times... Just verify it isn't Vl,wFJ3PZuAjK4
@IslomovJabor,0,I learned more in 10 minutes than hours of Googling,wFJ3PZuAjK4
@얼음병정,0,"Don't hate Korea, Todd",wFJ3PZuAjK4
@Elitetacophd,0,"This needs to get psvr2 treatment, and By Talos skyrim does as well",wFJ3PZuAjK4
@commanderkorra3316,0,Funny enough I was replaying the 360 version to re-earn all the achievements as I lost my old original profile. Funny timing.,wFJ3PZuAjK4
@chikatilich-u4w,0,LETS GOOOOOOOOOOOOOOOOOO!~,wFJ3PZuAjK4
@JasonMchugh-u7u,0,I learned more in 10 minutes than hours of Googling,wFJ3PZuAjK4
@gokmg,0,한국 지역락 이유를 해명하라~ 한국 지역락 이유를 해명하라~ 한국 지역락 이유를 해명하라~,wFJ3PZuAjK4
@pieterindapore,1,Who needs this? Get back to work on VI!,Ed_E2crglcw
@TuyếtLanTrần-c9f,0,I ve had this on repeat all day,Ed_E2crglcw
@sent3nza,0,"47yo, but how many memories I got from this game. How many hours lived in another world and I would like to come back there and replay anything",Ed_E2crglcw
@KartikJena-y3r,0,I can t stop smiling watching this,Ed_E2crglcw
@MariameTraoré-w1j,0,This deserves way more views. Absolutely underrated,Ed_E2crglcw
@MitchussonHoen,0,The editing is top-tier. Seriously impressive,Ed_E2crglcw
@tonitapatar3683,0,I ve had this on repeat all day,Ed_E2crglcw
@htsxh-r8f,0,This is going straight into my favorites playlist,Ed_E2crglcw
@WontjisPentvox,0,Who else is here before this blows up,Ed_E2crglcw
@jaquillian,0,My favorite game of all time! I am beyond excited to enter the world of Cyrodiil (and is some ways my childhood) again,Ed_E2crglcw
@QwEr-v9t8w,0,This is going straight into my favorites playlist,Ed_E2crglcw
@Cornughon,0,Talking about all those technical advancements... So why no native HDR-support?,Ed_E2crglcw
@j4ybb,0,"lowkey teared up when the game launched and the cinematic played, og es4 was my first real rpg i got into",Ed_E2crglcw
@DeepakRawat-je5in,0,Can we all agree this creator deserves more recognition,Ed_E2crglcw
@Olyaseteykina-u4m,0,Oblivion meant so much to me at such a crucial time in my life. Hearing that menu music hit again for the first time in years brought back a lot of those feelings. I'm smiling like a kid again diving back into it.,Ed_E2crglcw
@PaienLapierre,0,That transition at 3:12 was chefs kiss,Ed_E2crglcw
@Mets_xx_Fan_01,0,I liked the movie death of a unicorn I thought it was a good movie and I want people to see it,Ed_E2crglcw
@SophieGagnon-w3p,0,There’s something so unmistakably Todd Howard about dropping a long-awaited game on a random Tuesday morning right after a long holiday weekend. Absolute power move.,Ed_E2crglcw
@Miresgaldir,0,Massive kudos to you! This is elderscrolls done properly,Ed_E2crglcw
@EbcguiamGskuxtia,0,Pure talent. No words,Ed_E2crglcw
@Fatsaver,1,Unreal Engine slop,kk5cymSWmqo
@aidencampbell9120,0,"Who wants to bet some clown is gonna be like ""Starfield bad don't support Todd durrrrrr""

Eff them Oblivion is the sh*t and I bought it.. I norm torrent games to try first but not my childhood.",kk5cymSWmqo
@Kardfogu,0,"Thanks, but no thanks. I don't want today's bethesda to even touch the good games of the old times.

I've got my GOG copy of Oblivion and will keep playing that modded.",kk5cymSWmqo
@usrevenge,0,"They apparently kept the creation engine but can use unreal 5 for visuals and probably other stuff.

That is huge. And it bodes well for es6 and the next skyrim remaster.",kk5cymSWmqo
@ManoloCIA,0,Generic RPG with -80% saturation and +50% brown filter.,kk5cymSWmqo
@DrakeNocturn,0,what about sky blivion!,kk5cymSWmqo
@Longwittyusername,0,"Todd Howard: ""When... you think about the Elder Scrolls... to us it goes beyond... Game Franchise™""
Todd Howard continuing this thought inside his head: "" _It's also about all that sweet sweet microtransation dlc money, did you know we made more money selling horse armor in oblivion that the entire first 2 years of skyrim sales?_ """,kk5cymSWmqo
@lemonborn,0,"people playing teso wen OBIV;RE COME OUT ALL 4 OF THEM; 'OBviousli, REE!!!!!!!!!!!!!!!!!!! get f'd an D.I.E Innovate ur carbon, it MUST be closer to 0 ELDER SCROTUM online; GAMME sav pppp from [E_p",kk5cymSWmqo
@QuếLinhKhúc,0,You just earned a new subscriber,kk5cymSWmqo
@Flip-Da-Script,0,Bah...if its anything like the remake of Skyrim dont hold your breath.,kk5cymSWmqo
@gokmg,0,한국 지역락 이유를 해명하라~ 한국 지역락 이유를 해명하라~ 한국 지역락 이유를 해명하라~ 한국 지역락 이유를 해명하라~,kk5cymSWmqo
@TeddyBroyles-b6m,0,I ve had this on repeat all day,kk5cymSWmqo
@Ballinout30,0,Bethesda trying to save their company😂😂😂,kk5cymSWmqo
@Packtouchdown,0,I was going to get a job but then this game came out goodbye cruel world hello Tamriel,kk5cymSWmqo
@arclightphoenix915,0,why do you do this instead of elder scrolls 6?,kk5cymSWmqo
@RN2000C,0,the graphics are soo good. if only eso looked the same or similar,kk5cymSWmqo
@pelvist,0,Looks like theyre really banking on selling a lot of this cash grab of the second worst Elder Scrolls game.,kk5cymSWmqo
@Olyaseteykina-u4m,0,"So much emotion I can't process, gonna go cry as I spend $60 to relive my childhood. Hey, can y'all do Morrowind too? I'd loose my shit if that were to leak or be announced!",kk5cymSWmqo
@MedleyRunStone,0,Merci pour ce cadeau 🎁 🔥🔥🔥,kk5cymSWmqo
@Illvester42,0,"one of the most legit remasters ever, not just hd textures",kk5cymSWmqo
@RmmaToao,0,I didn t expect to love this as much as I do,9QABNfDhSxs
@a.i.privilege1233,0,Where is the writing in Hollywood?,9QABNfDhSxs
@kansỏdj,0,"Came for the thumbnail, stayed for the vibes",9QABNfDhSxs
@KabjzJanudg,0,That part at 2:45 Instant goosebumps,9QABNfDhSxs
@wbwbana,0,That transition at 3:12 was chefs kiss,9QABNfDhSxs
@SophieRyan-g6m,0,The way you explained this is SO clear. Thank you,9QABNfDhSxs
@hbuggut,0,That part at 2:45 Instant goosebumps,9QABNfDhSxs
@yssgoshzhj,0,This video randomly popped up and I m glad it did,9QABNfDhSxs
@bdsd-j1h,0,You just earned a new subscriber,9QABNfDhSxs
@bakaiahbbajaiah1227,0,Your consistency is inspiring—keep going,9QABNfDhSxs
@BenjaminGomez-g6e,0,This is going straight into my favorites playlist,9QABNfDhSxs
@GzgHhz,0,Mood instantly lifted. Thank you for this,9QABNfDhSxs
@fgnf-n5n,0,Algorithm finally did something right,9QABNfDhSxs
@SudhaThakur-r8h,0,This is going straight into my favorites playlist,9QABNfDhSxs
@gurvr-h3b,0,This video randomly popped up and I m glad it did,9QABNfDhSxs
@TeohdGsubx,0,Can we all agree this creator deserves more recognition,9QABNfDhSxs
@NasbederZaheder,0,That transition at 3:12 was chefs kiss,9QABNfDhSxs
@VickyVc-w1k,0,This video randomly popped up and I m glad it did,9QABNfDhSxs
@SeanhMotters,0,That transition at 3:12 was chefs kiss,9QABNfDhSxs
@CallenderRogel,0,I didn t expect to love this as much as I do,9QABNfDhSxs
@nickcullensic764,2,People still thinking WWE is a concert or something😂,cL3GIEPWink
@minyirishs1331,2,This rivalry is too soon :( we all know Randy won't win it this early into the run,cL3GIEPWink
@cjay6664,2,It's so wierd seeing cena as the heel and randy as a face lol,cL3GIEPWink
@existence...,2,11:32 😂😂😂 this was soo funny 🤣,cL3GIEPWink
@RayGarza-u2r,1,im so happy my pick John Cena winning the elimination chamber tying Triple H's record 4 chambers matches wins then going on to WrestleMania 41 defeating Cody Rhodes to become the greatest champion goat of all time becoming a 17 time WWE Undisputed world champion surpassing Ric Flair's 16 world record John Cena truly is the goat of WWE the last real champion he now stands alone with more World titles than anybody I love John Cena I always liked him growing up I also love Randy Orton too if they do wind up making Cena versus Orton at backlash before the WWE Undisputed championship I hope Randy Orton becomes 15 time world champion,cL3GIEPWink
@wavezone101,1,"11:16
Am I the only one who heard one of the fans said:
""Shut the hell up""",cL3GIEPWink
@DestinyIjubuaku,1,wow 4 million views in 24 hours,cL3GIEPWink
@ScottWaa,1,"Your boos mean nothing to me, I've seen what makes you cheer! - Rick",cL3GIEPWink
@Ali-o9x1z,1,Bro❤,cL3GIEPWink
@aa-vc1tw,1,"Listen, friends, I have experience in freestyle wrestling. There will be confrontations between John Cena and Randy Orton for the title, and the winner is John Cena, and Randy Orton will not win the WEE title, and you will remember my words. 2025",cL3GIEPWink
@shehzaadful,1,RKO to John cena after 8 yrs,cL3GIEPWink
@hattoukftw8629,1,It's time to let John cena have his revenge by slapping the referee to lose by DQ or use the rops for leverage to pin Randy,cL3GIEPWink
@F2P-efootball,1,Lot more information in there as well 😂 Pat ❤,cL3GIEPWink
@rull129,1,saying please as a heel.. we know you will always be a face,cL3GIEPWink
@MridulKumar-blog,1,cena vs randy orton dream matche ❤,cL3GIEPWink
@SHOWBIZOLLIE,1,Randy will have more wwe titles than cena if he doesn’t get injured,cL3GIEPWink
@Aazib_Warriors,1,Watching it live was already crazy enough but damn Randy Orton is crazy asf,cL3GIEPWink
@drhunter3789,1,12:31  Brock Lesnar laughing at the corner😂,cL3GIEPWink
@jack-j4l8d,1,Randy Orton is better than Roman reigns,cL3GIEPWink
@Herrera11,1,"I can't wait to see what a heel Cena will do to Randy's family, given all Randy did to John's when he was a face.",cL3GIEPWink
@kurzgesagt,481,Go to https://brilliant.org/nutshell/ to dive deeper into these topics and more with a free 30-day trial + 20% off the premium subscription! This video was sponsored by Brilliant. Thanks a lot for the support!,NYNBAxDfgrY
@lubomirkubasdQw4w9WgXcQ,1,Massive?,NYNBAxDfgrY
@ATFPredator,1,"Well you taught me to NEVER time travel, again..... based on how awful it could turn out to be.",NYNBAxDfgrY
@tskmaster3837,0,"Just knowing that in hundreds of millions of years homo sapiens will claim it all was intelligently design by ""god"" for them ""6000 years ago"" makes it all worth it.",NYNBAxDfgrY
@PhươngThanhTăng-i7d,0,This deserves way more views. Absolutely underrated,NYNBAxDfgrY
@kitty-is-witty,0,I loved this one so much. The last version was the most surprising,NYNBAxDfgrY
@nomekop777,0,Astroneer dev team watching this: 😮😮😮😮,NYNBAxDfgrY
@phenel,0,"you return to your time and bring with you, the most devastating plague the world has ever seen. it rips through the current landscape, killing every species. you bring the final extinction. YOU ARE THE GREAT FILTER.",NYNBAxDfgrY
@etamgolda,0,I learned more in 10 minutes than hours of Googling,NYNBAxDfgrY
