video_id,title,channel,category_id,category,views,likes,description,tags,url,published_at,comment_count,country
6D1yFt1Uook,Brawl Talk: A NEW BRAWLER RARITY?!,Brawl Stars,0,전체,9445530,412498,"🤯 An ULTRA LEGENDARY Brawler Rarity?
👘 2 new Brawlers: a deadly geisha and a terrible karaoke singer! 🎤
🦖 A Brawl MOBA?!
🔥 8 new Hypercharges
🍣 New Skins, new Game Modes, new Event, and more!

FREE GIFT: https://supr.cl/brawl-freebie 🎁

#BrawlTalk #BrawlStars #KatanaKingdom

Download NOW!! ►► https://supr.cl/2K62CZG
Subscribe!! ►► https://supr.cl/subscribe","brawl stars,mobile game,mobile strategy game,mobile rpg,mobile battle royale,battle royale,supercell game,brawl talk",https://www.youtube.com/watch?v=6D1yFt1Uook,2025-04-19T15:00:10Z,54998,US
RKZPMyAvEXs,Fortnite Galactic Battle Teaser Trailer,Fortnite,0,전체,1089822,51637,"An all new Star Wars themed Season arrives soon, drop in for Fortnite Galactic Battle on May 2, 2025.

Play Fortnite Battle Royale, the completely free 100-player PvP mode. One giant map, A Battle Bus, Last one standing wins. ESRB Rating: Teen with Violence.

Instagram: https://www.instagram.com/fortnite/​
Twitter: https://twitter.com/FortniteGame​
Facebook: https://www.facebook.com/FortniteGame/​
TikTok: https://www.tiktok.com/@Fortnite

Learn More: https://www.epicgames.com/fortnite/en-US/home",yt:cc=on,https://www.youtube.com/watch?v=RKZPMyAvEXs,2025-04-20T02:27:10Z,4825,US
2C6omXxIcyE,"$1 vs $25,000 Build Challenge",MrBeast Gaming,0,전체,5386943,191165,"These builds are insane
Go try the new Feastables Birthday Cake Batter Bar, available only at Walmart, 7-Eleven, Kroger, and Albertsons locations across America  👉🏻 https://fstbls.com/5mj6dv

SUBSCRIBE OR YOU'LL HAVE BAD LUCK

New Merch - https://mrbeast.store/

Join our discord server for your chance to compete in future Minecraft challenges!
https://discord.gg/mrbeastgaming

Check out Viewstats! - https://www.viewstats.com/

For any questions or inquiries regarding this video please reach out to chucky@mrbeastbusiness.com

Thanks to Uplift Desk for the desks! Check them out at https://www.upliftdesk.com/
----------------------------------------------------------------
follow all of these or i will kick you
• Facebook - https://www.facebook.com/MrBeast6000/
• Twitter - https://twitter.com/MrBeast
•  Instagram - https://www.instagram.com/mrbeast
--------------------------------------------------------------------",,https://www.youtube.com/watch?v=2C6omXxIcyE,2025-04-19T16:00:01Z,6175,US
9mEhaQQ0C8Y,"#6 TIMBERWOLVES at #3 LAKERS | FULL GAME 1 HIGHLIGHTS | April 19, 2025",NBA,0,전체,2347650,24527,"The Timberwolves ended the game on a 16-4 run to defeat the Lakers, 117-95. The Timberwolves were led by the 25 points and 9 rebounds and 3 three pointers from Jaden McDaniels, as Naz Reid (23 points) and Anthony Edwards (22 points, 9 assists) combined to add 45 points. The Timberwolves knocked down a Playoff franchise record 21 3PM in the win. The Lakers were led by Luka Dončić, who had 37 points and 8 rebounds and 5 three pointers. The Timberwolves lead the series 1-0.

Never miss a moment with the latest news, trending stories and highlights to bring you closer to your favorite players and teams.
Download now ➡ https://nba.smart.link/NBAApp-YTDes

Subscribe to the NBA: https://on.nba.com/2JX5gSN","Basketball,G League,NBA,game-0042400161",https://www.youtube.com/watch?v=9mEhaQQ0C8Y,2025-04-20T03:22:07Z,6280,US
qjcQpic8r3U,WILD COMEBACK 🔥 Celta Vigo vs. Barcelona | LALIGA Highlights | ESPN FC,ESPN FC,0,전체,699410,10556,"Watch these highlights as Barcelona takes down Celta Vigo 4-3, after Raphinha’s penalty goal in the 97th minute, holding Barca at the top of the LALIGA table. Celta Vigo’s goals all came from Borja Iglesias’ hat trick, while Barca’s goals came from Ferran Torres, Dani Olmo and a brace from Raphinha.

✔ Subscribe to ESPN+: http://espnplus.com/soccer/youtube
✔ Subscribe to ESPN FC on YouTube: http://bit.ly/SUBSCRIBEtoESPNFC",,https://www.youtube.com/watch?v=qjcQpic8r3U,2025-04-19T16:40:26Z,1891,US
twUFbqyul_M,Ash Again / Gawr Gura x Casey Edwards,Gawr Gura Ch. hololive-EN,0,전체,1560935,246848,"Vocals by Gawr Gura
Music & Lyrics written and produced by Casey Edwards

Animation Directed by Mazu
Key animations: Mazu, Artior
Colors and inbetweens: Kuro Lee
Special Thanks: You","ホロライブ,hololive,ホロライブプロダクション,hololive production,ホロプロ,Gawr,Gura,がうる,ぐら,hololive English,holoEN,hololive Myth,holoMyth",https://www.youtube.com/watch?v=twUFbqyul_M,2025-04-20T00:45:44Z,20518,US
x0O0yTd8L-8,Audience member Max Fox’s SPONTANEOUS audition gets him a GOLDEN BUZZER! | Auditions | BGT 2025,Britain's Got Talent,0,전체,1330769,19957,"He really did it his way!

Max Fox waited 19 years for this moment. After shooting his shot and asking Simon for the chance to audition (whilst sitting in the audience!), the local singer seized the moment and blew the Judges away with his performance of 'My Way' – bagging himself Amanda's Second Golden Buzzer!

See more from Britain's Got Talent at http://itv.com/BGT

SUBSCRIBE: http://bit.ly/BGTsub
Facebook: http://www.facebook.com/BGT
Twitter: http://twitter.com/BGT
Instagram: https://www.instagram.com/bgt/
TikTok: https://www.tiktok.com/@bgt","britain's got talent,britains got talent,talent,bgt,ant and dec,ant,dec,simon cowell,alesha dixon,amanda holden,got talent,bgt auditions,bgt judges,britains got talent auditions,british talent show,ant and dec on bgt,Great Britain,amazing auditions,Talent Show,Bruno,UK,Susan Boyle,Series 18,BGT 2025,Britain's Got Talent 2025,BGT Series 18,KSI,Mr Beast,Sidemen,Logan Paul,Impaulsive,SidemenReacts,MrBeast,Beast Reacts,Max Fox,Surprise act,audience",https://www.youtube.com/watch?v=x0O0yTd8L-8,2025-04-19T19:04:52Z,2897,US
pTfN28TR-SY,SIDEMEN AMONG US: PRISON BREAK EDITION,MoreSidemen,0,전체,2864581,112248,"🍗: Order food NOW at: https://www.eatsides.com/
🎥: Access exclusive content at: https://www.sideplus.com/
🍹: XIX Vodka: https://www.xixvodka.com/
👉🏻: Subscribe to our Reacts Channel: https://www.youtube.com/SidemenReacts 👈🏻
👕: Sidemen Clothing: https://www.sidemenclothing.com
📸: Sidemen Instagram: http://www.instagram.com/Sidemen
🐤: Sidemen Twitter: http://www.twitter.com/Sidemen
🃏Hot House Games: https://www.hothousegames.com/

▶️ SIDEMEN ◀️

🔵 JOSH (Zerkaa)
● http://www.youtube.com/Zerkaa
● http://www.youtube.com/ZerkaaPlays
● http://www.instagram.com/Zerkaa
● http://www.twitter.com/ZerkaaHD

🔴 HARRY (W2S)
● http://www.youtube.com/W2S
● http://www.youtube.com/W2SPlays
● http://www.instagram.com/Wroetoshaw
● http://www.twitter.com/Wroetoshaw

🔵 VIK (Vikkstar123)
● http://www.youtube.com/Vikkstar123
● http://www.youtube.com/Vikkstar123HD
● http://www.youtube.com/VikkstarPlays
● http://www.instagram.com/Vikkstagram
● http://www.twitter.com/Vikkstar123

🔴 JJ (KSI)
● http://www.youtube.com/KSI
● http://www.youtube.com/KSIOlajidebtHD
● http://www.instagram.com/KSI
● http://www.twitter.com/KSIOlajidebt

🔵 TOBI (Tobjizzle)
● http://www.youtube.com/TBJZL
● http://www.youtube.com/Editingaming
● http://www.instagram.com/Tobjizzle
● http://www.twitter.com/Tobjizzle

🔴 ETHAN (Behzinga)
● http://www.youtube.com/Behzinga
● http://www.youtube.com/Beh2inga
● http://www.instagram.com/Behzingagram
● http://www.twitter.com/Behzinga

🔵 SIMON (Miniminter)
● http://www.youtube.com/Miniminter
● http://www.youtube.com/MM7Games
● http://www.instagram.com/Miniminter
● http://www.twitter.com/Miniminter

Edited by @chipfat","sidemen,moresidemen,miniminter,ksi,zerkaa,behzinga,tbjzl,vikkstar,wroetoshaw",https://www.youtube.com/watch?v=pTfN28TR-SY,2025-04-19T18:15:05Z,4628,US
GTAGFUy25J4,I did redstone for the Minecraft Movie,Mumbo Jumbo,0,전체,1128135,86924,"In this Mumbo Jumbo Minecraft redstone video, Mumbo takes a look at all of the redstone contraptions he built for Mojang Studios  'a Minecraft Movie' directed by Jared Hess and starring Jack Black, Jason Momoa, Emma Myres, Danielle Brooks and Sebastien Hansen. These Minecraft movie builds range from small redstone contraptions, to giant walking robots. 

Filming channel: https://www.youtube.com/user/ThatMumboJumbo2
Instagram: https://www.instagram.com/officialmumbo/
Twitter: https://twitter.com/ThatMumboJumbo","Things I made for the Minecraft Movie,Minecraft Movie,Mumbo Jumbo Minecraft redstone,Mumbo Jumbo,redstone contraptions,Mojang Studios,a Minecraft Movie,Jared Hess,Jack Black,Jason Momoa,Emma Myres,Danielle Brooks,Minecraft movie builds,small redstone contraptions,giant walking robots",https://www.youtube.com/watch?v=GTAGFUy25J4,2025-04-19T19:00:24Z,2085,US
riCP9x31Kuk,Doechii - Anxiety (Official Video),IamdoechiiVEVO,0,전체,5028599,386600,"“Anxiety” Doechii

Directed by James Mackel for Adele Drive

Production Company: Adele Drive 
Executive Producers: Anthony “Top Dawg” Tiffith, Anthony Moosa Tiffith
EP: Langston Griffith-Siebens

Production Company: More Avenue
Produced by Jolene Mendes, Sophia Sabella, Pablo Feldman

Director of Photography: Nico Aguilar
Production Designer: Hensel Martinez
Choreographer: Robbie Blue
Stunt Coordinator: Robert Brown 
Creative Directors: James Mackel, Connor Tingley, Sammy McEntire, Langston Griffith-Siebens
Editor: Sammy McEntire

VFX: Pendulum
Colorist: Bryan Smaller

Featuring: Courtney Hargrett, Sydney Hargrett

Production Manager: Rachel Nagao
Production Coordinator: Megan Short
Location Manager: Ron Dabach
Production Accountant: Jessica Feder

First Assistant Director: Jonas Morales
Second Assistant Director: Damon Limbrick
Second Second Assistant Director: Jane Kim

Assistant Choreographer: Marie Spieldenner

First Assistant Camera: Connor Lambert
Second Assistant Camera: Jordan Oglesby
Loader: McKay Todd
Steadicam Operator: Chris Loh
Crane Operator: Clay Platner
Crane Tech: Ned Hurlbut
Matrix Techs: Simon Shin, Doug McCormick
VTR: Bob Mills

Chief Lighting Technician: Tony Varoula
Assistant Chief Lighting Technician: Don Davidson
Electrics: Fred Palluzi, Nick Arnold
Hyphenate Driver / Electric: Anthony Olmos

Key Grip: John Day
Best Boy Grip: Stu Brumbaugh
Grips: Sara Elia, Adam Baker, Hermexial Drexilus
Dolly Grip: Kenneth Colbentz
Hyphenate Driver / Grip: Peter Yauri

Transportation Gang Boss: Rick Antonette

Art Directors: Helen Morales, Adam Miko, Justin Brown
Set Decorator: Natalia Brito
Lead Person: Leo Arroyo
Hyphenates: Talyn LaTour, Maximo Huete
On-Set Dresser: Nick De La Rosa
Set Dresser: Drew Wall
Scenics: Danielle Manning, Anya Dikareva, Krystall Schott, Hailee Field
Shoppers: Heidy Orellana, Simone Arielle Moscovitch, Kaylinn Duffy, Alina Çelik
Graphic Designer: Mackenzie Murray, Remy Levy
Art Assistant: Dylan Dobler

Special Effects / Pyro: John Eggett

Doechii’s Team –
Assistant to Doechii: Caroline Fromm
Stylist: Sam Woolf
Styling Assistant: Juliette Hill
Makeup Artist: Chelsea Uchenna
Hair: Evalyn Denis
BTS Stills: Xavier Scott Marshall 
BTS Video: Zenzele Moore Ysaguirre

Capitol Music Group
Capitol Creative: Chase, Salomon 
Capitol Digital: Danielle Nicholson 

Dancers / Stunts / Background Wardrobe –
Costume Designer: Lisa Madonna
Assistant Costume Designers: Dani Dolinger, Justin Rose

Courtney & Sydney’s Wardrobe –
Costume Designer: Rasheeda Raines

Dancers / Background Hair & Makeup –
Key Makeup Artist & Key Body Painter: Nadia Reese Stone
Additional Makeup Artists & Body Painters: Laurel Charleston, Megan Dupuy, Morrisa Pena
Additional Makeup Artist: Elise Gehrke
Additional Hair Stylist: Gabriela Aceves

Dancer Agencies: BLOC, UTA, MSA, CTG, GO2

Principal Dancers: Peyton Matthias, Andrea Bess, Ardyn Flynt, Keera Kittles, Randi Moraga, Kaylin Motton, Hezekiah Anthony, Lucas Debiasi, Mariyah Hawkins, Gavin Morales, Selena Hamilton, Janae Holster, Anthony Ciaccio, Aysia Ianiero, Zachary Venegas, Rex Kline, Jakevis Thomason, Gabi Barra, Dyllan Blackburn, Jordyn Green, Kenneth Espiritu, Jalen Rashad, Anthony Curley, Dai Boyd, Hannah Winship, Hamly Tavarez, Angel Mammolitti, Robbie Olmos, Jaylen Pea, Augustine Perez

Ensemble Dancers: Shanie Blais, Shelby Davis, Nevaeh Eloi, Kailani Rae, Forest Lee, Davon Rashawn, Denna Thompson, Chaz Buzan, Ava Berstine-Mitchell, Tina Jarmusz, Sofie Loeken, Ally Waller, Alyssa Sniff, Matthew Kubitz, Austin Lee, Jaelyn Heath, Gregg Sainvilus, Kyndall Ash, Liv Battista, Dominique LaRaine, Preslee Tucker, Kyla Chaney, Ania Crist, Athena Cruz, Jordan Gaskin, Alexandria Schacter, Daniel Asamoah, Zion Harris, Seth Kai, Grayson McGuire, Phi Voba, JJ Allen, Caryn Mueller, Carlin Dixon, Rauf Yasit

Stunt Performers: Tyler Elliott, Joe Santos, Brian In, LK Lavecchia

Background: Marquise Smith, Martyrs Smith, Sara Salazar, Andrea Salazar, Katie Molloy, Emma Molloy, Olga Fridman, Yulia Maleko

Medics: Heidi Rodriguez, Krisztina Barabas

Production Assistants: John Bonin, Donovan Watson, Patrick Wirth, Omar Gutierrez, Luther Sartor, Joseph Steven Huegel, Cameron Robson, Jonathan Davis, Jhovanny Esparza, Daved Olivencia, Danny Mullen, Anthony Vega, Julio Almaguer, Matt Dulberg, Jeffrey Petro, Dylan Myers, Julie Nyznik, Julian Domingues, Bella Soto

Matmen: Alfredo Papadaki

Post –
Post Producer: Sammy McEntire

VFX Supervisor: Ryan Zum Mallen
VFX Producer: Damian Giampietro
VFX Creative Director: Sammy McEntire
Compositors: Victor Velasco & Diana Iatsenko
QC: Dena Zum Mallen
On-Set VFX Supervisor: Ben Kadie
Additional VFX Cleanup: Paume Post Production
Sound Design: Adam Carl

Color House: Company 3
Color Producer: Mario Castro

Special Thanks: Sony, Kodak, Panavision, Amanda Sasaki, Calvert Studios, Image Locations","Doechii,Top Dawg Entertainment/Capitol Records,Hip Hop",https://www.youtube.com/watch?v=riCP9x31Kuk,2025-04-18T15:00:06Z,21410,US
