comment_author,comment_likes,comment_text,video_id
@1leoxd1,27,"The song used is 
Subaru 
By magnus the magnus",UNalVuQeTTQ
@ashmitagoswami1952,24,Music is soo classy 💗💗,UNalVuQeTTQ
@nandanasanthosh1888,15,The guy looks like M S Dhoni,UNalVuQeTTQ
@mallikarjunmalli2992,10,My LG my pride👍,UNalVuQeTTQ
@s.jmusiclover5118,7,Who thinks that he is looking like MS.DHONI.,UNalVuQeTTQ
@premkumarsushruta,7,"Just searched it for the BGM,
Its so awesome",UNalVuQeTTQ
@nikharmaheshwari1,6,"Wow. Woahh. 
What amazing actors, creative design and script of this ad.. esp came from my other video to this ad video to comment.
Insane writing!
Love it!",UNalVuQeTTQ
@anshikakalyani8595,6,Soundtrack running in background is awesome 🥰,UNalVuQeTTQ
@myrandomdiaries6790,6,Song name. Don't reply ritviz udd gaye. It's not that one.,UNalVuQeTTQ
@rahulchakraborty1167,5,This ad gain 165m view in one month because of background music.,UNalVuQeTTQ
@sujithsohan4648,5,"Song is ""Subaru"" by MagnusTheMagnus",UNalVuQeTTQ
@anjelika917,5,You Sound so different... ❤️💪🏼🦋💪🏼,UNalVuQeTTQ
@bhushanmaghade6298,5,"Guys what's the name of the background music, liked it so much",UNalVuQeTTQ
@siddharthbharath8441,4,Guys what’s the name of the girl who comes at 0:54 min,UNalVuQeTTQ
@anmolverma6548,4,Song name,UNalVuQeTTQ
@lgbestshoppe3728,4,LG IS VERY GOOD.,UNalVuQeTTQ
@saiyannaruto9804,3,You guyz buyed views but not likes ? 😅,UNalVuQeTTQ
@vedantk6386,3,That Lady was gorgious who sees the refrigerator I never thought it will impressed me so much,UNalVuQeTTQ
@md.mahmudulhasan5001,3,It's Kunal Kapoor???,UNalVuQeTTQ
@arnold_m_xavier,2,I love LG products especially LG mobile,UNalVuQeTTQ
@Leopez02,1579,Life's Good with LG! 😊❤,OcIfbobRSbw
@Snack.Dragon,1042,Why LG make Life's Good of all times. I believe there are some alients helping LG to advance for Life's Good. Keep it up. Due to I need some best lenses VR so on counting Alient's lenses will make different.,OcIfbobRSbw
@SunitaKumari-cg7po,378,Radhe Radhe Radhe Radhe Radhe Radhe Radhe Radhe Radhe Radhe Radhe Hare Krishna 🙏🌹,OcIfbobRSbw
@max-gv9ub,231,LG stands for lucky-goldstar not life's good. I would have thought LG themselves would known this.,OcIfbobRSbw
@KajalLalawat-pf7ml,228,Om namh shivaay jii jay maa kali maa rksha krjo aapre aasre ha kripa krjo ekla soro mti mnk hase jsu veva do mti bhkt ri laaj aapre hath me he ❤jay shiv shambhoo jii  jay buolenath jii har har mahadev jii jay mahakaleshwar jii ki jay shiv shankar jii ki jay meldi maa jay bhavani maa jay durga maa  jay karyani maa jay pankyarani maa jay maa ambe maa kripa krjo aapre aasre ha mnk hasva do mti 🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻,OcIfbobRSbw
@CalebX-ey1jp,159,Beautiful film. So emotional.,OcIfbobRSbw
@lafdewalegamer,153,"I searched for this ad to watch again.❤
4 days 7M keep going.",OcIfbobRSbw
@devbpimentel1309,115,please upload it in 4k 🤞🤞🤞,OcIfbobRSbw
@SS_Gaming__539,107,Background music name plss!?,OcIfbobRSbw
@ashokchaure3049,79,"Sir kitipan thankyou bol tari pan tumche laiii upkar aahet aamchya var kharch laiiiiii bhari shikvtat...

Tqqq ttqqq mastarr..🙏💖🌍✨",OcIfbobRSbw
@ManashNayak-lz7zm,54,😊.,OcIfbobRSbw
@GanituDevi,54,Main tumhari friend hun nice bro dance so cute beautiful🙏🙏💯💯💯🇮🇳💯💯💯💯💯💯💯💯💯🚩🇮🇳🇮🇳🇮🇳🇮🇳😘😘🥰🥰,OcIfbobRSbw
@kresimirmilisa5560,51,LG is very good brand😊,OcIfbobRSbw
