category,categoryId,channelTitle,commentCount,country,description,id,likeCount,publishedAt,tags,title,url,viewCount
lge,28,LG India,140,US,"At LG, we create everything which is inspired by you and designed for you. Yes, it is resilient, passionate and perfectionist people like you that inspire us. Watch Kunal Kapoor LG promotion video to explore the unique and smart world of LG Products. Make your life good with LG India! 
#LifeIsGood #WeBetterIt",UNalVuQeTTQ,988,2020-11-28T06:45:02.000Z,"[LG brand story, LifeIsGood, WeBetterIt, Kunal Kapoor LG proamotion video, Kunal Kapoor OLED TV pramotion video, LG beyond perfection Kunal Kapoor Video, LG brand story video ad, Kunal Kapoor LG Ad Video, LG India, LG products, Life's good]",#LG Brand Story - Life’s good when we better it - LG Beyond Perfection Kunal Kapoor Video,https://www.youtube.com/watch?v=UNalVuQeTTQ,206820611
lge,28,LG Global,201,US,"At LG we don’t make Life Good.
It’s actually you who makes it so. #LifesGood 

Learn more: https://www.lg.com/lifesgood",OcIfbobRSbw,79072,2024-06-17T07:39:57.000Z,,"We don’t make life good, you do | Life’s Good l LG",https://www.youtube.com/watch?v=OcIfbobRSbw,83470985
lge,1,LG India,57,US,"We know that India ka har chef wants only the fresh…That’s why LINEAR Cooling™ refrigerators from LG. You’ll feel you got your fruits and vegetables fresh from the farm, even when stored for a long time.
FRESH KHAYE INDIA with FRIDGE OF INDIA
https://www.lg.com/in/double-door-refrigerators",gQxIKsUtZ10,1059,2019-05-20T04:17:15.000Z,"[LG, LG Linear Cooling, Linear Cooling, Refrigerator, LG Refrigerator, 14days freshness, Fresh veggies, Fridge of India]",LG LINEAR Cooling™ - Fridge of India,https://www.youtube.com/watch?v=gQxIKsUtZ10,80667094
lge,28,LG India,56,US,"In the Covid 19 times when, everything needs to be contactless and Germ -free, #LG washing machines comes with their Steam feature for 99.9% germ & Allergens-free wash. It's Direct Drive technology generated 6 Unique motion resulting in better wash performance, giving fabrics the proper care while getting clothes ultra clean. The full touch control boast a seamless and sleek design that brings a touch of sophistication to the home. 
#LG washing machine #LGCare 

Know More:- https://bit.ly/3dZr4ed",WiQ3_TzmKlo,584,2020-10-26T08:38:11.000Z,"[washing machine, Front load Washing machine., best washing machine, LG care, LG washing machine, steam technology, germs free washing]",LG Washing Machines to Keep your family protected from Germs and Allergens.,https://www.youtube.com/watch?v=WiQ3_TzmKlo,54167637
lge,1,LG UK,19111,US,"LG IPS Monitors. So Real, it's scary!
To find out more about IPS visit our blog: http://www.lgblog.co.uk

#LG #IPS #Monitors",NeXMxuNNlE8,452389,2012-10-19T14:53:28.000Z,"[scary, lift, accident, prank, crash, funny, scream, elevator, horror, lifelike, viral]",So Real it's Scary | LG IPS Monitors,https://www.youtube.com/watch?v=NeXMxuNNlE8,54003946
lge,1,LG India,19,US,"A perfect blend of Health and Purity!  Presenting LG True Water Purifier with Dual Stainless steel tank helps in maintaining freshness of water while reducing the growth of bacteria and algae. Far more hygienic than a conventional plastic tank, it ensures that water remains safe for drinking with Dual Protection Seal. https://www.lg.com/in/water-purifiers",QKpRn9T4D_s,516,2019-08-12T10:10:13.000Z,"[lg water purifiers, lg true water purifiers, water purifier, ro water purifier, lg stainless steel water purifier, water purifiers india, lg water purifier india]",Spread Love and Care with LG True Water Purifiers,https://www.youtube.com/watch?v=QKpRn9T4D_s,46339664
lge,23,LG Chile,2462,US,"Experimenta la Ultra Realidad en nuestros nuevos LG UltraHD. 
Infórmate más sobre sus características en: 
http://lgtv.cl/ultrahd/
http://www.lg.com/cl/televisores",ynvKWYvyCqw,519663,2013-09-02T17:26:46.000Z,"[Ultra High Definition Television (Employer), ultra hd, ultra reality, ultra realidad, viral lg, viral meteorito tv, job interview viral, lg tv, hidden camera, viral meteorito, meteorite viral, Viral Video (Film Genre), Ultra Realidad, meteor prank, lg meteor, lg viral, lg prank]",Ultra Reality: What would you do in this situation? - LG Meteor Prank,https://www.youtube.com/watch?v=ynvKWYvyCqw,44076176
lge,28,LG India,33,US,"This Festive Season Experience the power of Self Lit Pixels! 
Meet all new LG OLED with over 100 million of SELF-LIT Pixels. When every pixel lights by itself, what you see becomes more expressive, realistic, responsive, and artistic.
#LGOLED #SELFLITOLED #GalleryDesign 

Know More: https://www.lg.com/in/lgoled/main.jsp",GqZV3nUZSJE,544,2020-10-17T04:31:32.000Z,,Think OLED Think LG | Festive Celebrations,https://www.youtube.com/watch?v=GqZV3nUZSJE,43795802
lge,28,LG India,32,US,"Now it's not hard to make #Bowgli eat food as with LG Refrigerator's Inverter Linear Compressor, Door Cooling™, and Linear Cooling™ technology the food naturally remains fresh. LG Door Cooling™ makes the inside temperature more even and cools the refrigerator 35% faster than the conventional cooling system. This reduces the temperature gap between the inner part and the door side of the compartment; thus letting the food remain fresh for a long.

Experience the freshness of Farm picked veggies with LG Linear Cooling™ and Door Cooling™ #Refrigerators. It maintains uniform and faster cooling, its Hygiene Fresh™ feature eliminates up to 99.999% bacteria and to keep your #Food fresh for a longer duration.",OsqQwiH8I7g,471,2020-10-17T15:20:18.000Z,"[LG Refrigerator, Linear Cooling, Healthy Food, LG Bowgli film, Bowgli, healthy frozen food, healthy frozen fruits, Linear cooking refrigerator, Bowgli Ad Film, Bowgli TVC, door cooling, double door refrigerator, Fridge, refrigerator, bowgli tvc, bowgli ad, bowgli new tvc, LG Bowgli TVC, LG Bowgli AD, Lg new Tvc lg new ad, LG new ad]",Bowgli TVC: LG Refrigerators keep Bowgli Healthy Happy,https://www.youtube.com/watch?v=OsqQwiH8I7g,43770499
lge,28,LGRUSSIA,19,US,,GiS0QufQ6y0,173,2018-11-06T14:12:59.000Z,,Телевизоры LG OLED TV. Технологии совершенного цвета,https://www.youtube.com/watch?v=GiS0QufQ6y0,39537341
