comment_author,comment_likes,comment_text,video_id
@JRonGGG,7,Worst annoying song ever ffs,riCP9x31Kuk
@sebastianxavier9068,5,"I can't get over how cleverly this captures anxiety. From the actors in a loop inside the house, to breaking out of the loop and anxiety creeping back in, to the changing angles as we start to realise the loop.... there are so many layers and visual metaphors. Absolutely brilliant.",riCP9x31Kuk
@HiImAk,5,dogshit,riCP9x31Kuk
@DeVoIta,3,Found this song just to say its fuckin garbage,riCP9x31Kuk
@Syckodog,3,hate this song soo much. a cheap knock-off of an amazing song,riCP9x31Kuk
@Gujbykn,3,"Who else came here to hate
👇",riCP9x31Kuk
@Crushedlemon,3,This sucks delete this shit now you have zero musical talent i could make a better song in my bathroom with shit sounds all you can do is steal other people’s talent,riCP9x31Kuk
@paladin9599,3,I sentence you to have your favorite song be sampled by some nobody and turned into tiktok bait,riCP9x31Kuk
@JacksonZ-l2g,3,I hate this repetitive shitty song,riCP9x31Kuk
@Iamgoingtosea,2,THIS SHIT IS ASS🥀,riCP9x31Kuk
@Dani.G_German,2,Downgrade from the original,riCP9x31Kuk
@armani0504,2,This video just made me love the song more all over again 😂❤❤😍😍🤩🔥🔥💯💯💯❤❤❤,riCP9x31Kuk
@HiImAk,2,"how dare youtube hide this from me, i havent left a hate comment on this video yet",riCP9x31Kuk
@Gujbykn,2,ts buns 💔,riCP9x31Kuk
@serket5015,2,make your own music,riCP9x31Kuk
@조서현-j4m,2,"우선 주인공이 너무 이쁨~~❤❤
분위기가 꿈속 같고 색감도 좋음~~ 
계속 듣고 있어요😊",riCP9x31Kuk
@Inapainting,2,"Glad im not the only person that hates doechii and this trash ass song
The music video and her acting skills are really bad too",riCP9x31Kuk
@fieserfactsack9635,2,i dont get the attention this gets. this is neither creative nor shit enough to gather so much attention.,riCP9x31Kuk
@dj02242,2,Hey let’s do something called getting an original beat next time!!,riCP9x31Kuk
@Iamgoingtosea,1,You know i hate on things for the love of the game but this song is SO FUCKING ASS🥀,riCP9x31Kuk
@meAngelax,356,The Vandross ending was lovely.,sNY_2TEmzho
@Vida_Houston_RealEstate,42,Why am I crying? this is beautiful,sNY_2TEmzho
@PrettyInAnyColor007,25,I watch this video at least once a day. I love everything about it and the homage to Luther is amazing… true art😍,sNY_2TEmzho
@Unapologetic-x9w,12,Back after seeing their performance on tour 😍,sNY_2TEmzho
@XXXTENTACIONTHEGOAT,8,15 million views ❤🎉😮,sNY_2TEmzho
@aqustks,7,15.1 and rising!,sNY_2TEmzho
@Dami424,7,Every scene could be a fine art photograph,sNY_2TEmzho
@KristiLattimore,6,Love how she looks like Whitney ❤️❤️,sNY_2TEmzho
@dianev6180,6,award winning and evocative. so many layers,sNY_2TEmzho
@zulaychacon8935,6,The duo perfect❤,sNY_2TEmzho
@JaydenBell-k6p,5,🔥 fire,sNY_2TEmzho
@Jayson-Ex,5,We must stay focused brothers,sNY_2TEmzho
@cherisedavidson5933,5,I feel like I’m watching a black love movie.,sNY_2TEmzho
@nelson10101989,5,I’m a kbot yall 😂,sNY_2TEmzho
@jenczun,5,nice,sNY_2TEmzho
@AnnJr-zd4tz,5,"Que canción tan cool, me encanta este estilo",sNY_2TEmzho
@yrb_tayladadon,5,This is beautiful! Everlasting art🤩,sNY_2TEmzho
@izraeldominguez,4,This song skating is MAGICAL,sNY_2TEmzho
@MandyME-q1i,4,❤,sNY_2TEmzho
@Mr.DiamondMundy,4,🔥🔥🔥Banger🔥🔥🔥,sNY_2TEmzho
@GIVEMEMYWHAWHA,9,Bro these recent movies be turning Jack Black into a meme🗿,41O_MydqxTU
@justa_randomkitty,4,0:24 starts here,41O_MydqxTU
@frogginet5353,3,that blocky chicken looks absolutely delicious though i would gobble that entire thing up within 10 minutes,41O_MydqxTU
@NicolasValentin-h8p,3,"THIS IS NOT KFC, ¡¡¡¡¡ THIS IS SLC!!!!!!!!",41O_MydqxTU
@RaulFlores-Martinez,2,this part was so corny,41O_MydqxTU
@adamk-paxlogan7330,2,THIS IS AN ABSOLUTE BANGER OF A MASTERPIECE OF A SONG FACTS FR YEP INDEED WELL SAID WELL DONE FACTS FR W MOVIE AND W SONG YEP INDEED WELL SAID WELL DONE FACTS FR 🤣😂🗿🔥☕🙏👏👍👌😍🤩🎊🎉❤️,41O_MydqxTU
@SerenneRoundy-f8c,2,0:44  OoH jUiCy,41O_MydqxTU
