channelImage,channelLink,channelName,rank,thumbnailUrl,videoLink
https://i.playboard.app/p/7N7yfRN_fPIuDvW2MxnaD3kHDZqxun0_owwvdr06EsFC-6sV3XIA36ChpolKIFzCbkmh97KJuLM/100x100.jpg,https://youtube.com/channel/UC9r9HYFxEQOBXSopFS61ZWg,MeidasTouch,1,https://img.youtube.com/vi/7j-FGMGJg5o/mqdefault.jpg,https://youtube.com/video/7j-FGMGJg5o?channelId=UC9r9HYFxEQOBXSopFS61ZWg
https://i.playboard.app/p/a4bf2fe68aff2df47d2afb33070a34f4/100x100.jpg,https://youtube.com/channel/UCXIJgqnII2ZOINSWNOGFThA,Fox News,2,https://img.youtube.com/vi/VBxxMWAcsp4/mqdefault.jpg,https://youtube.com/video/VBxxMWAcsp4?channelId=UCXIJgqnII2ZOINSWNOGFThA
https://i.playboard.app/p/P49fez73t1RPPGWT9ZWx_LSho_O8i49XrcpVwxRk3GQfzEQBTUs3gH0ZLUHdzuNxQpRYuLAfSQ/100x100.jpg,https://youtube.com/channel/UCQANb2YPwAtK-IQJrLaaUFw,Brian Tyler Cohen,3,https://img.youtube.com/vi/oKaT0G9UOIM/mqdefault.jpg,https://youtube.com/video/oKaT0G9UOIM?channelId=UCQANb2YPwAtK-IQJrLaaUFw
https://i.playboard.app/p/wSqAf5WdxsGsl7ZMtlyfz3qKULo_URoFjmKky0gLThm_Jtu2wsVHMu-XzGZPAb-z8zeMBYUUMYA/100x100.jpg,https://youtube.com/channel/UCupvZG-5ko_eiXAupbDfxWw,CNN,4,https://img.youtube.com/vi/UQlqTK0poqo/mqdefault.jpg,https://youtube.com/video/UQlqTK0poqo?channelId=UCupvZG-5ko_eiXAupbDfxWw
https://i.playboard.app/p/AAUvwnhOd-eRH5QmT2sSb9578KyazbJXKqfDMcQn8KFzXw/100x100.jpg,https://youtube.com/channel/UCg40OxZ1GYh3u3jBntB6DLg,Forbes Breaking News,5,https://img.youtube.com/vi/jUFJKP1ywJo/mqdefault.jpg,https://youtube.com/video/jUFJKP1ywJo?channelId=UCg40OxZ1GYh3u3jBntB6DLg
https://i.playboard.app/p/2d77d34fc6c385e5c3fd5bff9a982952/100x100.jpg,https://youtube.com/channel/UCJg9wBPyKMNA5sRDnvzmkdg,LiveNOW from FOX,6,https://img.youtube.com/vi/tIzK06H-V1I/mqdefault.jpg,https://youtube.com/video/tIzK06H-V1I?channelId=UCJg9wBPyKMNA5sRDnvzmkdg
https://i.playboard.app/p/AATXAJxozAyWNRUYRfVcbsJvSQHPuCNssBdDxgsA-LnX/100x100.jpg,https://youtube.com/channel/UCUvXoiDEKI8VZJrr58g4VAw,DBC NEWS,7,https://img.youtube.com/vi/0Dg04BbuHAw/mqdefault.jpg,https://youtube.com/video/0Dg04BbuHAw?channelId=UCUvXoiDEKI8VZJrr58g4VAw
https://i.playboard.app/p/OOT0eq8LoW8V3PMURGYuk0kRSgRGP7EsuGZoODhHBcg1jCB1qkuIAxS-XGnjKX9Q6rf-WKTvkQ/100x100.jpg,https://youtube.com/channel/UCBi2mrWuNuyYy4gbM6fU18Q,ABC News,8,https://img.youtube.com/vi/HblK6VpeMeA/mqdefault.jpg,https://youtube.com/video/HblK6VpeMeA?channelId=UCBi2mrWuNuyYy4gbM6fU18Q
https://i.playboard.app/p/vPu4u1PROys8yZ4un_GBnXLPdhSzx32k7Fs9QAIxXIYE0_c_SZtEVOB05qaPFEmMLb1rGnJi2Q/100x100.jpg,https://youtube.com/channel/UCBQxpxkI2qLRAFR_6PNdwIA,Ekushey Television - ETV,9,https://img.youtube.com/vi/c22tzEn30qo/mqdefault.jpg,https://youtube.com/video/c22tzEn30qo?channelId=UCBQxpxkI2qLRAFR_6PNdwIA
https://i.playboard.app/p/AIdro_msg1XQqvO8oqAOCURr0hNzCQk4A9M9wByEyqYlzXzuv0w/100x100.jpg,https://youtube.com/channel/UCCXoCcu9Rp7NPbTzIvogpZg,Fox Business,10,https://img.youtube.com/vi/l1Q7Ue3OQCs/mqdefault.jpg,https://youtube.com/video/l1Q7Ue3OQCs?channelId=UCCXoCcu9Rp7NPbTzIvogpZg
https://i.playboard.app/p/15KD1eJocWMaSu3lHB8JBWFzzhd_FOskieO41KAYubIgduUGM8AYhl_Fu-6dq-GpmC0T_dn5/100x100.jpg,https://youtube.com/channel/UCn_uMY15GlwaPpx80-WjR6g,Occupy Democrats,11,https://img.youtube.com/vi/4M3_eFmyqoA/mqdefault.jpg,https://youtube.com/video/4M3_eFmyqoA?channelId=UCn_uMY15GlwaPpx80-WjR6g
https://i.playboard.app/p/nE7ERss6yZkFHxoWueiKPFXVtPzc3QINaTdA2Eh5oDGVXFtpZzE85UBKjv4Bkf8YH21rOzzZ18E/100x100.jpg,https://youtube.com/channel/UCvixJtaXuNdMPUGdOPcY8Ag,David Pakman Show,12,https://img.youtube.com/vi/1edgbKobGtU/mqdefault.jpg,https://youtube.com/video/1edgbKobGtU?channelId=UCvixJtaXuNdMPUGdOPcY8Ag
