comment_author,comment_likes,comment_text,video_id
@Piperrrr.piggles,516,It’s ok Kat I’m sure Deja appreciates you just the way u are❤,7wID3WVyrN8
@izziestoeshurt_xx,270,"Dont be sad, Kat! Im sure Déjà appreciates u loads 🫶🏼
The way she was doing the Pop Muzik dance is so relatable. 😂❤",7wID3WVyrN8
@stiffin13,122,"Gas pumps in the US don’t charge you more than you need.

You swipe your card first to unlock the pump, then the final total after how many gallons you put in is what’s taken from your account.

If you’re in a budget and can only spend $20 the pump attendant can set that pre paid amount for you and then you’re set and won’t get overcharged. On the other end if you only use $15 out of that $20 then the refund you $5.",7wID3WVyrN8
@Dreaminclouds315,78,YESSSS about the money magnet tip. Manifesting is REAL ❤ I manifested my beach townhouse by believing in my whole heart and soul that it would happen. And thanks for reminding me about the money magnet tip 😊❤,7wID3WVyrN8
@DonotSilver,26,Deja is so cute I love her hair ❤❤❤❤,7wID3WVyrN8
@kaiapapayaaa,9,KATTTT U DROVE BY WANNA CHILL! i wish i came to the pier i could have seen yall!!!!!!,7wID3WVyrN8
@textingtrendss,9,can’t be the only one who thought it said egg f**k.. 😭,7wID3WVyrN8
@TYLAFAN-x3b,7,Your such an amazing mum kat! I hope you had a great time and I hope déjà loved flying in business class ❤ Your so sweet for buying gifts for everyone and for not getting too mad at Déjà! ❤❤,7wID3WVyrN8
@Allie_pinnock13,3,I love 💗 how Deja is embracing her curly hair more I remember the videos when you you to do her hair in two plats,7wID3WVyrN8
@HeidiRyan-n6x,2,Omgggg that could be the most saddest and frustrating thing ever for Kat and Deja the reason for Kat is she has to pay $400 and for Deja she probably feels guilty 😢😢 love y’all ❤❤❤❤ under an hour 👇👇👇,7wID3WVyrN8
@AhamaduJalloh,1,That is not a whatever u said chicken that’s a goose,7wID3WVyrN8
@alexlugo7986,1,It’s because if people don’t pay before they’re gonna steal it,7wID3WVyrN8
@Kadie-f6o,1,Im from americaaaaaa ❤❤❤,7wID3WVyrN8
@Piperrrr.piggles,1,Deja’s face gives back off❤,7wID3WVyrN8
@Hadley1425,1,Not her doing the pop muzik trend😂😂😂😂,7wID3WVyrN8
@MonaleaGrove,1,❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤️❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤,7wID3WVyrN8
@NevaehCullipher,1,I used to pick up money off the ground but now people put dr@gs on them and leave them on purpose and those dr@gs kill you so I don’t anymore,7wID3WVyrN8
@Meadowskincarequeen,1,You are stunning ❤❤,7wID3WVyrN8
@AylaBaylaaa,1,You guys are the best I’m such huge fan of you and Deja ❤,7wID3WVyrN8
@millieee-000,1,sorry and ilysm but u probs shouldn’t share ur fights and problems u have with ur kids on the internet..,7wID3WVyrN8
@Nutellanin,12,im a 19 year old dude watching this on the gym treadmill and i fw this channel sm,tQ1irISRffU
@evaburlacu6006,2,"I relate so so much and you truly bring me peace with your videos. I am taking my exams right now and honestly I felt very overwhelmed and sad for the last couple of weeks. Your videos are the only thing that makes me enjoy my time during this studying session and it helps me so much to see how open you are when it comes to your feelings, because I have struggled with the exact same thoughts and state of mind lately. You are a breath of fresh air and I am so grateful to have found you as a creator. You are an inspiration, please keep doing what you are doing girl!",tQ1irISRffU
@olivia-ml3kv,2,Inspired me to workout today. Thank you mandy :D,tQ1irISRffU
@K1TTENZ_,1,winding up in the morning with slushy noobz and winding down at night with mandy’s vlogs is peak 🙏🙏🙏,tQ1irISRffU
@marfysings,1,miss mandy i bought four cherry blossom sonny angels because u make them look so fun :DD,tQ1irISRffU
@frog4663,1,i love you!,tQ1irISRffU
@angussmoko5639,1,"for some reason this day in my life makes me feel so validated for the little things I do all day, I just love how genuine it is :"")",tQ1irISRffU
@whatevermaann,1,19:08 I saw a tiktok pointing out how he only has 4 toes and i had to come back to see if its true WTF,tQ1irISRffU
@Molly-nx1vg,1,Somebody should just make a game for mandy to open blind boxes,tQ1irISRffU
@octopuzzi,1,mandy please do a brunch special!! (but please don't include the goblin),tQ1irISRffU
@helixbomb,1,watching your videos makes my brain feel like when the ocean sweeps footprints away off of the beach,tQ1irISRffU
@carogamez,1,Martin getting into character before even opening his eyes is hilariousssss,tQ1irISRffU
@ZoePuczynska,1,Literally my comfort YouTuber i love you Mandy <3,tQ1irISRffU
@maebyyyy,1,Get an air purifier it helps for the stuffiness especially with the pets,tQ1irISRffU
@mriuh,1,exposing chase 😭😭😭😭,tQ1irISRffU
@hayleygrace4170,1,"every video I am SHOCKED at how Mandy and I are weirdly energetically aligned! I become obsessed with Sonny Angels, she becomes obsessed with Sonny Angels. I start sewing, she starts sewing. And now WE BOTH HAVE THE SAME JELLY CAT NEXT TO OUR NESPRESSO MACHINES 🤯🤯🤯🤯🤯🤯",tQ1irISRffU
@cyrahattingh3879,1,love Mandy but why are we supporting the ordinary as well as rare beauty when you guys are in support of Palestine,tQ1irISRffU
@mactraster2382,1,why do the cats have waves,tQ1irISRffU
