comment_author,comment_likes,comment_text,video_id
@muhammadhuzaifa7051,46330,"To be exact, it took him 4.54 secs",ntirH6UQ-wU
@Syndicate060x,1,WAS THAT KAISER IMPACT!!?!??!,ntirH6UQ-wU
@EdemBright-tc5wd,1,"Ok... 
I'll do it myself 😎",ntirH6UQ-wU
@mynameispro700,1,"Bro said "" Let me cook"" 💀",ntirH6UQ-wU
@Userrrr2381,1,"Jesus Loves You, Repent And Believe In Jesus Christ Of Nazareth Amen",ntirH6UQ-wU
@Andriabuigla,1,And they still say never blame the gk ☠️,ntirH6UQ-wU
@dawson.mp4,1,This guy watched Blue Lock and made it his inspiration,ntirH6UQ-wU
@Player_421or-Epik,1,Theres 5 seconds left we can still win this! Bro did something nagi couldn't!,ntirH6UQ-wU
@sourishdesai6648,0,Bro blue lock rivals kaiser,ntirH6UQ-wU
@EmperorGilps,0,The same points?,ntirH6UQ-wU
@desertdink69,0,"I didn't score, but I did get an assist as a goalie.  With the wind at my back, the punt sailed the length of the field, had one bounce in the box, and our striker scored the ball past the opposing goalie.  Bang!",ntirH6UQ-wU
@aironmagpayo6563,0,KAISER IMPACT IN REAL LIFE,ntirH6UQ-wU
@IsaiahWalker-f9y,0,Technically that's against the rules in soccer,ntirH6UQ-wU
@KAABOOMENTERTAINMENT,0,This needs to be Nike next commercial 😂,ntirH6UQ-wU
@jaloveit1,0,"He said my ego is sniper shot I am the chemical reaction 😂😂😂😂

Blue lock good anime about soccer",ntirH6UQ-wU
@sleepambrosia8679,0,Lol i did this one time at regionals when i was young and everyone gave me their orange slices at practice for a month 😂,ntirH6UQ-wU
@rogerm4959,0,With help from the opposing goalie it was a cinche.,ntirH6UQ-wU
@PheoniX-2uP,0,"""Left everyone speechless"" Everyone starts screaming",ntirH6UQ-wU
@Sai-re5hi,0,You kept me hanging 3 times. I thought it was forever that we're not gonna see it,ntirH6UQ-wU
@caylanskyrme5071,0,Same points? It’s not points it’s goals or the same score. It’s never points.,ntirH6UQ-wU
@josemiguelrobledo756,101,¡Gracias!,y-eCcH7uaoM
@omegarussell4017,1,I think this young man has been watching money Mayweather 😂😂😂😂😂,y-eCcH7uaoM
@saltarin005,1,Gallinero has a long way to go to become men.,y-eCcH7uaoM
@carolynhughes9536,0,It was at that moment he realized he had f up,y-eCcH7uaoM
@ronaldodelmonte1760,0,Don't provoke the brother of Tank Davis!,y-eCcH7uaoM
@ronaldodelmonte1760,0,"""Hit me with your best shot"", and he got it! Don't provoke if you can't hold on!",y-eCcH7uaoM
@TonnyTownsend,0,Damn bro needs the whole  bottle of Tylenol 500mg,y-eCcH7uaoM
@andrewmwangi-v5i2l,0,p runner,y-eCcH7uaoM
