comment_author,comment_likes,comment_text,video_id
@Kritacul,1,"Just so people know. Carrie has done a few Hymnal albums and they are as good if not better then this. Goes to show when you give glory to God, it turns out much better then regular music.",ND35iZhfO5c
@Anamikapandey-h1g,1,That transition at 3:12 was chefs kiss,ND35iZhfO5c
@AsduHuibxz,0,This deserves way more views. Absolutely underrated,ND35iZhfO5c
@tektoktektok-c4p,0,Who else is here before this blows up,ND35iZhfO5c
@SrdjbgGddijb,0,That part at 2:45 Instant goosebumps,ND35iZhfO5c
@AlbanLeka-q5m,0,This is going straight into my favorites playlist,ND35iZhfO5c
@meletauhalaliku9713,0,Wow .... American Idol is amazing.,ND35iZhfO5c
@EsthoeuiNoyrnoe,0,This deserves way more views. Absolutely underrated,ND35iZhfO5c
@EricVillanueva-s3g,0,Your consistency is inspiring—keep going,ND35iZhfO5c
@TanziSimu-t9u,0,I learned more in 10 minutes than hours of Googling,ND35iZhfO5c
@ElleneJenkins,0,That part at 2:45 Instant goosebumps,ND35iZhfO5c
@delindawilliams3935,0,"Bravo! Bravo!  👏🏽👏🏽👏🏽👏🏽👏🏽
That is excellent singing. Give glory to God! 💖💖🙏🏽🙏🏽",ND35iZhfO5c
@johnwas-w7c,0,I didn t expect to love this as much as I do,ND35iZhfO5c
@MarkPollerds-m8b,0,Your consistency is inspiring—keep going,ND35iZhfO5c
@DeepakKumar-b3q6s,0,That part at 2:45 Instant goosebumps,ND35iZhfO5c
@PhilSlater-l3l,0,That part at 2:45 Instant goosebumps,ND35iZhfO5c
@DianneFeinstein-h9w,0,The way you explained this is SO clear. Thank you,ND35iZhfO5c
@AlbertaColemand,0,This video randomly popped up and I m glad it did,ND35iZhfO5c
@kateyoreltomerodgebowienunci,0,I ve had this on repeat all day,ND35iZhfO5c
@NuywLiwkw,0,Your consistency is inspiring—keep going,ND35iZhfO5c
@Vishwa324,1,Finally a we got an pov from mutant skibidi toilet . I was waiting for it .,HoS7mffQ2YQ
@MedrimovDollars,1,🎉🎉🎉,HoS7mffQ2YQ
@MeAnnonymous,1,Yes  sir finaly,HoS7mffQ2YQ
@АртурСавельев-з1з,1,👍👍👍👍👍👍👍👍👍👍👍👍👍👍,HoS7mffQ2YQ
@ravil_resa,1,Bro you make its so slow,HoS7mffQ2YQ
@treber-z6i,1,Happy birthday boom🎉,HoS7mffQ2YQ
@Vishwa324,1,Unique episode 😮,HoS7mffQ2YQ
@amandamkalipi6345,1,Absolute cinema 🖐️🗿🖐️,HoS7mffQ2YQ
@BaconPersonYT,0,This legit feels like a movie fr fr,HoS7mffQ2YQ
@charlesjoeakani7756,0,Yeah I don't think there alive and well any more 😢,HoS7mffQ2YQ
@ReyFrancis-o8o,0,✪ω✪,HoS7mffQ2YQ
@SitasaranMishra-v4w,0,The way you explained this is SO clear. Thank you,HoS7mffQ2YQ
@PatrickCollins-b3w,0,Jeffery more like Jeffrey dahmer,HoS7mffQ2YQ
@YusZarif-e4k,0,"The real epic comeback is here for TITAN TV this is the best series i see in this video
I waiting for more episode i need a good and Fire one🔥🔥🔥",HoS7mffQ2YQ
@mridulaagrahari5634,0,Insane,HoS7mffQ2YQ
@KaydenBo-y8f,0,This video randomly popped up and I m glad it did,HoS7mffQ2YQ
@nicitanicitaboom,0,Это новое поколение спикер мена ???,HoS7mffQ2YQ
@victormagante6381,0,titan camera women,HoS7mffQ2YQ
@rowenatuason152,0,It dude is so cool rock battle fight,HoS7mffQ2YQ
@隼-s8e,0,かっけぇ、,HoS7mffQ2YQ
@RealSkyDiver2,1,People say the kids run creepy yet all I can think of is Naruto🤣,I3qtHlROEuc
@s1ightlypanda,1,"""Okay, now do the scene again, but happier... and with your mouth open."" This looks amazing. Cregger is going to kill it again.",I3qtHlROEuc
@VinceGallop,1,These kids watch too much Naruto,I3qtHlROEuc
@Stepp_Playz,1,It also says that it contains R-Rated gore so very excited to see how that will be included!,I3qtHlROEuc
