video_id,title,channel,category_id,category,views,likes,description,tags,url,published_at,comment_count,country
Ld7jPMHMFBo,"최화정이 결혼 반대한 김지호♥김호진네 맛있는 집들이 (+오뎅말이,전복솥밥)",안녕하세요 최화정이에요,0,전체,461160,8048,"오늘은 세상에서 가장 청량한 미소를 가진 지호랑 츤데레 같지만 요리 잘하고 다정다감한 호진이를 만나고 왔어요😊저랑 30년 된 절친인데 여전히 알콩달콩 재미있게 살고 있더라구요. 그리고 제가 추천사를 쓴 지호의 책을 선물 받았는데요, '마음이 요동칠 때 기꺼이 나는 혼자가 된다' 정말 편하게 읽히고 동기부여가 되는 책이었어요. 댓글 달아주시면 지호가 캔디님들께 책 선물 드린대요😍서른 분께요~ 저도 생각이 많을 땐 몸을 먼저 움직여 보려구요. 오늘 당장 뭐부터 할까요? 일단 제가 좋아하는 요리하러 주방으로 룰룰루🥰❤

🎁 댓글 이벤트 참여 방법
① 영상 시청 후 댓글로 소감 남기기
② 아래 구글 폼에 댓글과 정보 제출하면 끝!
https://forms.gle/madUndQdjyuyPTEt9

🎁이벤트 기간 : 4/17(목) ~ 4/24(목)
🎁당첨자 발표 : 4/28(월)
🎁경품 : 김지호 책 '마음이 요동칠 때 기꺼이 나는 혼자가 된다'

★30년차 배우 김지호의 첫 산문집★
📖마음이 요동칠 때, 기꺼이 나는 혼자가 된다
■ 예스24
https://url.kr/8sczd4
■ 교보문고
https://url.kr/31ruc4
■ 알라딘
http://aladin.kr/p/xRc3D
■ 쿠팡
https://url.kr/d5jss2

#최화정 #김지호 #김호진","최화정,최화정 유튜브,안녕하세요 최화정,최화정 채널,최화정 집,최화정 절친,최화정 집공개,최화정 부엌,최화정 친구,최화정 먹방,최화정 주방,최화정 샐러드,최화정 레전드,벚꽃,벚꽃뷰,벚꽃길,연예인 집,연예인 집공개,김지호,김호진,김지호 김호진,연예인 부부,연예인 결혼,김지호 김호진 부부,김호진 김지호,김지호 김호진 자녀,김지호 김호진 딸,연예인 집 인테리어,집 인테리어,인테리어 소품,최화정 인테리어,최화정 추천,최화정 리뷰,최화정 인테리어 소품,최화정 거실,집 꾸미기,인테리어 꿀팁,최화정 꿀팁,최초공개,연예인 최초공개,배우 부부,배우 결혼,연예인 부부 집",https://www.youtube.com/watch?v=Ld7jPMHMFBo,2025-04-17T09:30:10Z,804,KR
45hKHD0yP5A,오키나와까지 가서 아무것도 안하는vlog,찰스엔터,0,전체,605800,14229,"연습생 여러분 안녕하세요!! 제 베프 현지랑 오키나와가서 4일 동안 푹쉬다 왔어요!
여행 가기 전에는 사실 가기 귀찮은 마음이 컸는데 다녀오니 저한테 너무 필요한 시간이었더라구요..

이번 영상도 재밌게 봐주시면 넘 감사하겠습니다!!❤️ 

많이 물어봐주시는 정보!

[도트 바람막이] 
릿킴(근데 현재 판매하지 않는 것 같아요ㅠㅠ 찾아봐도 왜 안나올까요..)

[광각렌즈 정보] 
오즈모 포켓3: 패키지 포함되어 있는 광각렌즈 사용
평소 아이폰15pro로 촬영 할 땐 넥스트 광각렌즈 0.3배율 사용 쿠팡에서 팔아요 

[목걸이]
넘버링 십자가 목걸이 실버

[선글라스]
산드로 선글라스 SD6083 검정색 


BGM 출처 링크:  [잠겨 죽어도 좋으니 너는 물처럼 내게 오라] https://gongu.copyright.or.kr/gongu/wrt/wrt/view.do?wrtSn=13262513&menuNo=200026",,https://www.youtube.com/watch?v=45hKHD0yP5A,2025-04-17T09:00:09Z,1544,KR
hcJ6DfeuEc0,홍현희가 아들 위해 '이것'까지 해버린 집 최초공개 (장영란 기절),A급 장영란,0,전체,695325,9086,"안녕하세요 내새끼 여러분~💖
인간 비타민🍑 장영란이에요🩷🩷

오늘은 사랑스런 준범이의 엄마이자
제 소중한 동생😘😘
홍현희 집에 다녀왔어용~~

현희랑 제이쓴이 이 집 와서
너무너무 잘 됐다고 하던데🔥🔥
아주아주 명당인가 봐요~😁😁

집 구경하는 김에 
준범이랑도 야무지게 놀구~🥰🥰
현희의 깊은 속마음까지 듣다보니
날이 어두워진 거 있죵~~??

현희야 다음에 또 초대해줘~~❤❤

오늘 영상도 재미있게 봐주세요!
항상 감사합니다~😍😍

#장영란 #A급장영란 #홍현희","장영란,장영란 유튜브,네고왕 장영란,장영란 레전드,장영란 남편,장영란 한창,장영란 예능,A급 장영란,장영란 홍현희,장영란 집공개,장영란 네고왕,장영란 절친,장영란 꿀팁,장영란 브이로그,장영란 집들이,장영란 육아,장영란 아들,홍현희,홍현희 집들이,홍현희 집공개,홍현희 제이쓴,홍현희 아들,홍현희 똥별이,홍현희 유튜브,홍현희 레전드,홍현희 똥별,홍현희 준범,제이쓴 똥별,제이쓴 준범,홍현희 압구정집,홍현희 육아,제이쓴 집,홍현희 먹방,연예인 절친,연예인 집,연예인 집들이,연예인 아파트,압구정 아파트,연예인 집 최초공개,연예인 집공개,육아 유튜브,육아 브이로그,육아 현실,전지적참견시점,전참시,전지적참견시점 홍현희,금쪽같은내새끼,오은영,슈퍼맨이 돌아왔다,홍현희 가족,홍현희 남편,홍현희 이사,장영란 명품,장영란 집",https://www.youtube.com/watch?v=hcJ6DfeuEc0,2025-04-16T09:15:05Z,257,KR
wMxeNpX-l48,[ENG/JPN/CHN] 두리안 처음 먹어본 아이돌 찐반응 (???: 끝까지 먹일 거야.) l TXT(투모로우바이투게더) 수빈 l 제로베이스원 장하오 l 최애의 최애,Pixid,0,전체,449980,48733,"#최애의최애 #장하오 #제로베이스원 #수빈 #TXT

설레는 마음으로 새로운 동아리에 찾아온 수빈
그런데 이번에는 뭔가 냄새가 수상하다…?!
강렬한 향과 함께 찾아온 두리안 동아리 회장, 제로베이스원 장하오!

두리안 케이크부터 두리안 라떼, 두리안 피자까지...
두리안에 잡아먹힌 오늘의 동아리 발표회

과연 수빈은 동아리에 무사히 가입할 수 있을까?

00:00 오늘의 발표자 미리보기
04:30 발표 시작
04:33 두리안이란 무엇인가?
06:02 두리안 입덕 계기
08:24 두리안 이만큼 좋아해…❤️
14:26 두리안 해체쇼쇼쇼!
19:55 ⭐️두리안 디저트 한상차림⭐️
23:18 하오 정식 최초 공개
32:48 다음 발표자 스포

💖최애의 최애💖
💖매주 목요일 오후 7시💖

#수빈 #최애의최애 #픽시드 #투모로우바이투게더 #TXT","최애의최애,최최,최수빈,수빈,TXT,투모로우바이투게더,투바투,TOMORROWXTOGETHER,오타쿠발표회,장하오,제로베이스원,ZEROBASEONE,두리안,두리안먹방,과일,과일의왕,냄새",https://www.youtube.com/watch?v=wMxeNpX-l48,2025-04-17T09:58:07Z,2820,KR
cdeKX7cs-r0,JENNIE - like JENNIE - Live at Coachella 2025,Coachella,0,전체,1989964,120149,"JENNIE – “like JENNIE” - Live at Coachella 2025

Watch this incredible Weekend 1 performance by JENNIE at The Outdoor Theatre on Sunday April 13th at 7:45 PT.

Tune back in this weekend for the Weekend 2 livestream, starting Friday at 4 PM PT, April 18th.
Watch the official Coachella Valley Music and Arts Festival livestream at https://www.youtube.com/coachella

Live only on YouTube from the comfort of your living room or wherever you are.
Watch up to 4 stages at once in multi-view* from your TV
Shop exclusive merch
Chat live with fans around the world

Download the official Coachella Livestream app to view the full schedule synced to your time zone, create a personalized livestream lineup, and get reminders so you don’t miss a moment — available exclusively on YouTube.
iOS: https://apps.apple.com/us/app/coachel...
Android: https://play.google.com/store/apps/de...

*Device and content restrictions apply. Multi-view feature not available on mobile and desktop devices for Coachella.
#CoachellaOnYouTube",,https://www.youtube.com/watch?v=cdeKX7cs-r0,2025-04-16T20:59:08Z,4439,KR
mkqrLBDYJlk,하나랑 바루랑 잘 지내고 있어요!,다나나,0,전체,614671,36330,,"타투,타투이스트,냐아,으냐,단하나,김경은,이하나,하나경은,하나,경은,couple,goals,danhana,tattoo,dantattoo,dan,21lee21,iwantdan,korean,hana,먹방,요리",https://www.youtube.com/watch?v=mkqrLBDYJlk,2025-04-16T13:11:43Z,3002,KR
vI62VjzA_xs,"한가인♥찰스엔터 서촌에서 노가리 vlog (월간데이트 스포, 연애상담)",자유부인 한가인,0,전체,198837,6293,"안녕하세요 자유부인 한가인입니다

4월 초에 찰스엔터 찬미를 만나서 한
여자들의 데이트 브이로그를 공개합니다

찰스와 찐수다 떨면서 월간데이트 비하인드도 듣고
같이 사진도 찍고 시간 가는 줄 몰랐어요 

이정도면 성공한? 데뷔한? 연습생ㅎㅎㅎㅎㅎ

무튼 같이 놀아주고 출연해준 찰스 정말 고맙습니다

그럼 다음에 또 만나요
안녕

🧡 5월 2일부터 8일까지 현대백화점 판교점에서 하는
자유부인 한가인 팝업스토어 많은 기대 부탁드려요~

#한가인 #찰스엔터 #한가인유튜브 #자유부인한가인","한가인,한가인 유튜브,한가인 채널,자유부인 한가인,찰스엔터,찰스,월간데이트,한가인 찰스엔터,찰스엔터 한가인,찰스엔터 월간데이트,연프,커플브이로그,브이로그,vlog,데이트,소개팅,소개팅 브이로그,박찬영,ph-1,찬영 찰스,승헌쓰,찰스엔터 승헌쓰,찰스엔터 썰,찰스엔터 선생님,한가인 연정훈,배우 한가인,연정훈,한가인 아들,한가인 실물,웃긴영상,한가인 근황,한가인 리즈,한가인 영양제,월간데이트 리뷰,월간데이트 비하인드,월간데이트 4월,월간데이트 미공개,월간데이트 찰스,월간데이트 리액션,데이트 브이로그,데이트 코스,서촌 맛집,서촌 브이로그,서촌 데이트 코스,연애프로그램,한가인 레전드,찰스엔터 레전드,찰스엔터 브이로그,mbti,찰스 토크,한가인 김동준,한가인 찰스,찰스 한가인,한가인 브이로그,연예인 브이로그,찰스엔터 vlog,한가인 찰스 vlog",https://www.youtube.com/watch?v=vI62VjzA_xs,2025-04-17T09:15:10Z,478,KR
_9Aiy7fOrEs,고소영의 우당탕탕 남편 생일상 차리기 대작전,바로 그 고소영,0,전체,285271,6748,"안녕하세요 고소영입니다. 이번편 재밌게 보셨나요?
영상에서 제가 말했던 구독자 이벤트를 진행해보려고 해요! 

오늘은 남편 생일상을 보여드렸는데 다음엔 어떤 걸 찍어볼까요?
댓글로 추천해주신 30분을 선정해 3가지 색상의 앞치마를 랜덤 발송해드릴게요😃

준비한 앞치마 수량이 30개 밖에 없어서 많은 분들께 드리진 못하지만...ㅠ
나중에 한 번 더 할 기회가 생기면 더 많은 분들께 선물해드릴 수 있도록 해볼게요!

앞치마에는 받으시는 분의 성함 앞글자 영문 이니셜을 한 글자 새겨서 보내드려요😆
저는 고소영이니까 K🩷 재밌는 댓글 기다릴게요.

댓글 하나하나 보면서 많은 응원과 감동도 받았어요. 참...감사합니다 :) 오늘도 행복한 하루 보내세요!!


#고소영 #고소영생일상 #바로그고소영
Copyright © 2025 Whooaa studio  - All Rights Reserved","고소영,바로 그 고소영,고소영 실물,샤넬걸,장동건,고소영 패션,고소영 집,장동건 생일,남편 생일상,생일상,갈비찜,미역국,고소영 청담집,고소영 그릇",https://www.youtube.com/watch?v=_9Aiy7fOrEs,2025-04-17T09:15:06Z,1367,KR
VrZMcWxtHCE,〈폭싹 속았수다〉의 박해준! 암 투병 연기를 위해 이것까지 감행하다 ㄷㄷ #highlight#유퀴즈온더블럭 | YOU QUIZ ON THE BLOCK EP.289,유 퀴즈 온 더 튜브,0,전체,367865,3260,"티빙에서 스트리밍 : https://tving.onelink.me/xHqC/30a78d6f

#유퀴즈 #유재석 #조세호
유퀴즈온더블럭 YOU QUIZ ON THE BLOCK EP.289
#사활을_걸다
매주 (수) 저녁 8시 45분 tvN 방송

#티빙에서스트리밍","유재석,유퀴즈온더블럭,조세호,티빙에서스트리밍",https://www.youtube.com/watch?v=VrZMcWxtHCE,2025-04-17T08:33:04Z,208,KR
EGyjrqEzR7k,"NCT WISH 사쿠야 ""키링 졸업식에 초대합니다"" #순간뽀짝세상에이런아이돌이",SBSKPOP X INKIGAYO,0,전체,160897,14502,"NCT WISH 사쿠야 ""키링 졸업식에 초대합니다"" #순간뽀짝세상에이런아이돌이
(""제1회""이자 마지막)

#사쿠야 #SAKUYA #サクヤ #NCT #엔시티 #엔시티위시 #NCTWISH #poppop #순간뽀짝_세상에_이런_아이돌이 #순간뽀짝 #순뽀 

💼 비즈니스 문의: prismcontent@sbs.co.kr

Copyright Ⓒ 스튜디오 프리즘. All rights reserved. 무단 전재, 재배포 및 AI학습 이용 금지
---------------------------------------------------------------------------------------------------

☞ MORE ＂SBS KPOP ＂

- Twitter : https://twitter.com/kpop_sbs
- Facebook : https://www.facebook.com/sbskpop
- Instagram : https://instagram.com/sbskpop_official","Inkigayo,인기가요직캠,SBSKPOP,스브스케이팝,인기가요,인가직캠,안방1열직캠,페이스캠,fancam,NCT,NCT WISH,사쿠야,SAKUYA",https://www.youtube.com/watch?v=EGyjrqEzR7k,2025-04-17T10:00:19Z,932,KR
