video_id,title,channel,category_id,category,views,likes,description,tags,url,published_at,comment_count,country
GQHhiQOwkpo,SNL 김원훈 애드립 웃참 실패한 서예지 #shorts #snl7 #쿠팡플레이,요즘예능 1분요약,23,코미디,5895397,113709,SNL 김원훈 애드립 웃참 실패한 서예지 #shorts #snl7 #쿠팡플레이,"snl,snl 코리아,snl7,snl시즌7,서예지,서예지 딱딱,김원훈,가스라이팅,김원훈 애드립",https://www.youtube.com/watch?v=GQHhiQOwkpo,2025-04-14T03:00:13Z,1420,KR
rxrZ_CNACsc,쌉T 상담실장의 팩폭ㅋㅋㅋ,쇼케치북,23,코미디,4861012,120052,#스케치코미디 #김민교집합,,https://www.youtube.com/watch?v=rxrZ_CNACsc,2025-04-13T05:14:49Z,1387,KR
fd9V2EAYmzI,히말라야 등산할 때 절대 씻으면 안 되는 이유 #shorts #아는형님,예능내컷,23,코미디,4919614,53959,#shorts #아는형님 #강호동 #서장훈 #김영철 #이수근 #김희철 #민경훈 #이상민,,https://www.youtube.com/watch?v=fd9V2EAYmzI,2025-04-12T15:21:00Z,757,KR
9djuR0tAj30,티라노가 택배로 큰 호두를 보낸 이유는?,무비파워,23,코미디,5501866,58497,"영화 제목 : 로스트랜드: 공룡왕국 (The Lost Lands: Dinosaur Kingdom, 2009)
줄거리 :
화산활동으로 열린 지각 틈 아래, 인간이 알지 못했던 미지의 세계가 드러난다 🌋
탐험가 팀은 전설 속 ‘로스트랜드’를 추적하다가
시간이 멈춘 듯한 공룡들의 세계에 도착한다 🦖
거대한 티라노사우루스부터 날쌘 벨로시랩터까지,
살아 숨 쉬는 공룡들이 지배하는 이곳은 아름답지만 동시에 극도로 위험하다.
팀은 탐사 도중 알 수 없는 세력과 마주하게 되고,
이 신비한 왕국의 비밀이 점차 밝혀지기 시작한다...
자연과 인간, 과거와 현재가 충돌하는 박진감 넘치는 어드벤처!

#shorts #movie #film #영화 #영화리뷰 #무비 #볼만한거 #공룡영화 #모험영화 #SF영화 #가족영화 #쥬라기 #로스트랜드",,https://www.youtube.com/watch?v=9djuR0tAj30,2025-04-12T00:30:07Z,509,KR
GbElWiB33kM,해병선임 이름을 함부로 외우면 안되는 이유,지식의행복,23,코미디,2144168,84747,,,https://www.youtube.com/watch?v=GbElWiB33kM,2025-04-14T23:00:23Z,496,KR
unaHhMPHE6I,[3화 선공개] 사탄들의 군대에 최애의 등장이라.. 일구 행복사🥰ㅣ#신병3,스튜디오지니,23,코미디,5079892,103965,"🎉서프라이즈!
웃음꽃 피는 심진우 예비군 팬미팅
1열 직관 현장 같이 보시지 말입니다!

하이퍼 리얼리즘 코미디 [신병3]

지니 TV | ENA 매주 월, 화 밤 10시 공개
모바일 시청은 지니 TV 모바일에서

#STUDIOGENIE #스튜디오지니 #GENIETV #지니TV #ENA
#티빙 #TVING #지니TV모바일 #월화드라마
#김민호 #김동준 #오대환 #남태우 #이상진 #김요한","신병3,신병,김민호,김동준,오대환,남태우,이상진,김요한,조진세,이충구,전승훈,이수지",https://www.youtube.com/watch?v=unaHhMPHE6I,2025-04-12T00:02:00Z,955,KR
IBLzRk7SBZk,백종원한테 제대로 물린 연돈사장님,어질어질 연예세상,23,코미디,5274207,72534,,,https://www.youtube.com/watch?v=IBLzRk7SBZk,2025-04-10T23:00:29Z,9709,KR
vue7lqBmQPA,우리 학교 미친O,명재튜브 MZTUBE,23,코미디,2293357,39665,"[영화]사랑하기 때문에 BECAUSE I LOVE YOU 2017
U+모바일tv AppleTV coupang play 에서 스트리밍 중입니다
#김유정 #서현진 #차태현 #김윤혜 #성동일 #오나라 #배성우 #김사희 #박근형 #선우용녀 #임주환 #사랑하기때문에 #영화 #드라마 #방송 #movie #drama #kdrama 
▶IVE아이브 공식굿즈 네이버 '온리굿즈샵' 검색!",,https://www.youtube.com/watch?v=vue7lqBmQPA,2025-04-15T04:39:59Z,175,KR
HaSDfxVYIbo,여자친구에게 살 쪘다고 하면 벌어지는 일,홀홀홀홀,23,코미디,2675956,45406,#SNL코리아 #신동엽 #김아영 #지예은 #정성호 #김원훈 #안영미 #정상훈 #윤가이 #주현영 #김원훈 #차경은 #조민경 #서예지,,https://www.youtube.com/watch?v=HaSDfxVYIbo,2025-04-12T22:00:14Z,523,KR
d6NKQ4--nnI,문 열어줄 때 여동생이랑 누나 역대급 차이ㅋㅋㅋㅋㅋㅋ,한살차이 [Hansal],23,코미디,10023744,202629,#shorts,,https://www.youtube.com/watch?v=d6NKQ4--nnI,2025-04-06T15:16:29Z,1125,KR
