video_id,title,channel,category_id,category,views,likes,description,tags,url,published_at,comment_count,country
W-1DWS-lZ9c,임영웅 [천국보다 아름다운] Music Clip,임영웅,10,음악,2087362,84872,"#임영웅 #LimYoungWoong #천국보다아름다운

[MV] 임영웅 - 천국보다 아름다운 👉 https://youtu.be/QQJaxbLmmBI

임영웅 웅튜브 
구독♡좋아요♡알람설정
열심히 할게요/당신도 누를 수 있도록 

Lim Young Woong  [I'm HERO] Youtube Channel
Subscribe Like Alert Setting 
Thank You♡

공식 팬카페 [영웅시대]
http://cafe.daum.net/hero0616","미스터트롯,트로트,임영웅,트로트영웅,포천의아들,아침마당,판듀,전국노래자랑,영웅,홍대트로트,뭣이중헌디,계단말고 엘리베이터,kbs,가요무대,도전꿈의무대,박서진,진달래,천재원,명지,성국,미스트롯,장윤정,박현빈,박상철,박구윤,현장스케치,예능,트롯,TV조선,사랑의콜센타,뽕숭아학당,hero,imhero,이제나만믿어요,이나믿,별빛같은나의사랑아,별나사",https://www.youtube.com/watch?v=W-1DWS-lZ9c,2025-04-13T00:17:36Z,21659,KR
LNETckymbzk,NCT WISH 엔시티 위시 'poppop' MV,SMTOWN,10,음악,2552818,94632,"NCT WISH's 2nd mini album ""poppop"" is out!
Listen and download on your favorite platform: https://NCTWISH.lnk.to/poppop

[Tracklist]
01 poppop
02 Melt Inside My Pocket
03 Design
04 1000
05 Silly Dance
06 만약 네가 4시에 온다면 (Still 3PM)

Subscribe to NCT WISH Official YouTube Channel!
www.youtube.com/@NCTWISH?sub_confirmation=1

NCT WISH Official
https://www.youtube.com/@NCTWISH
https://www.instagram.com/nctwish_official 
https://www.tiktok.com/@official_nct
https://X.com/nctwishofficial
https://www.facebook.com/NCTWISH.smtown
https://nct-jp.net/index.php
https://weibo.com/u/7895044498

#NCTWISH #엔시티위시 #poppop
#NCTWISH_poppop
NCT WISH 엔시티 위시 'poppop' MV ℗ SM Entertainment","NCT WISH,엔시티 위시,엔시티,NCT,SION,RIKU,YUSHI,JAEHEE,RYO,SAKUYA,시온,리쿠,유우시,재희,사쿠야,シオン,リク,ユウシ,ジェヒ,サクヤ,リョウ,poppop,2nd mini album,팝팝,미니 2집,컴백,comeback,MV,music video,뮤비,뮤직비디오",https://www.youtube.com/watch?v=LNETckymbzk,2025-04-14T09:00:20Z,7132,KR
8GCSIIzFEg8,1000,NCT WISH - Topic,10,음악,438913,8932,"Provided to YouTube by SM Entertainment

1000 · NCT WISH

poppop - The 2nd Mini Album

℗ 2025 SM Entertainment

Released on: 2025-04-14

Producer: PAPRIKAA
Composer, Lyricist, Arranger: PAPRIKAA
Composer, Lyricist: Lim Jung Woo
Composer, Lyricist: DANA

Auto-generated by YouTube.","NCT WISH,poppop - The 2nd Mini Album,1000",https://www.youtube.com/watch?v=8GCSIIzFEg8,2025-04-14T09:03:33Z,415,KR
GIoDgHfQX6Y,Melt Inside My Pocket,NCT WISH - Topic,10,음악,448945,8945,"Provided to YouTube by SM Entertainment

Melt Inside My Pocket · NCT WISH

poppop - The 2nd Mini Album

℗ 2025 SM Entertainment

Released on: 2025-04-14

Producer: KENZIE
Producer: Rouno
Composer, Lyricist, Arranger: KENZIE
Composer: Andrew Choi
Composer: JSONG
Composer, Arranger: Rouno

Auto-generated by YouTube.","NCT WISH,poppop - The 2nd Mini Album,Melt Inside My Pocket",https://www.youtube.com/watch?v=GIoDgHfQX6Y,2025-04-14T09:04:00Z,393,KR
MSR8sxxa-tU,Universe,DAESUNG - Topic,10,음악,1103156,12638,"Provided to YouTube by FLUXUS

Universe · DAESUNG

D's WAVE

℗ RND Company Inc., under license to Dreamus

Released on: 2025-04-08

Composer: 홍훈기
Lyricist: 김혜정
Composer: Ryan Shin

Auto-generated by YouTube.","DAESUNG,대성,D's WAVE,Universe",https://www.youtube.com/watch?v=MSR8sxxa-tU,2025-04-08T09:04:56Z,337,KR
95gKcG80rhI,임영웅 - 천국보다 아름다운 [Music Video],워너뮤직코리아 (Warner Music Korea),10,음악,164030,0,"🎧임영웅 [천국보다 아름다운] Music Clip
https://www.youtube.com/watch?v=W-1DWS-lZ9c



#임영웅 #LIMYOUNGWOONG #OST
#JTBC #천국보다아름다운 #Heavenly_Ever_After
#고고씽 #GOGOSING",,https://www.youtube.com/watch?v=95gKcG80rhI,2025-04-15T09:00:20Z,696,KR
kq9r96yMFV8,1999,MARK - Topic,10,음악,1377551,20142,"Provided to YouTube by SM Entertainment

1999 · MARK

The Firstfruit - The 1st Album

℗ 2025 SM Entertainment

Released on: 2025-04-07

Producer: dress
Lyricist, Composer: MARK
Lyricist, Composer, Arranger: dress
Lyricist, Composer: SAMSON
Composer: SINJUN
Composer: PAPRIKAA
Composer: Jonah Renna
Composer: Desmond “DCope” Copeland

Auto-generated by YouTube.","MARK,The Firstfruit - The 1st Album,1999",https://www.youtube.com/watch?v=kq9r96yMFV8,2025-04-07T09:26:57Z,0,KR
MezvFK_r-MI,나는 반딧불 - 황가람,황가람과 동네청년,10,음악,2046301,31274,"안녕하세요 황가람입니다

'나는 반딧불' 많이 사랑해주세요!

감사합니다 :)

#황가람 #나는반딧불 #미치게그리워서","정중식,중식이밴드,미치게그리워서,뮤직비디오,뮤비",https://www.youtube.com/watch?v=MezvFK_r-MI,2025-03-30T11:42:39Z,3275,KR
29lj9jFfJvY,Sadder Than Yesterday (어제보다 슬픈 오늘),Woody - Topic,10,음악,2397329,15291,"Provided to YouTube by Kakao Entertainment

Sadder Than Yesterday (어제보다 슬픈 오늘) · Woody · SHIN SUNG JIN · KIM GUN MO · KIM CHANG HWAN

Sadder Than Yesterday

℗ 2025 GOLDEN MOON(GDM),under license to Kakao Entertainment

Released on: 2025-03-31

Author: 김창환
Composer: 김건모
Arranger: 신성진

Auto-generated by YouTube.","Woody,우디 (Woody),SHIN SUNG JIN,KIM GUN MO,KIM CHANG HWAN,Sadder Than Yesterday,어제보다 슬픈 오늘",https://www.youtube.com/watch?v=29lj9jFfJvY,2025-03-31T09:00:02Z,0,KR
9eOVt0y47Ww,As Is,Roy Kim - Topic,10,음악,1566694,9808,"Provided to YouTube by Genie Music Corporation

As Is · Roy Kim

As Is

℗ 2025 WAKEONE

Released on: 2025-04-02

Lyricist: Roy Kim
Composer: Roy Kim
Arranger: Joker

Auto-generated by YouTube.","Roy Kim,로이킴,As Is",https://www.youtube.com/watch?v=9eOVt0y47Ww,2025-04-02T09:00:16Z,96,KR
