video_id,title,channel,category_id,category,views,likes,description,tags,url,published_at,comment_count,country
FrtihXlnGGA,당근에서 일당 10만원 이사도우미 갔다가 당한일,인생뭐있어,22,People & Blogs,1123100,38195,당근에서 일당 10만원 이사도우미 갔다가 당한일,,https://www.youtube.com/watch?v=FrtihXlnGGA,2025-04-04T04:40:00Z,454,KR
QI78RncXjg0,맨하탄 찐부자들이 간다는 마켓 탐방🛒 동네엄마인 척 하고 쇼핑하기!,썸머썸머,22,People & Blogs,131874,2579,"이 영상은 셀리맥스의 유료광고를 포함하고 있습니다!💚

💚셀리맥스 시카 지우개 패드 리뉴얼 특가💚 
~59% 할인 링크 ➡️ https://bit.ly/4clVsxR

✅전 회원 6천원 추가 할인 쿠폰 증정!
✅기간 : 4/15(화)~4/29(화)

📌 시카 패드 본품 1개 + 리필 2개 구매 시,
 ✅시카 수딩 크림 본품 + 시카 마스크 팩 2개 + 시카 패드 10매입 2개 + 휴대용 케이스 추가 증정
67,000원 ➡️ 34,000원 (49%🔽)

📌시카 패드 단품 구매 시,
✅ 시카 패드 10매입 3개 추가 증정
24,000원 ➡️ 9,900원 (59%🔽)

📌환절기에 올라오는 각질 순하게 제거하고 싶은 분들!!! 세안 후 제일 첫 번째 단계에서 시카 지우개 패드로
   각질, 피지, 메이크업 잔여물 같은 피부 속 노폐물 싹 청소하고 매끈 촉촉 깐달걀 피부결 만들어보세요✨ 

💚구독자 댓글 이벤트💚 
해당 영상 댓글로 셀리맥스 시카 지우개패드를 사용해보고 싶은 이유를 써주세요!

참여 기간 : 2025.04.28 (월) 오후 11시 59분까지 
당첨자 발표 : 2025.05.12 (월) *썸머썸머 고정댓글 공지 
선물 : 시카 지우개 패드 본품 1개 (30명)


►썸머 채널 VIP가입으로 라이브 풀영상 전체 다시보기:  https://www.youtube.com/channel/UCCCjbf-1ESumTxBlflQSQIQ/join
►INSTAGRAM www.instagram.com/@summerinbk
►Business Inquiries only (비즈니스 관련 메일): summerinbk@gmail.com
►입고 있는 옷, 화장품들 링크모음 
►썸머가 쓰는 아마존 추천템들 https://www.amazon.com/shop/summerinnewyork?ref_=cm_sw_r_cp_ud_aipsfshop_S6ET1JHFH6KPTRVN2TJZ


해당 채널의 모든 저작권은 썸머썸머 Summer in New York 에 있으며 
단순 링크 공유 외 영상 일부 혹은 전체의 무단게시를 금지합니다. 
All rights reserved. No part of this publication may be reproduced, distributed, or transmitted in any form.

••••••••••••••••••••••••••••••••••••••••­­­•••••••••••


Some of the links are affiliate links, which means I may earn a small commission if anyone purchases through it and it does help me to keep on making videos for you guys, thank you!
위 링크 중에는 상품 구매시 제게 소액의 커미션이 생기는
추천인 링크가 포함되어 있을 수 있습니다.
영상 제작에 도움 주셔서 감사합니다!","미국일상,썸머,썸머썸머",https://www.youtube.com/watch?v=QI78RncXjg0,2025-04-16T11:00:52Z,300,KR
blCHMTpWko0,배달 금지된 작업실 점심 24일차,[하말넘많] heavytalker,22,People & Blogs,185055,8745,"💙 미공개&비공개 영상이 가득한 하말넘많 멤버십 ⬇⬇⬇
https://youtube.com/c/하말넘많heavytalker/join",,https://www.youtube.com/watch?v=blCHMTpWko0,2025-04-07T03:03:50Z,103,KR
s4eEyJWQ5ik,"대전의 딸, 하와이 여행 후 컴백홈,,,,,,❤️‍🔥 여행 선물 증정식🎁 • 대청댐 벚꽃 나들이🌸 • 김밥 만들기 • 대전 카페추천 • 오겹살 맛집 • 노견 셀프미용🐶",콩빈Cong Been,22,People & Blogs,68435,1536,"* 이 영상은 바이오던스의 유료광고를 포함하고 있습니다.

🤫바이오던스X콩빈 구독자 비밀 혜택🤫
기간 : 4/14(월)~4/17(목) 딱 4일만!
구매 링크: https://bit.ly/3DAS2dy

이 링크를 통해서 구매하면
1️⃣전 구매고객 무료배송
2️⃣7만원 이상 구매 시 바이오던스 에코백 증정 (선착순 100명)
3️⃣마스크, 앰플, 패드 ~28% 할인+증정

Q. 콩빈이 추천하는 구성은?
A. [옵션2] 또는[옵션3]! 지금 비타 마스크팩은 여기가 최고 할인!
특히 바이오던스 팩은 진짜 자주 쓰게 돼서
💙최대 혜택으로 뽕 뽑으려면 [옵션3] 강추!
💛혜택은 받으면서 적당량 먼저 써보고 싶으면 [옵션2]도 추천해요.

🔥개인적으로는 세라놀 앰플이 수분감이 쫀쫀하게 채워져서 좋았어요.


안녕하세요 여러분 콩빈입니다!
여행 후 다녀온 대전 본가 일상 영상을 가져왔어욤~!
가좍들이 선물을 다 맘에 들어해서 다행이었어욤ㅎ.ㅎ 작년에 동생 선물은 완전 심하게 사이즈 미스가 나서 굉장히 당황했었는데,,,,,,^^ㅋ 이번에는 성공적~!
아빠가 매년 벚꽃 필 때 드라이브를 해주시는데 넘 힐링되는 시간이었어요. 또 할머니, 할아버지랑도 시간을 많이 보내서 참 좋았답니다. 워홀 가기 전까지 자주 대전에 가려구요! 
그리고 미루고 미루던 호두의 발 미용 드디어 했습니다 후아ㅏㅏ🐶✂️
호두는 발 만지는걸 유난히도 싫어하는 강쥐에요^_ㅠ 스트레스 받게 하고싶지 않아서 최대한 길게 텀을 두고 잘라준답니다. 산책을 자주 해서 발톱은 따로 자르지 않아도 항상 적당한 길이를 유지하고 있는데 유난히 긴게 하나 있더라고요? 발톱은 딱 그거 하나 잘랐는데 손이 벌벌 떨렸어요,,,,혹시나 혈관쪽 건드려서 피 날까봐,,,,,🥺
어쨌거나 해피엔딩 대전 본가 방문이었답니다~~~~~~~~~🍀

오늘 영상도 재밌게 봐주셔서 감사해용
우리는 다음 영상에서 만나요~~!

블로그 : https://m.blog.naver.com/qlsgkfbs
⚡️문의 : qlsduswn9494@gmail.com

📸 CAMERA: iphone14pro, 캐논 G7X mark2
🎞Program: Premiere Pro

#대전브이로그 #본가브이로그 #브이로그","콩빈 일상,콩빈브이로그,콩빈 대전,대전 브이로그,대전 여행,대전 혼카페,대전 혼밥,대전 핫플,대전 맛집,대전 성심당,대전 코스,대전 혼코스,먹는브이로그,먹방브이로그,vlog,daejeon vlog,본가브이로그,자취브이로그",https://www.youtube.com/watch?v=s4eEyJWQ5ik,2025-04-14T10:01:32Z,199,KR
S-ygZMhFed0,워홀 끝나고 반백수가 된 사람의 브이로그,연늘,22,People & Blogs,38776,847,"* 이 영상은 '셀리맥스'의 광고를 포함하고 있습니다.

저의 찐템 노니앰플.. 🌱
이젠 없어서는 안된다구요..!
특가 + 노니마스크 증정 이벤트할 때 가져가보시길.. 🍀

✨노니앰플 대용량 에어리스 100ml 특가✨
▶ 대박 할인(~4/29) 👉 https://bit.ly/4iWv1RK
💚혜택1. 노니앰플 100ml 57%🔻
💚혜택2. 업그레이드된 노니마스크4매 + 17.5ml 추가 증정!
💚혜택3. 추가 할인 쿠폰 2종(5천원+1천원) 증정!

✅구독자 댓글 참여 이벤트
참여 방법 : 노니앰플 기대평 댓글 작성 후 아래 폼 입력
참여 링크 : https://naver.me/FpxhRwFU
- 이벤트 기간 : ~4/29(화) 23:59까지
- 당첨자 발표 : 5/8(목) 17시 *문자 개별 안내
- 선물 : 노니앰플 100ml 대용량 에어리스 (15명)
관련 문의 : neyoon@celimax.co.kr

—

instagram. https://instagram.com/uu.sa.gi
blog. https://m.blog.naver.com/seoyeonhan_
contact. toyeonneul@gmail.com",,https://www.youtube.com/watch?v=S-ygZMhFed0,2025-04-15T12:15:06Z,246,KR
JsxYzU9IrMY,"📦최근에 산 것들 택배 뜯어 보기! (아마존, Weee), 미국식 간편 볶음밥 믹스로 요리하는 대존맛 저녁밥, 오랜만에 다녀온 뉴욕 최애 식당",장이나 Ena J,22,People & Blogs,79301,1514,"여러분 오늘도 감사합니다아아! 행복한 주말 보내세요💚



오늘 영상에 나온 아마존 제품들: https://amzn.to/4i3xA4x

Weee에서 구매한 제품들: https://www.sayweee.com/weeebates/share/grocery/landing/66565248?lang=ko&utm_source=copyLink


🏷영상 속 제품들:


💫Day 1
(00:45)
후드티: 글로니
스웻팬츠: skims
스크런치: Emi Jay
안경: Bonnie Clyde




💫Day 2
(32:02)
코트: 글로니






제가 아마존에서 구매하고 잘 쓰고 있는 제품들 아래 링크에서 확인하실 수 있어요!
https://www.amazon.com/shop/jangena




인스타그램: @e__naa
https://www.instagram.com/e__naa/


📩이메일: enaaaaa93@gmail.com","장이나,이나,Jang E Na 장이나,Jang E Na,장이나 메이크업,Korean make up,Makeup tutorial,메이크업 튜토리얼,국제커플,International Couple,국제커플 브이로그,International couple vlog,American boyfriend,미국인 남자친구,Long distance relationship,international couple,Long distance international couple,장거리 국제커플,장거리 연애,국제커플 장거리,브이로그,일상브이로그,장이나 브이로그,Oiji,Oiji Mi,모어쥬드,디 오디너리,Weee,아마존 추천템,청소용품 추천,The Ordinary",https://www.youtube.com/watch?v=JsxYzU9IrMY,2025-04-11T12:58:27Z,117,KR
OhstFq3KsWk,너무나 걱정되는 고향 우크라이나로 돌아간 나의 언니,한국사는따냐 Tanya in Korea,22,People & Blogs,239226,14280,"각종 문의는 이메일로 부탁드립니다!
- tllukianets@gmail.com","우크라이나#,국제커플#,internationalcouple#,외국인여자친구#,우크라이나아내#",https://www.youtube.com/watch?v=OhstFq3KsWk,2025-04-09T09:01:48Z,1060,KR
HvaBrABUAG4,즐겁게 노는 상상을 하며 일하라..(4월 서울 기록),터틀이주미,22,People & Blogs,190014,2864,"안녕하세요 여러분,
주미입니다.
침대에 누워만 있는 주말..챌린지성으로다가 한번 해볼까봐요.. 
여러분의 이번 주말은 시끌벅적했을랑가요
저희 채널에 집순이들도 많은 것으로 아는데, 
봄의 주말은 귀하니까.. 십분이라도 산책을 해줘요. 
산책 영상을 구워봐야겠어. 

💡이 영상은 문달의 유료광고를 포함하고 있습니다. 24:46-
입이 마르게 설명, 칭찬하다 끝나는 영상이므로.. 링크만 두고갈게요.
https://moondal.com/category/springup2025/107",,https://www.youtube.com/watch?v=HvaBrABUAG4,2025-04-06T10:59:49Z,196,KR
XnEae-uRkLs,목 가게방송,쏨따TV,22,People & Blogs,36102,137,"#트젠 #젠더 #트랜스젠더 #이태원 #젠더바 #켈리#엘쪽이TV
#풍자 #꽃자 #장추자",,https://www.youtube.com/watch?v=XnEae-uRkLs,2025-04-17T16:12:54Z,4,KR
I4jDSt_rUMA,나혼자 홍콩 여행🇭🇰인생맛집 찾고 현지인포토존 정복❤️‍🔥총경비.공짜전망대 꿀팁.익청빌딩.쇼핑.토마토라면.케네디타운.홍콩 브이로그,보리코 Boriko,22,People & Blogs,22785,596,"홍콩 혼자여행 2편입니다~~!!!
1편 안보신분덜은 꼭 보러가주십시오^^♥️
궁금한 점은 댓글로 물어봐주세요


Instagram_borikokong


































#홍콩여행 #홍콩 #홍콩혼자여행
Music provided by 브금대통령
Track : 할아버지의 산책 -  https://youtu.be/Ac7CzkJ6xlE?si=lZndTw8CHPQukgmj
Track : 꿀잠 - https://youtu.be/5ZuhcAwiFas?si=WSq_XblT9dW5lBJZ
Music provided by COZY CLOU:D
SONG : Coloring Book - https://youtu.be/zPENUPOW8rU","혼자 홍콩여행,혼자 홍콩,나 혼자 홍콩,나 홀로 홍콩,혼자 홍콩여행 브이로그,홍콩 혼자 여행 브이로그,홍콩 혼자 여행,홍콩 혼여,홍콩,홍콩 여행,홍콩 여행 브이로그,홍콩 브이로그,Hongkong,홍콩 맛집,홍콩 찐맛집,홍콩 현지인 맛집,홍콩 포토스팟,홍콩 코스,홍콩 총경비,홍콩 맛집 추천,홍콩 호텔 추천,홍콩 숙소,홍콩 가성비 숙소,홍콩 숙소 추천,케네디타운,홍콩 3박4일,홍콩 여행 코스,홍콩 쇼핑,홍콩 기념품,홍콩 마켓,홍콩 브이로그 혼자,홍콩 여행 혼자,홍콩 브이로그 숙소,토마토라면,싱흥유엔,하프웨이커피,홍콩 옥토퍼스카드,홍콩 여자 혼자,홍콩 혼자 여행 여자,홍콩여행,홍콩여행브이로그,홍콩vlog,홍콩 여행 코디,홍콩 여행 팁,홍콩 여행 꿀팁,홍콩 여행 추천,홍콩 여행 경비,홍콩 여행 준비물,홍콩 여행 숙소,홍콩 여행 가성비 숙소",https://www.youtube.com/watch?v=I4jDSt_rUMA,2025-04-15T10:00:32Z,229,KR
