video_id,title,channel,category_id,category,views,likes,description,tags,url,published_at,comment_count,country
ccy3Km6kHO4,보드가 부서졌는데...,조각조각,17,스포츠,1820129,26943,보드가 부서졌는데...,,https://www.youtube.com/watch?v=ccy3Km6kHO4,2025-04-14T12:03:00Z,74,KR
WhUIihJPl14,양궁에 이어 사격까지 중국을 갖고놀은 16세,대박s쇼츠,17,스포츠,5199377,132596,#7,,https://www.youtube.com/watch?v=WhUIihJPl14,2025-04-10T11:10:01Z,851,KR
UsiP20Oi8WM,제발 이정후 좀 말려줘!,스포츠야미 SportsYummy,17,스포츠,2384629,32013,"연타석 홈런에 역전까지!  
오늘도 이정후는 멈추지 않았습니다.  
메이저리그가 지금 이정후를 두려워합니다.

#이정후 #연타석홈런 #MLB #샌프란시스코자이언츠 #야구쇼츠 #이정후홈런 #MLB하이라이트","이정후,이정후홈런,mlb,연타석홈런,샌프란시스코자이언츠,자이언츠,메이저리그,야구,야구쇼츠,mlb하이라이트,역전홈런",https://www.youtube.com/watch?v=UsiP20Oi8WM,2025-04-13T23:26:56Z,949,KR
ikgVBNQdbd8,경기 후 상대의 턱을 돌려버린 파이터의 처참한 최후,밈튜브,17,스포츠,1232814,15630,,,https://www.youtube.com/watch?v=ikgVBNQdbd8,2025-04-15T11:01:07Z,216,KR
C2czxBoubkk,호날두가 양보하면 벌어지는 일,풋볼러버,17,스포츠,2032340,52373,,,https://www.youtube.com/watch?v=C2czxBoubkk,2025-04-13T09:30:05Z,646,KR
cmbB1PhyFRs,아들 괴롭히는 농구부 농구로 참교육 #18어게인 #드라마쇼츠 #쇼츠 #jtbc,Kdrama TV,17,스포츠,2061053,36507,#18어게인 #이도현 #윤상현 #김하늘 #위하준 #김유리 #노정의 #려운 #드라마쇼츠 #쇼츠 #shorts #jtbc #drama,,https://www.youtube.com/watch?v=cmbB1PhyFRs,2025-04-12T09:00:51Z,197,KR
sxtmnLpqRzI,'돈연아'라는 비아냥에도 김연아가 광고에 집착한 진짜 이유 #김연아 #피겨스케이팅,한국은 빠밤!!!,17,스포츠,1367189,41819,'돈연아'라는 비아냥에도 김연아가 광고에 집착한 진짜 이유 #김연아 #피겨스케이팅,,https://www.youtube.com/watch?v=sxtmnLpqRzI,2025-04-14T22:01:03Z,1647,KR
LhsR9rZmItU,포수가 아닌 투수가 싸인 낼 수 있는 이유,야신야덕,17,스포츠,1057435,7427,"#삼성라이온즈 #후라도 #하이라이트 #피치컴

구독, 좋아요, 알람설정은 큰힘이 됩니다♥

⊙ 비즈니스 문의 (광고/출연/행사)
☞ 비지니스메일 :  chokci100@gmail.com
☞ 빡코메일 :  misonim18@gmail.com
☞ 인스터그램 : Jinkbros
☞ 틱톡 : Jinkbros

⊙ Business Inquiries (Advertising/Appearances/Events)
☞ Business Email: chokci100@gmail.com
☞ Creator's Email: misonim18@gmail.com
☞ Instagram: Jinkbros
☞ TikTok: Jinkbros","빡코,야구유튜버,Baseball,野球（やきゅう）,棒球,棒球博主,野球系ユーチューバー,Baseball YouTuber,韓国女性（かんこくじょせい）,韩国女性,トクサンTV【A&R】,qooninTV",https://www.youtube.com/watch?v=LhsR9rZmItU,2025-04-15T12:54:18Z,238,KR
IOpLF-s0jiM,카메라에 잡힌 안세영의 눈물,셔틀콕잼,17,스포츠,1061551,21395,"안세영 선수의 절친이기도 한 인도네시아 툰중 선수가 경기 중 부상을 당하자, 안세영 선수가 보인 행동은 왜 그녀가 여왕으로 군림하는지 확인시켜 주었습니다.",,https://www.youtube.com/watch?v=IOpLF-s0jiM,2025-04-14T23:38:21Z,471,KR
n8AnEq1SDbc,세상에서 가장 웃긴 아줌마 ㅋㅋ | 기아타이거즈,야구채널S,17,스포츠,2650229,47260,#shorts #야구 #프로야구 #kbo #kia #기아타이거즈,"야구,프로야구,KBO,기아,기아타이거즈,기아 타이거즈,KIA,KIA 타이거즈",https://www.youtube.com/watch?v=n8AnEq1SDbc,2025-04-11T11:27:31Z,371,KR
