video_id,title,channel,category,views,likes,description,url,published_at,country
Qhz2L8WzgIw,아침 점호,숏박스,23,2397940,30746,"#스케치코미디 #숏박스 #스튜디오지니

하이퍼 리얼리즘 코미디 [신병3]
지니 TV | ENA 매주 월, 화 밤 10시 공개
모바일 시청은 지니 TV 모바일에서
#스튜디오지니",https://www.youtube.com/watch?v=Qhz2L8WzgIw,2025-04-18T09:00:42Z,KR
S5jaYVVSRy4,연애 적응 시기,짧은대본 ShortPaper,24,629907,9314,"#코카콜라 #코크타임 #CocaCola
짜릿함이 필요할 때, Coke TIME!
Coke TIME 즐기고 페스티벌 가자! 👇
https://coca-cola.or.kr/event202504/view

멤버십 가입 
https://www.youtube.com/channel/UChgOgRNxrtCcVARDQT_c-Zg/join


광고문의 - ad@shortenm.com
일반문의 - short_paper@naver.com
배우지원 - short_audi@naver.com
배우협업문의 - casting@shortenm.com",https://www.youtube.com/watch?v=S5jaYVVSRy4,2025-04-19T11:00:44Z,KR
Ik4ckKTRz0w,개막 한 달? 일단 모아 왔습니다.｜이정후 2025 MLB 활약상,SPOTV 오리지널,17,755267,9515,"#이정후 #샌프란시스코 #MLB

👇 2025 MLB 시청하기 👇

SPOTV NOW 💻📱 ☞ https://spotv.net/mlb

SPOTV PRIME 📺👀 ☞  https://www.spotvprime.co.kr/channel",https://www.youtube.com/watch?v=Ik4ckKTRz0w,2025-04-18T11:38:04Z,KR
X03NIGUm5pI,CHUU vs CHEW! 꽁꽁 얼어붙는 공격 멘트 위로 아빠미소가 날아다닙니다 | 딱대 EP33 츄 CHUU,빠더너스 BDNS,23,708642,15257,"#딱대 #문상훈 #츄 

0:00 힐링 토크쇼 딱대
0:08 오늘의 딱 맞는 게스트 : 츄 님
1:55 청주 출신 한화 이글스의 ‘승리요정’ 츄
4:22 츄의 유명한 리액션 영상
6:01 꽁냥이 챌린지 대란을 일으켰던 츄
8:26 깨물하트 만든 장본인 츄
9:34 [LOL PLAY]
9:48 [상담 선생님과 학생]
11:19 [키즈 유튜버와 어린이 시청자]
12:34 [탑급 진상 손님을 상대하는 알바생]
13:44 황금 성대 츄의 개인기 메들리
15:58 문상훈과 가장 잘 어울리는 츄의 신곡
18:05 ‘ENFP’ 대표 츄
19:42 말 예쁘게 잘하는 츄와 ‘부러워 게임’
22:37 츄 선플 딱대
23:39 다음 딱 맞을 게스트 (이준영 & 정은지)

Instagram @bdnspresents",https://www.youtube.com/watch?v=X03NIGUm5pI,2025-04-20T04:00:42Z,KR
3veRj6plb1c,'기습 번트+3출루' 이정후… 코치도 웃게 만들었다 #SPOTIME,스포타임,17,2282661,23187,"#이정후 #기습번트 #활약상 #샌프란시스코

이정후가 미친 기습번트를 보였습니다
자세한 내용은 영상으로 확인하시죠~

👇 2025 MLB 시청하기 👇
SPOTV NOW 💻📱 ☞ https://spotv.net/mlb
SPOTV PRIME 📺👀 ☞  https://www.spotvprime.co.kr/channel",https://www.youtube.com/watch?v=3veRj6plb1c,2025-04-19T04:38:14Z,KR
rTZmmk5NHGU,"[SUB] ""여러분 믿으면 안 돼요 vs 저는 진실을 얘기했어요"" 엔시티 위시의 폭로전(?) | 아이돌 인간극장",아이돌 인간극장,10,275963,17916,"#nctwish #poppop #아이돌인간극장

거침없는 폭로전과 자존심을 건 허벅지 씨름까지😵‍💫
엔시티 위시가 왜 이리 무리해

대본 없는 리얼(?) 다큐 [아이돌 인간극장]에 오신 여러분
모두 환영합니다🎉

Everyone, welcome to real (?) documentary no script [Idol Human Theater]🎉
 
More from #KBSKPOP

Twitter:      https://twitter.com/idolhumandocu
Instagram: https://www.instagram.com/kbs_kpop_official/

🎥제작 : STUDIO K
📩비즈니스 문의 : officialstudiokk@gmail.com

Copyright ⓒ KBS. All rights reserved. 무단 전재, 재배포 및 이용(AI 학습 포함) 금지",https://www.youtube.com/watch?v=rTZmmk5NHGU,2025-04-19T12:00:06Z,KR
UUFJlUy5aA4,아스트로(ASTRO) - 꿈속의 문(Moon) : Memory of the Moon,ASTRO 아스트로,10,2662815,543194,"#ASTRO #아스트로 #꿈속의문 #Moon

ASTRO - 꿈속의 문(Moon) : Memory of the Moon

with 
VIVIZ (비비지)
민혁, 기현, I.M of MONSTA X 
호시, 원우, 민규, 도겸, 승관 of SEVENTEEN
HELLO GLOOM
라키
최유정
김도연
찬희 (SF9)
방찬 (Stray Kids)
문수아 (Billlie)

▶ Twitter : http://twitter.com/offclASTRO
▶ Facebook : http://facebook.com/offclASTRO
▶ Instagram : https://www.instagram.com/officialastro
▶ Weibo : http://weibo.com/officialASTRO
▶ Fancafe : http://cafe.daum.net/fantagio-boys",https://www.youtube.com/watch?v=UUFJlUy5aA4,2025-04-19T09:00:10Z,KR
dtJ9j8grYHk,[전참시] 외쳐 갓 WING😎 지드래곤 콘서트에서 단독 무대 제대로 찢은 비트박서 윙ㅣ#윙 MBC250419방송,엠뚜루마뚜루 : MBC 공식 종합 채널,24,778013,10645,"[전지적 참견 시점] 토요일 밤 11시 10분 방송!
MBC의 따끈따끈한 영상을 내 맘대로 편하게 즐기는 채널🌀
엠뚜루마뚜루 보러가기👉https://www.youtube.com/c/엠뚜루마뚜루
-
#전지적참견시점
#엠뚜루마뚜루

* 전지적 참견 시점 풀영상 보러가기
✔ WAVVE : https://www.wavve.com/player/vod?programid=M_1003594100000100000

✔ iMBC : http://playvod.imbc.com/templete/VodList?bid=1003594100000100000

ⓒ MBC&iMBC 무단 전재, 재배포 및 이용(AI학습 포함)금지",https://www.youtube.com/watch?v=dtJ9j8grYHk,2025-04-20T06:15:04Z,KR
EbZcfvuafZA,이사했습니다. 한국살이 새로운 시작,파비앙 Fabien Yoon,24,302461,25717,"#서촌 #나혼자산다 #이사

한국에서 나의 9번 째 이사..
해프닝도 있었고 다사다난했지만
좋은 분들과 함께해서 즐겁기도 했어요

▶︎ 촬영 :  파비앙

▶︎ 기획 : 파비앙

▶︎ 편집 : 오소은

▶︎ https://www.instagram.com/frenchmonster7

▶︎ 방송/광고 문의 : frenchmonster7@naver.com",https://www.youtube.com/watch?v=EbZcfvuafZA,2025-04-20T06:59:10Z,KR
hoYkaoF_lGE,[예고] 너 뭐 돼? 학씨 아저씨로 대세가 된 배우 최대훈! 하지만 현실에서는 사실 관식이?!#유퀴즈온더블럭 | YOU QUIZ ON THE BLOCK EP.290,유 퀴즈 온 더 튜브,24,515855,5557,"티빙에서 스트리밍 : https://tving.onelink.me/xHqC/30a78d6f

유 퀴즈 온 더 블럭
[수] 저녁 8: 45 tvN

#티빙에서스트리밍",https://www.youtube.com/watch?v=hoYkaoF_lGE,2025-04-20T10:58:20Z,KR
JwIkZYKEU_Q,"[EN] [밥묵자] 보고만 있어도 아빠미소가 절로 나는 인간 비타민 살아있는 행복 바이러스 ""츄""와 밥 한 끼",꼰대희,23,331869,9784,"* 타인을 비방하는 악의적, 모욕적인 댓글은 사전 고지없이 차단되거나 삭제될 수 있습니다.

*비즈니스 문의
jdbent001@gmail.com

*틱톡
https://vt.tiktok.com/ZSJdgRuxJ/
*인스타그램
https://www.instagram.com/ggondaehee/

#꼰대희 #밥묵자 #츄",https://www.youtube.com/watch?v=JwIkZYKEU_Q,2025-04-19T12:00:28Z,KR
