video_id,title,channel,category_id,category,views,likes,description,tags,url,published_at,comment_count,country
9trJTiOB8BE,he was born for this #shorts #funny #explore #comedy #usa #cakeboss #bake #cake #bakery #buddy #fyp,Ngamshishi,24,엔터테인먼트,37178094,2120232,"Cake Boss is an American reality television series that originally aired on the cable television network TLC. The series premiered on April 19, 2009, and spawned four spin-offs: Next Great Baker, Kitchen Boss, Bake You Rich, and Bakery Boss.

On January 26, 2015, Cake Boss was renewed for two additional seasons, which aired on TLC until 2017. Season 9 premiered on May 18, 2019, with the show moving to TLC's sister network, Discovery Family. The show officially ended on April 11, 2020.",,https://www.youtube.com/watch?v=9trJTiOB8BE,2025-04-14T22:14:13Z,7379,US
i8B8qHeA8gI,Real Ways Criminals Escaped The Police,Law By Mike,24,엔터테인먼트,27537741,1546006,"How Criminals Escaped The Police! Subscribe to @LawByMike for more tips! 

Do you want more details on this law, it’s in my newsletter! Join The Free Law By Mike Newsletter Here! 
*link in bio* or go to https://newsletter.lawbymike.com/subscribe

⭐ Join the channel membership and get priority responses to your comments! ⭐
*link in bio*

⚖️ Questions? Issues?👇 
go to IThinkIHaveACase.com *link in bio*

#law #education #mrbeast #police #lawyer #lawbymike #repeatafterme #tiktok #youtubeshorts #cop #cops #lawyers #legal #attorney #lawschool #hacks #legal

DISCLAIMER (Of course, I'd have one 😁)
Hey, you might think that this info makes me your lawyer, but it doesn’t and I’m not. Sorry, but I AM NOT YOUR LAWYER unless we have an engagement agreement. I am just providing public information here, like a library does, and am not providing you with legal advice about your situation. So, it would be totally unreasonable for you to conclude we have an attorney-client relationship just because you're viewing this information.","law,lawyer,laws,hacks,law by mike,lawbymike,lawyer reacts,lawyer tips,legal,repeat after me,repeatafterme,shorts,shorts hot,shorts video,shorts youtube,social media addiction,tips,tips and tricks,tricks,tricky,law by mike tiktok,law school,lawsuit,lawsuit explained,lawsuits and settlements,legal analysis,mrbeast,music,real lawyer,songs,lawyers,reaction,tiktok,tik tok,funny,youtube shorts,trending,funny videos,react,memes,mike,beast,jimmydonaldson",https://www.youtube.com/watch?v=i8B8qHeA8gI,2025-04-14T18:28:21Z,2511,US
Yxplbc3iJDM,Escape from a sniper's rifle,Rf Deville,24,엔터테인먼트,24203666,1362951,,,https://www.youtube.com/watch?v=Yxplbc3iJDM,2025-04-11T14:00:48Z,3035,US
Zzyuh0Kyi3U,His loyalty saved his life😳,Snow Moments,24,엔터테인먼트,14938402,774129,,,https://www.youtube.com/watch?v=Zzyuh0Kyi3U,2025-04-15T23:06:40Z,10785,US
fAtVPSmMXII,Moment Before Cooked ☠️ #trollface #edit #shorts,LUCKY_MAN,24,엔터테인먼트,54175968,0,"Troll Face Edits,
Troll Face,

Related:-
Moment Before Disaster, 
Troll Face, 
Troll Face Edit,
Troll,
Moments Before Disaster, 
#trollface #troll

Tags:-
#geography#russia#usa#canada#history#worldwar#geography#maps#freepalestine#israel#nowary#geography#edit#maps#safevid#ottoman#umayyad#mughal#date#ussr#marathaempire#siwil#china#billgates#romania#japan#sealand#ohio#southkorea#ukraine#ireland#argentina#brazil#saudiarabia#turkey#greece#russia#algeria#indoneisa#usa#uk#norway#denmark#germany#france#continent#army#italy#world#korea#china#afghanistan#syria#jordan#eygpt#canada#niger#army#megustastu#albania#bulgaria#azerbaijan#vietnam#laos#cambodia#angola#poland#tazmania#angola#elsalvador#nicaragua#trollface#edit#countries#leaders#sigma#trending#northkorea#uzbekistan#gana#nato#oman#iraq#usa#conflict#meme#geographyer#ottoman#countryballs#syria#bulgaria#romania#greece#shortsvideo#viralvideo#tiktokvirals#mongolia#japan#hungary#czechia#edits#ukraine#australia#summer#finland#morocco#armenia#palestine#malaysia#iran#ıraq#mongolia#new#keşfet#türkiye#turkey#viralshorts#ww2#ww1#mapping#country#allied#real#middleeast#world#palestine#centralpowers#future#nowary#ussr#reels#shorts#meme#earth#china#japanese#italy#europe#asia#australia#fun#geography#youtube#trend#new#cuba#mexico#philipinnes#cambodia#south#north#austria#hungary#sweet#azerbaijan#edit#music#gigachad#true#animals#naberyoutube#flag#backgraund#commander#army#soldier#now#than#past#helpme#makethe#japanese#hirohito#trending#peace",,https://www.youtube.com/watch?v=fAtVPSmMXII,2025-04-16T12:10:01Z,3282,US
ixtWRjbwOl0,Girl Raised By Dogs 😨,Zack D. Films,24,엔터테인먼트,9759318,702043,,,https://www.youtube.com/watch?v=ixtWRjbwOl0,2025-04-15T19:30:06Z,5065,US
9_prXKhA3u8,Dr. House reasoned in advance that the patient was going to sue him #movie #video #shorts,Matthew Amy,24,엔터테인먼트,21056842,1111466,,,https://www.youtube.com/watch?v=9_prXKhA3u8,2025-04-11T13:18:00Z,1371,US
Upy-b_keHHo,Crazy Cops  #shortflim #film #cops #timeloop #loop,ShorterT,24,엔터테인먼트,13348113,1282142,"Short Film Title:
Groundhog Day For A Black Man",,https://www.youtube.com/watch?v=Upy-b_keHHo,2025-04-13T15:41:15Z,7921,US
CqOYofXj3f0,Joe Rogan reacts to courtroom grilling.,mind Bytecast ,24,엔터테인먼트,7789312,456983,,,https://www.youtube.com/watch?v=CqOYofXj3f0,2025-04-13T14:36:17Z,6641,US
QMc6r0gUnkM,“tHE beLl dOeSNt DisMISs yOU i dO” 🙄 #relatable #skit #dankscole #fylシ#funny #comedy #pov,Christopher,24,엔터테인먼트,13318224,595254,"#interesting #happy #funnySome interesting videos for you

Any footage in this video has only been used tocommunicate a message(understandable) toaudience.According to my knowledge, it's a fairuse under reviews and commentary section. Wedon't plan to violate anyone's right. Thanks

The original author of the video content on the leftscreen is @DankScole on Tiktok.",,https://www.youtube.com/watch?v=QMc6r0gUnkM,2025-04-12T08:34:57Z,1645,US
D0flMLbvOig,Giving him sight back is making me sob 😭 #fyp #emotional #movie #shorts,PhantomShorts,24,엔터테인먼트,25992496,1614470,Giving him sight back is making me sob 😭 Girl Married A Blind Man To Cheat Freely #fyp #emotional #movie #edit #shorts #interesting #relationship #film #funny #memories #viral #trending #feedshorts #blowup #youtubeshorts #diewithsmile #foryou,"julie and the phantoms season 2,julie and the phantoms soundtrack,julie and the phantoms songs,julie and the phantoms react,julie and the phantoms perfect harmony,julie and the phantoms wake up,julie and the phantoms stand tall,julie and the phantoms ending,julie and the phantoms,julieandthephantoms,edge of great,jatp,jatp full episodes,descendants,Disney karaoke,Disney shows edit,Netflix series,What to watch,Movie,julie and the phantoms 2,jatp song,teen,comedy",https://www.youtube.com/watch?v=D0flMLbvOig,2025-04-12T20:25:50Z,2020,US
uCoWA-73y44,#short,Nahshon Slater,24,엔터테인먼트,6116237,215718,,,https://www.youtube.com/watch?v=uCoWA-73y44,2025-04-15T03:18:32Z,1253,US
RszmK8jPEWc,one of my favorite movies of all time#movie #shorts,santiag182,24,엔터테인먼트,22526230,1121560,,,https://www.youtube.com/watch?v=RszmK8jPEWc,2025-04-11T11:17:40Z,2599,US
EDaSAXhgB7Q,“I Demandeth An Apology” 😭 #film #movie #viralvideo #explore #fyp #shorts #cinema,SniperXplug,24,엔터테인먼트,8709610,0,,,https://www.youtube.com/watch?v=EDaSAXhgB7Q,2025-04-14T02:04:29Z,1070,US
OEdp_ZefzHY,Had to pull out the bob💁🏻‍♀️,SIMJI,24,엔터테인먼트,12030984,387250,"Instagram/TikTok - @simjiofficial
My Shop: https://simjishop.com/
My Links: https://linktr.ee/Simji","rug tufting,tufting rug,tufted rug,tufting a rug,tufting,carpet tufting,tufting gun,simji,custom rug,how i tuft a rug,how to tuft a rug,simjiofficial,simji rugs,how to make rugs,how to make custom rugs,diy rugs",https://www.youtube.com/watch?v=OEdp_ZefzHY,2025-04-14T18:30:36Z,1394,US
Y8QuG9HQeCQ,yall are laughing and this is fr our next Timothée Chalamet 😅👏🏽🤣 #funny #viralvideo #shorts,PacRackz,24,엔터테인먼트,5158311,344022,,,https://www.youtube.com/watch?v=Y8QuG9HQeCQ,2025-04-15T05:52:32Z,928,US
Os_hliT8ap8,WAIT FOR IT... BABIES CAN TALK?! 👶🍼 #funny #shorts #funnyvideos #viral,Double Date,24,엔터테인먼트,6594336,295129,,,https://www.youtube.com/watch?v=Os_hliT8ap8,2025-04-17T13:56:14Z,7653,US
lE5HjPa4fHM,Zack Later Went to Federal Prison…,Matthew Cox Shorts,24,엔터테인먼트,8556264,449609,,,https://www.youtube.com/watch?v=lE5HjPa4fHM,2025-04-12T21:35:25Z,3245,US
s1vNeokpJ3c,"In all fairness,you the first robbery here today.#viralvideo #shortvideo #shorts",Mccowan784,24,엔터테인먼트,6780698,517835,,,https://www.youtube.com/watch?v=s1vNeokpJ3c,2025-04-14T13:03:00Z,1953,US
c1NMVSdi7PY,When you outsmart the bullies 😂,Onevilage,24,엔터테인먼트,14632867,992409,,,https://www.youtube.com/watch?v=c1NMVSdi7PY,2025-04-13T18:00:34Z,3475,US
fLnfgf_Er_w,Mark Henry's Strength Is NOT Human #wwe #aew #shorts #viralvideo,Bodyslam Trivia,24,엔터테인먼트,7536723,525613,"Mark Henry's Strength Is NOT Human. Big Show and JBL Share their favorite Mark Henry, ""World's Strongest Man's"" superhuman strength stories #wwe #aew #shorts #viralvideo","wwe,aew,njpw,tna,impact wrestling,wcw,ecw,czw,pwg,roh,profession wrestling,pro wrestling,mark henry strength,mark henry,world's strongest man,strength stories,strongman stories,superhuman strength,mark henry bending coin,mark henry locker door,mark henry stories,strongman,powerlifting,bodybuilding,crazy strength,bending coin with hands",https://www.youtube.com/watch?v=fLnfgf_Er_w,2025-04-12T13:09:10Z,4404,US
WdgiZJE4dfI,He’s faster than NASCAR’S top speed 🤨🙏🏻 #needforspeed #aaronpaul,Moon movie ,24,엔터테인먼트,11609468,585257,,,https://www.youtube.com/watch?v=WdgiZJE4dfI,2025-04-14T08:00:35Z,1999,US
