video_id,title,channel,category_id,category,views,likes,description,tags,url,published_at,comment_count,country
FKYBhZFhhys,FUNNIEST EXPLODING BASKETBALL MOMENTS 🏀💥,OMEGA ORANGE,17,스포츠,41523885,2084418,,,https://www.youtube.com/watch?v=FKYBhZFhhys,2025-04-11T16:12:19Z,2406,US
j94OIrdvNUQ,The rookie beat the world champion with one punch!#shorts,Kamilah Florez,17,스포츠,8933121,815072,,,https://www.youtube.com/watch?v=j94OIrdvNUQ,2025-04-14T12:15:52Z,1171,US
UvAnYnJDpJc,NO WAY he actually made it 🤯 @gmgolf,Dude Perfect,17,스포츠,66643523,2597769,,,https://www.youtube.com/watch?v=UvAnYnJDpJc,2025-04-10T18:43:22Z,3420,US
aEFlDP7cBZ8,He Clutched Up!(@berrics),Jaye,17,스포츠,10574950,361997,"#shorts #sports #viralvideo 

It was worth it!

Cred: (@berrics) on IG",,https://www.youtube.com/watch?v=aEFlDP7cBZ8,2025-04-12T20:04:27Z,767,US
kizCy0PbcuQ,Oblivion thanks his family and Mexico while the Island Boy’s were CRASHING OUT after their loss 😭 😭,Kickclipplug,17,스포츠,4476076,259318,#adinross  #islandboys  #oblivion  #fyp  #viralshorts,,https://www.youtube.com/watch?v=kizCy0PbcuQ,2025-04-13T01:31:32Z,3617,US
_bf6wpOH9kI,The Truth About Anthony Mackie Stopping Playing Football#shorts #AnthonyMackie,Chiong Minniear,17,스포츠,4986780,327662,,,https://www.youtube.com/watch?v=_bf6wpOH9kI,2025-04-11T06:35:48Z,1148,US
2Ev_dj7G-m0,This Answer Caught Me Completely Off Guard,Ginsel Neal,17,스포츠,3726281,94642,,,https://www.youtube.com/watch?v=2Ev_dj7G-m0,2025-04-10T20:18:44Z,634,US
Y3uV84fmCts,This referee likes Neymar & Depay 😍,MaxianFootball,17,스포츠,15985607,700593,,,https://www.youtube.com/watch?v=Y3uV84fmCts,2025-04-11T10:51:38Z,2129,US
LUDm3fFYmoo,No way Colby Covington was Speechless after N3on couldn’t Lift this Bar 😳😯,Kick_Clippers,17,스포츠,3135404,145625,,,https://www.youtube.com/watch?v=LUDm3fFYmoo,2025-04-15T10:32:35Z,4436,US
WCNyNKXOfNc,Listen CAREFULLY...(@tarnue_david),Gainz,17,스포츠,3562849,237169,"Runner starts the race way too early but it turns out he was right

Credits to: @tarnue_david via Instagram

#shorts #gym #fitness",,https://www.youtube.com/watch?v=WCNyNKXOfNc,2025-04-15T12:44:38Z,316,US
Rwi5fe41524,1 Adult vs 30 Kids,Jesser,17,스포츠,8295220,305849,"How many kids does it take to stop me from scoring?

#shorts",jesser,https://www.youtube.com/watch?v=Rwi5fe41524,2025-04-14T20:30:04Z,982,US
CQZLEJaZv8Q,Trash talker gets KARMA 🤯,BuzzerBeaters,17,스포츠,2647497,113817,,,https://www.youtube.com/watch?v=CQZLEJaZv8Q,2025-04-15T22:04:04Z,596,US
