author,likeCount,text,videoId
@navil6088,14,이정후는 KBO의 자존심이고 키움의 자랑임. 이정후가 성공하지 못한다면 MLB에서 성공할 KBO타자는 없다는 소리가 괜히 나온게 아님,Ik4ckKTRz0w
@하트리빠,4,정후 덕에 스포티비 주가 쭉쭉 올라가네 ㅋㅋ,Ik4ckKTRz0w
@아-e7k9g,2,사도스키가 그랬지...크보 전체 평균은 더블수준인데 신기한 게  메쟈급부터 싱글급까지 골고루 있다고...그러니 크보 씹어 먹는 수준이면 메쟈에서 성공 할 확률이 있다는 거지ㅋ 안타까운 건 지금 크보에서는 김도영 정도 제외하면 투타 모두 씹어 드시는 애들이 없다는 거...,Ik4ckKTRz0w
@민찬박-m5u,2,SPOTV가 잘하는것 1. 손흥민 골모음 2. 김하성 수비모음 3. 이정후 타격모음 모음집은 참 잘만듬,Ik4ckKTRz0w
@하하-k1b6i,2,13:20 이런걸 치는데 크보에 상대가 있겠냐 와..,Ik4ckKTRz0w
@JOURMAMU,2,아니 야구도 야구인데 개잘생겼네 이정후,Ik4ckKTRz0w
@Ekejsn,2,이대로만 쭉하면 mlb레전드에도 오를수있는 선수,Ik4ckKTRz0w
@우산적,2,아. 이정후 별로 안좋아했는데.. 인정합니다 외모+실력 크.. 만화주인공 같은데.. 우리나라에서도 만화주인공 같은 선수가 나오길 바래봅니다,Ik4ckKTRz0w
@hyunb3811,1,크보에 있을때 큠팬은 아니었지만 메이저 진출 한단 소식 들었을때 잘해서 이름 날렸으면 좋겠다고 바랬는데 이번 시즌 날아다니는거 보니까 기분 너무 좋네요 쭈욱 좋은 리듬으로 메이저에서 롱런 하길 응원할게요 우리나라도 이정후 보유국 가보자고❤️‍🔥❤️‍🔥❤️‍🔥,Ik4ckKTRz0w
@빕-g1z,1,9:01 햐 근데 어깨 쥑이네,Ik4ckKTRz0w
@Tmong8282,1,와 인급동 ㄷㄷ,Ik4ckKTRz0w
@Tours3o2h2,1,우리 타지에서 활약하는 선수들 슬럼프일때도 일어설수있게 응원들 해줍시다,Ik4ckKTRz0w
@emptylandkim,1,부상당하기전에도 엄청 잘했음 올해는 다치지 말고 쭈욱~,Ik4ckKTRz0w
@Lllllliiiiiioooo,1,2할 5푼에 장타 괜찮고 수비 괜찮게해서 길게 갈거 같았는데 이 정도로 잘한다고.. 진짜 기대 이상이다.,Ik4ckKTRz0w
@hee-z7t,1,야구 안보다가 우연히 보게 됐는데  은근 잼있네요 ㅎ이정후  넘 잘하네요👍,Ik4ckKTRz0w
@Drafonprime,1,키움팬은 아니지만 이정후선수잘하니 너무 기분이좋네요 화이팅^^,Ik4ckKTRz0w
@김성민-f1f,1,야   ❤😂🎉,Ik4ckKTRz0w
@Fabulous-hj0428,1,우리는 이정후의 시대에 살고 있다,Ik4ckKTRz0w
@aaaaaa47704,1,그 와중에 9:59 존잘이네,Ik4ckKTRz0w
@key_bluehope,1,오래살아야 한다는걸 절실히 느낀다 김하성은 예고였고 이정후가 본편이다 메이저를 씹어먹는 이정후 국내있을때나 메이저에서나 이정후는 역쉬나다 오늘의 이정후는 메이저소식으로 이어진다  해설.캐스터 할맛나겠다 얼마나.좋을까? 우리나라선수를 이정후의이름을 활약상을 라이브중계 한다는게 정말행복할것같다,Ik4ckKTRz0w
@I9X_땔감_하이라잇_T8V9,1017,*밥 안 먹어도 배부른 건가  타격코치 웃음 궁금하네ㅋ*,3veRj6plb1c
@Skollok,5,자신감이 아주 확실하게 붙었네요,3veRj6plb1c
@DUSTSTAR-tt9eq,3,김하성 보는거같네 항상 본인은 잘하는데 스코어 보면 지고있음 ㅋㅋㅋㅋ,3veRj6plb1c
@김연희-r9r,3,와우 번트가 예술,3veRj6plb1c
@OWEN-do7gs,2,야구 참 좋아하다 근래 잘안봤는데 이정후 하이라트는 꼭 챙겨 본다요. 이러다 곧 본방입문할듯.,3veRj6plb1c
@초코초코-n9b,2,복귀해 넥센히어로즈로,3veRj6plb1c
