categoryId,channelTitle,id,title,viewCount
17,SPOTV 오리지널,Ik4ckKTRz0w,개막 한 달? 일단 모아 왔습니다.｜이정후 2025 MLB 활약상,746553
17,스포타임,3veRj6plb1c,'기습 번트+3출루' 이정후… 코치도 웃게 만들었다 #SPOTIME,2258582
10,아이돌 인간극장,rTZmmk5NHGU,[SUB] "여러분 믿으면 안 돼요 vs 저는 진실을 얘기했어요" 엔시티 위시의 폭로전(?) | 아이돌 인간극장,269067
10,ASTRO 아스트로,UUFJlUy5aA4,아스트로(ASTRO) - 꿈속의 문(Moon) : Memory of the Moon,2585076
20,브롤스타즈,uRGjeXyx-Fs,브롤 토크 : 새로운 브롤러 희귀도?! [브롤스타즈],88202
23,꼰대희,JwIkZYKEU_Q,[EN] [밥묵자] 보고만 있어도 아빠미소가 절로 나는 인간 비타민 살아있는 행복 바이러스 "츄"와 밥 한 끼,311687
28,EBS 컬렉션 - 사이언스,0LiCt0QciGc,제로슈가  정말 먹어도 될까? 최초 공개하는 단맛의 비밀부터 대체 감미료의 숨겨진 이야기까지 대공개 (feat. 최명환 교수/우창윤 교수) [취미는 과학/ 29화 확장판],236470
10,ASTRO 아스트로,8cQQX7TsInk,아스트로(ASTRO) - 꿈속의 문(Moon) : Commentary,615169
22,찰스엔터,45hKHD0yP5A,오키나와까지 가서 아무것도 안하는vlog,1053849
22,안녕하세요 최화정이에요,Ld7jPMHMFBo,최화정이 결혼 반대한 김지호♥김호진네 맛있는 집들이 (+오뎅말이 전복솥밥),912498
10,HYBE LABELS,wrISHhZ-GTs,BOYNEXTDOOR (보이넥스트도어) 4th EP [No Genre] Trailer Film,1338027
24,갓경규,w4qvgMBjOPc,80평 집에서 단 4평만 사용하는 대부 '이경규' 집 최초공개 (+충격앨범),872374
24,Pixid,wMxeNpX-l48,[ENG/JPN/CHN] 두리안 처음 먹어본 아이돌 찐반응 (???: 끝까지 먹일 거야.) l TXT(투모로우바이투게더) 수빈 l 제로베이스원 장하오 l 최애의 최애,928277
10,Coachella,cdeKX7cs-r0,JENNIE - like JENNIE - Live at Coachella 2025,5231569
22,Mrs.뉴저지 손태영,KUzXga0Hplg,드디어 권상우 컴백♥ 오랜만에 만났더니 애틋함이 폭발하는 태영상우 부부,157433
24,M2,9bU8cr0phOs,[팅글썰롱] ASMR로 듣는 '엔시티 위시 리쿠&유우시가 친해진 계기는?' | NCT WISH 리쿠&유우시 편,251766
