comment_author,comment_likes,comment_text,video_id
@내가이순신이다,6,문제많은 여자를  띄워주는 이유가 뭘까? 왜 ? 왜일까?,GQHhiQOwkpo
@yuriyuri1473,3,댓글 서예지 잊었나? 아니면 댓글 부대인가,GQHhiQOwkpo
@TheDkdl1176,2,엥 서예지 복귀함? 너무 싫은데,GQHhiQOwkpo
@HHHGK0924,2,여자는 냄자패도되고 남자는여자패면안되고,GQHhiQOwkpo
@GGBOY-c3j,2,서예지도 슬슬 나오네 ㅋㅋㅋㅋ 대한민국은 역시...,GQHhiQOwkpo
@포스김치,2,이 여자 옛날에 무슨 사건 있었는데 뭐였지?,GQHhiQOwkpo
@핑코니pinkoni,1,와 연기 속시원하네요 ^^,GQHhiQOwkpo
@fnsjsowpo8c8c4dhwjw,1,근데 cctv도 있는데 계집은 사내새끼 때려도 돼????,GQHhiQOwkpo
@루피-x2w,1,또 누굴 가스라이팅 할려구... 서예지 !,GQHhiQOwkpo
@혁허-h6t,1,연기를 왜저리 못하지?,GQHhiQOwkpo
@lsy881005,1,서예지 쟨 활동해도되나?,GQHhiQOwkpo
@준이네-q7h,1,서예지가 왜 나와~??,GQHhiQOwkpo
@user-das12v,1,예지 누나 색기봐라 와.. 바로 섯네,GQHhiQOwkpo
@미보-m4e,1,사준거 돌려줘야지 왜 남자가 맞냐 ㄷㄷ,GQHhiQOwkpo
@김근모-j5w,1,재미도 없고 억지네?,GQHhiQOwkpo
@suilovejl,1,서예지 배우 활동 많이많이 해주세요 ㅠㅠ♥너무 아름답고 딕션 완벽함 항상 응원해요!!,GQHhiQOwkpo
@23블루워터,1,가만보면 SNL은 논란 있던 연예인들 다시 방송 보낼려고 빌드업시키는 프로그램같네 ㅋㅋ 하긴 ㄱㄷㅈ들한테는 시간이 지나면 다 잊혀지니 괜찮은 방법같다,GQHhiQOwkpo
@silversica,1,서예지 싸가지없다고 논란아니였나,GQHhiQOwkpo
@bscrew2001,1,"암튼 댓글 다는 놈들 다 무식해,, 생각이 없어, 학력 위조 한거 기억 멋하거 그저 좋댄다, 이러면 픽 저러면 픽 줏대가 없다",GQHhiQOwkpo
@ClarkKim1,1,"남자 목소리톤으로 ""할꺼야!!1?""하는 거 들어보면 서예지 본성 자체가 얼마나 거칠고 야만적인지 충분히 짐작가능합니다. 저정도 톤의 목소리를 여자가 우렁차게 내면 여자 성격 100% 개차반입니다. 사회 경험상..",GQHhiQOwkpo
@My_Way_Edit_drama_Cut,143,"드라마 제목: 킹더랜드 입니다.
좋아요만 눌러 주셔도 큰 힘이 됩니다!
※무분별한 악플은 삭제,차단될 수 있습니다.※",WG7juzwxzwE
@파숑숑계란팍,6,No 뜨밤에 앵그리 Gran mom,WG7juzwxzwE
@김명희-v3p,2,ㅎㅎㅎㅎㅎ,WG7juzwxzwE
@짱구-d9n,2,요즘 시대에 참 올바른 어른이다😅,WG7juzwxzwE
@빡빡2-k5k,1,할머니가 문 열었을 때 2명이 아니라 3명이였어야지... 할머니가 화날만 했네,WG7juzwxzwE
@JHM-fd1qf,1,증손주가 하루빨리 보고싶은 할머니 ㅋ,WG7juzwxzwE
