category,categoryId,channelTitle,commentCount,country,description,id,likeCount,publishedAt,tags,title,url,viewCount
comedy,23,요즘예능 1분요약,1602,KR,SNL 김원훈 애드립 웃참 실패한 서예지 #shorts #snl7 #쿠팡플레이,GQHhiQOwkpo,142252,2025-04-14T03:00:13.000Z,[snl  snl 코리아  snl7  snl시즌7  서예지  서예지 딱딱  김원훈  가스라이팅  김원훈 애드립],SNL 김원훈 애드립 웃참 실패한 서예지 #shorts #snl7 #쿠팡플레이,https://www.youtube.com/watch?v=GQHhiQOwkpo,7700082
comedy,22,드라마내컷,509,KR,#shorts #킹더랜드 #이준호 #임윤아 #고원희 #김가은 #김선영,WG7juzwxzwE,45548,2025-04-15T11:11:00.000Z,,진짜로 손만 잡고 자면 어떡하냐  이 등신아!!! #shorts #킹더랜드,https://www.youtube.com/watch?v=WG7juzwxzwE,4510658
comedy,23,쇼케치북,1606,KR,#스케치코미디 #김민교집합,rxrZ_CNACsc,154800,2025-04-13T05:14:49.000Z,,쌉T 상담실장의 팩폭ㅋㅋㅋ,https://www.youtube.com/watch?v=rxrZ_CNACsc,6379582
comedy,22,예능내컷,506,KR,#shorts #아는형님 #강호동 #서장훈 #김영철 #이수근 #김희철 #민경훈 #이상민,ORoA7-K_Xe4,26487,2025-04-19T15:21:00.000Z,,미스터 비스트 더빙 녹음하면 페이는 얼마 받을까? #shorts #아는형님,https://www.youtube.com/watch?v=ORoA7-K_Xe4,1528346
comedy,23,심심숏폼,177,KR,,cvrdc3FsoE8,57981,2025-04-18T09:30:29.000Z,,이런 여자와 꼭 결혼 해야 하는 이유 #스케치코미디 #코미디 #유머,https://www.youtube.com/watch?v=cvrdc3FsoE8,1594443
comedy,22,1분유튜브,89,KR,#웃기시네 #스케치코미디 #동거 #일진,spIcATGfgsg,38330,2025-04-18T12:31:05.000Z,[웃기시네  웃기시네 동거  웃기시네 계약동거  웃기시네 동거 몰아보기  웃기시네 계약동거 몰아보기  웃기시네 동거 31  웃기시네 동거 쇼츠  웃기시네 계약동거 31  웃기시네 계약동거 모음  웃기시네 쇼츠  웃기시네 몰아보기  웃기시네 모음  스케치코미디  스케치코미디 동거  스케치코미디 동거 몰아보기  스케치코미디 동거남녀  스케치코미디 동거 31  스케치코미디 동거녀  스케치코미디 여자  스케치코미디 쇼츠  스케치코미디 채널  스케치코미디 몰아보기  스케치코미디 모음  동거  동거 몰아보기  동거계약  동거계약 몰아보기  동거계약 31  계약동거  계약동거 몰아보기  동거남녀  동거남녀 몰아보기  동거녀  동거녀 웃기시네  웃긴영상  웃긴영상 레전드  웃긴영상 쇼츠  웃긴영상 채널  웃긴영상 모음  1분유튜브  시간훅가는쇼츠  시간훅가는채널  뭐볼거없나  재밌는 영상  재밌는 영상 레전드  재밌는 영상 모음  재밌는 영상 쇼츠  쇼츠],삥뜯는 일진 참교육,https://www.youtube.com/watch?v=spIcATGfgsg,1482989
comedy,22,1분책임,897,KR,#shorts #스케치코미디 #웃긴짤 #유머 #재밌는영상 #남사친 #여사친 #연애 #커플   📌풀영상은 "럽씨" 유튜브 채널에서 원본으로 보실 수 있습니다 (응큼한 생각하지마라 ㅡㅡ편) 링크: https://youtu.be/8w0EGBHsQeM?si=aqjRU0jHfyiA4uBV ✔모든 영상은 풀영상으로 꼭 보시는 것을 추천드립니다.✌️  #키스,0TyxWDdLWkk,31181,2025-04-18T10:00:06.000Z,,이래서 남사친 여사친이 없는듯,https://www.youtube.com/watch?v=0TyxWDdLWkk,1507952
comedy,24,미남재형,544,KR,#미남재형 #food #lifestyle #shorts #meme #mufasa #영화 #드라마 #스케치코미디,o2BgF4_a5Fc,47992,2025-04-16T03:00:51.000Z,,유부남과 실세,https://www.youtube.com/watch?v=o2BgF4_a5Fc,1909132
comedy,23,김켈리 Kellyfornia,566,KR,,x3qTW_VwSvs,58571,2025-04-18T10:01:35.000Z,,내멋대로 살아도 되는 이유 (ib: marrkadams89‬),https://www.youtube.com/watch?v=x3qTW_VwSvs,1202344
comedy,24,한 줄 판결,128,KR,,h92EaTrLLZU,25884,2025-04-18T02:09:00.000Z,,심사위원도 놀란 8살 마술 천재,https://www.youtube.com/watch?v=h92EaTrLLZU,1136662
comedy,24,침착맨,1049,KR,• 이 클립이 나온 영상 (https://youtu.be/Tt98HJF4CvA?si=xfM05bHCUUe2x-Mj)  • 2025년 04월 05일 방송분 (https://www.youtube.com/live/W425KKGvfAg?si=KGwxJAWn6N9E7R56)  ▶편집: 13수자,cDop9LM6q40,33379,2025-04-16T08:00:50.000Z,,외톨이,https://www.youtube.com/watch?v=cDop9LM6q40,1830385
