comment_author,comment_likes,comment_text,video_id
@봉-j7o,12,훈훈하네요,oRQDGwrTtSo
@김신우-c8i,4,하루가 나올줄 알았는데..모레가ㅋㅋㅋ,oRQDGwrTtSo
@chokobi0522,3,멋진 누님두셨네요,oRQDGwrTtSo
@kmc7787,3,다음사람이네😊❤,oRQDGwrTtSo
@오로라신,3,이야😂머리좋다ㅋㅋ❤❤,oRQDGwrTtSo
@박정현-e8f,3,기세로 모든것을 압도하였다  그 증거로 말문이 막힘,oRQDGwrTtSo
@대명-k3z,2,왠지 누나는 사랑하는 한남자 한데만 올인할거 같다,oRQDGwrTtSo
@블론티TV,2,진짜 웃기네 ㅎㅎ,oRQDGwrTtSo
@junwoo9492,2,예~~~~~~ 😄😄😄,oRQDGwrTtSo
@you-l9-k9j,2,밝아서 좋다~~~부럽,oRQDGwrTtSo
@abcdefg_ijk,1,😂😂,oRQDGwrTtSo
@bradlee-4203,1,뛰는 놈위에 붙어 나는 놈 있다 ㅋㅋㅋㅋ,oRQDGwrTtSo
@nstaekwon81,1,저런누나와 결혼하면 평생 웃을거 같다 그런데 광기에 무서운 순간도 많을것 같다  그 과자봉지속 얼굴이 생각나네ㅋㅋㅋ,oRQDGwrTtSo
@leelee-zz8zi,1,누나 쵝오,oRQDGwrTtSo
@kk-ig3le,1,진짜 이번건 첫째가 제대로 살렸다 ㅋㅋㅋㅋ,oRQDGwrTtSo
@seiko5946,1,네? 할 때 목소리 멋있다,oRQDGwrTtSo
@이승현-h6m7j,1,진짜ㅎㅎ 사랑이다ㅎㅎ,oRQDGwrTtSo
@colormusic-d4t,1,ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,oRQDGwrTtSo
@holly-vi3dw,1,진짜 피지칼이 다했다 개웃겨요ㅠㅠㅋㅋㅋ,oRQDGwrTtSo
@ywj0615,1,오...똑똑해 ㅋㅋㅋㅋ,oRQDGwrTtSo
@내가이순신이다,5,문제많은 여자를  띄워주는 이유가 뭘까? 왜 ? 왜일까?,GQHhiQOwkpo
@TheDkdl1176,2,엥 서예지 복귀함? 너무 싫은데,GQHhiQOwkpo
@HHHGK0924,2,여자는 냄자패도되고 남자는여자패면안되고,GQHhiQOwkpo
@yuriyuri1473,2,댓글 서예지 잊었나? 아니면 댓글 부대인가,GQHhiQOwkpo
@포스김치,2,이 여자 옛날에 무슨 사건 있었는데 뭐였지?,GQHhiQOwkpo
@핑코니pinkoni,1,와 연기 속시원하네요 ^^,GQHhiQOwkpo
@fnsjsowpo8c8c4dhwjw,1,근데 cctv도 있는데 계집은 사내새끼 때려도 돼????,GQHhiQOwkpo
@루피-x2w,1,또 누굴 가스라이팅 할려구... 서예지 !,GQHhiQOwkpo
@혁허-h6t,1,연기를 왜저리 못하지?,GQHhiQOwkpo
@lsy881005,1,서예지 쟨 활동해도되나?,GQHhiQOwkpo
@준이네-q7h,1,서예지가 왜 나와~??,GQHhiQOwkpo
@user-das12v,1,예지 누나 색기봐라 와.. 바로 섯네,GQHhiQOwkpo
@미보-m4e,1,사준거 돌려줘야지 왜 남자가 맞냐 ㄷㄷ,GQHhiQOwkpo
@김근모-j5w,1,재미도 없고 억지네?,GQHhiQOwkpo
@suilovejl,1,서예지 배우 활동 많이많이 해주세요 ㅠㅠ♥너무 아름답고 딕션 완벽함 항상 응원해요!!,GQHhiQOwkpo
@23블루워터,1,가만보면 SNL은 논란 있던 연예인들 다시 방송 보낼려고 빌드업시키는 프로그램같네 ㅋㅋ 하긴 ㄱㄷㅈ들한테는 시간이 지나면 다 잊혀지니 괜찮은 방법같다,GQHhiQOwkpo
@silversica,1,서예지 싸가지없다고 논란아니였나,GQHhiQOwkpo
@bscrew2001,1,암튼 댓글 다는 놈들 다 무식해   생각이 없어  학력 위조 한거 기억 멋하거 그저 좋댄다  이러면 픽 저러면 픽 줏대가 없다,GQHhiQOwkpo
@ClarkKim1,1,남자 목소리톤으로 "할꺼야!!1?"하는 거 들어보면 서예지 본성 자체가 얼마나 거칠고 야만적인지 충분히 짐작가능합니다. 저정도 톤의 목소리를 여자가 우렁차게 내면 여자 성격 100% 개차반입니다. 사회 경험상..,GQHhiQOwkpo
@GGBOY-c3j,1,서예지도 슬슬 나오네 ㅋㅋㅋㅋ 대한민국은 역시...,GQHhiQOwkpo
@o_n_movie,1179,🎬소개드리는 영화는 <하이에나 로드> 입니다!,8PVPtGa2lXs
@페리간부,3,액체폭약이라면 가능함 도로거부 목적으로 드럼통에 들어있는 폭약을 액체폭약이라고 하는데 물로된 폭약임,8PVPtGa2lXs
@김준성-n2t,2,유툽보는 사람 입니다. 진짜 된다고합니다,8PVPtGa2lXs
@다간선가드케이캅스,2,마지막총알 효율쩐다,8PVPtGa2lXs
@pedrogim6952,2,리더의 탁월한 전문성이 발휘되는 정확한 직관 통찰력과 정확한 판단이 얼마나 중요한 가를 잘 보여준다. 한가지 부족한 점이 있어서 지적하면  혹시모를 지뢰매설지에서 확인사격을 가할 명령을 내리기전 시아 확보와 안전거리 밖으로 물러나거나 피할 수 없다면  분대원들과 지휘관 자신의 안전을 확보하고  낮은 포폭지세 또는  엎드려 쏴 자세로 엎드리라고 명령하고   의심되는 표적에 마지막 사격을가했어야한다.,8PVPtGa2lXs
@brienkim8471,1,로켓탄 100m밖에서 지켜본바로는  연기는 좀 과장되있지만  위력은 저 정도 크기가 맞을거에요. 상상 이상 입니다.,8PVPtGa2lXs
@cyeyhv,1,내말이 그거지  총알 한방은  그저 총안 한방이지만 이걸 그냥 지나 가버린다면 총알 만원짜리 한방에 몇백억에 버.금가는 목숨이 한빙메 기는거지.,8PVPtGa2lXs
@madmacline,1,정찰대 훈련빡셌는데...,8PVPtGa2lXs
@청소부의하루,1,우리나라도 저런 리더 만나야하는데,8PVPtGa2lXs
@임창홍,1,저정도는 나도알겠다.,8PVPtGa2lXs
@자세히알아보기-q5q,1,윈스턴?,8PVPtGa2lXs
@ksungm1214,1,총알이 아니라 박격포쏜듯,8PVPtGa2lXs
@阿宪,1,타국,8PVPtGa2lXs
@조아조아-p8l,1,견착을 왜 저렇게하고 반동은 왜또 없지,8PVPtGa2lXs
@fromcall1383,1,여기에..? 할때 왜 개머리판을 어깨 위까지 올리는거지 궁금한데 그냥 망원경 처럼 보려고 올리는건가?,8PVPtGa2lXs
@전전형기-m2u,1,이게 참군인이다,8PVPtGa2lXs
@RaZe-m7c,1,잘 몰라서 여쭤보는데 총쏠때 저런식으로 견착을 하기도 하나요?,8PVPtGa2lXs
@jj-ql5gy,1,대전차지뢰 하나면 건물이 무너짐 저건 IED일텐데 그냥 사제폭탄 개념이라 걍 와 저 도로에 폭탄다발을 숨겨놨구나 생각하면 저리 큰 폭발도 수긍됩니다 지뢰 하나가 터진게 뭐저리 쎄지 생각하면안됌,8PVPtGa2lXs
@이안녕-l7n,1,아 놔 ㅡㅡ 여기 있었네 내 군생활 k2 총알 군대썰 증거 자료.,8PVPtGa2lXs
@さあまなか,1,폭발하면 몸 날라가는 장면있는데 압으로 인해 순간 200kg 덤벨이 내몸을 밀친다고 생각하면됩니다,8PVPtGa2lXs
@에어컨-e3o,3611,말레피센트랑 짜고 왕위만 꿀꺽하지 그 뒤로 평화협정하면 좋을거같은데,cpxjQ91VTYw
@playlist_mf,222,한 사람에게 가장 큰 고통을 주는 방법은 그 사람의 모든것이 되었다가 말없이 떠나는 것이다.,cpxjQ91VTYw
