author,likeCount,text,videoId
@정은미-u8u,6,케이티 오늘 경기 진짜 박수를 보내❤ 완전 소름돋았던 경기,fnkjATLxvpI
@KURO-up9ky,5,○타임라인●  1. 디플러스-DRX - 1세트 밴픽: 29:25             시작: 37:40  - 2세트 밴픽: 1:38:25             시작: 1:45:39  - 3세트 밴픽: 2:30:24             시작: 2:40:30  2. KT-DNF - 1세트 밴픽: 3:47:20             시작: 3:53:48  - 2세트 밴픽: 4:53:44             시작: 5:01:22,fnkjATLxvpI
@AtaraxiA07,2,아아...lec의 맛이 난다,fnkjATLxvpI
@Wkfhfuwi19,1,4:38:16 KT는 팬들의 정신건강을 보장하라,fnkjATLxvpI
@이단적,1,커즈 피들 잘하네,fnkjATLxvpI
@배경-t1x,1,근데 Lck는 왜 또 UI 바꾼거임? 스택수 다시 표시되게 해줘라 차라리 Lck컵(퍼스트 스탠드 아님)UI가 훨씬 나은듯 사이온 스택도 보고 싶은데,fnkjATLxvpI
@user-qd9cn3mx8k,0,우찬아 그거 맛있어보인다 피들스틱 나도 해봐야겠는걸 -왕호,fnkjATLxvpI
@jeddnabi7625,0,kt-dnf 1경기는 중요도를 배제하면 역대급 ㄱ꿀잼이었다,fnkjATLxvpI
@ersione,0,KT DNF 경기 미쳤다 엄청 재미있네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,fnkjATLxvpI
@netok4388,0,에이밍도 진짜 어지간히 잘하네 ㅋㅋ,fnkjATLxvpI
@복음만이,0,4:28:00 작전명 버섯커 키우기..,fnkjATLxvpI
@조이라이더-o6u,0,딮기 분위기 좋네ㅎㅎ,fnkjATLxvpI
@핸들1-3,0,시우는 역시 아직 판단력이 미숙하긴 하다,fnkjATLxvpI
@김석희-b7c,44,괴물쥐는 서폿을 구박하고 싫어하지만 사람으로 보고 개카는 서폿을 귀여워하고 좋아하지만 사람으로 안봄,x9faZJUU7SA
@user-ml8cv2bl3l,29,14:50 킬먹었다고 뭐라하니까 지 공격력찍는거 개웃기네ㅋㅋㅋㅋㅋㅋㅋㅋ,x9faZJUU7SA
@커밋-b2x,26,12:50 지환이 골골송 ♥,x9faZJUU7SA
@KDS1608,8,11:48 말파 ㅋㅋㅋㅋㅋㅋ,x9faZJUU7SA
@AhahAh-pp7fd,4,14:37 와 뭐야 판테온 w쓴 줄도  몰랐네;;,x9faZJUU7SA
@윤성민-n7c,2,19:26 아 표정ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ개쳐웃기넼ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,x9faZJUU7SA
@흑임자-y3z,2,썸네일에 tung tung tung tung tung tung tung tung tung sahur 뭐냐,x9faZJUU7SA
@napoli0835-y5c,1,쥐와 다람쥐는 유명한 앙숙이자 견원지간임,x9faZJUU7SA
@김준서-g9l,1,롤체는 언제하는거야,x9faZJUU7SA
@niiia8927,1,롤체해라,x9faZJUU7SA
@SS-f6i,1,0:22 ㅈㅁ이햄에게 하는 말 ㄷㄷ,x9faZJUU7SA
@junhong5991,1,돼지는? 12:51,x9faZJUU7SA
@피칸파이-t2y,1,협곡의 성진국이라는 나쁜말은 ㄴㄴ,x9faZJUU7SA
@김정우-g9m1u,1,파카서폿vs괴물쥐서폿 보고싶으면 개추 ㅋㅋ,x9faZJUU7SA
@gobikkol,1,아캅스 괴물쥐 이 둘은 문제아지만 최강,x9faZJUU7SA
@minip4175,1,안녕하세요 물쥐님 이 댓글을 보실지 모르겠지만 오랜 팬으로서 감사하다는 말씀드립니다 덕분에 심심할 때 물쥐님 영상 보면서 진짜 많이 웃고 좋아했어요 내일 군대 가는데 잘 갔다 오겠습니다.. 흐에!!!,x9faZJUU7SA
@user_kkeunsang,1,말파이트 0인궁 볼때마다 개웃기네 ㅋㅋㅋㅋ,x9faZJUU7SA
@KRnewsWorld,1,퉁퉁퉁퉁퉁퉁퉁퉁 쥐후르!!!,x9faZJUU7SA
