comment_author,comment_likes,comment_text,video_id
@symphonyabc9778,58,like the season  in the dream  seemingly  standing still   🎵 the voice in  my memory  wakes me up 🎶,W-1DWS-lZ9c
@LOHAS-p1f,56,임영웅 임영웅 때문에 미치겠다 임영웅 이 노래를 너무 잘해 미치겠다 아침마다 오롯이 혼자 듣는   천국에서 들려오는 임영웅 노래때문에 또 한번 미치겠다,W-1DWS-lZ9c
@symphonyabc9778,56,like a flower  blooming on  a chilly morning  🎶 in the season  of eternity   never forget it 🎵,W-1DWS-lZ9c
@김수연-d5f,56,너무 좋네요~ 친정엄마 돌아가시전까지 찐팬이셨는데 이젠 제가 그 뒤를 이어가네요~~,W-1DWS-lZ9c
@beautifulday5569,55,임영웅  드라마 '천국보다 아름다운'과  컬래버레이션한 동명의 싱글 'Heavenly Ever After' 4월 18일(현지시간) 발표한  영국 오피셜 차트  싱글 다운로드 차트 Official Singles Downloads Chart 39위를 기록했으며 싱글 세일즈 차트 Official Singles Sales Chart에서도  78위에 오르며 존재감을 빛냈습니다  영국 오피셜 차트는  미국 빌보드 차트와 함께  글로벌 양대 팝 차트로  꼽히는 차트랍니다  자축하며 내친김에 1위까지 쭈~욱 달려보아요,W-1DWS-lZ9c
@rollingstones7374,54,감탄할 수밖에 없는 4분53초! 사랑스럽고 자랑스러운 가수 임영웅 정말 짱짱짱!!!,W-1DWS-lZ9c
@rarara3026,53,임영웅 천국 보다 아름다운 드라마  착한 임영웅 목소리가 더아름답게 하네요 나두 착하게 살아야지 다짐하게 하네요,W-1DWS-lZ9c
@해바라기-i5g4t,53,너무너무 고마워요 임영웅  천국보다 아름다운 감동🎉,W-1DWS-lZ9c
@조서영-x4t,51,임영웅  천국보다아름다운  눈이부시는 아름다운가수  최고입니다  늘곁에서 응원합니다,W-1DWS-lZ9c
@user-gv5yj-t7j,49,임영웅   대단한가수 8일연속 유튜브인기급상승1위 증명하다,W-1DWS-lZ9c
@겨울솔방울,49,임영웅 아티스트  천국보다 아름다운    잘 보고 있고  노래도  잘 듣고있습니다   귀가  녹아 들어 가는것  같아요 ..건행,W-1DWS-lZ9c
@mulmangchobb,48,임영웅 🩵 천국보다 아름다운  싱글앨범 영국 오피셜 차트 진입 🥳 "싱글 다운로드 차트" 39위 기록 "싱글 세일즈 차트" 78위 영국 오피셜 차트는 미국 빌보드 차트와 함께 글로벌 양대 팝 차트로 꼽히고 있다 앞서 모래 알갱이 Do or Die 온기로 미국 빌보드 차트에 진입했던 가수 임영웅 은  또 하나의 의미있는 기록들을  영웅시대와 함께 쓰고 있습니다  임영웅 최상의 실력자 사랑으로 응원합니다 건행ㄱ,W-1DWS-lZ9c
@밬-g4z,48,듣고있어도 듣고싶고 보고있어도 보고싶은  임영웅,W-1DWS-lZ9c
@구은숙-b2m,48,임영웅 목소리가 천국이네요. 들을수록 감동입니다.,W-1DWS-lZ9c
@jungsuk1761,47,임영웅 천국보다 아름다운  지나온 시간. 다가올 시간 이렇게 마음을 울리는 목소리를 사랑합니다,W-1DWS-lZ9c
@아이처럼1956,47,임영웅 천국보다 아름다운 집중해서 듣게 된다 다 듣고나면 아!.. 하는 감탄사가 나온다,W-1DWS-lZ9c
@이선유-s6r,46,임영웅 천국보다 아름다운목소리 알고 깨끗한 목소리 아릅답습니다,W-1DWS-lZ9c
@흰빙,46,임영웅 천상계 명품보이스가 바로 이 목소리네요~ 역시! 최곱니다^^👍👍👍,W-1DWS-lZ9c
@이종덕-j2e,45,듣고있으니 눈물이 나네요  떠나간 님 보고 싶네요   ㅠㅠ,W-1DWS-lZ9c
@kho5610,45,임영웅 진짜 대단한 가수님 노래로 맘을 흔드니,W-1DWS-lZ9c
@Wilwyn22,33,It says a lot about Moonbin for his group  friends from other idol groups  his friends in general and his beloved sister to perform this memorial song for him. He was loved probably more than he even realized. He was loved not only for his talent but for his beautiful soul. He will always be remembered as our BIN and will be loved and remembered forever. Your wings were ready Moonbin but our hearts were not. Keep shining your love on us.,UUFJlUy5aA4
@_akshara_798,3,Can't we just stop fandom wars  the haters and anti's just why are they there to hate artists  if you hate or don't like them ignore them  don't listen or watch  just ignore. Why hate them? even their humans who have went through years of rigorous training but still don't give up and come this far and even they feel like giving up and they too feel lonely! So please we can't stop hater and anti's but as fandoms of different groups or artists  we know what our idols go through and that's exactly what other idols go through too. We are millions in each fandoms can't we unite together and shower them with love and praises so they don't feel lonely or so they don't feel like they're not loved. The fandoms keep fighting among each other while their idols are great friends & respect each other very much cuz they know best of the difficulties they faced so why are we as fans ruining their friendship? Maybe we don't see their friendship on screen but not everything is to be shown to us fans. Bcz of us idols who are friends are also scared to interact  we are ruining their friendship and we as fans can't support idols personaly like their friends do so please we don't know what happens behind the camera  we don't know how the idol feel deep in their heart  we don't know how close they are to each other. When we don't know these details who are we to hate them just bcz we are millions and that pressures them. No one is perfect  every human is imperfect but ofcourse everyone wants to be perfect  so are idols imperfect bcz of some mistakes they make they receive massive hate why? Don't we make mistakes? But we're not targeted or hated by millions of people bcz of that. They get plastic surgery bcz of the hate they would get for being ugly by the public and the toxic KBS standards  we hate them for things they do because of us and for us. If you don't like the type of music or anything about other groups or idols don't hate them  ignore them bcz fanwars do harm for their and your idol(every idol) it ruins any possible friendship or interaction and if you hate an idol do you think their fandom won't start hating your idols  and that's exactly what fandom wars are  theres no point it does barm for both so let's just stop please  let idols do what they want  live how they want  after all it's their life and everyone only lives once so why waste our time hating and talking shit about someone that we don't know personally. Let's enjoy our lives supporting our groups and idols and leave the others  that way even idols will get to live freely. Let's lower our TOXIC Standards of expecting idols who are also humans to be perfect and hating them for their little imperfections. If someone would just remind moonbin how loved he was and IS maybe he would've been with us😢 if just every idol knew their worth  the precious lives wouldn't have been lost😭.  RIP Moonbin 🌕 you are the brightest light in the dark i hope you know that💗. I cried while writing this paragraph bcz of how much idols suffer and how much we as fans add to the suffering🤧,UUFJlUy5aA4
@Soledad177,3,저는 군대입니다. 여러분에게 큰 포옹과 아름다운 노래  그리고 문빈에 대한 위대한 추모의 말을 보냅니다. 항상 우리 마음속에 있습니다 ❤️😢,UUFJlUy5aA4
@tharushinavodi8840,2,When the moon door opens  we'll be standing there  Dreaming of the day we meet again We will not forget you and wait for you.. 🥺🌙❤️ We love you binnie... Rest in peace...🌙,UUFJlUy5aA4
@Hwanghyunjin-l3b,2,STAYS😢🤍,UUFJlUy5aA4
@AngelaLeonardi-k3b,2,Grazie a tutti coloro che hanno ricordato BIN ❤❤❤,UUFJlUy5aA4
@trinidadvsanchezsosa8526,2,Hermosa canción de todos los amigos de Moon bin y muchas gracias a Nunu por hacerla realidad es un gran amigo y hermano que lo ama con el corazón ❤️❤❤❤❤❤,UUFJlUy5aA4
@fatmacahya2955,2,Terimakasih untuk lagu yang indah dan bagus ini Terimakasih untuk member dan sahabat moonbin  aku mencintai kalian Dan terimakasih pada fans yang mendengarnya dan Mengapresiasi karya mereka. Terimakasih kasih pada fans yang datang dengan berbagai alasan yang berbeda. Sekali lagi terimakasih untuk semuanya. Ayo terus berjalan bersama dan tetap bahagia 💞⭐💙💜💎🌙🌕🌕😢😭🙂,UUFJlUy5aA4
@LabaniKundu-f9s,2,I am an army but astro song is special to me it's gives me different vibe.......... Respect for every member and rest in peace Moonbin......,UUFJlUy5aA4
@yesshiimitchell5,2,De parte de AROHA 💜  muchas gracias a todos los fandoms  muchas gracias a cada una de las personitas que se han sumado. Un abrazo fuerte para todos 🫂💜✨. Moon Bin por siempre y para siempre en nuestros corazones 🌙✨.,UUFJlUy5aA4
@Tata22-s8v,1,Lagu penuh kasih sayang untuk Moonbin tersayang😢😭😭,UUFJlUy5aA4
@esther5150,1,❤❤❤,UUFJlUy5aA4
@stvrlightt2812,1,This made me cry 😭 ik I'm like 1 day late but we miss you moon bin ❤,UUFJlUy5aA4
@mona1216,1,When Bin died I was in my training  after my training and heard the news about him passing away. I cried a lot. And now here again remembering his bright smile that brought me happiness during those days ❤,UUFJlUy5aA4
@annalinamanalu,1,(merinding) terharu mendengar lagu ini 🥲🥲🥲,UUFJlUy5aA4
@余小梨,1,哭哭,UUFJlUy5aA4
@Shadow130203,1,Look at ASTRO and look for the corner of Bin's smile  but I know it's no longer there and I still want to deceive my mind 🥹 I accept that you are when I look at the sky and appreciate the moon 🌝 I imagine your smile with your half-moon-shaped eyes 🌜 I know that this song should not be to cry  it should be to remember you lunita. Your brothers  your sister and friends who love you and miss you have joined together to dedicate a beautiful letter to you  I imagine you heard it  smiled and you are happy about it☪️🌙Down here we will try to take good care of ourselves and live well as you always told us  where you are I imagine you happy lavishing laughter and mischief as only you know. I love you 🫶 Bin 💜,UUFJlUy5aA4
@eonoiaa_7e3,1,this song make me cry 😢😢😔,UUFJlUy5aA4
@roxanaespadas825,1,Siempre la escucharé antes de dormir para soñar contigo Binnie <3,UUFJlUy5aA4
@ss-vm4fc,1,JAPANファンクラブ閉鎖😭😭😭,UUFJlUy5aA4
@MEOWPOP-y2z,117,가사 너무 감동 되버려....,95gKcG80rhI
@mulmangchobb,33,임영웅 🩵 천국보다 아름다운  임영웅 그가 머무는 자리가 천국 그가 부르는 노래는 천사의 미소 노래하는 음유시인이 만들어 내는  다른 감성의 바다는 황홀 그 자체 임영웅 따뜻하고 맑은 목소리는  헤아릴 수 없는 깊은 감성의 늪 심연으로 빨려가고 있는 마음들  임영웅 함께가는 영웅시대,95gKcG80rhI
@joy8574,30,천국보다아름다운 드라마 오늘도 본방 사수합니다 임영웅 노래랑 너무나 잘 어울리네요,95gKcG80rhI
@행복힐링맘,29,와 우넘좋아 맘을끌어들이 는  천국보다 아름다운 가수 노래드 랑마초대박나세요드라마기다리고있어요👍💙🙏,95gKcG80rhI
@행복힐링맘,28,임영웅 천국보다 아름다운 드라마와 찰떡같이 어울리는명품 명곡 드라마 울다웃다넘 재미있게봤어요대대박나세요오늘저녁기다립니다🙏,95gKcG80rhI
@보리-o5n,28,임영웅 천국보다 아름다운 최고,95gKcG80rhI
@행복힐링맘,27,임영웅 조용한카리스마 아름다운  음색 천재 천국보다 아 름다운드라마 같이대박이여 라  라이브황제  임영웅 영,95gKcG80rhI
@user-kh2pm3vo4x,27,임영웅 🩵 천국보다 아름다운,95gKcG80rhI
@백명자-r4y,27,오늘도 기대됩니다 천국보다 아름다운 본방사수 합니다 ㅎㅎ 임영웅 사랑합니다,95gKcG80rhI
@공주김-c9n,27,노래한곡에 여러장르가 섞인느낌 뮤지컬도 있는거같구 임영웅 노래 진짜 잘하네요 연기도 했음 좋겠다,95gKcG80rhI
@난이-u5h,25,드라마 "천국보다 아름다운"과 임영웅 님의 따뜻한 목소리가 찰떡이어서 드라마에 더 집중되는 것 같아요!!,95gKcG80rhI
@staryl9140,25,천국보다 아름다운 임영웅 목소리는 마음을 숨쉬게해요,95gKcG80rhI
@스트로베리-p7w,24,듁흔듁흔 들마를 설레며 기다리게하는 킹영웅🩵,95gKcG80rhI
