author,likeCount,text,videoId
@하늘보리수,80,오늘 참 많이 울고 갑니다.제가 칠남매 둘째며느리지만 맏며느리역할하며 살았는데 세월이 그렇게 만들었는지 그들이 저를 맘아프게 히더라고요 이젠 모든게 버겁고 벗어나고 싶습니다  저는 친정에서도 맏딸인데 자랄땐 잘난동생들만 그들위주로 모든걸 해주다가 이젠 제가 더 잘살고 해드리니까 그게 저한테 그러는게 아니라 저랑 사는 남편한테  고마워하더라고요.저는 멀리 멀리  훨훨 날아가고싶습니다.훨훨,W-1DWS-lZ9c
@남이-o7s,68,임영웅 천국보다  아름다운  드라마와 함께하니  더 감동입니다 😮 500만회  찍고 천만회 갑시다,W-1DWS-lZ9c
@이혜련-r6z9n,67,오늘 드라마에서 천국보다 아름다운 노래 시청하면서 잘  들었습니다. 응원합니다,W-1DWS-lZ9c
@댕댕이-l1f,66,드라마끝나고 임영웅 노래 들으러 왔어요~~,W-1DWS-lZ9c
@changer-w1g,66,전혀  생각도 하지 않고 있었는데 노래를 들을수 있어서 너무 좋더라  노래도 1부보다 꽤 길게 나와서 더 좋았고 다음주도 본방사수~,W-1DWS-lZ9c
@Bunny-ut1nq,64,임영웅 드라마 끝나고 바로 와서 들으면 몰입짱,W-1DWS-lZ9c
@정해경-u9s,63,임영웅 사랑하는 국민가수  천국보다 아름다운  눈부시게 빛나는 내일을 응원합니다  오늘도 내일도 함께합니다 사랑합니다   임영웅,W-1DWS-lZ9c
@하얀마음-m4v,63,임영웅 천국보다 아름다운  오늘 하루 마무리 하며 모든분들 웅나잇~,W-1DWS-lZ9c
@Skdrud11390,63,임영웅 천국보다 아름다운 2회  시청완료 했네요~ 🩵 코믹하고 웃기고 잼나게 시청 잘했어요~ 오늘도 중간에 임영웅 목소리 🎵 나왔어요^^ 많은 가수가 ost 함께 한다고 뉴스 나온 것인데.. 그냥  울  임영웅 님이 함께 협업 한것으로 만족하세요!! OST는 드라마에서 1회정도 틀어주는거~ 한사람꺼만  주기장차 틀어 주는곳은 없지요^^ (분위기와 노래가 딱 맞아야..되니까..) 좀 팬이시라면 욕심부리지 마시고~ 뭐든 상황파확을 잘 인지하고 지혜롭게  덕질하는 습득이 중요한것 같으세요^^ 울 임영웅 님 생각해서 드라마 시청해주는거지.. 다른게 뭐가 있나요!!. 다음주를 기약합니다^^. 시청률 쭉~쭉 오르고 대박나길 기도합니다🙏,W-1DWS-lZ9c
@초코초코-p9c,61,임영웅 천국보다 아름다운 한번만더 한번만더 하면서 계속 못자고있어요,W-1DWS-lZ9c
@이수진-c4p,60,임영웅 사랑합니다 천국보다 아름다운 멋지다,W-1DWS-lZ9c
@정해경-u9s,60,임영웅  천국보다 아름다운  아름다운 목소리로 들을수있어서 행복합니다  사랑합니다 건행ㄱ 😊,W-1DWS-lZ9c
@김복실-p5x,59,드라마 장면과 너무 잘 어울려 감동이 배가 됩니다. 천국보다 아름다운 임영웅 노래가~~~😊,W-1DWS-lZ9c
@user-gv5yj-t7j,59,임영웅 천국보다아름다운  시청 완료 울가수님 사랑합니다,W-1DWS-lZ9c
@수국-p9i,59,왜 이렇게  좋을까요 완벽한 사람인,W-1DWS-lZ9c
@신지수-b8z,58,많이 많이 울러 퍼져 어디에서든 듣고 십네요 ㄷ임영웅  모든 순간 모든 날을 함께 합니다 건행,W-1DWS-lZ9c
@김지은-c9e3v,55,임영웅 천국보다 아름다운  녹는다 녹아~~,W-1DWS-lZ9c
@선화맘2-z5v,54,임영웅  드라마 속에서  울려 나오는 천상계의 목소리  감미롭고 포근한 목소리  목소리 천재 임영웅님  글로벌 월드 스타로 우뚝 서는 그날을 위해 언제나 기도하며 축복합니다  천국보다 아름다운  Ost 드라마 초대박 나세요  건행으로 행복한 한주 보내세요  사랑합니다 건행ㄱ 🩵🙏,W-1DWS-lZ9c
@rollingstones7374,54,우와와~~ 드디어 영어자막이!! 영국차트에 올랐다더니 얏호👍,W-1DWS-lZ9c
@rollingstones7374,53,이제 드라마 초반이라 천국보다 아름다운 1절 나즈막한  부분까지만 나옴.   스토리 중후반으로 흐르면  2절 클라이막스에서 느껴질 임영웅 목소리의 감동을 상상 하는 것만으로도  황홀하고 벅참.. 완곡이 나오는 날 넘 기대돼요  [ 영원의 틈 그 너머로 다시 우리는 날아가 찬란했던  아름다웠던 모든 날을 뒤로하고 아름다웠던 모든 날 눈이 부시던 모든 날 선명히 보이는 The rise  the Fall The sweet and bitter 그 모든 날 Lost and Found ] 이 부분 영상 넘 멋질 듯^^,W-1DWS-lZ9c
@Fan.de.Diosdado.Juarez,2,I am STAY but the truth is you don't know how much Moonbin's passing hurts me  I miss him so much  I miss his smile  his eyes and everything...😕💔,UUFJlUy5aA4
@danielamaurel,2,We will always remember him  Moonbin is in our hearts  he looks down on us from heaven and loves us  both the fans and his family🥺💖,UUFJlUy5aA4
@KellyKellydias,1,Beautiful tribute to moon bin was too beautiful  friends gathered was exciting  moon bin must be so happy of this beautiful tribute made with feelings of his friends  we love you very bin 💜🥺🌙 🇧🇷,UUFJlUy5aA4
@laty6868,1,theres no way they didnt cry in the making of this because i cried watching,UUFJlUy5aA4
@meyslina,1,Bin-a see you again there with the best smile (⁠^⁠^⁠),UUFJlUy5aA4
@desibraudrick6088,1,Picked the wrong time to listen to the song. Trying to hold in the tears at work! This is a reminder that we should keep them all in our prayers each and every day so that no more beautiful souls leave us again! 😢,UUFJlUy5aA4
@JullyanaGomez,1,❤siempre t recordaremos  Moon Bin ❤,UUFJlUy5aA4
@Fan.de.Diosdado.Juarez,1,Rest in peace Moonbin we love you so much 💗🕊,UUFJlUy5aA4
@Fan.de.Diosdado.Juarez,1,저는 STAY할 거예요. 하지만 사실 문빈이 세상을 떠나서 너무 마음이 아프고  그가 너무 그리워요. 그의 미소  눈빛  모든 게 그리워요... 😕,UUFJlUy5aA4
@deobisunwoo,1,rip moonbin ❤🕊️,UUFJlUy5aA4
@cheryldailey5310,1,I keep thinking about Moonbin.   Astro was the first K-pop group I started listening to after watching their BTS covers. I didn't feel confident to call myself Aroha but I am a fan. I loved Binnie very much. I'm happy his friends and family came together to create this song. I hope Moonbin can hear it and know how much he is loved and missed. I get goosebumps whenever I listen to it.   *hugs* any one reading my comment  please know you are not alone even if it feels that way. ❤,UUFJlUy5aA4
@Jottta_Cê,1,❤【J】【E】【S】【U】【S】 【T】【E】 【A】【M】【A】,UUFJlUy5aA4
@DyeingKittieCatz,1,I had just got into K-pop music when he passed so I didn’t really know who he was but I still cried watching this cause I could feel the love but also the sadness in their voices to I hope he’s looking and seeing this video and know that he was loved,UUFJlUy5aA4
@SalmaVlog-r8o,1,😭😭🌙🌙,UUFJlUy5aA4
@jenniferramirez1524,1,Basta llore demasiado 😭,UUFJlUy5aA4
@athiyyahluma6829,0,miss u so badd;((((((((,UUFJlUy5aA4
@aroha4358,0,༎ຶ⁠‿⁠༎ຶ,UUFJlUy5aA4
@-r-2962,0,gw gak pernah dengerin lagu astro  bahkan yang gw tau cuma eunwoo  dan baru baru ini san ha  dan ini pertama kali denger lagu astro  menangis lah karena maknanya dan gw terkesima sama suara satu orang  dicari cari ternyata dia member astro yang bernama MJ  suaranya keren  semoga kalian bisa lebih bersinar nantinya dan juga buat BIN semoga kamu juga bisa bersinar disana,UUFJlUy5aA4
@bungaarifka5359,0,udah dengerin berkali kali tetep aja mewekkk😭🥺,UUFJlUy5aA4
@luvjuns,0,binnie 💗 i love you so much! forever and always  thank you for all the happiness you gave me when i was younger. you and astro made those difficult times in my life a lot easier and for that  i’m eternally grateful ⭐️ you will always be my cute boy!! i love you to the moon and back 🌕💕,UUFJlUy5aA4
@eun-sol-nim,117,가사 너무 감동 되버려....,95gKcG80rhI
@mulmangchobb,33,임영웅 🩵 천국보다 아름다운  임영웅 그가 머무는 자리가 천국 그가 부르는 노래는 천사의 미소 노래하는 음유시인이 만들어 내는  다른 감성의 바다는 황홀 그 자체 임영웅 따뜻하고 맑은 목소리는  헤아릴 수 없는 깊은 감성의 늪 심연으로 빨려가고 있는 마음들  임영웅 함께가는 영웅시대,95gKcG80rhI
@보리-o5n,27,임영웅 천국보다 아름다운 최고,95gKcG80rhI
@행복힐링맘,27,와 우넘좋아 맘을끌어들이 는  천국보다 아름다운 가수 노래드 랑마초대박나세요드라마기다리고있어요👍💙🙏,95gKcG80rhI
@joy8574,26,천국보다아름다운 드라마 오늘도 본방 사수합니다 임영웅 노래랑 너무나 잘 어울리네요,95gKcG80rhI
@공주김-c9n,26,노래한곡에 여러장르가 섞인느낌 뮤지컬도 있는거같구 임영웅 노래 진짜 잘하네요 연기도 했음 좋겠다,95gKcG80rhI
@행복힐링맘,25,임영웅 천국보다 아름다운 드라마와 찰떡같이 어울리는명품 명곡 드라마 울다웃다넘 재미있게봤어요대대박나세요오늘저녁기다립니다🙏,95gKcG80rhI
@happy007k,25,이 노래 못 들은 사람 없게 해주세요,95gKcG80rhI
@user-kh2pm3vo4x,24,임영웅 🩵 천국보다 아름다운,95gKcG80rhI
@백명자-r4y,24,오늘도 기대됩니다 천국보다 아름다운 본방사수 합니다 ㅎㅎ 임영웅 사랑합니다,95gKcG80rhI
@행복힐링맘,24,임영웅 이곳이 천국이예요 아름다운노래와 영상만봐도  천국이따라옵네요 본방사수  👍💫🫶,95gKcG80rhI
@행복힐링맘,23,임영웅 조용한카리스마 아름다운  음색 천재 천국보다 아 름다운드라마 같이대박이여 라  라이브황제  임영웅 영,95gKcG80rhI
@staryl9140,23,천국보다 아름다운 임영웅 목소리는 마음을 숨쉬게해요,95gKcG80rhI
@국화꽃-i5f,23,임영웅 님 화이팅 천국보다 아름다운 신고고 대박 나시길 건행😂,95gKcG80rhI
@김민아-z5j,22,눈물이 나요 계속 눈물이 흐르네요,95gKcG80rhI
@들장미-t5y,22,해드폰으로 들으니 워너가  제일 좋네요~~ 이제 곧 1회  시작  시작이네요 본방 사수.  임영웅  님 노래  많은 분들 사랑해 주세요~~ 건행.,95gKcG80rhI
@스트로베리-p7w,22,듁흔듁흔 들마를 설레며 기다리게하는 킹영웅🩵,95gKcG80rhI
@김하나-p8s,22,임영웅 천국보다 아름다운 오늘 본방사수 빨리 보고싶어요 사랑합니다,95gKcG80rhI
@미미짱-v9t,22,임영웅 천국보다아름다운 ost 응원합니다,95gKcG80rhI
@난이-u5h,21,드라마 "천국보다 아름다운"과 임영웅 님의 따뜻한 목소리가 찰떡이어서 드라마에 더 집중되는 것 같아요!!,95gKcG80rhI
@eun-sol-nim,200,이 노래로 동생까지 입덕시켰습니다. 한 명 더 데려오겠습니다,MezvFK_r-MI
@illiill344,4,우리 가람님 열열히 응원합니다  부산에   기운을  모아 모아서 보냅니다❤,MezvFK_r-MI
@여유선희-m1w,4,가사 가  요즘 보기드물게  시적이네요  80 년대  90년대  느낌 ᆢ 너무 좋아요,MezvFK_r-MI
@Davidlee-uu8eo,4,응원합니다 황가람님 노래에서 빛이나요!❤❤,MezvFK_r-MI
@전정미-g4s,3,정말 잘하십니다❤,MezvFK_r-MI
@user-gl6hd4ug7x,3,눈물 엄청 쏟았어요..황가람 응원합니다...그래도 난 눈부시니깐😁❤️,MezvFK_r-MI
@장달콤,3,너는 별이야 내가알아,MezvFK_r-MI
@상록수-g4p,3,노래가  좋아서  구독  좋아요  누르고 갑니다.  화이팅입니다,MezvFK_r-MI
@아침햇살-x2u,3,가사가 너무 좋아요,MezvFK_r-MI
@차코렝_업고튀는콩렝,3,너무잘부르시네뇨,MezvFK_r-MI
@김재강-t4u,3,❤,MezvFK_r-MI
@haloo_23,3,너무 너무 응원함니다❤❤❤❤,MezvFK_r-MI
@user-wi3gp6tg6n루시퍼,3,나도. 반딧불😢😅😊😂,MezvFK_r-MI
@R.O.R.A-L.A.L.I.S.A,3,انا كيف اسمع الاغنيه نانينيقعبونيشناننقوشنناهانونرسابيننردهصيرواهندننهمصفنردنمبندوا 😂,MezvFK_r-MI
@마나-c2c,3,모든 반딧불이 여러분 다같이 힘냅시다,MezvFK_r-MI
@크로아디스-k3l,3,잠들뻔 했어요😂😂,MezvFK_r-MI
@user-pq8rw2yi1v,3,노래 너무 감동이에요,MezvFK_r-MI
@ciarakim9593,3,너무 감동적이고 슬퍼엉~~ㅠㅠㅠㅠㅠ😢,MezvFK_r-MI
@Saenal-n4z,3,화이팅 🎉,MezvFK_r-MI
@hunhunpli,3,나는 반딧불도 꼭 내플레이리스트로 만들어서 벌레가 아니라는 것을 한번 더 입증해주겠어 !!! 내 플리 믿고 기다려줘 얘드라,MezvFK_r-MI
@뷰티풀너드,691,우리가 느꼈던 그 벅찬 감정들이 더 많은 사람들의 마음에 닿을 수 있도록  여러분의 작은 행동이 모여 '작은봄'이 더 크게 피어날 수 있게 해주세요.  멜론 ‘고추잠자리 작은봄’ 검색 → 재생  좋아요(♡) 누르기 → 다운로드 or 반복재생(1시간에 1회만 측정에 반영)  유튜브 뮤직 → ‘고추잠자리 작은봄’ 검색 → 재생  좋아요(♡) 누르기 + 재생목록 등록 → 많이 들었던 다른 곡들처럼 자연스럽게 플레이리스트에 함께 넣어주세요!  스포티파이 → ‘작은봄’ 혹은 ‘고추잠자리’ 검색 → 재생  플러스(+) 누르기,HIeZ8W0zLMA
@canyone358,63,들을수록 더 조으당 ㅎㅎㅎ ❤,HIeZ8W0zLMA
@roz-pm61317,33,200이라니 ㄹㅇ 미쳤다... '너는 내 안에' 가사처럼 수빈이가 시온 자리에 있네!ㄷㄷ,HIeZ8W0zLMA
