comment_author,comment_likes,comment_text,video_id
@lisayi4744,1,정말정말 존경하는 분 귀한 섬김에 감사드립니다   이시대의 진정한 어른이십니다 ❤❤❤,_C_xG10JwXs
@정미박-h5x,0,진정한 어르신 몸건강히오래오래 사세요,_C_xG10JwXs
@박근희-v4b,0,에라이 문형배~ 인간같지 않은놈~,_C_xG10JwXs
@유유-w1x,0,문형배  그러면서 저는 똑바른 행동을 해야지~~^^,_C_xG10JwXs
@미소-l3v,0,비정상적인 윤정권격고 나니 울컥 눈물이 나네요.. 감사합니다!!,_C_xG10JwXs
@김영건-y1g,0,그런대 문형배 같은 사람이 탄생했다 문형배 김장하 이분에 뜻에  반한놈이내,_C_xG10JwXs
@시광민-j1n,0,나라의 귀한 어른이며 보배이시네요 진정 존경과 가르침 받을수있는 어른이 많았으면 좋겠습니다,_C_xG10JwXs
@quti0843,0,이런분이 이재명이었으면 얼마나 좋았을까요?,_C_xG10JwXs
@한순남-f8e,0,그런분한테 도움받은인간이 제판을 그따위로 재명이한테 돈처먹구 제판하냐 이문디세끼야 돈이 아깝다,_C_xG10JwXs
@최지연-o9x,0,김장하 같은 위대한 분의 후원이 문형배가 망첬네,_C_xG10JwXs
@나-w3e1m,0,멋진 마음 대대 행복하세요,_C_xG10JwXs
@rhythmart343,0,돈을 잘못 쓴거야 아니면 잘못 큰거야,_C_xG10JwXs
@박종순-x4m,0,문형배 똑바른 판결 하세요,_C_xG10JwXs
@기러기-n9o,0,문형배 저런분 돈으로. 공부한 인간이..예라 인간아..정신차려라,_C_xG10JwXs
@보리-l2u,0,도움받고 배웟슴 올은행동해야지 그어른 헛돈서셧네 ~ 나쁜새키새키,_C_xG10JwXs
@박은영-e4i2p,0,어르신❤ 존경합니다  건강하세요 😊😊😊,_C_xG10JwXs
@최의경-h9m,0,감사합니다  당신들이 우리나라 민주주의를 지켰습니다,_C_xG10JwXs
@지현박-d6y,0,건강하게오래오래사셔요..ㅎ,_C_xG10JwXs
@김대원-f5w,0,존경합니다  김장하선생님 휼륭하십니다. 휼륭한제자 나오네요. 존경합니다 👍,_C_xG10JwXs
@박수현-u1t,0,은혜를윈수로갚냐쓰레기,_C_xG10JwXs
@정광식-r3o,1,상황파악  못하는  나라말아먹는  뱀장어 꼬리.,fUHwiN3PtXw
@shlee171,1,이놈도 웃음 참는거 보게,fUHwiN3PtXw
@박정환-x5y,1,^^^^^^^!,fUHwiN3PtXw
@남순익-b9h,1,나라가 참 말조심좀해라   초등학생 수준이네,fUHwiN3PtXw
@김선정-d6i,1,ㅍㅎㅎㅎ  뱀장어 대가리에 참기름 발라놓은 소리는  너무 어려워요 ㅋ ㅋ ㅋ,fUHwiN3PtXw
