author,likeCount,text,videoId
@lisayi4744,1,정말정말 존경하는 분 귀한 섬김에 감사드립니다   이시대의 진정한 어른이십니다 ❤❤❤,_C_xG10JwXs
@성진주-p5t,1,❤큰어른❤ 큰하늘 ❤분들,_C_xG10JwXs
@제임스영-i2g,1,아니 북한을 추종하는 좌편향 우리법이 남한에서 판사하나 니들이 좋아하는 북한에가라 남한는 자유민주주의 국가다,_C_xG10JwXs
@시광민-j1n,0,나라의 귀한 어른이며 보배이시네요 진정 존경과 가르침 받을수있는 어른이 많았으면 좋겠습니다,_C_xG10JwXs
@quti0843,0,이런분이 이재명이었으면 얼마나 좋았을까요?,_C_xG10JwXs
@한순남-f8e,0,그런분한테 도움받은인간이 제판을 그따위로 재명이한테 돈처먹구 제판하냐 이문디세끼야 돈이 아깝다,_C_xG10JwXs
@최지연-o9x,0,김장하 같은 위대한 분의 후원이 문형배가 망첬네,_C_xG10JwXs
@나-w3e1m,0,멋진 마음 대대 행복하세요,_C_xG10JwXs
@rhythmart343,0,돈을 잘못 쓴거야 아니면 잘못 큰거야,_C_xG10JwXs
@박종순-x4m,0,문형배 똑바른 판결 하세요,_C_xG10JwXs
@기러기-n9o,0,문형배 저런분 돈으로. 공부한 인간이..예라 인간아..정신차려라,_C_xG10JwXs
@보리-l2u,0,도움받고 배웟슴 올은행동해야지 그어른 헛돈서셧네 ~ 나쁜새키새키,_C_xG10JwXs
@박은영-e4i2p,0,어르신❤ 존경합니다  건강하세요 😊😊😊,_C_xG10JwXs
@최의경-h9m,0,감사합니다  당신들이 우리나라 민주주의를 지켰습니다,_C_xG10JwXs
@지현박-d6y,0,건강하게오래오래사셔요..ㅎ,_C_xG10JwXs
@김대원-f5w,0,존경합니다  김장하선생님 휼륭하십니다. 휼륭한제자 나오네요. 존경합니다 👍,_C_xG10JwXs
@박수현-u1t,0,은혜를윈수로갚냐쓰레기,_C_xG10JwXs
@오드리-r1j,0,장학금을 잘못줬구먼 좋은 머리를 나쁜데 쓴예,_C_xG10JwXs
@초음파튀김,0,저 거룩한 뜻을 개떡 같이 갚다니   얼마나 가슴이 찟어질까?,_C_xG10JwXs
@박기주-n8j,0,국가 존립의 밑거름을  실천으로.. 대한민국 진짜  어른~ 정부는 가족이 원한 다면 국립묘지에 모셔라.. 최소한의 예의다~~,_C_xG10JwXs
@shlee171,1,이놈도 웃음 참는거 보게,fUHwiN3PtXw
@박정환-x5y,1,^^^^^^^!,fUHwiN3PtXw
@남순익-b9h,1,나라가 참 말조심좀해라   초등학생 수준이네,fUHwiN3PtXw
@김선정-d6i,1,ㅍㅎㅎㅎ  뱀장어 대가리에 참기름 발라놓은 소리는  너무 어려워요 ㅋ ㅋ ㅋ,fUHwiN3PtXw
@디케-y1j,1,무기징역감인 국가내란공범 한덕수영감탱이가 하객대행인 주제에 주인행세를 하냐 국민이 뽑지도 않았는데 대통령노릇을 하고 처있네 범죄자 한덕수 넌 대선후보는커녕 평생 감옥생활 생각이나 해라  무기징역감인 국가내란공범 이완규를 헌법재판관에 지명하는 게 말이나 되냐 법대로 감옥에 처넣어야 한다 감면없는 무기징역감이다,fUHwiN3PtXw
@ss-cc3ve,1,😂😂😂이완규씨도 웃참느라 합죽이😂,fUHwiN3PtXw
@오작교휠얼라이먼트,1,이 쓰래기 한덕수 최상묵 내란수괴 우두머리 공범들 다구속 합시다 😢,fUHwiN3PtXw
@여자이진례,1,맞습니다. 맞고요. 지금이...어떤.시국인데. 어델..나.서..서. 말같지도...않은..말.말. 씹부리노 ㅋㅋㅋㅋㅋㅋㅋㅋ,fUHwiN3PtXw
@정의카리스마-o8f,1,이시대 최고 명언입니다,fUHwiN3PtXw
@cocopa2933,0,뱀장어대가리 ~  ㅋㅋㅋ,fUHwiN3PtXw
@까씨와하씨,0,왜나왔어요???,fUHwiN3PtXw
@설홍아,0,슬픈생각...ㅋㅋㅋㅋ 자막보고 박장대소함,fUHwiN3PtXw
@설홍아,0,웃참 하는게 킬포네,fUHwiN3PtXw
@황영익-t7h,0,박의원님최곱니다 파이팅입니다. 박의원님같은 역량이있으신 의원님계시니까 우리국민이민주주의에발전이있슴니다🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉,fUHwiN3PtXw
@샤론-v6z,0,박지원은 여기서는 큰소리 믿음이 안가. 한덕수 최상목 미국 못가게 해라.,fUHwiN3PtXw
@cleopatra999koo5,0,지명자가 아닌데  인사청문회를  왜 나오냐? 지명자도  아닌데,fUHwiN3PtXw
@나이든게일,0,이완규=뱀장어 ㅋㅋㅋ,fUHwiN3PtXw
@daniel-uo6hz,0,최고입니다.🎉 이완규는 절대막아야합니다.,fUHwiN3PtXw
@우잉-s7p,0,아ㅡ 개웃겨ㅋㅋ,fUHwiN3PtXw
@이재민-v9z3k,0,오늘도 한장어 이완용때문에 웃는다ㅋㅋ,fUHwiN3PtXw
@ejavm9399,4,준비된 21대 대통령 홍준표 ❤,bc2V23thUP8
