category,categoryId,channelTitle,commentCount,country,description,id,likeCount,publishedAt,tags,title,url,viewCount
news,25,숏츠파이프,1414,KR,출처 MBCNEWS  #문형배 #헌법재판관 #윤석열파면 #김장하 #김장하선생,_C_xG10JwXs,88993,2025-04-15T15:17:28.000Z,,문형배 헌법재판관을 이끈 진정한 어른  김장하 선생,https://www.youtube.com/watch?v=_C_xG10JwXs,2085558
news,25,짧뉴(짧은뉴스),3147,KR,#짧은뉴스 #짧뉴  여러분의 '좋아요' 클릭 자체가 큰 후원입니다  '짧은뉴스'는 바쁜 사회 속 짧고 정확하게 정치의 이점과 오점을 알리는 게 목적입니다 주 영상은 '쇼츠'로 구성 됩니다  다만  쇼츠 내용에 명확성이 필요한 경우 필요 영상 구간 내용을 최단 압축하여 업로드 합니다  문의 : the.shots.news@gmail.com  시청자 분들의 성원과 관심에 항상 감사합니다  '슈퍼 땡스'도 너무 감사합니다!,fUHwiN3PtXw,75821,2025-04-16T11:52:32.000Z,[짧뉴  짧은뉴스  더불어민주당  조국혁신당  정치  국회  뉴스  MBC  JTBC],뱀장어 대가리에 참기름 바르는 소리 [짧뉴] 박지원 이완규 법사위 #짧은뉴스,https://www.youtube.com/watch?v=fUHwiN3PtXw,1123859
news,25,뉴스TVCHOSUN,1468,KR,[TV조선 뉴스·시사 프로그램｜유튜브 라이브 방송시간]  📡 월~금 06:50 강스라이팅 (유튜브) 📡 월~금 07:30 뉴스퍼레이드 📡 월        08:40 네트워크 매거진 📡 월~금 09:00 신통방통  📡 월~금 10:20 류병수의 강펀치 (유튜브) 📡 월~금 13:00 보도본부 핫라인 📡 월~금 14:30 사건파일 24 📡 월~금 17:20 시사쇼 정치다 📡 월~금 21:00 뉴스9 📡 토~일 14:00 뉴스현장 📡 토~일 17:40 시사쇼 정치다 📡 토~일 19:00 뉴스7  [Ch.19]  사실을 보고 진실을 말합니다.  👍🏻 공식 홈페이지 http://news.tvchosun.com/ 👍🏻 공식  페이스북 https://www.facebook.com/tvchosunnews/ 👍🏻 공식 트위터 https://twitter.com/TVChosunNews  * 뉴스제보 : 이메일(tvchosun@chosun.com)  카카오톡(tv조선제보)  전화(1661-0190),bc2V23thUP8,23469,2025-04-16T08:13:11.000Z,[윤석열  윤석열 재판  윤석열 관저  윤석열 파면  이재명  이재명 재판  이재명 대선  이재명 경제 정책  오세훈  오세훈 불출마  홍준표  홍준표 사형  홍준표 공약  안철수  안철수 대선  안철수 ai  김문수  김문수 대선  한동훈  한동훈 나경원  한동훈 대선  이준석  이준석 공약  한덕수  한덕수 출마  최상목  최상목 대정부질문  권영세  권성동  김동연  김경수  김두관  유승민  유승민 대선  우원식  문재인  이승만  조기대선  대선 후보  국회  검찰  헌재  헌법  선관위  국민의힘  국민의힘 대선후보  국민의힘 경선  더불어민주당  더불어민주당 대선후보  더불어민주당 경선  tv조선  현장영상  티조클립],홍준표  '뉴스타파' 기자 질문하자 쿨하게 나갔다 [티조Clip] #shorts,https://www.youtube.com/watch?v=bc2V23thUP8,775037
news,25,김어준의 겸손은힘들다 뉴스공장,1006,KR,#김어준 #겸손은힘들다 #뉴스공장  #명랑사회    00:00:00  대기화면 00:10:30  김어준 생각 00:11:27  겸손브리핑 00:26:11  김민석 / 더불어민주당 수석최고위원 (전화 연결) 00:43:39  김윤 / 더불어민주당 의원                   전진숙 / 더불어민주당 의원                    김남희 / 더불어민주당 의원 01:16:08  홍사훈 / 기자·홍사훈쇼 진행자                   주진우 / 기자·주기자라이브 진행자                   노영희 / 변호사                   신용한 / 윤석열 캠프 전 정책총괄지원실장·서원대 전 석좌교수 01:52:08  김경호 / 변호사·합동군 사대학교 명예교수                   이병철 / 변호사 02:13:40  여론조사 [박시영  이택수] 02:27:25  동네사람들 [쥰키  카잉  일라이다  알파고]    ◎ [겸손브리핑] ▷ 김묘성 / 기자  [잠깐만 인터뷰] - 전화연결 - ‘노코멘트’ 한덕수에 “출마용 관세협상 안 돼” 1인시위 왜? ▷ 김민석 / 더불어민주당 수석최고위원  [12.3 그날 국회] - 내란의 밤  초6 딸이 남긴 메시지 "이제 엄마 못 보나" - 보복위 의원들이 분석한 계엄 포고령 '전공의 처단' 적시 이유 ▷ 김윤 / 더불어민주당 의원 ▷ 김남희 / 더불어민주당 의원 ▷ 전진숙 / 더불어민주당 의원  [인터뷰 제1공장] - 윤석열 신당 & 전광훈 출마... 보수 대권 구도 남은 변수는? - 관저 압수수색 실패... 무속 논란에 이은 김성훈 사생활 논란 왜? - 지귀연 재판부  윤석열 재판 전 촬영 허가... 결정 배경은? ▷ 홍사훈 / 기자 · 홍사훈쇼 진행자 ▷ 노영희 / 변호사 ▷ 신용한 / 윤 캠프 전 정책총괄지원실장 · 서원대 전 석좌교수 ▷ 주진우 / 기자 · 주기자라이브 진행자  [인터뷰 제2공장] - 지귀연 재판부  尹에 이례적 특혜... 외부 압력 가능성은? - 윤석열 ‘판사 사찰’ 대상에 지귀연 있었나...추정 근거는? - 尹의 ‘법조 카르텔’이 판사들에게 미친 영향은? - 국민 청원  고발  집단 소송... 지귀연 재판부 움직일 가능성은? - 오늘 윤석열 2차 내란 공판... 주목해야 할 쟁점은? ▷ 김경호 / 변호사·합동군사대학교 명예교수 ▷ 이병철 / 변호사  [여론조사] - 여조꽃 3K 대선 특집 전화면접조사... 결과는? - 국민이 생각하는 투표 결정 요인과 대통령 자질은? - 한덕수 대행 대선 출마에 대한 국민 여론은? - 윤석열 재구속 필요성 있다 VS 없다... 국민의 생각은? ▷ 박시영 / 박시영TV 대표 ▷ 이택수 / 리얼미터 대표  [동네사람들] - 동네사람들 나라에서 가장 잘나가는 K-컬처는? - 유행에 민감한 사람들  각국의 2025 트렌드는? ▷ 쥰키 / 중국 ▷ 카잉 / 미얀마 ▷ 일라이다 / 독일 ▷ 알파고 / 튀르키예   제보 메일 : yp01@hahasociety.com 구글폼으로 제보 : https://forms.gle/A2rijVdt2t2dSfrMA   겸손멤버십 안내 : https://humblefactory.co.kr/%ea%b2%b8%ec%86%90%eb%a9%a4%eb%b2%84%ec%8b%ad/ 인터뷰 전문과 방송내용 확인: https://humblefactory.co.kr 제보와 문의 : newsfactory2023@gmail.com 겸손몰 바로가기 : https://nonohumble.com/ 겸손공장 구독하기 : https://www.youtube.com/channel/UCAAvO0ehWox1bbym3rXKBZw?sub_confirmation=1  [겸손방송국 SNS] 인스타그램 : https://www.instagram.com/gyeomson_is_nothing/ 공식 트위터 : https://twitter.com/Gyeomsonfactory 겸손공장 페이스북 : https://www.facebook.com/profile.php?id=100089440778302  영상의 무단 사용을 금지합니다. 인용 보도 시 [김어준의 겸손은힘들다 뉴스공장] 출처를 표기해주세요. 인용 보도를 제외한 겸손방송국의 모든 콘텐츠 사용은 공정사용에 해당하지 않습니다.  겸손 멤버십 관련 문의 : 02-6953-1904 / 이메일: info@humblefactory.co.kr,LdWDmTFvjGo,102342,2025-04-21T01:01:46.000Z,,김어준의 겸손은힘들다 뉴스공장 2025년 4월 21일 월요일 [김민석  김윤  김남희  전진숙  홍사훈  노영희  신용한  주진우  김경호  이병철  여론조사  동네사람들],https://www.youtube.com/watch?v=LdWDmTFvjGo,1505972
news,25,MBCNEWS,6618,KR,ㅤ #MBC #뉴스 #뉴스데스크 #MBC뉴스 #뉴스투데이 ㅤ ⓒ MBC & iMBC 무단 전재  재배포 및 이용(AI학습 포함)금지,jmS9nHnHBxg,32393,2025-04-15T05:14:05.000Z,[MBC  MBC뉴스  뉴스데스크  newsdesk  뉴스투데이  newstoday  8시뉴스  아침뉴스  뉴스  정오뉴스  news  실시간  실시간 뉴스  엠비씨 뉴스  엠비씨  뉴스 실시간  뉴스속보],사건 직전 CCTV 봤더니.. #Shorts (MBC뉴스),https://www.youtube.com/watch?v=jmS9nHnHBxg,1327386
news,25,한국경제TV,980,KR,성공투자 오후증시 2부 25년 4월 10일자 방송  전병서 중국경제금융연구소장  #한국경제TV #와우넷 #와우파 #주식창  #파트너 #경제 #증권 #와우 #WOWTV ------------------------------------------------- △대한민국의 경제를 보세요! △빠르고 정확한 경제·증권 뉴스를 24시간 전해드립니다.  △구독+좋아요! ------------------------------------------------- ◇ 한국경제TV 유튜브 구독 https://bit.ly/45pz6GK  ◇ 한국경제TV 유튜브 LIVE https://www.youtube.com/watch?v=NJUjU9ALj4A  ◇ 협업 및 비즈니스 문의 hkwowtv@wowtv.co.kr ------------------------------------------------- 🎯 투자 판단  정보가 승부다. 한국경제TV 공식 텔레그램에서 빠르고 정확한 핵심 정보를 지금 확인하세요.  🎁무료 구독 👉 https://t.me/wowtv_official ---------------------------------------------------------------------- ◇ 한국경제TV -홈페이지 http://www.wowtv.co.kr -플러스친구 https://pf.kakao.com/_xbcxlxgd -트위터 http://www.twitter.com/hkwowtv -페이스북 http://www.facebook.com/hkwowtv  -편성정보: https://bit.ly/47q2caY ------------------------------------------------- ◆ 한국경제TV 패밀리 채널을 구독하세요! -뉴스는 [한경TV 뉴스] https://youtube.com/한국경제TV뉴스 -주식은 [와우넷] https://youtube.com/와우넷w -주식앱 [주식창] https://youtube.com/stockw -교육은 [와우아카데미] -------------------------------------------------,y8YFzopyPTk,19847,2025-04-14T04:43:24.000Z,[#한국경제TV  한국경제  주식  투자  증시  미국주식  한국주식  경제  나스닥  코스피  성투1부  성투  성공투자오후증시  중국  관세전쟁  미중전쟁  미국  관세  전병서소장  전병서  시진핑  트럼프  애플  테슬라  월마트],미국은 중국을 이길 수 없다┃전병서 중국경제금융연구소장,https://www.youtube.com/watch?v=y8YFzopyPTk,1279235
news,25,[팟빵] 매불쇼,1771,KR,●4월 18일 금요일 [LIVE] - 뉴스(최진봉 김종대 박은정 김기표 부승찬 한인섭) 영화(전찬일 라이너 최광희 거의없다 황병국)  0:00 - 대기 시간 11:20 - 방송 시작 36:02 - 사이다 헤드라인 : 최진봉 X 김종대 X 박은정 X 김기표 X 부승찬 X 한인섭 1:45:26 - 시네마 지옥(신작) : 전찬일 X 라이너 X 최광희 X 거의없다 X 황병국 2:37:52- 시네마 지옥(주말 추천작) : 전찬일 X 라이너 X 최광희 X 거의없다 - 광고요정 : 박보경 --------------------------------------------------------- ● Z대로 된 비타민B 💊 비맥스! 나에게 딱 맞는 비맥스가 궁금하다면? ➜ http://gcbmax.co.kr/  제대로 된 설명은 약사님께-!  ● 웰스앤헬스 자연방목 국내산 토종 흑염소 진액  (1533-1068) 2박스 구매 시 1박스 더!  배송메시지에 매불쇼 기입하면 7일분 추가 증정! ➜ https://m.site.naver.com/1FISq  ● 닭살 잡아먹는 괴물로션 엠락틴!   배송메세지에 '매불쇼' 입력해주시면 풋크림 증정 (4/30까지) ➜ https://m.site.naver.com/1DYBx  ● 식후혈당 걱정엔 닥터엠당엔 오늘 밤 12시까지 배송 메모에 '매불쇼 이벤트' 남겨주시면 2박스 구매시 1박스 더! (2+1) ➜ https://smartstore.naver.com/mydrm/products/8236044676 --------------------------------------------------------- 광고 문의 : ad@podbbang.com 출연  사연 등 기타 문의 : mbshow@podbbang.com 또는 인스타그램 @maebulshow 메시지 주세요 :),MfFiAJk25BM,94115,2025-04-18T08:16:10.000Z,,국민의 뒤통수 치는 국민의힘! 국민의힘 뒤통수 치는 윤석열! | 풀버전,https://www.youtube.com/watch?v=MfFiAJk25BM,1620338
news,25,비디오머그 - VIDEOMUG,1913,KR,👀 교양이를 부탁해  4월 '오픈클래스' 신청 오픈! 👀  ◆ 주제: 트럼프와 달러 패권  그리고 금 (오건영 단장) ◆ 대상: '교양이를 부탁해' 유튜브 채널 구독자 ◆ 방청 일시: 4월 29일 화요일 오후 5시  ◆ 신청 방법: 아래 구글폼 작성 🔽🔽🔽🔽🔽 https://forms.gle/99k3c3Tm591Da8Yh7   03:17 트럼프 관세폭탄에도 중국이 버티는 이유  05:30 중국이 잡은 미국의 네 가지 인질 09:22 ‘고통의 내구력 강해’ 중국의 사회주의 생존법 10:58 위태로운 중국 경제 어디까지 견딜까 16:52 ‘장사꾼’ 트럼프 VS ‘정치꾼’ 시진핑의 협상 타이밍 19:29 시진핑의 마지막 반격은 '이것' 27:03 트럼프와 시진핑이 진짜 겁내는 것은?  *이 콘텐츠는 전문가의 개인적 견해가 포함되어 있으며  특정 입장을 대변하지 않습니다. "사실은 가장 중요한 현실성 있는 게 뭔지 아세요? 자본 시장을 조금 열어주는 거죠. 왜냐하면 중국이 지금 문제가 부채가 많다는 게 중국의 가장 큰 문제고 지방 정부가 부채가 많고 기업이 부채가 많고 다 부채가 많은 금융 문제인데 중국 어떻게 해결하면 되냐. 그게 이제 미국이 답을 가르쳐 준 것이 2008년에 이제 금융위기 때 미국이 부도가 났어요. 그 때 전 세계에는 IMF가 다 알짜 자산 팔아서 부채 갚아서 축소 경영하라고 그래놓고 자기네들은 어떻게 했냐 하면 하나도 안 팔고 공적 자금 왕창 집어넣어서 주가 올려서 부채 비율 낮추고 주식 팔아가지고 이제 끝을 낸 거죠. 그래서 중국이 지금 생각하는 것은 “아 저게 답이구나” 그래서 지금 부채 많다고 얘기를 하지만 이 부채를 다 주식으로 바꿔버리면 부도 위험  금융 위기는 없어지는 거죠. 그렇게 되면 미국이 무역수지 흑자 2 000억 달러(약 300조 원) 이거를 줄이려고 하는 것은 싸움을 해야 되지만 자본시장에 들어가서 미국의 기관투자가들이 헤지펀드들이 주식 사서 시세 차익을 팔아서 2 000억 달러(약 300조 원) 가는 것은 쉽습니다." -전병서 중국경제금융연구소 소장    [제작진] 기획•연출: 한동훈 / 영상취재: 강동철 / 작가: 윤단비 / 편집: 현승호•김남우 / 콘텐츠디자인: 옥지수•정유민 / 인턴: 강다현  [비즈니스 문의] 교양이를 부탁해  출연•협찬•콘텐츠 문의: davidhan@sbs.co.kr      ✔신뢰할 수 있는 재미  비디오머그 VIDEOMUG  #비디오머그 #트럼프관세폭탄 #시진핑관세보복 #애플 #테슬라 #희토류 #환율 #위안화 #교양이를부탁해 #VMG  ♨지금 뜨거운 이슈  함께 토론하기(스프 구독) : https://premium.sbs.co.kr  ▶비디오머그 채널 구독하기 : https://n.sbs.co.kr/mugTube ▶Homepage : https://videomug.co.kr ▶Facebook : https://www.facebook.com/videomug ▶Twitter : https://twitter.com/videomug_sbs  Copyright Ⓒ SBS. All rights reserved. 무단 전재  재배포 및 AI학습 이용 금지,__LcIMYY8jA,13966,2025-04-18T17:25:02.000Z,[SBS VIDEOMUG  VIDEOMUG  format:해설  location:서울  series:비디오머그  source:영상  type:디지털  비디오 MUG  퍙대ㅡㅕㅎ],[지식뉴스] 🇺🇸🇨🇳 때렸다 달랬다  다급해진 트럼프...시진핑이 노리는 마지막 반격 카드는 '이것' (ft.전병서 중국경제금융연구소 소장) / 교양이를 부탁해 / 비디오머그,https://www.youtube.com/watch?v=__LcIMYY8jA,1089497
news,25,뉴스토마토,2675,KR,✨(뉴스인싸프라임) 세계와k - 문희정  일리야  알파고  더 디플로맷 "한국  이재명의 순간이 왔는가"…李 4월호 표지 장식 더 디플로맷  이재명의 전략에 대해서도 정확히 알고 있어 더 디플로맷  전세계에 오피니언 리더급이라면 다 봐  美 타임지 실린 李  이렇게 한 단락으로 다 설명할 수 있나 美 타임지  역정의 마무리는 결국 차기 대통령이 될 것으로 보인다 표현 전 세계 사람들이 타임지 한 줄만 읽어도 李가 어떤 사람인지 알겠어 해외 언론  한국 민주주의 열망을 해결해낸 사람을 李라고 설명 더 디플로맷 "국힘  이대로라면 극우집단으로 전락" 유럽 극우정당 확장  중도층 끌어들일 의제 꺼내들었어…한국은 정반대 국내 언론  의제 설정 기능 스스로 다운시켜버렸어 日  美에 한반도 대만묶어 전쟁구역 제안…3월 30일에 했는데 이제 안 한국 日  트럼프 1기 때 한미일서 소외됐던 트라우마 있어 한국  일본의 자위대 명령받는 부속으로 들어갈 가능성 높아졌어 전쟁구역 제안  美 입장선 유사시에 일본이 주도적으로 역할하겠단 것 외교는 상대가 있는 것…되돌리기 힘들어 외교 참사  처음보다 10배 이상의 노력과 힘 들어가 한국이 할 수 있는 건 차기 리더십에 국민적 엄청난 지지 보내기 트럼프  관세 수단으로 사용…트럼프가 원하는 걸 얻기 위한 것 트럼프 관세 유예  내부적 이유와 필요 때문 미국 기업이 中에 공장 설립한 이유 있어…관세 있어도 美가 훨씬 비싸 미국과 중국의 역할 정반대됐어…기업 입장선 美 택할 이유 없어졌어 더 디플로맷  李가 어떤 가치관 갖고 있고 어떻게 여기까지 왔는지 담아 美에서도 李가 당선될 확률이 높다고 보고 있어 李  타임지 실릴 수 있었던 가장 큰 이유는 계엄날 킨 라이브 해외 언론선 李가 킨 라이브가 비상계엄 실패 원인으로 분석 우파가 전세계 집권? 극우에서 중도층으로 많이 내려왔기 때문 중도보수에 있던 한국의 국힘  더 극우로 가고 있어 尹 정부의 대일외교  완전실패였어…모든걸 日에 바치는 형국됐어 日이 '전쟁' '전구' 발언하는 것 경계해야…이동네서 전쟁 일으킬 수 있는 건 日 트럼프  전세계에 혼란 주는 일에 있어서 굉장히 잘해 中은 전략있어서 트럼프 관세에 잘 버티는 편…시간은 중국 편 트럼프의 18~19세기식 관세  美 내에서 생산 있어야 가능한 것 미국 내에서 생산되고 있는 것 없어…아이폰도 'Made in China' 중국  충분히 버틸 저력과 여유있어…그냥 기다리기만 하면 돼  🔥🔥구독자 이벤트 참여 🔥🔥  - 실시간 채팅  댓글 참여하고  매일 최대 7000TTCO(7000원) 쿠폰 받자 🍅🍅   - https://www.tongtongmall.net/membership_num  - 실시간 채팅: 하루 1번 참여  2 000TTCO 지급  - 댓글: 하루 5번 참여 1 000TTCO 지급 (하루 최대 5 000TTCO)  💘💘 뉴스인싸 프라임(채널 멤버십) 가입하기 - https://www.youtube.com/channel/UCYUGo6ZfQZCTMrK9rMDijNQ/join  💌💌 뉴스토마토 무료 구독신청: 뉴스인싸 프라임 가입자 특별혜택 추가(문의 전화 : 02-2128-3874)  - https://www.tomatoprime.com:446/newinsa/sub.aspx  💘 더 착한 보험(생명보험  자동차 보험)  - 문의 전화: 1644-1236  010-7612-3303(카톡/문자 상담예약 24시간 가능)  영상이 마음에 드셨다면 '구독'과 '좋아요'  버튼 눌러주세요! 감사합니다.  🖥 뉴스토마토 - http://newstomato.com  🎯 뉴스포털 ｜ 뉴스통 - https://www.newstong.co.kr/  🎁 통통몰 - https://www.tongtongmall.net/main  📊 뉴스토마토 정기 여론조사 - https://www.newstomato.com/OpinionList.aspx,y4MLNZJp4Ao,44921,2025-04-18T06:55:31.000Z,[뉴스토마토  핵사이다  대담  윤석열정부  윤석열 대통령  검찰  윤석열  이재명  국민의힘  민주당  대통령실  뉴라이트  문재인  문재인 윤석열  검찰 인사  검찰공화국  한동훈  국정감사  용산책임론  김건희  방통위  조국혁신당  윤석열 지지율  윤석열 탄핵  탄핵  뉴스인사이다  검언유착  항소심  불송치  23억  특검법  윤석열지지율  용산  여론조사  국무총리  박지훈  박지훈뉴스인사이다  박지훈의뉴스인사이다  보수  중도  원구성  한동훈 당대표  법사위  국회의장  광복절  국회  총선개입  김영선  지지율  한일정상회담  디올백  김건희 공천개입  공천개입  명태균  총선  압수수색  여론조작  이준석  공천  명태균게이트  윤석열대선  면담  국정개입  김건희_국정개입  강혜경  국정운영지지율  윤석열_명태균  계엄  안산보살  한덕수  계엄군  김용현  최상목  김건희논문  체포영장  공수처  김태효  박정훈  박종준  김성훈  윤체포  윤석열체포  서울구치소  한남동  경호처  트럼프  포고령  서부지법  박주민  김성민  검사  단독],모두가 놀란 외신의 극찬 “한국  이재명 시대가 왔는가? 이재명은 xxx할 것” 전세계가 이재명을 주목한 이유는?  #뉴스인사이다  (문희정  일리야),https://www.youtube.com/watch?v=y4MLNZJp4Ao,731600
news,25,무적소년공,1669,KR,,RtO8o-rEPGc,50710,2025-04-19T03:05:15.000Z,,"일본은 쌀 파동" 2년전 이재명 발언 ! #이재명 #대선 #대통령,https://www.youtube.com/watch?v=RtO8o-rEPGc,486600
