comment_author,comment_likes,comment_text,video_id
@렌이스-f6e,1,"못된인간이네
신고하세요",FrtihXlnGGA
@user-jjjj-074,1,와~~이런 사람들도 있구나 얼굴 좀 보고 싶네 그렇게 살면 행복할까? 신고해야겠다,FrtihXlnGGA
@gsgg5162,1,🐕 🐦!,FrtihXlnGGA
@아디오스-b5n,1,제명에 살긴 글러처먹었네요..ㅠㅠ,FrtihXlnGGA
@팬더곰-c6k,1,처벌해야죠,FrtihXlnGGA
@이경희-s1l,0,정말나쁜사람이다,FrtihXlnGGA
@남-h3v,0,처벌해야됩니다,FrtihXlnGGA
@hosungsung7124,0,노동청에 민원 넣는 형식이 문제임.인력에서 인건비를 제대로 안주고 떼먹어도 당사자 혼자서는 말을 못하고 여러 사람이 단체로 같이 해야 한다고 함 .뭐 이런 ㅈ같은 법이 있는지.....,FrtihXlnGGA
@hosungsung7124,0,저런 인간들도 노동청에 고발못하나,FrtihXlnGGA
@hosungsung7124,0,지금 하루 일당 최소가 15만원인데 저런식으로 부려먹고 10만원도 안준다!장난하나 돈은 적게 주고 싶고 일은 부려먹고 싶고....,FrtihXlnGGA
@김순동-t8b,0,2만원으로 부자되나  청년를 속이다니  신고하세요~~,FrtihXlnGGA
@릴리-d1b,0,다녹응해서 증거남기시고  신고하세요,FrtihXlnGGA
@다니엘김-r5l,0,똑같은 내용으로 타일공사 버젼을 본거 같은데....,FrtihXlnGGA
@홍벨라,0,"서랍먼지만 걸레로 닦으면 된다해서 갔는데 6년 묵은 씽크대 약품써서 닦으라함. 점심시간 없이 일하고 .
이사청소업체였음. 망하겠지.",FrtihXlnGGA
@영한김-j2s,0,"당근 알바 자제합시다
점점 악랄해지는 추세로 갑니다
2명 필요해도 20명 띄워놓고 최저 임금도 안되고 일의 강도도 간단한냥 설명없이 모집을 해요",FrtihXlnGGA
@봄날은온다-v8u,0,실수인척 뭐하나 부시고와야지,FrtihXlnGGA
@우뚱-d8j,0,중국으로가면됨,FrtihXlnGGA
@강짱구-n6d,0,정말 양아치!!!!!!!!!,FrtihXlnGGA
@코코맘-t5t,0,"악마가 있다면 이런저질악마
꼭 천벌이 너희가족에게도
너랑 같이받길바란다",FrtihXlnGGA
@sunnynam5330,0,"와!  점심도 안 챙겨주면서 일당도 깍고
넘 나쁜 놈일세~",FrtihXlnGGA
@soojinismsoojinism6012,5,"이번 영상 자막들이 핵 열일 ㅋㅋㅋㅋㅋㅋㅋㅋ 한국 딸기가 우주최강인 듯해요,, 런던에서 모형처럼 빨갛고 예쁘고 큰 딸기가 있어서 사먹었다가 맛도 모형이라 눈물을 흘린 기억이,,,,",QI78RncXjg0
@꽃꽃-z7p,4,29:20 ㅋㅋㅋㅋㅋㅋ 아 잘못들은줄알고 다시 돌려봤어요ㅋㅋㅋㅋㅋㅋ,QI78RncXjg0
@summerchoi6093,2,이쪽아니면 저쪽이지 개웃겨ㅠㅠㅋㅋㅋㅋㅋㅋㅋ큐ㅠㅠ아 ㅠㅠ,QI78RncXjg0
@noseelongtime1044,2,사딸라!,QI78RncXjg0
@ellen_kimmy,2,아니 진짜 언니가 소개해주는거 보면 늘 써보고 싶어진다니까요. 광고계의 요정이야 진짜 ㅠㅠ 시스터로서 언니가 쓰는거 꼭 써봐야겠쥬? 셀리맥스 시카 지우개패드 쓰고 화장하고 나가면 우리동네 이마트도 버터필드 마켓처럼 느껴질지두..? 일단 써보고 마트 가볼게여ㅋㅋㅋㅋㅋ 언니 덕분에 뉴욕 가면 가고 싶어지는 곳이 맨날 늘어나요. 꿀팁 늘 감사합니당 <3,QI78RncXjg0
@julia-xh5wv,2,플로리다는 여름나라라서 그런지 선생님 만나러 갈때 찢어진 청바지 크롭티 문신 등등 안 어른스러워도 되여 너무 조아염ㅋㅋㅋ,QI78RncXjg0
@user-tb3zsdj6f4s,1,ㅋㅋㅋㅋ아 너무 재밌어ㅋㅋ,QI78RncXjg0
@Hyxxjcd,1,"악 언니,, 셀리맥스 시카 지우개패드 언니가 소개해준 거 보고 따로 검색도 해봤는데 너무 괜찮은 거 같아요ㅠㅠ 게다가 언니가 소개해주니까 신뢰가 가요!! 꼭 한번 써보고 싶어요 ❤ 항상 영상 잘 보고 있어용",QI78RncXjg0
@jip3712,1,와…… 피부때문에 내용이 한귀로 흘러가는.. 피부 어쩜 그렇게 좋고 이쁘신지~~ 말도안된다 진짜 건강하게 이쁜 피부부럽,QI78RncXjg0
@행운이-y7e,1,"안녕하세요 
저는 항상 긍정적인 생각과 먹는걸 중요시하고, 둘레길 탐방을 좋아하는 50대 초반 워킹맘 입니다.
하루하루 즐겁게 사는데도 세월 앞에 장사 없다고 늘어가는 주름과 거칠어진 피부는 어쩔수 없나 봅니다.
얼마전 시댁에서 동서가 준 셀리맥스 지우개패드를 사용해보고 좋다고 생각했는데, 썸머님께서 때마침 소개해 주셔서 아주 저렴하게 구매했네요^^
딸과 같이 쓰려고 많이 주문 했습니다 
거칠어진 피부가 수분으로 채워지고 매끈해지길 기대해 봅니다",QI78RncXjg0
@초고추장-x5l,1,"처음으로 믿고 구매해봐요 두근두근,
셀리맥스 썸머님 믿고 그냥 구매 갈겨!!!!!
기대되네용🤍💙🤍💙🤍💙
썸머님은 저에게 빛같은 존재🤍🤍🤍🤍🤍 항시
건강하시거 행복하세용🤍🤍🤍",QI78RncXjg0
