author,likeCount,text,videoId
@뽀시래기-h3l,96,굉장히 불쾌하네요!!ㅋㅋㅋㅋㅋ ㅋㅋㅋㅋㅋ,Vj4cr2Ijm6U
@도시락-b2m,14,ㅋㅋ 빵터졌다 ^^,Vj4cr2Ijm6U
@김성호-u6g,3,진짜 ㅈㄴ아름답다,Vj4cr2Ijm6U
@손지현-m4h,3,넘이뻐,Vj4cr2Ijm6U
@보노보노-m8g,3,희관이형...,Vj4cr2Ijm6U
@jonchoi20,3,아무런 생각없이 나온 행동 같은데....,Vj4cr2Ijm6U
@dy7287,2,난 설인아 욕먹는 영상인줄알고  깜놀 희관이가 욕먹는 영상이였구나,Vj4cr2Ijm6U
@aaa82925,2,그아인  이 보다 더 한 상황에서도 내 의지랑 상관없이 지 졷 대로 하는애라 ..ㅋㅋㅋ,Vj4cr2Ijm6U
@하클-f7n,2,시청자한테 사과해요 사과해 해명 영상 시급합니다ㅋㅋㅋ,Vj4cr2Ijm6U
@heesm7992,2,먼 상상을 했길래 바지가 낑기냐 ㅋㅋㅋ,Vj4cr2Ijm6U
@권기명-y8s,1,'아니  시구 훌륭한데....?!' 하고 생각하는 순간 등장하는 유랑우탄 한 마리.,Vj4cr2Ijm6U
@조성용-d4m,1,나니?😊,Vj4cr2Ijm6U
@michaelcho804,1,희관이 매운고추 왜 만져,Vj4cr2Ijm6U
@ksi2123,1,설인아면 이해하지....남자네 유씨,Vj4cr2Ijm6U
@김김승원-x7f,1,시속이 비슷해보이네..,Vj4cr2Ijm6U
@우하하-l3n,1,스모선수네..ㅋㅋㅋㅋㅋ,Vj4cr2Ijm6U
@류키-b4i,1,참 어그로가ㅋㅋ,Vj4cr2Ijm6U
@홍성현-g3z,1,유모씨ㅋㅋㅋ,Vj4cr2Ijm6U
@kang41279,1,가운데를 시도 때도  없이 세우면 되겄냐 이긋아,Vj4cr2Ijm6U
@김별짱-x9r,1,희관이 반응 빨리오네~~어떻게~형이 좀 빼주랴?😂,Vj4cr2Ijm6U
@sjy231,753,팔의 힘으로 던지는 것이 아니라 그냥 팔을 도구로 삼아 던지는 거였네??,UQu-gBTPGkA
@non-zc1eg,223,3루수 어깨 미쳤네  진짜,UQu-gBTPGkA
@리다메박,143,채찍처럼 휘둘러야하기때문에 팔꿈치 진짜 말그대로 갈림,UQu-gBTPGkA
