categoryId,channelTitle,id,title,viewCount
17,스포츠야미 SportsYummy,Vj4cr2Ijm6U,시구 후 대참사😱(feat.유희관),1714139
22,잇다,UQu-gBTPGkA,투수들의 ㅈ빠지는 자세,2339267
17,YNY ,CCtdzsPpTl8,모두를 놀라게 한 이정후의 추적 속도. '바람의 손자'인 이유 (메이저 리그) #이정후 #하이라이트 #shorts,1274630
24,밈튜브,ikgVBNQdbd8,경기 후 상대의 턱을 돌려버린 파이터의 처참한 최후,2448944
22,야구위키,zgKgLYN_KOE,2루 공짜로 먹기 ㅋㅋ,2156672
17,스포타임,tmst-_KJDAM,이종범이 보였던 이정후의 플레이 #Shorts,1264135
17,스포쇼츠,sDMmeUeKR3Q,너희 이런 공은 뺏어봤냐? 상대 팀도 어이없는 장면들,1896127
22,조각조각,ccy3Km6kHO4,보드가 부서졌는데...,2592935
17,셔틀콕잼,IOpLF-s0jiM,카메라에 잡힌 안세영의 눈물,2615730
22,한국은 빠밤!!!,sxtmnLpqRzI,'돈연아'라는 비아냥에도 김연아가 광고에 집착한 진짜 이유 #김연아 #피겨스케이팅,2891909
24,들똑노 [들으면 똑똑해지는 노래],walbsOgceuw,손흥민의 인생을 하루에 눌러 담는다면?,1342078
24,찐쇼츠TV,aZb5kA0Zd0E,깎은 연봉 올려줬는데 옵션까지 달라는 남자의 이유,1215458
1,진짜 잠깐만,22V0ehAJUok,선수들의 놀라운 팬 서비스 순간들,2001114
17,풋볼러버,C2czxBoubkk,호날두가 양보하면 벌어지는 일,2676047
22,대박s쇼츠,WhUIihJPl14,양궁에 이어 사격까지 중국을 갖고놀은 16세,5493992
22,면류관,vwbgIzKKPw0,아니 이게 말이되냐? 06년생 농구선수 팔길이 수준,788153
17,별의별것,P-SHrE2Tcms,여기 라팍 아니지?,795774
22,예능내컷,2riiIot2Ais,코너킥에서 골대까지 스로인으로 던질 수 있다고..? #shorts #뭉쳐야찬다4,1003698
24,입덕갤러리,XKk8qmbDdDY,돌아버린; 아이돌 시구 모음,1663135
22,י,zSHPaX0Yf5U,장례식때 틀어줄 영상,423875
17,조미디,hu4oLj8bJIc,다저스 내야수에게 투수를 시켰다고? ㄷㄷ,1383497
24,지식창,CItOYUlPZPI,다 막는 골키퍼 로봇,1452780
17,야신야덕,LhsR9rZmItU,포수가 아닌 투수가 싸인 낼 수 있는 이유,1317398
17,축구어때,06EJAStZ5oc,레알 마드리드 레전드의 슛을 안 보고 막겠다는 골키퍼,1787496
24,Kdrama TV,cmbB1PhyFRs,아들 괴롭히는 농구부 농구로 참교육 #18어게인 #드라마쇼츠 #쇼츠 #jtbc,2294108
17,비더스(Behind The Sports),42RMdmDyDMk,왜 미국 농구 대표팀은 올림픽 선수촌에 안 들어갈까?,770606
17,야구채널S,8rXuNP5mIJk,"제가 저분께 어... 뭐라고 했죠?",383586
24,빅토리,B_Mwoch-ee8,가짜 축구공을 내리치시오,302233
22,오늘의 스포츠,_d3JSdOO5p0,서장훈 인생 처음으로 꼼수 쓰게 만든 중국 선수,598055
17,SPOTV,a_gk1U8IC_g,[MLB] 초구부터 상상도 못한 예측불허 번트  이정후! (04.19),767579
22,떠튜브,YfVT4e10roA,인생 100회차인 레전드 잼민이 ㅋㅋ,346756
17,JK 아트사커 온라인,RL-Kxoi_m88,울컥한 골키퍼 동생 (칩슛 테스트),627738
17,SPORTYMEDIA,oj2sLAV1sOw,맥그리거의 그 움직임,438373
17,들었어?,IziEpBA1yUA,푸욜이 레알 팬들에게도 존경 받는 주장인 이유,766028
17,60shorts,uOkde4gQ998,천억짜리 퍼팅,2638064
17,싸커스토리 (후반전),I5VpemokHxc,뎀벨레의 슈팅에 놀란 이유 💙,476754
27,요약하는남자,dxdtRuS6jf0,메이웨더의 다운을 피하는 꼼수,1132041
24,예능부장,Gpz7f9STaLI,최강야구 속 야구 교실 모먼트,781398
17,알쓸야구,4_-mNWhycwc,양의지를 주저앉힌 역대급 삼진 ㅋㅋ  feat. ABS,269608
17,The Story of the Stars,wD0jvW8KsY8,미chill듯이 달리면 벌어지는 일,567921
17,스윙털이범,yb3QHWBd-qE,미국에서 유행 중인 "JUJU SWING" 골프 스윙의 새로운 트렌드? #골프 #golf #golfswing,633793
17,워니워니,yQCdXoNuCWU,권성욱 캐스터의 故이두환 선수 추모 멘트,434058
17,태사기,77E63r67prA,푸스카스급 골킥,399715
17,이런축구,wqG1GVxowP4,심판도 속아버린 코너킥 트릭… 이건 합법일까?,1725062
24,쨈엔터  JJAM Entertainment,Wcc-f3mjvh8,⛳이대호vs강호동과의  한판(한홀)대결^^ ~~~~과연?? 승자는 누구👍👍#강호동#이대호#골프,1039401
17,슈퍼소닉이대형,dYDQF1JqPr4,주심하고 류현진 선수 무슨 얘길 나누는지 들리나요?,601237
22,와사비,5EWkLySAMa8,이정후 요청으로 출생지 바꿔준 MLB,1126766
17,남프로TV & 브릿지골프,jXTf4foCoxI,툭툭 쳐서 150미터  주의 해야할 포인트,605633
17,JUN STUDIO,hqR9xCsZ_g4,매과이어가 수많은 조롱을 버틴 이유,474942
22,축구히어로,XRvL8_DN5yA,손흥민이 밝힌 1:1 찬스 놓친 그날...,1854452
