comment_author,comment_likes,comment_text,video_id
@Studio_Genie,5572,"윤모야, 우리 조용히 지내기로 했잖아...🤣",Qhz2L8WzgIw
@꾸준이-h4z,3,"신병 출연배우 
최병남(김희수) : kim.heesu
지정민(노성은) : seongeunism
성윤모(김현규) : kim_kkyuu",Qhz2L8WzgIw
@민규홍-o6g,3,아니 진짜!!! 섭외력이 미쳤잖아 형들,Qhz2L8WzgIw
@신비젤예뻐,1,조진세는 이병님이고 김원훈은 그냥 병장이네 ㅋㅋㅋㅋㅋㅋㅋ,Qhz2L8WzgIw
@날썐마음,1,아니 이거 유료광고면서 왜 표시 안붙임? 뒷광고를 이런 식으로 하네,Qhz2L8WzgIw
@c5sc5s,1,"일상병이 병장한테 왜그러심까래....
아니 애초에 일상병이 병장하고 저렇게 오래 대화를 한다는게 참 .. 요새군대 보이스카웃 맞네..",Qhz2L8WzgIw
@your0510,1,성윤모&최병남&지정민 콜라보ㅋㅋㅋㅋㅋㄱ,Qhz2L8WzgIw
@tkaqo5683,1,"아!! 상병 김희수님~!
연기 진짜 너무 좋음!! 대박납시다!!!",Qhz2L8WzgIw
@구름이-z7v4o,1,군대이야기 제일  잼있둉,Qhz2L8WzgIw
@M95STOP,1,배터질뻔했다 ㅋㅋㅋㅋ,Qhz2L8WzgIw
@hongwoel677,1,최병남이랑 지정민 나올줄은 몰랐네ㅋㅋㅋ,Qhz2L8WzgIw
@yoon2817,1,3:15 고증 ㅅㅂ ㅋㅋㅋㅋㅋ,Qhz2L8WzgIw
@고기에진심-l8t,1,ㅅㅂ 숏박스 본거중에 제일 많이 웃음 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,Qhz2L8WzgIw
@JBJB-s7v,1,4월14일 훈련소 입대했습니다..,Qhz2L8WzgIw
@mindmap1-o8b,1,진짜 숏박스 영상들중에 군대 시리즈가 제알 웃김 진짜 미치겠음 걍 언아더 클라스 이것만 보면 진짜 깔깔거리면서 웃음 특히 조진세 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,Qhz2L8WzgIw
@스와니-m6q,0,이번편 ㅈㄴ 웃기네 ㅋㅋㅋㅋㅋ  그냥 올타임레전드,Qhz2L8WzgIw
