category,categoryId,channelTitle,commentCount,country,description,id,likeCount,publishedAt,tags,title,url,viewCount
total,23,숏박스,2534,KR,"#스케치코미디 #숏박스 #스튜디오지니

하이퍼 리얼리즘 코미디 [신병3]
지니 TV | ENA 매주 월, 화 밤 10시 공개
모바일 시청은 지니 TV 모바일에서
#스튜디오지니",Qhz2L8WzgIw,30919,2025-04-18T09:00:42.000Z,"[숏박스, 스케치코미디, 개그]",아침 점호,https://www.youtube.com/watch?v=Qhz2L8WzgIw,2425719
total,24,짧은대본 ShortPaper,531,KR,"#코카콜라 #코크타임 #CocaCola
짜릿함이 필요할 때, Coke TIME!
Coke TIME 즐기고 페스티벌 가자! 👇
https://coca-cola.or.kr/event202504/view

멤버십 가입 
https://www.youtube.com/channel/UChgOgRNxrtCcVARDQT_c-Zg/join


광고문의 - ad@shortenm.com
일반문의 - short_paper@naver.com
배우지원 - short_audi@naver.com
배우협업문의 - casting@shortenm.com",S5jaYVVSRy4,9444,2025-04-19T11:00:44.000Z,"[드라마, web drama, 남사친, 여사친, 로멘스, 연애, 사랑, love, 대학교, 대학생활, 코카콜라, 연애초반, 연애적응시기]",연애 적응 시기,https://www.youtube.com/watch?v=S5jaYVVSRy4,645962
total,17,SPOTV 오리지널,793,KR,"#이정후 #샌프란시스코 #MLB

👇 2025 MLB 시청하기 👇

SPOTV NOW 💻📱 ☞ https://spotv.net/mlb

SPOTV PRIME 📺👀 ☞  https://www.spotvprime.co.kr/channel",Ik4ckKTRz0w,9570,2025-04-18T11:38:04.000Z,"[이정후 홈런, 이정후 하이라이트, SPOTV, 스포티비, 이정후 안타, 오타니, 양키스, 이정후 양키스, MLB 하이라이트, MLB, 쇼헤이 오타니, 이정후 트라웃, 이정후 멀티홈런, 에런 저지, WBC, KBO, 키움, 김하성]",개막 한 달? 일단 모아 왔습니다.｜이정후 2025 MLB 활약상,https://www.youtube.com/watch?v=Ik4ckKTRz0w,764004
total,17,스포타임,1835,KR,"#이정후 #기습번트 #활약상 #샌프란시스코

이정후가 미친 기습번트를 보였습니다
자세한 내용은 영상으로 확인하시죠~

👇 2025 MLB 시청하기 👇
SPOTV NOW 💻📱 ☞ https://spotv.net/mlb
SPOTV PRIME 📺👀 ☞  https://www.spotvprime.co.kr/channel",3veRj6plb1c,23222,2025-04-19T04:38:14.000Z,"[이정후, 이정후 활약, 이정후 활약상, 이정후 하이라이트, 이정후 번트, 이정후 안타, 이정후 기습 번트, 이정후 이슈 이정후, 이정후 대타, 이정후 2루타, 이정후 타점, 이정후 적시타, 이정후 이슈, 이정후 경기, 샌프란시스코 경기, SF 경기, 샌프란시스코 하이라이트, 이정후 홈런, 이정후 경기 하이라이트, 이정후 경기 보기, 샌프란시스코 경기 보기, 이정후 경기 활약, 이정후 MLB, MLB 경기, 메이저리그 경기, MLB 경기 하이라이트, MLB 하이라이트, 메이저리그 경기 하이라이트, 이정후 메이저리그, 이정후 메이저리그 하이라이트, 샌프란시스코 경기 하이라이트, 이정후 경기 다시보기]",'기습 번트+3출루' 이정후… 코치도 웃게 만들었다 #SPOTIME,https://www.youtube.com/watch?v=3veRj6plb1c,2296297
total,24,엠뚜루마뚜루 : MBC 공식 종합 채널,559,KR,"[전지적 참견 시점] 토요일 밤 11시 10분 방송!
MBC의 따끈따끈한 영상을 내 맘대로 편하게 즐기는 채널🌀
엠뚜루마뚜루 보러가기👉https://www.youtube.com/c/엠뚜루마뚜루
-
#전지적참견시점
#엠뚜루마뚜루

* 전지적 참견 시점 풀영상 보러가기
✔ WAVVE : https://www.wavve.com/player/vod?programid=M_1003594100000100000

✔ iMBC : http://playvod.imbc.com/templete/VodList?bid=1003594100000100000

ⓒ MBC&iMBC 무단 전재, 재배포 및 이용(AI학습 포함)금지",dtJ9j8grYHk,11378,2025-04-20T06:15:04.000Z,"[전지적참견시점, 전참시, 이영자, 전현무, 송은이, 양세형, 유병재, 홍현희, 참견, 일상, 탐구, 매니저, 연예인, 스타, 생활, 습관, 모습, 행동, 분석, MBC, MBC예능, 토요예능, T70517G, 250419, 윙, 윙 도파민, 지디, 지드래곤, GD, 윙 전참시, 윙 비트박스, 비트박스, 비트박서, 윙 무대, 윙 라이브, GD 콘서트, 지드래곤 콘서트, 전참시 윙, 지디 윙, 도파민, WING, 비트박서 윙, 콘서트, 라이브, 비하인드, 지드래곤 콜라보, GD 콜라보, GD 윙]",[전참시] 외쳐 갓 WING😎 지드래곤 콘서트에서 단독 무대 제대로 찢은 비트박서 윙ㅣ#윙 MBC250419방송,https://www.youtube.com/watch?v=dtJ9j8grYHk,837664
total,10,아이돌 인간극장,1374,KR,"#nctwish #poppop #아이돌인간극장

거침없는 폭로전과 자존심을 건 허벅지 씨름까지😵‍💫
엔시티 위시가 왜 이리 무리해

대본 없는 리얼(?) 다큐 [아이돌 인간극장]에 오신 여러분
모두 환영합니다🎉

Everyone, welcome to real (?) documentary no script [Idol Human Theater]🎉
 
More from #KBSKPOP

Twitter:      https://twitter.com/idolhumandocu
Instagram: https://www.instagram.com/kbs_kpop_official/

🎥제작 : STUDIO K
📩비즈니스 문의 : officialstudiokk@gmail.com

Copyright ⓒ KBS. All rights reserved. 무단 전재, 재배포 및 이용(AI 학습 포함) 금지",rTZmmk5NHGU,18196,2025-04-19T12:00:06.000Z,"[KBS, KBSKPOP, StudioK, 케이비에스, 케이팝, 스튜디오케이, 스튜디오K, 아이돌 인간극장, 아이돌 인생극장, 아인극, 인간극장, 아이돌인간극장, 하이퍼 페이크 리얼리티, 아이돌인생극장, NCT WISH, 엔시티 위시, 엔위시, 시온, 리쿠, 유우시, 재희, 료, 사쿠야, SION, RIKU, YUSHI, JAEHEE, RYO, SAKUYA, NCT WISH poppop, poppop, NCT WISH comeback, 아인극 엔위시, 아이돌 인간극장 엔시티위시, 아이돌 극장, 엔시티위시 인간극장, 엔시티위시 인생극장, 엔위시 인간극장, 엔위시 컴백]","[SUB] ""여러분 믿으면 안 돼요 vs 저는 진실을 얘기했어요"" 엔시티 위시의 폭로전(?) | 아이돌 인간극장",https://www.youtube.com/watch?v=rTZmmk5NHGU,283272
total,17,매미킴,1957,KR,"[매미킴 100만 구독자 달성을 위한 감사 이벤트]]

100만 구독자를 위해 립아이 스테이크 100인분 무료 이벤트!
구독자 여러분 총 100분께 립아이 스테이크를 쏩니다!

(유효기간 6개월)

참여 방법

1. 이 영상에 좋아요 + 구독


2. 댓글에 [참여완료]와 함께 간단한 응원 메시지를 남겨주세요

마감일: 2025년 04월 20일
당첨자 발표: 2025년 O5월 O1일 (커뮤니티 탭 공지 예정)

이벤트 제공: 마초스테이크

[구독]-[좋아요]는 큰! 큰! 힘이 됩니다🙏
김동현 이메일:memikim88@gmail.com
김동현 인스타그램 : https://www.instagram.com/stungunkim

#김동현 #추성훈 #추성훈스테이크 #매미킴 #스턴건",zU7LGJ5MGAo,7262,2025-04-20T03:07:18.000Z,"[김동현, 매미킴 TV, 매미킴, 건강, 다이어트, 홈트, 홈트레이닝, 호신술, 파이터, 종합격투기, 이종격투기, 주짓수, 스턴건, donghyunkim, kimdonghyun, donghyunkim ufc, kimdonghyun ufc, 매미특공대, MMA, HAVAS, 하바스, 크로스핏, 피지컬100, ufc, 레슬링, 정찬성, 추성훈, 헬스, 격투기, 넷플릭스, NEtflix]",한국에 생긴 추성훈 스테이크 먹어본 추성훈 김동현 반응,https://www.youtube.com/watch?v=zU7LGJ5MGAo,444764
total,23,빠더너스 BDNS,1564,KR,"#딱대 #문상훈 #츄 

0:00 힐링 토크쇼 딱대
0:08 오늘의 딱 맞는 게스트 : 츄 님
1:55 청주 출신 한화 이글스의 ‘승리요정’ 츄
4:22 츄의 유명한 리액션 영상
6:01 꽁냥이 챌린지 대란을 일으켰던 츄
8:26 깨물하트 만든 장본인 츄
9:34 [LOL PLAY]
9:48 [상담 선생님과 학생]
11:19 [키즈 유튜버와 어린이 시청자]
12:34 [탑급 진상 손님을 상대하는 알바생]
13:44 황금 성대 츄의 개인기 메들리
15:58 문상훈과 가장 잘 어울리는 츄의 신곡
18:05 ‘ENFP’ 대표 츄
19:42 말 예쁘게 잘하는 츄와 ‘부러워 게임’
22:37 츄 선플 딱대
23:39 다음 딱 맞을 게스트 (이준영 & 정은지)

Instagram @bdnspresents",X03NIGUm5pI,15742,2025-04-20T04:00:42.000Z,"[comedy, 코미디, 문상훈, 빠더너스, 빠더니스, 빠다너스, 문성훈, 빠더, 빠더너스 문상훈, 츄, cb, 딱대, 딱대 츄, 딱대 김채원, 샘문, 쌤문, 츄 레전드, 츄 예능, 문상훈 츄, 문쌤 츄, 김지우, 츄 토크쇼, 츄 인터뷰, 딱대 레전드, 딱대 모음]",CHUU vs CHEW! 꽁꽁 얼어붙는 공격 멘트 위로 아빠미소가 날아다닙니다 | 딱대 EP33 츄 CHUU,https://www.youtube.com/watch?v=X03NIGUm5pI,747605
total,10,ASTRO 아스트로,27075,KR,"#ASTRO #아스트로 #꿈속의문 #Moon

ASTRO - 꿈속의 문(Moon) : Memory of the Moon

with 
VIVIZ (비비지)
민혁, 기현, I.M of MONSTA X 
호시, 원우, 민규, 도겸, 승관 of SEVENTEEN
HELLO GLOOM
라키
최유정
김도연
찬희 (SF9)
방찬 (Stray Kids)
문수아 (Billlie)

▶ Twitter : http://twitter.com/offclASTRO
▶ Facebook : http://facebook.com/offclASTRO
▶ Instagram : https://www.instagram.com/officialastro
▶ Weibo : http://weibo.com/officialASTRO
▶ Fancafe : http://cafe.daum.net/fantagio-boys",UUFJlUy5aA4,548075,2025-04-19T09:00:10.000Z,"[ASTRO, 아스트로, 판타지오뮤직, 판타지오, fantagio, fantagioMusic, ASTROPLAY, 아스트로플레이, 차은우, 문빈, 진진, 엠제이, 윤산하, 라키, ChaEunWoo, MoonBin, JINJIN, MJ, YoonSanHa, ROCKY, 또까, DDOCA, 꿈속의문, Memory of the Moon, Moon, 비비지, VIVIZ, 세븐틴, SEVENTEEN, MONSTAX, 몬스타엑스, 최유정, 김도연, 찬희, SF9, 방찬, 문수아, 빌리, Billlie, StrayKids]",아스트로(ASTRO) - 꿈속의 문(Moon) : Memory of the Moon,https://www.youtube.com/watch?v=UUFJlUy5aA4,2716221
total,26,더존하우징,179,KR,"■ 총 면적 : 288.26㎡ / 87.2PY
■ 모델번호 : DUJON R43
-
▶ 시공사례 바로가기 : https://www.dujon.co.kr/SWfw1Kdt
-
현역가왕2 우승자 '장구의 신' 박서진의 부모님을 위한 주택을 직접 소개합니다

살림남에도 소개된 주택으로  박서진과 더존하우징이 함께한 만들어간 주택입니다 많은 관심 부탁드립니다
-
더존하우징의 주택전시장은  화성 / 안동 / 송산 / 세종 / 창원 / 김포 등
전국 각 지역별로 위치해 있습니다 지금 바로 평형대별 모델하우스 관람을 신청해 보세요!
-
건축비관련 문의는 대표 홈페이지 : https://www.dujon.co.kr 또는 
☎1644-3696으로 건축, 모델하우스 관람 문의 남겨주시기 바랍니다

#더존하우징 #박서진 #단독주택 #살림남2 #400회특집 #사천 #삼천포 #장구의신 #현역가왕2 #전원주택 #고급주택 #모던주택",bQH_Lb_8Hg8,,2025-04-19T23:35:01.000Z,"[더존하우징, 전원주택, 목조주택, 모던주택, 모던하우스, 단독주택, 주택설계, 경량목구조, 목구조, 주택, 전원주택단지, 주택단지, 하우스, 주택회사, 시공, home, house, 하우징, 모던, 세미모던, 온라인집들이, home tour, 모던스타일, 집짓기, 마당, 주말주택, 세컨하우스, 주택영상, 하우스투어, 인테리어, 골드홈, 로하스홈, 공간제작소, 한글주택, 한다움, 걸리버하우스, 윤성하우징, 하우스로그, 뜻밖의집, 라리홈, 박서진, 살림남2, 400회특집, 사천, 삼천포, 장구의신, 현역가왕2, 전워주택, 고급주택]",장구의 신 '박서진'이 소개하는 부모님을 위한 사천 삼천포 80평대 단독주택 - 더존하우징 Modern House,https://www.youtube.com/watch?v=bQH_Lb_8Hg8,136983
