comment_author,comment_likes,comment_text,video_id
@Ynjameos,2,When is Byron getting a hypercharge😢😢,6D1yFt1Uook
@MarkMark_10A,1,This update delete Edgar please Edgar=Gay🥵☞⁠￣⁠ᴥ⁠￣⁠☞,6D1yFt1Uook
@AlphaBoy-yn8vc,1,To: Brawl Stars   From: All Crow Mains  This is the Humble REQUEST To Brawl Stars that please change the Mastery Title of CROW. From 'Caw Caw' to something good like 'Boss of Bosses' Every crow main please like this comment  so that it can reach to brawl stars 👇🏻👍🏻                  Thank you,6D1yFt1Uook
@OyunDunyas-ui3mn,1,Next brawl talk r_t skin pls,6D1yFt1Uook
@Nightwolf_486,1,BRAWL STARS SHIT  WORLD OF WARCRAFT IS BETTER,6D1yFt1Uook
@Gynd2203,1,Un descuentito pe,6D1yFt1Uook
@EtiguarMunoz,1,They should do a collaboration with One Piece,6D1yFt1Uook
@WilmerFrick,1,Super brawl talk,6D1yFt1Uook
@KomadaAcord,0,This video randomly popped up and I m glad it did,6D1yFt1Uook
@AsggxGhokcx,0,I ve had this on repeat all day,6D1yFt1Uook
@ImmaTarallo-j8p,0,You cloud do the overdrive of kit 😭,6D1yFt1Uook
@Зад-к4х,0,MORE PAULA!,6D1yFt1Uook
@joaquinsanchez8310,0,I want that Tara skin so bad,6D1yFt1Uook
@lerbyy3595,0,I see there undertale and deltarune reserences,6D1yFt1Uook
@GanguWedame,0,Who else is here before this blows up,6D1yFt1Uook
@ShariSchmidt-d2u,0,This deserves way more views. Absolutely underrated,6D1yFt1Uook
@cyrilmanalo167,0,What if roblox and brawl stars collab?  POV:If this gets 500 likes👍 lets make brawl star collab with roblox but i think they would not collab🥹🥺🥹🥺,6D1yFt1Uook
@FillerAlex-m1u,0,The way you explained this is SO clear. Thank you,6D1yFt1Uook
@BoydHerzog,0,This deserves way more views. Absolutely underrated,6D1yFt1Uook
@PaulaClifford-k5e,0,I didn t expect to love this as much as I do,6D1yFt1Uook
@AzrielVolodichka,2,Real Geek fans of Star-Wars 👇🏽,RKZPMyAvEXs
@Nazli-t1o,1,I ve had this on repeat all day,RKZPMyAvEXs
@StayrichJr3,1,I’ve didn’t grow up to watch Star Wars but I love the cross over battles pass,RKZPMyAvEXs
@comositgamerz7569,1,I feel emotions of happiness,RKZPMyAvEXs
@Flamez100,1,No one is how they’re adding Mace Windu on top of the insane characters we’re getting.  Me-sa pleased.,RKZPMyAvEXs
@justleeguy9195,1,Yet another 20GB to add to the already bloated file size  yet another slew of bugs and optimisation issues to deal with.   Quite frankly I couldn't care less for these events any more  not when even a fairly high end PC is completely unable to even launch the game because Epicgames will completely ignore any and all issues  instead favouring cheap  flashy seasonal events and crappy new skins.,RKZPMyAvEXs
@BoxodirYorqulov,1,I can t stop smiling watching this,RKZPMyAvEXs
@cowajopo,1,The editing is top-tier. Seriously impressive,RKZPMyAvEXs
@ZainHoover-b1h,0,I didn t expect to love this as much as I do,RKZPMyAvEXs
@HariomSinghRuhela-j1w,0,Algorithm finally did something right,RKZPMyAvEXs
@DEIMOSxdxd,0,Cine 🗿🚬,RKZPMyAvEXs
@mahinahmed6752,0,Came for the thumbnail  stayed for the vibes,RKZPMyAvEXs
@WorldofWarcraftArthas,0,0:28 TRAAVIS SCCCOTTTTTT thank u for bringing him back!,RKZPMyAvEXs
@NitanandoBiawas,0,The editing is top-tier. Seriously impressive,RKZPMyAvEXs
@MdSohel-h9z6s,0,Algorithm finally did something right,RKZPMyAvEXs
@YếnTrâmDương,0,Can we all agree this creator deserves more recognition,RKZPMyAvEXs
@HiếuNguyễn-x3m2g,0,Mood instantly lifted. Thank you for this,RKZPMyAvEXs
@mastervibes-c4z,0,Mace Windu finally bro,RKZPMyAvEXs
@EmsmLiwowpa,0,I learned more in 10 minutes than hours of Googling,RKZPMyAvEXs
@WynterGrauel,0,Pure talent. No words,RKZPMyAvEXs
@MrBeastGaming,19788,I remembered the password for the account lol,2C6omXxIcyE
@LuizFernandoRonqui,1,DUVIDO VOCE PASSAR 3 DIAS  NO RIO DE JANEIRO SEM SER PRESO,2C6omXxIcyE
@Orange-cc6us,1,You should do a contest with the hermit craft people,2C6omXxIcyE
@erpanmaulana5834,1,caringin😊,2C6omXxIcyE
@YiyangLi-r4g,1,Cool vid,2C6omXxIcyE
@Sanjay-01-uk,1,More Beast gaming hopefully,2C6omXxIcyE
@Erfoot94-l9s,1,Y’a pas en français 😭😭,2C6omXxIcyE
@Krishinformal,1,Katihar Bihar indrapuri kaushlya garden,2C6omXxIcyE
@rodlynn5881,1,Thank you Mrbeast for bringing back gaming❤❤,2C6omXxIcyE
@RhyssPlays,1,Bro became groxmc,2C6omXxIcyE
@fatmaakin765,1,That transition at 3:12 was chefs kiss,2C6omXxIcyE
@NikeshKumar-tu3ym,1,🎉,2C6omXxIcyE
@Ca.4009,1,😊😊😊😊,2C6omXxIcyE
@JeffShepherd-pd3em,1,Plzzz,2C6omXxIcyE
@AndrewPearson-e2k,1,This video randomly popped up and I m glad it did,2C6omXxIcyE
@AmruthaVenky-m7t,1,Got the 1 buk,2C6omXxIcyE
@cristlecoder,0,he is back,2C6omXxIcyE
@muzamilkreemyaqoob,0,حضرت علی نے فرمایا ـ  تم ” جنت“ نہ مانگو بلکہ تم دنیا میں ایسے کام کرو کہ ”جنت “ تم کو مانگے۔❤❤❤,2C6omXxIcyE
@LourdesGilkes,0,Pure talent. No words,2C6omXxIcyE
@SecretlyKobe,0,rents due,2C6omXxIcyE
@securethebag1613,1,Lmao the commentator doe,9mEhaQQ0C8Y
@lilzae4848,1,Great game by Minnesota I just hope that Adam Silver not gonna make Timberwolves throw the series away after they go up 2- 0,9mEhaQQ0C8Y
@justuknown4059,1,Jesus loves you all  He even died for you.  He went the most vile pain in this world . But he rose back up and now He will be returning. So please repent before it’s too late. God our gracious father has given us the best gift that can be offered in existence. It’s eternal life with him when Jesus the Lamb of God returns and a relationship with Him. He even offers more than that. All because He truly loves us. He can heal you from everything that draining and dragging you down. Everything that you struggle with; all the pain that you suffer daily and weekly. He knows what you need. He wants to heal you  you just have to let him. Trust in him and have faith that it will be done. Nothing in the is world can take away what you gone through and suffered. This world only provides temporary comfort. But Jesus can set you free from it completely and permanently. Don’t trust this world  because it will deceive and keep you in that dark place that you are in. Nothing in this world will give you peace nor heaven but only the one who created it. Jesus loves you❤️❤️ 	◦,9mEhaQQ0C8Y
@ravendon,1,Lebron always loses the first game in every playoff series. Not too concerned.,9mEhaQQ0C8Y
