comment_author,comment_likes,comment_text,video_id
@andrewbolden9242,17,This guy gives outstanding hugs and I just know it,Zzyuh0Kyi3U
@williamborrego6016,7,Loyal man had a devil in his vehicle and didn’t even know it.,Zzyuh0Kyi3U
@markrai9638,1,He should have nailed it. What show is this.,Zzyuh0Kyi3U
@officialdyno208,1,A real man and a real dad,Zzyuh0Kyi3U
@johnh.piersoniii7025,1,She's so hot! She's a paramedic on Chicago Fire. 😍,Zzyuh0Kyi3U
@TheBobbyONeill,1,Why did it save his life tho? Was she gonna kill him?,Zzyuh0Kyi3U
@BenjiBoi696,1,THE END SENT ME I HAVE NO CONTEXT,Zzyuh0Kyi3U
@dwave2002,1,What would be great is if all the actors in this movie and all the ppl commenting here can also not cheat.,Zzyuh0Kyi3U
@Ifyoufindthisyourcheating,1,What the f*ck happened at the end,Zzyuh0Kyi3U
@jbrogaming2579,0,What the name of this?,Zzyuh0Kyi3U
@bilLaahi,0,He knew she was a vampire?,Zzyuh0Kyi3U
@eden_games,0,The exit was too fast 😂,Zzyuh0Kyi3U
@Tykewarrior,0,They’re fkn actors!,Zzyuh0Kyi3U
@hassanhadi3892,0,This scene never happened in real life and history of United States  actually it’s easier to find a cancer cure than such a coincidence.,Zzyuh0Kyi3U
@Ashleyclub,0,Did anyone notice the guilt she had?,Zzyuh0Kyi3U
@jpines,0,Hey sheeple  its called acting.,Zzyuh0Kyi3U
@francisjohnmanalo1620,0,The girl learn from him,Zzyuh0Kyi3U
@-LowResDream,0,What show is this? Was she some sort of succubus?,Zzyuh0Kyi3U
@uniqueperson.,0,Movie name pls.... :),Zzyuh0Kyi3U
@bertbarra1011,0,That's the real example  how the "resist a devil and he will flee you" look like 😂,Zzyuh0Kyi3U
@alexandresilva-xs8ic,2,That blindfold aint working properly,9trJTiOB8BE
@AliTuncer-vt6qt,1,Adam benim gözüm açıkken yapamadığımı yapmış,9trJTiOB8BE
@ClipsHubNew,1,Master 🫡,9trJTiOB8BE
@NeoAnimeX47_Kun,0,He’s obviously looking  with blind eyes you don’t look straight to the object like you don’t have nothing to cover your eyes,9trJTiOB8BE
@Emilly-CRS,0,O melhooooorrrrr do mundo ❤❤❤,9trJTiOB8BE
@Kyle-ob4xb,0,Nobody thinks he actually can’t see right?,9trJTiOB8BE
@AlliZaldan,0,Eran risas hasta que vieron que si pudo hacerlo jajaja,9trJTiOB8BE
@khairyzal7243,0,I can even make it even with both eyes open 😂,9trJTiOB8BE
@TyrannostarusRex,0,This man would later get arrested for driving under the influence and would tel the cops “you can’t arrest me  I’m the cake boss!”,9trJTiOB8BE
@samissoodd,0,So sad that hishands got injured the way they did.,9trJTiOB8BE
@nicholegallo1090,0,Fun fact my uncle ran him out of business in south jersey. Lol.,9trJTiOB8BE
@Romina-vy7dl,0,Amooooooo,9trJTiOB8BE
@astralnaught9431,0,It was the intensifying smell that made him lock in,9trJTiOB8BE
@irodatolibova7685,0,I can't do it with my open eyes😅,9trJTiOB8BE
@a.simaos,0,Buddy sempre incrivel,9trJTiOB8BE
@tamararivera4916,0,Were they silent or were they SILENCED 🤣,9trJTiOB8BE
@Orvin93,0,All that and the cake take like trash,9trJTiOB8BE
@kimpatterson7171,0,Buddy got amazing skills 🤩🤩🤩,9trJTiOB8BE
@Covboyzgenetics,0,Cake boss was a killer show,9trJTiOB8BE
@RainyRainy123,0,This is why you can’t arrest him  he is the Cake Boss,9trJTiOB8BE
@EmperorNapoleon1815,3,A magnificent rendition of a magnificent hymn.,UKjopZLMT0U
@tavishijoshi3563,3,I don't think I have seen these episodes  where are they streaming.?,UKjopZLMT0U
@KJRIDGE25,2,George is such a good husband  son  and brother.,UKjopZLMT0U
@Sleeping_lavenders,1,Yall what season is this called???,UKjopZLMT0U
@emperorbarina,1,“You’re too young for your wife.”  But Mandy didn’t know that when she slept with him  until much much later.,UKjopZLMT0U
@Darshantre,1,I love george such protective brother❤❤❤,UKjopZLMT0U
@AidenHopper-l4o,1,Is this young Sheldon or the Mandy and Georgie sequel thing,UKjopZLMT0U
@everettplummer9725,1,He was the bad influence on Missy.,UKjopZLMT0U
@droid2921,0,series name,UKjopZLMT0U
@MeD-ex8mz,0,People say Georgie can't talk because he made mistakes  but the point is that others should learn from them.   Also isn't Todd the same age as Georgie??,UKjopZLMT0U
@VixenVulpix990,0,Big brother protective,UKjopZLMT0U
@payz92,0,Is this from Sheldon scene?,UKjopZLMT0U
@PotentialLife22,0,What movie is this?,UKjopZLMT0U
@serenityreiling7891,0,His fathers son for real never sounded more like his dad then the “do you want me to kick your ass”,UKjopZLMT0U
@Unknown_human666,0,What is the name of the show?,UKjopZLMT0U
@theminicast6619,0,I honestly love Georgie. he's one of my favorite characters alongside meemaw. I swear it's all coming full circle. we're all talking about George Sr. buut  let's not forget this quote Meemaw made when he got Mandy Pregnant.  "Georgie  just think how you'd feel if someday somebody did that to your sister." he damn well started seeing things differently for the better. he will always be around to protect his sister even though she and him don't see eye to eye on something all the time. that's what siblings are for. and i'm saying that as a big sister. if I hear something like that is happening  I'd be at that door as well for my brothers and my sister.,UKjopZLMT0U
@C_Dawg217,0,What season,UKjopZLMT0U
@lennondouradomoura150,0,he's looking so much like his father,UKjopZLMT0U
@Lolyougotclappedmyguy,0,georgie yes is too young for mandy but both of them had matured enough to BE in a relationship so its better (aside from the fact that she was lied too)  the only guy even REMOTELY matured in missy's relationship is todd  and missy is still a kid  she doesnt know what shes gettin into,UKjopZLMT0U
@matthewblanch9476,0,Pov never fuck with Texans,UKjopZLMT0U
@PurestWisdom,7,Great security camera - zooms and pans just at the right time!,ONAVr0RQUTc
@BerettaTV,1,Fake,ONAVr0RQUTc
@Ragebait2004,1,FAFO,ONAVr0RQUTc
@EHustle411,1,2 bros talk gun 😂❤,ONAVr0RQUTc
@tonytouchz757,1,Nice lil skit,ONAVr0RQUTc
@sephruin2501,1,Set up skit,ONAVr0RQUTc
@RaphDum-t8l3v,1,Fake😂😂😂,ONAVr0RQUTc
@mari_iscariot,0,staged af 😂,ONAVr0RQUTc
@Drunk3nMonk3y72,0,All conveniently filmed from multiple angles so he could show his hero story to everyone. Don’t be so gullible guys.,ONAVr0RQUTc
@jeffreyvangelderen3813,0,In Europe guns are forbidden this story ended different,ONAVr0RQUTc
@tronmridu1398,0,And the democrats want to take away ur gun rights smh,ONAVr0RQUTc
@patriciakidd5358,0,ADAM!,ONAVr0RQUTc
@therealonefrfr5676,0,If bro was sprinting towards him that footage would've been very different,ONAVr0RQUTc
@axelmonogatari3175,0,"Weapons kills people" "weapon should be illegal"  send this video to every DUMB people that say that bullshit.,ONAVr0RQUTc
@CaroB52,0,If you can’t see what a blatant set up that is you must be a bit thick.,ONAVr0RQUTc
@Darkmatter321,0,Which lovely country is this then?,ONAVr0RQUTc
@AceWyndu,0,dude I just watched a recent video of Tank Abbott getting ran up on by a dude with a big as knife and just picks the dude up and slams him and disarmed his ass. shit was incredible. these UFC dudes really are not to be fucked with,ONAVr0RQUTc
@SamuelIvaska2570,0,Awwww❤ What breed?,ONAVr0RQUTc
@Monke-h9h,0,Chchk he gone and dipping,ONAVr0RQUTc
@randyhill3964,0,Whenever I'm working in my garage or driveway I'm always strapped.,ONAVr0RQUTc
@Ellea-n2y,81,The look of pure joy and happiness when he said “I’ve always wanted to say that” was so genuine. I wouldn’t be surprised if that was his genuine reaction💀💀,4wOpPxrcUsM
@AshleyBrown-u9n,4,i fuckin love david tennant hes was and still is the best doctor,4wOpPxrcUsM
@doctorpineapple5872,2,David and Matt are the best doctors <3,4wOpPxrcUsM
@maihakaguya8723,2,I love David Tennant  one of the best Doctors with Matt Smith💯,4wOpPxrcUsM
@Monoeditz,2,Great example of how knowing the law can protect you from corrupt police.,4wOpPxrcUsM
@thewoodpeckers655,1,I’m not a doctor who fan  but knowing what I know about him  he 100% meant those first 2 questions because he was confident in what to say to get out alive on the third one  and was just entertaining himself.,4wOpPxrcUsM
@kylesmith1118,1,Enemy: Heavenly Hosts. Ship androids designed to assist passengers and crew with various tasks. Acts like an information kiosk  and lacks any form of personality; adding to their unsettling nature when acting upon Max Capricorns directive to silence any survivors...,4wOpPxrcUsM
@KlersDesign,1,bro look like linus tech tips,4wOpPxrcUsM
@MaoMao-v3i,1,I need to know this movie,4wOpPxrcUsM
@ーテイル,1,THIS! This is how you write the doctor panicking! He's in panic  but he doesn't beg nor does he cry  he tries to witt his way out of the situation.   I was watching season 6 the other day and there's this episode where the doctor basically turns into a crybaby begging for someone to help him. All so a random character could get a small "gotcha" moment.   It genuinely made me angry.,4wOpPxrcUsM
@faust5398,1,What in goofy town is this show,4wOpPxrcUsM
@charliecharlie2705,1,Parallel universe: information; no bitch  * Obliterates the Doctor*,4wOpPxrcUsM
@mjg1544,1,✅ Near Perfect Incarnation #10  ❌ Insufferable Incarnation #14,4wOpPxrcUsM
@OrigiNULL01,0,Movie or series? And episode number?,4wOpPxrcUsM
@elegantuniverse7933,0,He could have just said. "Parley",4wOpPxrcUsM
@HXLproductions,0,Childhood nostalgia,4wOpPxrcUsM
@vellermate1999,0,"DON'T YOU HEAR ME? ONE!"  - information: correct😂,4wOpPxrcUsM
@Thatone-c8h,0,Why do they look so terrifying tho 😭,4wOpPxrcUsM
@awp97128,0,Why dosnt “do you hear me” count as question 1?,4wOpPxrcUsM
@JuiceVR-z8x,0,"WAIT WAIT SECURITY PROTOCOL ONE  WAEN!",4wOpPxrcUsM
@josemiguelrobledo756,88,¡Gracias!,y-eCcH7uaoM
@saltarin005,1,Gallinero has a long way to go to become men.,y-eCcH7uaoM
@clemiltonribeiro5478,1,Soco Bem Dado  Na Cara Desse Covarde  o Que Jogou a Bola Na Cara Do Jogador.,y-eCcH7uaoM
@donovansaiz4494,1,Thats why i dont play with thugs,y-eCcH7uaoM
@tommarks3726,1,They can't even play a friendly game. It's so important to get your props. WHAT CRAP.,y-eCcH7uaoM
@norsecelt,1,Haha basketball players throw punches like 6 year old girls. Total sissies.,y-eCcH7uaoM
@kingbrando3921,1,He got laid down,y-eCcH7uaoM
@JoselitoAlbuena,0,😅,y-eCcH7uaoM
@embersuhnuhk346,0,Boys will be boys.,y-eCcH7uaoM
@nikko39,0,Quanti commenti da veri idioti professionisti.....,y-eCcH7uaoM
@NestorAndrada-o8e,0,3  😮😂,y-eCcH7uaoM
@clearstonecadag8562,0,Madami yan dito,y-eCcH7uaoM
@masengutsukidi9165,0,Sekalian bengkokin tangannya si kaos merah/ungu itu 😮😮😢,y-eCcH7uaoM
@TheSpikie22,0,Dude took that punch like he took on a bad screen😅,y-eCcH7uaoM
@dewyox,0,Big babies its just a game,y-eCcH7uaoM
@Joshua-m8t4h,0,I thought they say tall guys are stronger than shorter guys lol,y-eCcH7uaoM
@user-xg2en2bt5j,0,Say what again?,y-eCcH7uaoM
@Joshuaw86,0,You lost dude shut up and cry ....,y-eCcH7uaoM
@Jorge-v2x8t,0,Where is the full video?,y-eCcH7uaoM
@danhickman152,0,This is ghetto ball  not basketball.,y-eCcH7uaoM
@alex-B1B6,1,whats the name of this series,iOxrTay2dg8
@AmirinhoTFB,1,Racism at it's peak,iOxrTay2dg8
@ItzPhilRBLX,1,What show,iOxrTay2dg8
@familynahrajaknahrajak,1,Bro after saying all of that that makes me knockback  by myself,iOxrTay2dg8
@jackasuar8744,1,Bros madness turned him into Eminem 😂😂😂😂,iOxrTay2dg8
@CRAVENNavarro,1,His rage got him to get a factory😂,iOxrTay2dg8
@RenalynSuarez-c2r,1,Bro owes him 2 factory,iOxrTay2dg8
@sarodabasumatary5564,1,"WHAT!!" GOT ME 😂,iOxrTay2dg8
@angelacenina2275,1,“Give me two candy factories”,iOxrTay2dg8
@Penguino-w7z,1,This shit is cringe,iOxrTay2dg8
@Springtrap-r2m,1,His Aura: ♾️♾️♾️♾️,iOxrTay2dg8
@SiwookRyu,0,A racist male dog,iOxrTay2dg8
@TringaBojaxhiu,0,👌👌👌🥶🥶🥶💀💀💀💀💀☠️☠️☠️👏👏👍👍🦾🦾🫦🫦🧠💪💪💪💪💪💪💪💪💪💪💪🏻💪🏻💪🏻💪🏻💪🏻💪🏻💪🏻💪🏻💪🏻,iOxrTay2dg8
