author,likeCount,text,videoId
@Dynamite_505,7,This right here  is a real man!,Zzyuh0Kyi3U
@SteveTalks-HorrorStories,2,Jesus Christ Of Nazareth Loves Us All! REPENT BEFORE IT'S TOO LATE! AMEN JESUS CHRIST OF NAZARETH!❤️🙏❤️☦️🫡✝️❤️🙏❤️,Zzyuh0Kyi3U
@kingofkings.8822,2,This film is atrocious by the way  is called V for Vengeance and is really really bad  don't waste your time watching it,Zzyuh0Kyi3U
@avestruzangolano3998,1,Where is this scene from?,Zzyuh0Kyi3U
@PIZZA.60,1,Bro that girl disappeared faster than a snack in a family fridge,Zzyuh0Kyi3U
@Andre-yd9sg,1,Movie name?,Zzyuh0Kyi3U
@abdomination,1,Where is this clip from,Zzyuh0Kyi3U
@imranhasan2856,1,What movie??,Zzyuh0Kyi3U
@connorjardel604,1,Bro why is no one talking about what happened to her😭😭      What did happen to her?,Zzyuh0Kyi3U
@brunolunardon7410,1,Can someone please tell me the name of the movie or show ?,Zzyuh0Kyi3U
@atlantis9720,1,WTF,Zzyuh0Kyi3U
@yazeed785,1,Name of this film please 😅,Zzyuh0Kyi3U
@senafujii6033,1,Who are also think its so cringe whenever she roll who eyes who agree??,Zzyuh0Kyi3U
@HutchRearden,0,How did that save his life?,Zzyuh0Kyi3U
@hixonfitness,0,Priorities in line ✅️,Zzyuh0Kyi3U
@killamatrix1,0,Demons 😮,Zzyuh0Kyi3U
@NOFVCEgameryt,0,She wasn’t even human or what 😭😂😂😂😂,Zzyuh0Kyi3U
@raizen4271,0,IN REAL LIFE ITS DIFFERENT😂,Zzyuh0Kyi3U
@skyhigh5760,0,What show is this?,Zzyuh0Kyi3U
@joeshmoe735,0,Im missong context what happened to her at the end there?,Zzyuh0Kyi3U
@alexandresilva-xs8ic,2,That blindfold aint working properly,9trJTiOB8BE
@AliTuncer-vt6qt,1,Adam benim gözüm açıkken yapamadığımı yapmış,9trJTiOB8BE
@ClipsHubNew,1,Master 🫡,9trJTiOB8BE
@CamilaOrozco-ji9ev,1,Más crema que pastel  pero el lo hace increíble.😊,9trJTiOB8BE
@LiorFez,1,Was it difficult?  Nah it was piece of cake.,9trJTiOB8BE
@Ra-Nouchaa,1,Bravo 😌 👏 ❤,9trJTiOB8BE
@Sckoka,1,I used to love this show man❤❤,9trJTiOB8BE
