author,likeCount,text,videoId
@Theguywhoisaguy-tb9nj,1,Day 95 of asking for 10000000000 gems,6D1yFt1Uook
@Tigryplayzgamez,1,You replace Chromatics for THIS?!?!😭,6D1yFt1Uook
@AbnerContreras-o7t,1,Gracias por todas las buenas actualizaciones te agradezco mucho te creaste un buen juego es mi favorito el brawl stars🎉🎉🎉🎉🎉🎉🎉🤝,6D1yFt1Uook
@ShadowPlayz77-u4i,1,9:45 IS THAT SHADE HYPER????? it has the flame under him,6D1yFt1Uook
@baynurr,1,I don't play BS for a year now (too much grind) but I never miss brawl talk  there is always so much new stuff added and it's funny,6D1yFt1Uook
@laty6868,1,Ryan and Paula BACKKKKKK!!!!!,6D1yFt1Uook
@GolukumarGolukumar-m2f,1,Who else is here before this blows up,6D1yFt1Uook
@mariceliacruz7441,1,Where's Iggy?,6D1yFt1Uook
@DEASPROKE1,1,i love the "THIS IS A BIG ONE",6D1yFt1Uook
@GreenBond12,1,This update gona be peak!!!,6D1yFt1Uook
@СемёнКутуков-п6в,1,Верните brawl stars в Россию,6D1yFt1Uook
@СемёнКутуков-п6в,1,Верните brawl stars в Россию,6D1yFt1Uook
@ds3t29wongpaakqiulincolnp,1,The new game mode is just a copy of China’s game 皇者榮耀😂,6D1yFt1Uook
@ElCanaldeJero,1,Bro shade hipercharge☠️☠️,6D1yFt1Uook
@Jottta_Cê,1,❤【J】【E】【S】【U】【S】 【T】【E】 【A】【M】【A】,6D1yFt1Uook
@jh0236,0,Where's Pam gone? 😂,6D1yFt1Uook
@JoseZengo-t2m,0,This video randomly popped up and I m glad it did,6D1yFt1Uook
@NoahVasquez-i9d,0,When is it coming,6D1yFt1Uook
@DonaldShirley-d5q,0,The way you explained this is SO clear. Thank you,6D1yFt1Uook
@Maryaadams-i9t,0,Loved this video  keep up the great work!,6D1yFt1Uook
@stainlessstove4629,4,At 0:46 Oscar didnt leave max any space. Max ended up ahead of Oscar in the corner before being puished off. Anyone else think that the 5 second penalty was too harsh? Verstappen should have won.,Li93iQDZQeg
@carspottingnewcastle,1,another great drive from piastri  he’s definitely a top 4 title contender this year,Li93iQDZQeg
@deividas_kimontas,1,Piastri is the future! Superb drive!,Li93iQDZQeg
@geoffreyveale7715,1,3:22 The bending front wing on the McLaren to reduce drag is so obvious.,Li93iQDZQeg
@BIMBIMkun,1,Hamilton is done i think 😢,Li93iQDZQeg
@e.Kab.,1,5:11 why does it seem like the on-board cameras glitch right as the "close call" moments are peak close calling 😂,Li93iQDZQeg
@user-fp3bu1og2e,0,해밀턴은 머신 문제가 아닌듯 ㅋㅋ,Li93iQDZQeg
@SelfDestruction-n3u,0,McLaren definitely cheats. Their front wing deformed obviously From the camera view,Li93iQDZQeg
@BanditoBurrito,0,I really love Oscar's matched aggression with Verstappen in the beginning  you could tell he didn't get intimidated and held his line.,Li93iQDZQeg
@ranks1975,0,Max didn't clap on the podium. He's fuming! Well done Oscar you're my next favourite after LH.,Li93iQDZQeg
@Rye_brqd,0,STOP THE RACE ON LAP 22 PLEASEEEE,Li93iQDZQeg
@San2713_thegoat,0,My fav driver since i started following f1 was oscar 🎉,Li93iQDZQeg
@konteriusnai8595,0,Arab Saudi menggelar F1  Indonesia menggelar demo😅😅😅😅,Li93iQDZQeg
@tantatum5676,0,why max got the penalty? Pia pushed him out of the track. Can anyone help to explain about it?,Li93iQDZQeg
@ManoliGreek2640,0,They need to race in ATHENS GREECE..,Li93iQDZQeg
@megasyxx,0,Yeah! Oscar the grouch piattos Piastri! 😊,Li93iQDZQeg
@ravileejones7381,0,Disgusting British bias,Li93iQDZQeg
@JeremyGoni,0,And the Best onboards video?,Li93iQDZQeg
@passivehouseaustralia4406,0,So verstapen should have just let the lead back to piastri and he whould have got to fight it out....  aggressive behaviour this time has failed Max I think.,Li93iQDZQeg
@stefchemacrae5540,0,How can a race with 4 different cars in the top 5 be so boring,Li93iQDZQeg
@jessepinkmanswife,2,evb clap it up for cory spending 30-40 HOURS editing to bless everyone with this,tcu7doTM7T8
