comment_author,comment_likes,comment_text,video_id
@yoruscake,10,"How can people enjoy ts 😭, never listened to a song so trash and overrated",riCP9x31Kuk
@mxcxrons5637,10,This is bunnsss😭😭😭😭,riCP9x31Kuk
@vtx.88,7,This shit is so fucking ass please never make music again,riCP9x31Kuk
@charlesmichael2396,6,This is so ass compared to the original,riCP9x31Kuk
@Manguyok,6,This song is ass,riCP9x31Kuk
@mxcxrons5637,6,This is not a song this is a cover with your own goddamm lyrics,riCP9x31Kuk
@SexiestBoyInTheUniverse,5,The original is 1000x better,riCP9x31Kuk
@ASimplework,5,This is a terrible song,riCP9x31Kuk
@TVFilthyDank,5,Cringe ahh song bruh ruined the original 🥀,riCP9x31Kuk
@dark6666dark,5,Not creative steal gotye song,riCP9x31Kuk
@rosskemp8961,4,This is dog shit,riCP9x31Kuk
@bodacious165,4,this shit is so ass,riCP9x31Kuk
@jontullett9068,4,Shit song,riCP9x31Kuk
@WadDeIz_Real,3,God this song is ass,riCP9x31Kuk
@Yxgra,3,"Sampling of 2010s songs, Hmmm no hating but i can't stand with this. It's sucks.",riCP9x31Kuk
@fritzmaputi6447,3,Bad song,riCP9x31Kuk
@bobfreedom7698,3,"This shit isn't a sample it's just a cover of a good song and turning into slop. SOULLESS song, it's just worse in every way",riCP9x31Kuk
@King-Nova,2,This is assssss disgraceful to OG,riCP9x31Kuk
@Banish_4_Cost,2,"I suffer from anxiety, but this song is overhyped and 🚮",riCP9x31Kuk
@swak0076,2,Sampling is ruining the game.,riCP9x31Kuk
@Juana4ev,77,Back here again on April 20th. Happy Birthday Luther Vandross,sNY_2TEmzho
@Yohannesjx,16,that's why he's the goat the goat,sNY_2TEmzho
@maka2697,15,The goat himself. Tour is looking insane,sNY_2TEmzho
@andapandora,12,Kendrick Lamar and SZA are the best ! ❤❤❤❤❤❤❤,sNY_2TEmzho
@XXXTENTACIONTHEGOAT,8,14 million views ❤🎉,sNY_2TEmzho
@ZDSmiles,7,People who went to the concert👇,sNY_2TEmzho
@lewismanzon5074,7,"PSALMS 118:29 Give thanks to the LORD, for he is good; his love endures forever.",sNY_2TEmzho
@storieswithmamac3014,6,"Absolutely classy, sexy and flawless! 
I think Marvin Gaye, Luther Vandross and Kendrick Lamar all pulled off sheer magic with each of their renditions of it. 
Love is timeless!",sNY_2TEmzho
@ahmetyegenaga,6,now that the tour has started kendricks 25 run is gonna go even crazier,sNY_2TEmzho
@femmefatale2903,6,Luther was able to spend a whole 8 days trending as the number #1 video. Crazy to think when the song is 5months old but not surprising because it’s such a great song ❤,sNY_2TEmzho
@SewNJLife,6,A beautiful video that rekindles old thoughts and feelings. 🥰,sNY_2TEmzho
@lori4013,5,Happy birthday Luther!  Happy Easter to everyone!  Really love this video!❣,sNY_2TEmzho
@blackice3395,5,I didn't like this song at 1st. Now i love it. But that's Kendrick lamar for ya!,sNY_2TEmzho
@seteregrassngang6730,5,That's 🔥🔥🔥,sNY_2TEmzho
@Destiny-jq4gc,5,Headed to week 10 at #1 on Billboard Hot 100 songs across all genres.🔥🔥🔥,sNY_2TEmzho
@abubakarbutt4886,4,Why nobody is talking about how SZA made this song 10/10 ❤,sNY_2TEmzho
@bbvsls3234,4,Me to my sis who is a Drake fan: YO SIS KENDRICK JUST DROPPED,sNY_2TEmzho
@noved317,4,Fire,sNY_2TEmzho
@lynellejov,4,Happy Birthday Luther Vandross!,sNY_2TEmzho
@PinkkBarbie,4,Literally most fire ALBUM.SONG.PERSON. of our lifetime ❤❤,sNY_2TEmzho
@DJDJvr,7,Absolute masterpiece 🔥🔥🔥,41O_MydqxTU
@SmallBotInteractive,4,#1 ON TRENDING LOLL,41O_MydqxTU
@Time2pl3y,3,WE NEED A LONGER VERSION 🤯,41O_MydqxTU
@ImHumbucker,2,"I can't lie, that chicken actually made me hungry...",41O_MydqxTU
@Doobz97one,2,It was peaches now its lava chicken,41O_MydqxTU
@DaylinsHyperAdventure,2,How did this get on the trending?,41O_MydqxTU
@Billiam47,2,Jack black is so magical,41O_MydqxTU
@RetroCinemaHQ,2,Minecraft + creativity = unlimited possibilities 👌,41O_MydqxTU
@LynnMoth,2,I can’t stop singing this and it’s driving me insane.,41O_MydqxTU
@MariaSandraC,1,"The only thing wrong with this song:
it's too short!

*release the full version now!!*",41O_MydqxTU
@jonc.m.2312,1,No se me quita de la cabeza😂😂😂,41O_MydqxTU
@YouNeverSeeItComiiiiiiiiiiing,1,How did Jack Black manage to make Steve even more iconic?!,41O_MydqxTU
@ivanroycemacasling3565,1,New brain rot,41O_MydqxTU
@LuisfernandoLopezmartinez-u7k,1,Enserio es una obra de arte,41O_MydqxTU
@AzariyaTefera-i4s,1,Jack black is a incredible and hard working actor that’s puts effort which no matter what I will appreciate from him and he never disappoints,41O_MydqxTU
@GoldenPaperclip,1,"""#3 on trending for music""",41O_MydqxTU
@que_ves_bro,1,Steve's Lava Chicken,41O_MydqxTU
@minetieplays2092,1,I’d like to take this moment to shoutout the guy in my band class who was playing this on his bass clarinet,41O_MydqxTU
@Smiley_Bat,1,Finish Please. La la La Lava Ch Ch Ch Chicken 🔥🔥,41O_MydqxTU
@Rodriguez-e7u,1,Hes a LEGEND TECHNOBLADE,41O_MydqxTU
@bigxthaplug,2452,ALL THE WAY ft. Bailey Zimmerman VIDEO OUT NOW‼‼‼Comment your favorite part!,7kyHvPNbugk
@damiendeleon3345,2,Wait.  Thought he didn’t like George Zimmerman ? Lol.,7kyHvPNbugk
