author,likeCount,text,videoId
@Juana4ev,39,Back here again on April 20th. Happy Birthday Luther Vandross,sNY_2TEmzho
@karlastewart4537,21,HAPPY BIRTHDAY IN HEAVEN TO LUTHER VANDROSS!  APRIL 20  1951 🙏🏼🙏🏼 ❤❤❤,sNY_2TEmzho
@ShaylaMonique777,13,Happy heavenly birthday Luther❤,sNY_2TEmzho
@maka2697,12,The goat himself. Tour is looking insane,sNY_2TEmzho
@ooach-ob8xi,12,I guess I’m another BOT since I don’t FW Drake 👏😆🫥,sNY_2TEmzho
@DeborahWhiteside,10,I want to thank Kendrick Lamar and sza for creating a great song in honor of Luther we miss him very much and this song reminds us of Luther's talent thank you guys and may you be blessed always this is a great song❤❤,sNY_2TEmzho
@Blackbeautifullove,10,Kendrick and SZA musicality and chemistry is equivalent to Marvin Gaye and Tammi Terrell's of yesteryear - top tier 💫 #blackbeautifullove,sNY_2TEmzho
@andapandora,9,Kendrick Lamar and SZA are the best ! ❤❤❤❤❤❤❤,sNY_2TEmzho
@joselynchico9529,9,❤ beautiful ❤,sNY_2TEmzho
@Yohannesjx,8,that's why he's the goat the goat,sNY_2TEmzho
@lewismanzon5074,7,PSALMS 118:29 Give thanks to the LORD  for he is good; his love endures forever.,sNY_2TEmzho
@adamh6059,7,Kendrick and sza should do an album together,sNY_2TEmzho
@SewNJLife,5,A beautiful video that rekindles old thoughts and feelings. 🥰,sNY_2TEmzho
@seteregrassngang6730,5,That's 🔥🔥🔥,sNY_2TEmzho
@Destiny-jq4gc,5,Headed to week 10 at #1 on Billboard Hot 100 songs across all genres.🔥🔥🔥,sNY_2TEmzho
@psych0septum,5,What an amazing love story bruh!!!! This is literally so clean🥺♥️,sNY_2TEmzho
@XXXTENTACIONTHEGOAT,4,14 million views ❤🎉,sNY_2TEmzho
@PinkkBarbie,4,Literally most fire ALBUM.SONG.PERSON. of our lifetime ❤❤,sNY_2TEmzho
@DJMoonWalker25,4,Happy Birthday Luther !!! 💯💯💯,sNY_2TEmzho
@DoUnoDC,4,Today We Celebrate Ur Heavenly Bornday - "Luther Vandross" (April 20 1951) ... Forever Loved!   Kendrick & SZA keeping Ur Legacy Alive🫡❤,sNY_2TEmzho
@RainbowzTearzz,11,Dude this is ass,riCP9x31Kuk
@briskjc5617,7,Trash af,riCP9x31Kuk
@Sallmen488,7,i wish i was deaf after ts song tbh 🥀✌️,riCP9x31Kuk
@arkhalis9,6,This song is so sht,riCP9x31Kuk
@Sallmen488,5,ts song pmo sm like r u fr rn  BOIII 😂😂🫱🫱🫱,riCP9x31Kuk
@vsjdhdn,4,Garbage😂,riCP9x31Kuk
@kernel4358,4,The whole song is dull and boring  why ruin something nostalgic?,riCP9x31Kuk
@hominessuntsaluatores,4,Garbage ass song,riCP9x31Kuk
@TiagoMlgPro,4,Dog shit video and music,riCP9x31Kuk
@HuffNaggles,4,Absolute shit.,riCP9x31Kuk
@radeobradovic,4,Stupid. This is shit.,riCP9x31Kuk
@xjun1ox,4,This video is a masterpiece  I'm listening to it over and over again and ANGAIN!!!💛,riCP9x31Kuk
@brawl3r,4,This is what everyone loves or hates?  The flow is decent... the lyrics are mid as fuck though.  I don't see the hype.,riCP9x31Kuk
@antonioandrade2361,4,She's here to stay,riCP9x31Kuk
@grottchew5941,4,Absolute TRASH. Things like this should be illegal.,riCP9x31Kuk
@antilogic8635,3,This isnt a sample  this is stolen.,riCP9x31Kuk
@HUEYEVERGREENN,3,This is ass,riCP9x31Kuk
@NeraizeI,3,No drama 🎭 no allegations 🗣️no scandals 🙊 no arrests 🚨 just straight ass music,riCP9x31Kuk
@nilionth,3,OG was better,riCP9x31Kuk
@adenisepierrexavier7355,3,The top is cute like 4 years ago you were in the same room,riCP9x31Kuk
@SmallBotInteractive,4,#1 ON TRENDING LOLL,41O_MydqxTU
@DJDJvr,2,Absolute masterpiece 🔥🔥🔥,41O_MydqxTU
@LynnMoth,2,I can’t stop singing this and it’s driving me insane.,41O_MydqxTU
@DaylinsHyperAdventure,1,How did this get on the trending?,41O_MydqxTU
@Billiam47,1,Jack black is so magical,41O_MydqxTU
@RetroCinemaHQ,1,Minecraft + creativity = unlimited possibilities 👌,41O_MydqxTU
