categoryId,channelTitle,id,title,viewCount
10,KendrickLamarVEVO,sNY_2TEmzho,Kendrick Lamar & SZA - luther,14261332
10,IamdoechiiVEVO,riCP9x31Kuk,Doechii - Anxiety (Official Video),4820588
24,WaterTower Music,41O_MydqxTU,Jack Black - Steve's Lava Chicken (Official Music Video) | A Minecraft Movie Soundtrack | WaterTower,15471147
10,Lil Wayne - Topic,v_5qP1YukCA,She Will,791938
10,BigXthaPlug,7kyHvPNbugk,BigXthaPlug - All The Way feat. Bailey Zimmerman (Official Music Video),8938796
10,Angela Aguilar Oficial,RUPOZzXyEe8,Ángela Aguilar - Nadie Se Va Como Llegó (Video Oficial),3261361
10,Morgan Wallen - Topic,NCOHOZMRM1Q,I Ain't Comin' Back,369000
10,mgk,8PimtJDcGv4,mgk - Empty Out Your Pockets (Juice WRLD) x Boulevard of Broken Dreams (Green Day),1129541
10,Ed Sheeran,MI9ZpIKgyf0,Ed Sheeran - Azizam (Official Music Video),5244668
22,Forrest Frank,T1LRsp8qBY0,Forrest Frank - YOUR WAY'S BETTER (Official Lyric Video),1407866
10,EBK Jaaybo,sI0VDF65Cac,EBK Jaaybo - Homebody (Official Music Video),441516
10,kevingatesTV,arbTAljiC-E,Kevin Gates - No Names [Beyoncé Edit] (Official Music Video),533221
10,803Fresh,Gm_rzcTNZv4,803Fresh - Boots On The Ground [Where Them Fans At] (OFFICIAL AUDIO),934693
10,EBK Jaaybo,MgcWdsTjqgs,EBK Jaaybo - Long Live My Brother (Official Music Video),1477871
10,Benson Boone,hxD10j0t9t4,Benson Boone with Special Guest Brian May - Bohemian Rhapsody (Live at Coachella 2025),4096658
10,Benson Boone,jP2eiap41o8,Benson Boone  - Beautiful Things (Live at Coachella 2025),2415732
10,Lord Huron - Topic,90DKXLbzLto,The Night We Met,426218
10,AddisonRaeVEVO,XdFpzaM07i0,Addison Rae - Headphones On (Official Video),947747
10,Dany Ome & Kevincito El 13 ,hoE5jz4zbvg,La L y . - Dany Ome & Kevincito el 13 (Video Official) Leyenda,389180
10,Quavo - Topic,WnQKxEt3pi8,Legends,1206764
10,ChristianNodalVEVO,wCdGS39d96w,Christian Nodal - Amé (Video Oficial),5954459
10,Tee Grizzley,71JLy_pHwqk,Tee Grizzley - They Shot At Trump [Official Video],1139716
10,G Herbo,qiHjk1mvuF4,G Herbo - Wayback (Official Video),1279843
24,Tom MacDonald,0BNhuPJDTJg,Tom MacDonald - "Proud To Be A Problem",1766109
10,OVI,fnYHdE7caAg,LOS ROCKSTAR NO VAN AL CIELO - OVI ft HANZEL LA H [ Video oficial ],3055120
10,DDGVEVO,rGZvYkL8emw,DDG  DaBaby - MOTION (Official Music Video),1298850
10,GhostBCVEVO,DLG9oTH-ZbQ,Ghost - Lachryma (Official Music Video),3894277
10,JessieMurphVEVO,aFpfY-EZwFo,Jessie Murph - Blue Strips (Official Visualizer),636158
10,RNB.FOEMOB,5N-ZTMlHkls,RNB.FOEMOB - Texas [Official Music Video],236176
10,MUSIC VIP,DtznKsKZWCY,Moy Bobadilla - Grupo Firme - Corazón (Video Oficial),2169904
