author,likeCount,text,videoId
@hipatty125,1,If all judges were like this one  less crime would be happening in the US,5X5V59MHXNk
@ScottsdaleSushi,1,If I was a black person I would be so angry at the way those people acted & what that horrible young man did!  It makes the black community look heartless.👎🏼,5X5V59MHXNk
@Jarmen_Kelloggs,1,The hood will probably start a GoFundMe to set him free...,5X5V59MHXNk
@janmaat76,1,Black privilege,5X5V59MHXNk
@Spartan4Israel,0,No should have got the chair,5X5V59MHXNk
@ronnieblack1003,0,Some mistakes  you can't take back.,5X5V59MHXNk
@rockcop222,0,Shit stain on society. You can’t rehabilitate someone like that.,5X5V59MHXNk
@ThePlantedTankTV,0,100% agree. Don't need people like that on the streets.,5X5V59MHXNk
@MrLee-ue7iu,0,Now arrest the single mom who raised him.,5X5V59MHXNk
@BonsieGawi,0,Agree 100%,5X5V59MHXNk
@marybowers6989,0,👏🏽👏🏽👏🏽👏🏽👏🏽👏🏽👏🏽👏🏽,5X5V59MHXNk
@QuintonPatin,0,😂😂 that's good he got life some kids need to learn from this,5X5V59MHXNk
@tomliu7274,0,Totally agree.,5X5V59MHXNk
@Nigel-il1gj,0,Smile now kid,5X5V59MHXNk
@Cyclone74,0,He should have been treated like he treated that lady. What an azzwipe,5X5V59MHXNk
@cedrichopkins1452,0,Yes  I highly agree with the judge decision. He makes our race look bad and I’m a black man. You know I’m saying he had no right to take it innocent life. Hopefully  he gets what he deserves in prison and becomes somebody.Bitch,5X5V59MHXNk
@stevehickman7879,0,Hell yes I agree  the kids these days don’t care what they do there’s no repercussions  and it starts with the school system and the parents!!,5X5V59MHXNk
@Vampirebunny666,0,Yea so there are Canadian people in Alberta who want to be the 51st state this is what we keep out of Canada these no belt mfs would get tooled straight with a wrench in Vancouver but the bussys in Alberta would tuck it let them roll in because they are all talk Billy’s scared of these freaks,5X5V59MHXNk
@FeltonAssociates,0,He should ride his little bad ass in jail  and I blame his family for it. It doesn’t matter if the woman was white who died she could’ve been black. He took a life and that’s all that matters to me so if he can smile about going home  he can smile about doing life in jail. Oh well.,5X5V59MHXNk
@franciscojensen7257,0,Face the music,5X5V59MHXNk
@MagaPatriotChuck,1,Wow  major screw up and this could have ended very bad if she was a Muslim terrorist!,uKyDCijwm9g
@bignutz2006,1,Funny  France send back and old white grandma when she lands illegally  but won’t do the same for the 50k illegal immigrants that land there every month.,uKyDCijwm9g
@whychry,1,I’m a 60 year old white male I would have checked her to the max  she stands out as a suspect to me  If it looks like a duck you gotta check  She looks like she has fractured a few laws in her time,uKyDCijwm9g
@Mtk987,0,Flaw in the system  Control checks and flow !,uKyDCijwm9g
@j-wil1964,0,Useless TSA.,uKyDCijwm9g
@NaturalBornLowlander,0,They should arrest the people working at the airport..,uKyDCijwm9g
@user-sy6fj2bm1z,0,Pretty negligent of all of the staff that she got through so many checkpoints….,uKyDCijwm9g
@marcgillespie1464,0,Security is a joke at airports,uKyDCijwm9g
@jillanejames4590,0,Dolly has the perfect traits to get away with this😮,uKyDCijwm9g
@DogTrainingK9Cert_est1969,0,You can barely get into the damn DMV in my state without a boarding pass. An appt  you must not collect 209 dollars when you cross go! Lol it’s the most ass backwards state they go out of their way to really complicate like everything.  I’d move if I could afford to.,uKyDCijwm9g
@Imama23456,0,The French countries don’t play,uKyDCijwm9g
@ikickrocksi,0,All that work for nothing 😂😂,uKyDCijwm9g
@mwillblade,0,I can't get through TSA without getting my Bunghole tickled and this women has no problem.,uKyDCijwm9g
@sodiumsulphate5597,0,So every white looking thing is not milk.,uKyDCijwm9g
@marshdell,0,Hello Dali...,uKyDCijwm9g
@Hedzorle,0,Ok not so fast? How is she retrieving her luggage? Seems she had a valid ticket and did check her luggage in  just didn’t show her boarding pass 🧠🤔,uKyDCijwm9g
@BelovedbyAdonai,0,Goes to show you what we let slip in this country WONT pass in another !!!,uKyDCijwm9g
@ashleycampbell6825,0,France did not want a Yankee con artist. They already have enough criminals roaming their streets as pick pockets around tourist spots.,uKyDCijwm9g
@ChuckG-v6f,0,Katy Perry says Dali is an inspiration and is a pilot crew member for flying on that airplane ✈️,uKyDCijwm9g
@soldier_of_love,0,Make all white people looking suspicious the norm😆🫡,uKyDCijwm9g
@Katg-f1s,3,every time a Canadian gets mad  a moose gets its antlers!!! aw man-- so Canadian good,0y7hSzUYlJM
@Katg-f1s,2,All Canadians on you for president of 51st state-- not sure how it works-- thank u so much and of course  Canadian sorry to you! Happy Passover  Easter  420... keep going. luv u and your team. thx very much,0y7hSzUYlJM
@randomnickify,1,Ironically  if the Jesus returned today he would be deported to El Salvador 🤣,0y7hSzUYlJM
@carolynwilson1174,1,Gold decor is so tacky. Embarrassing.,0y7hSzUYlJM
@Irene-eu4iz,1,It’s good they’ve cut so many jobs and necessary services to afford trumps gold redecorating,0y7hSzUYlJM
@drindabell3350,1,I absolutely LOVE that guy. WAKE UP Maga nut jobs in the Gold house and get out of this country which you have betrayed. Try El Salvador or Russia they are the only ones that want you. God bless Canada and Ukraine.,0y7hSzUYlJM
@melvoid01,1,Where does he  tRump  get the idea that other countries go to their prisons wake up the crims and go "Hey who wants shotgun on a trip to America all expenses paid?" as if. He is so far divorced from reality the Judge has excused him paying alimony on account of diminished responsibility.  And Elbows Up Canada!,0y7hSzUYlJM
@KerryCahill-n2u,1,The White House is the same color as Donalds hair.,0y7hSzUYlJM
@GreatWhiteNorth2023,1,Canuck here. Let’s be totally accurate. We don’t hate Americans  we don’t hate the USA! We despise the arrogance to erase a country at a whim.,0y7hSzUYlJM
@gabrielreinert8458,1,"United" States of America?? and "El Salvador"??? What a disgrace their current governments are to their country's names.,0y7hSzUYlJM
@theholidaylady1,1,Thank you  Jimmy and Guillermo!,0y7hSzUYlJM
@judymills226,1,👍🏼🇨🇦👍🏼,0y7hSzUYlJM
