categoryId,channelTitle,id,title,viewCount
22,farah gio,5X5V59MHXNk,14-Year-Old Smirks in Court  Says "I'll Be Going Home Soon"#shorts #crime #news,6810111
25,Eyewitness News ABC7NY,uKyDCijwm9g,'Very unusual': Newly released videos show accused stowaway boarding flight,2568234
23,Jimmy Kimmel Live,0y7hSzUYlJM,Trump Redecorates White House in ALL GOLD  Still Waiting on Epstein Files & Canadians are MAD!,2899132
24,LastWeekTonight,5zQ0WewZY50,Trump & Tariffs: Last Week Tonight with John Oliver (HBO),6243941
23,The Daily Show,PFNTHObSSKE,China Strikes Back at Tariffs by Roasting JD Vance & Selling Out Luxury Retailers | The Daily Show,7237982
25,adn40Mx,Y1BPhsBMbIo,La guerra comercial entre Estados Unidos y China revela un gran secreto,2409585
25,Latinus_us,Bv_UC2hVrIk,#LatinusDiario. China revela el giro secreto en la producción de marcas de lujo. #Latinus,2207682
2,The Debate Den,ksEgfNt7VgE,Jennings Did Not HOLD BACK! #shorts,618092
25,Megyn Kelly,til5kEGD31Y,Watch Stephen Miller Run Circles Around Ignorant Media Over El Salvador Gang Member Deportation,1108584
25,Brian Tyler Cohen,ONX_JKktZxQ,SHOCK RULING: Supreme Court issues SURPRISE decision against Trump,1439572
25,MSNBC,qBT3g_O--8g,'Where the h---- is Congress?': Newsom slams lawmakers on Trump tariffs,2012707
25,Trish Regan,ckOmIUza6LQ,Miller Schools Fox Host on SCOTUS Decision,910409
23,Saturday Night Live,QToQ03E0qWg,Weekend Update: Trump Pauses Tariffs  Robert F. Kennedy Jr. Wants Fluoride Out of Water -SNL,2117926
25,Fox News,_FVKiBihSHk,Karoline Leavitt lays out 'end result' for deported alleged MS-13 member #shorts #immigration #trump,794589
25,Jeff Square,yTr4Eo90RMw,MARCO RUBIO TORCHED CNN. #marcorubio #shorts,1039211
25,CNN,Wsn1baT3WaU,This area of South Dakota voted for Trump by roughly 70%. Here's what they think now,2364168
22,Red Shorts Politics,6k4TZ-Iy9pA,Even the Judge WAS NOT Ready For His Response,675749
25,Telemundo 51 Miami,_XDycKTJjr4,Trump propone plan de autodeportación con dinero,450194
17,BOX NEWS,p02I0iZCX6k,Stephen A Smith EXPOSES Floyd Mayweather For Going BANKRUPT After $402 Million SCAM,3019661
25,David Pakman Show,2GgRnPO4i60,Fed Chairman tells Trump BACK THE F*** OFF #shorts,432719
25,Matt Walsh,nQtPcYcy20c,Katy Perry’s ‘historical’ trip to space was underwhelming.,796914
25,Forbes Breaking News,1Rhb8Q9CPjQ,BREAKING NEWS: Trump Takes Questions After Question During Oval Office Meeting With Italy's Meloni,2171138
25,PBS NewsHour,Hs2hrpPmx7k,Brooks and Capehart on Trump's faceoff with the courts,567903
25,WFTV Channel 9,WC8FrOl6_G0,Florida State University shooting latest: suspect is son of sheriff's deputy,1021852
25,Real Talk Politiks,-11dO-J1uzc,NEVER Disrespect Secretary Lutnick,775564
22,The National Desk,80aTUbJN03M,Labor Secretary: Fraudulent payments sent to toddlers,1710529
25,NowThis Impact,M5o6Nq6jEdA,When Elizabeth Warren Schooled CNBC on the Constitution,246275
25,Ryan Hall  Y'all,wVebmilA2no,The April 19  2025 Severe Weather Coverage  As It Happened...,847345
25,LiveNOW from FOX,rksb0PdfR0o,Grady Judd on arrests of Illegal immigrant gang members in Florida,807576
24,Nasty Secrets Reveal,_4SkhOgMWWg,Elon Musk DESTROYS Jessica Tarlov In Heated Argument Over DOGE Question! #newsupdate #news,557398
1,HOT POLITICAL CLIPS AND VIDEO - Howard Mortman,yXA9iIYlegM,ANN COULTER: "The most wonderful 100 days in U.S. history. I can't believe how great Trump is.",379674
25,TheDC Shorts,H7_nUgQUsk0,Scott Jennings just DISMANTLED the Democrat agenda live on CNN,410330
24,PBD Podcast,UHB64STx7d4,Scott Jennings TORCHES Ex-MSNBC Host Tiffany Cross After She Calls Him Irrelevant,643669
25,Brittany Page,Ma4LKJh2wzM,Elon Musk Whistleblower GETS SCARY THREAT AT HOME Before Going Public!!!,657620
25,ET NOW,gNson4TqUO4,Jeffrey Sachs Goes Off  Roasts Donald Trump’s Trade Talk  Says 'Mickey Mouse Is Smarter Than Him',2696605
25,ABC News,CVb4DkrEhmA,ABC World News Tonight with David Muir Full Broadcast - April 19  2025,714237
25,Max Velocity - Severe Weather Center,vN-SjffhxDE,🔴 BREAKING Tornado Outbreak Coverage - Tornadoes Possible - With Live Storm Chasers,831313
25,Fox Business,B6P1YRASRwo,This is not very good for China  Gordon Chang says: 'They haven't thought this out',1238378
25,FOX31 Denver,PMYGkC9Fiqo,ICE: Driver sentenced in deadly US 285 crash has been deported,96729
22,Noticias de Mexico ,SxHdLRE6szM,Vladimir Putin está dispuesto a negociar con México #mexico #claudiasheinbaum #noticiasméxico,737270
25,9NEWS,qPZPpgqWhH4,Plane diverted to DIA after possible wildlife strike,375499
27,Business Basics,bk46yniQUto,China's Allies TURN AGAINST Xi Jinping - Xi FLEES China to BEG for HELP,915740
25,Channel 4 News,Xof9FwrCrsg,‘China will fight to the very end’ in trade war - China analyst,3980991
25,The Military Show,lXsSFPht5qM,Houthis ATTACK US Aircraft Carrier  Then THIS Happened…,1332990
22,Thinking What,nRM3pUSaAQ0,Leavitt CALLS OUT Ivy League Schools,525043
22,Candace Owens,-QFZaoPWNzM,Blake Lively Is Time's Most Influential | Katy Perry Goes To Space | Candace Ep 178,835933
25,Sky News Australia,Sw3WM0i49_8,Lefties Losing It: CNN ‘nincompoopery’ exposed,459091
22,Noticias en Tiempo Real,IVkFrby7LdE,Donald trump reveló una fotografía donde se demuestra que Kilmar García sí es un pandillero de la MS,290573
25,PDS News Clips,iTizTnHhh8M,America Could Lose World Cup and Olympics,1294126
25,48 Hours,dhrRIA97z3A,Fall From Grace | Full Episode,893451
