comment_author,comment_likes,comment_text,video_id
@mithu._.824,2,Papa maples seems so cool we need more vidoes with him!!,bxlzbJPvwK8
@shuko_0,1,"mia flinching at the smell of the snickers cookie is so real LOL, ""smells like death"" is also one of my catchphrases as a peanut allergy sufferer",bxlzbJPvwK8
@marielinderholm5767,1,"Actually they weren't wrong, peanuts are not a nut. They are the worst name though because so many people assume they are a nut because of the name. Almonds are not a nut either. So if you are allergic to nuts you can eat peanuts and almonds. If you are allergic to all of them you might need to be more explicit about it in restaurants and similar places 😊",bxlzbJPvwK8
@lucifriday6288,1,"Crumbl started in Utah and there's several in Idaho, where I live. You are in US, I assume.",bxlzbJPvwK8
@wizzardgizzard,1,"thoroughly enjoyed Papa Maples coming thru, love his energy so much. you and your family are the best. :)",bxlzbJPvwK8
@Quickeeeee,1,"Sweets really is the case of: you want it when you can't have (much of) it. When I was a student I bought sweets all the time to keep up... And after I graduated I didn't buy sweets for like two years. It just lost its appeal. And I still, many years later, don't like things that are just sweet; I only want things that have a strong flavor of something else like coco or lemon.
And yeh I know sugar addiction is real, but I guess for me the association between sugar and studying was so strong and off-putting that I just didn't fall for the addiction.",bxlzbJPvwK8
@Ayushizcam,1,"Brooo, so now people can watch your videos in different languages😱😱😱😱😱",bxlzbJPvwK8
@EdmurPortuga,0,"The documentary State Organs was screened in Tokyo on March 26, 2025. Canadian human rights lawyer David Matas gave a lecture at the event as part of the effort to raise awareness of the Chinese Communist Party’s (CCP) forced organ harvesting of prisoners of conscience. The screening of State Organs aims to expose the human rights violations in China, increase public attention to the issue of forced organ harvesting, and promote cooperation within the international community to help bring an end to the atrocity and protect people’s lives and dignity.

The film took about seven years to produce and documents the CCP’s forced organ harvesting from Falun Gong practitioners, who have been violently persecuted by the CCP since 1999. The film, which includes eyewitness accounts, opens with the shocking testimony of former surgeon Mr. Zheng Zhi, who witnessed the live organ harvesting. In addition, the film features recordings of overseas human rights activists who posed as patients and called Chinese hospitals to inquire about the speed of organ transplants and whether the organs came from Falun Gong practitioners.

The documentary also depicts the pain of the families of missing Falun Gong practitioners: a father tries every means possible to save his son; a brother mentally prepares himself to face the news of his brother’s death. The audience was deeply moved by these stories.

State Organs director Zhang Yongjin explained that forced organ harvesting is just one facet of the CCP’s genocidal campaign against Falun Gong. He said that as long as the totalitarian regime continues, human rights violations will be covered up and the number of victims will continue to increase.",bxlzbJPvwK8
@worldsfinesteamup,0,"Hello, Humans
Don't wait for humans to save you. Always make it a point to save yourself. You have all the strength you need, to survive whatever happens on this TRASH planet.

TERRANCE OUT",bxlzbJPvwK8
@tammtammti,0,This is a fun and cute video. ❤ buuut I’m european and I simply cannot understand the amount sugar Americans can eat in one sitting 😅 Thinking about the calories makes me dizzy.,bxlzbJPvwK8
