comment_author,comment_likes,comment_text,video_id
@muhammadhuzaifa7051,30817,"To be exact, it took him 4.54 secs",ntirH6UQ-wU
@VOLTEREN,1,Thats the real power shot fr,ntirH6UQ-wU
@akashsurya100,1,Without a players touch it cant be goal idiots,ntirH6UQ-wU
@bustodes4018,1,Average kaiser in blr:,ntirH6UQ-wU
@Bootyglazer,1,"I did this back in middle school, good memories",ntirH6UQ-wU
@arjodijodi6790,1,Everyone did not speechless bruh💀,ntirH6UQ-wU
@AvineelMandal,0,Bro read Projectile motion very well. 😅,ntirH6UQ-wU
@AvineelMandal,0,Bro never missed any physics class. 😂,ntirH6UQ-wU
@Flowshow88,0,The greatest goal I ever witmessed,ntirH6UQ-wU
@Sheenifier,0,Im gonna do what's called a pro gamer move,ntirH6UQ-wU
@HowesFamily,0,My favorite part was watching him kick it 5 times so you can explain what’s about to happen is shocking.,ntirH6UQ-wU
@Mark-b2v,0,literally me in my dreams 😭,ntirH6UQ-wU
@FabianPiner,0,Kaiser be like,ntirH6UQ-wU
@dee-ply5939,0,There is no only five second left in football 😏,ntirH6UQ-wU
@ryuzakil7647,0,Bro earned infinite aura,ntirH6UQ-wU
@stevenocegueda7317,0,I haven’t been a huge fan of soccer my whole life but coming from a country that likes soccer I’ve kept my eye on it and I’ve never seen anything like this I mean this kick is amazing and the man that made it has to be a legend I’ve never screen anything like this and I’ve never scene a lot of high lights,ntirH6UQ-wU
@easily.impressed,0,That goalkeeper is literally number 1,ntirH6UQ-wU
@pitbullfamilydog6134,0,Shaolin soccer in real life 😂😂😂,ntirH6UQ-wU
@Zikcharik,0,That's massive 🎉,ntirH6UQ-wU
@joahveldman,0,fun fact that doesnt even count💀,ntirH6UQ-wU
@josemiguelrobledo756,89,¡Gracias!,y-eCcH7uaoM
@omegarussell4017,1,I think this young man has been watching money Mayweather 😂😂😂😂😂,y-eCcH7uaoM
@saltarin005,1,Gallinero has a long way to go to become men.,y-eCcH7uaoM
@BabaKazi-g5c,1,Proper resonse by all the brothas. Respect blkluv n blkpwr 😊,y-eCcH7uaoM
@clemiltonribeiro5478,1,"Soco Bem Dado, Na Cara Desse Covarde, o Que Jogou a Bola Na Cara Do Jogador.",y-eCcH7uaoM
@donovansaiz4494,1,Thats why i dont play with thugs,y-eCcH7uaoM
@tommarks3726,1,They can't even play a friendly game. It's so important to get your props. WHAT CRAP.,y-eCcH7uaoM
@norsecelt,1,Haha basketball players throw punches like 6 year old girls. Total sissies.,y-eCcH7uaoM
@kingbrando3921,1,He got laid down,y-eCcH7uaoM
@johnpearson7946,0,Colin is mad because he can't play football no more 😂,y-eCcH7uaoM
@JoselitoAlbuena,0,😅,y-eCcH7uaoM
@embersuhnuhk346,0,Boys will be boys.,y-eCcH7uaoM
@nikko39,0,Quanti commenti da veri idioti professionisti.....,y-eCcH7uaoM
@NestorAndrada-o8e,0,"3,,😮😂",y-eCcH7uaoM
@clearstonecadag8562,0,Madami yan dito,y-eCcH7uaoM
@masengutsukidi9165,0,Sekalian bengkokin tangannya si kaos merah/ungu itu 😮😮😢,y-eCcH7uaoM
@TheSpikie22,0,Dude took that punch like he took on a bad screen😅,y-eCcH7uaoM
@dewyox,0,Big babies its just a game,y-eCcH7uaoM
@Joshua-m8t4h,0,I thought they say tall guys are stronger than shorter guys lol,y-eCcH7uaoM
@user-xg2en2bt5j,0,Say what again?,y-eCcH7uaoM
@HectorB-x6r,1,❤ tiger upper gut,j94OIrdvNUQ
@rizkyriswanda,1,In your dream,j94OIrdvNUQ
@wunpi,1,this played 6 times while i was mixing my noodle flavor packets,j94OIrdvNUQ
@Abulalaabid,1,Cringe,j94OIrdvNUQ
@notavailable1027,1,Worst acting in cinema history 😂😂😂,j94OIrdvNUQ
@JohnnySilverhand-k3u,0,Asian made a greatest mistake learning those people Martial arts,j94OIrdvNUQ
@evereethingplayyz8509,0,Joe Rogan in the back: “DUDE THAT’S MICHAEL JAI WHITE!”,j94OIrdvNUQ
@Mancunian-vm6og,0,The movie pls,j94OIrdvNUQ
@C4rdn,0,Szene stolen from Warrior 😂,j94OIrdvNUQ
@Senorstoops,0,Suinokata,j94OIrdvNUQ
@andrewpoliakov5546,0,Как фильм называется?,j94OIrdvNUQ
@youtubetheman3085,0,What movie was this from,j94OIrdvNUQ
@rqkia.k,0,Movie name?,j94OIrdvNUQ
@Sneaksnakee,0,Boards don’t hit back that shit is spot on LOL 😂,j94OIrdvNUQ
@Y.a.n.c.h.a,0,Movie Name?,j94OIrdvNUQ
@danielsmith9789,0,"Imagine saying to a legitimate bad ass like Michael ""who is this clown""",j94OIrdvNUQ
@HardeepSingh-oc2oj,0,Blood and bones 🗿🗿,j94OIrdvNUQ
@TheSiljaline,0,"“Man, forget this clown”
proceeds to think about him even more",j94OIrdvNUQ
@mischiviousteefmonster3900,0,A fighting style so good and effective that it only works in movies 😂,j94OIrdvNUQ
@westhamaremassive8099,0,Movie name?,j94OIrdvNUQ
@lydiah9439,46,"For anyone who needs this:)


I love your hair
I love your eyes
I love your strength
I love your voice
I love your style
I love your eye lashes
I love your nose
I love your confidence
I love your forehead
I love your hands
I love your shoulders
I love your ears
I love your mouth
I love your personality
I love that you are brave
I love that you are kind
I love that you strong
I love that you are you
I love that you are smart
I love that you are creative
You are beautiful
You are nice
You are confident
You are smart
You are unstoppable
You are perfect
You are unique
You are amazing
You are pretty
I love you even when you're mad
I love you even when you're sad
I love you even when you're happy
I love you even when you're anxious
I love you even when you're embarrassed
I love you even when you're cheerful
I love you even when you're disappointed
love you even when you're at your lowest
I love you even when you're your highest
I'm proud of you for eating
I'm proud of you for setting goals
I'm proud of you for getting up
I'm proud of you for learning
I'm proud of you for trying
I'm proud of you for smiling
I'm proud of you for going outside
I'm proud of you for spreading kindness
I'm proud of you for being you
I'm proud of you no matter what
I know you're insecure but everyone is
I know you're not happy but your not alone
I know your getting builed but don't listen to them
I know your sad but try to be happy
I know your miserable but your still standing
I know your feel hated but you are loved
I know you feel sad but deep down you are proud



 i'm here for you i have went thru this stuff but none noticed until i spoke up about it  <3",tPO6JNMOLas
@rswgj,1,"Bro my PR is 59! 53 is crazy! Well, I only did the 400 once. I usually do the 4x800.",tPO6JNMOLas
@DannaNajera-p7r,1,"I one time in the 5th grade had a track meet and did the 400 and 800 meter race. I got third but, in my defense, I was going against people 3 to 4 years older than me.",tPO6JNMOLas
