author,likeCount,text,videoId
@muhammadhuzaifa7051,26019,To be exact  it took him 4.54 secs,ntirH6UQ-wU
@Lfkxl,1,Why stop there?  Pause and rewind the kick for the 10th time before actually finishing the full clip,ntirH6UQ-wU
@user-re6nv5xx6t,1,The kaiser shot,ntirH6UQ-wU
@EduardoMonteiro89,1,Tell me you're American  without telling me that you're American: "... both teams got the same POINTS...",ntirH6UQ-wU
@UncomfortableBed,1,Just show the video bruh 🙏🙏🙏,ntirH6UQ-wU
@goalrushza,1,He is better than enderson city goalkeeper,ntirH6UQ-wU
@brysonbrown6107,1,When your gf is watching 😂,ntirH6UQ-wU
@jamesdab16574,1,Bro signed up for the wrong job🙏,ntirH6UQ-wU
@PhillipMuturiGaming777,1,imagine coming to school after that,ntirH6UQ-wU
@geevdrew,0,They allowed to do that ?,ntirH6UQ-wU
@Ripluffy-nx1in,0,Kaiser impact form blue lock,ntirH6UQ-wU
@DajelLA,0,Fine  I’ll do it myself !,ntirH6UQ-wU
@funcrafter99,0,Blue lock type shii,ntirH6UQ-wU
@Juuuuuuuj,0,itoshi sae,ntirH6UQ-wU
@GENEVEVLASTIMOSO,0,This ain't blue lock rivals,ntirH6UQ-wU
@IvanPerez-do5xs,0,Same points lol,ntirH6UQ-wU
@WeAsOneRiseGaming,0,Dude had all day to catch or block that lol... how did he not stop that 😂,ntirH6UQ-wU
@lawonmccain4198,0,Yea that ball was too high in the sun he saw it kinda late Excellent kick good try on the defense,ntirH6UQ-wU
@alessandrotorres3537,0,Coach needs to drop the opposition keeper god dam,ntirH6UQ-wU
@Troy-h3q,0,If he didn’t touch  it wouldn’t have it been not a goal,ntirH6UQ-wU
@josemiguelrobledo756,83,¡Gracias!,y-eCcH7uaoM
@clemiltonribeiro5478,1,Soco Bem Dado  Na Cara Desse Covarde  o Que Jogou a Bola Na Cara Do Jogador.,y-eCcH7uaoM
@donovansaiz4494,1,Thats why i dont play with thugs,y-eCcH7uaoM
@tommarks3726,1,They can't even play a friendly game. It's so important to get your props. WHAT CRAP.,y-eCcH7uaoM
@norsecelt,1,Haha basketball players throw punches like 6 year old girls. Total sissies.,y-eCcH7uaoM
@kingbrando3921,1,He got laid down,y-eCcH7uaoM
@kerwinbonnette7811,1,He can't fight😅😅😅 😂 all he can do is throw balls   that boy got no fighting skills😂😂😂 you sucks     sucky   sucky  sucky,y-eCcH7uaoM
@jorgemarquez9176,0,Both look real bad.,y-eCcH7uaoM
@joek19522,0,Sometimes you have to drive home the point.,y-eCcH7uaoM
@garyferguson8679,0,😮I’d keep hitting with my rage when disrespected like that,y-eCcH7uaoM
@ก้องหล้าพิทักษ์-ง5พ,0,ไม่ว่าทำอะไรทุกวงการ ย่อมมีการกระทบกระทั่ง เป็นเรื่องธรรมดาไม่ว่าการ ทำงาน..การรู้แพ้รู้ชนะรูู้อภัย แต่ในเวลาแบบนี้คิดไม่ออก ยังไงเอาก่อนได้เปรียบค่อยว่า กันทีหลัง..สิบปี..ยังไม่สายไอ้ นอ้ง..ฮึฮึ ❤❤❤😮😮❤❤❤,y-eCcH7uaoM
@Nightsjourney2dreams,0,Throwin the ball at someone face than running right after 😂same ol Sal lol big for nothing fake bully,y-eCcH7uaoM
@JuancarlosFoulon,0,😮😮😮😮😮😮😮😮,y-eCcH7uaoM
@carolinehawkins8794,0,😂Ha Ha,y-eCcH7uaoM
@DarioLobaiza,0,Yo le sigo pagando,y-eCcH7uaoM
@r.b.6432,0,FOOLS BE ACTING LIKE THEY GETTING PAID TO PLAY BASKETBALL! LOLOLOLOL I AINT FIGHTING I GOT TO GO TO WORK IN THE MORNING! LOLOL,y-eCcH7uaoM
@paulcamren8756,0,Black people just hate it when white people do better than them,y-eCcH7uaoM
@robertojuarezgarcia2559,0,UFC BÁSQUET BALL!!!!!,y-eCcH7uaoM
@MrElevation-l5l,0,Say it again. Everyone 😅😅 suppose to know what he said. SO SAY IT AGAIN PUSSY.,y-eCcH7uaoM
@pedrotorrealba2830,0,Deberían cambiar de deporte de básquet a boxeo 😂,y-eCcH7uaoM
@MoniqueBarrett-zr3oi,101,Bruce Lee was a good martial artist and I watched his movies every Sunday when I was younger.,j94OIrdvNUQ
@Aaron-n1f1r,1,Don’t underestimate anyone,j94OIrdvNUQ
@echan7301,1,what movie or show is this?,j94OIrdvNUQ
@leonardobji,0,That guy is a good fighting actor  but he can not fight for real.,j94OIrdvNUQ
@notavailable1027,0,Worst acting in cinema history 😂😂😂,j94OIrdvNUQ
@jawesomes6939,0,Horrible AI captions,j94OIrdvNUQ
@druth72,0,😂😂😂😂😂😂😂,j94OIrdvNUQ
@mastrofnone8025,0,If you know what tactics your opponent uses your chances of defeating them go up.,j94OIrdvNUQ
@MC_Chex,0,I've always said ANY/ALL fighters in their prime.. Michael Jai White would win 12/10 times. He is NOT the man to fuck with. 💯💯,j94OIrdvNUQ
@masautomx2131,0,Trakas HDSPTM,j94OIrdvNUQ
@Dead_Squirrel_Gaming,0,No world champ would act like that,j94OIrdvNUQ
@tinacole1450,0,They guy fights for real,j94OIrdvNUQ
@J0sHU4.,0,finally a movie that recognizes kyokushin ❤,j94OIrdvNUQ
@__StillTyping__,0,Dhar man shit😂😂,j94OIrdvNUQ
@duanmcinnes,0,Still with the racist agenda nonsense.,j94OIrdvNUQ
@ravendavis3333,0,Never Back Down: No Surrender,j94OIrdvNUQ
@magicwastaken,0,"Be like water my friend",j94OIrdvNUQ
@johnthong9511,0,Sparring become walk in octagon,j94OIrdvNUQ
@LV0890,0,Lmao,j94OIrdvNUQ
@mothernature5828,0,Never back down is the name of the movie  Michael jai white,j94OIrdvNUQ
@towelofthenight12,157,Great run! Just curious  what grade are you in? I’m a senior in high school and just finished regionals yesterday with a 49.4. My season record was a 48.95  and I did not move on to state unfortunately..,tPO6JNMOLas
@StephanieBeor,27,FUN FACT: Dont listen to comments that say *_"You can like comments by double tapping them but by triple tapping them u can also reply"_* ☠💀 ✨✨✨,tPO6JNMOLas
@kansas0606,15,I haven't run track in years but the 400s always killed me. And on top of that  you're in lane 8? Makes the race feel way longer than it actually is xD,tPO6JNMOLas
@elichiles4392,1,Yo. I was at that race 😭,tPO6JNMOLas
@BOB188-g4i,1,0:53 is good my best is 1:01,tPO6JNMOLas
@Leah-o6y6s,1,Thank you for wearing the goofy ass glasses to she us this 😂,tPO6JNMOLas
@muzankibutsuji8919,1,Brother it looked like you were in lane 7 the entire video not even just that one part 😂,tPO6JNMOLas
@TheAscendedKnight,1,inaccurate  you didn't get stabbed 21 times,tPO6JNMOLas
@jacobz8456,1,Don't know about you. But I LOVED running 800s. The mile and 2 mile is what I really struggled on.,tPO6JNMOLas
@urfav_haileyyy,1,ok guys but 300 hurdles.,tPO6JNMOLas
@pinguulazy,0,The build up is insane!,tPO6JNMOLas
@Bartholomewndfriends,0,Do you live in Crescent city by the beach,tPO6JNMOLas
@Bartholomewndfriends,0,Do you live in Crescent city by the beach,tPO6JNMOLas
@Bartholomewndfriends,0,Do you live in Crescent city by the beach,tPO6JNMOLas
@joshuaames9645,0,If you weren’t wearing the cam you could have beaten bro probs,tPO6JNMOLas
@joshuaames9645,0,At this point the only reason there are highschool sports is for these influencers to have some dang content and or someone to stab.. if I’m a coach these days you better get them phones and GoPros off the track.,tPO6JNMOLas
@Deadpool25K78,0,You are not running the same distance.,tPO6JNMOLas
@catherinehutasuhut7327,0,😊,tPO6JNMOLas
@ArnoldNicolai,0,That’s a great time,tPO6JNMOLas
@FlexxDavidson,0,jesus loves you,tPO6JNMOLas
@GenevieveThornton,9,She was so adorable and now so beautiful. I’m not a GSW fan  but Curry is such a respected man on and off the court. 👏,eldbMfvn7-A
@AdamAunya-k2g,1,Looks exactly like him,eldbMfvn7-A
@keshadevault599,1,Riley is so Beautiful  she grew up on Us🙏🏽❤️,eldbMfvn7-A
