comment_author,comment_likes,comment_text,video_id
@EmineChorak-n3e,2,9:37 GRIFF HYPER,6D1yFt1Uook
@WatdonEvbanm,1,You just earned a new subscriber,6D1yFt1Uook
@Vertikalnistul,1,"JUST BRING BACK CHROMATIC, ULTRA LEGENDARY IS BAD NAME",6D1yFt1Uook
@ThomasGillett-o3k,1,"Fantastic explanation, thank you!",6D1yFt1Uook
@ZendayaShelton,1,You just earned a new subscriber,6D1yFt1Uook
@TimIzuku,1,Pls hypercharge of Doug 😢😢,6D1yFt1Uook
@JasiullaPL,1,Please ultra legendarny can name exotic its shorter,6D1yFt1Uook
@Ronaldo_fanclup1,1,Billy kametz🕊️,6D1yFt1Uook
@TTOPCHUYEV,1,This is soo good💥,6D1yFt1Uook
@zemotv256,1,shade hypercharge is coming  in 9.45,6D1yFt1Uook
@priyankabanjara3691,1,9:45 shade hypercharge 🤫,6D1yFt1Uook
@DanixYT517,1,7:10 moe hyper💀,6D1yFt1Uook
@SSShadow101,1,Broo brawl stars stole my idea without giving me credit,6D1yFt1Uook
@AlphaBoy-yn8vc,1,"To: Brawl Stars, 
From: All Crow Mains

This is the Humble REQUEST To Brawl Stars that please change the Mastery Title of CROW. From 'Caw Caw' to something good like 'Boss of Bosses'
Every crow main please like this comment, so that it can reach to brawl stars
👇🏻👍🏻
                 Thank you",6D1yFt1Uook
@amongusdrip_kardeş,0,Bi kerede sonic iş birliği getirsen şaşarım zaten,6D1yFt1Uook
@paperellaaaaa-aa,0,Ryan and paula?!💪🗿,6D1yFt1Uook
@Haynaahaynaa-u4e,0,Deromio brawl stars sand ash skin😮😮😮,6D1yFt1Uook
@WinifredGillP,0,I didn t expect to love this as much as I do,6D1yFt1Uook
@JUTUBERKO274,0,Cool,6D1yFt1Uook
@firekurczak,0,OMG PAULA,6D1yFt1Uook
@AzrielVolodichka,2,Real Geek fans of Star-Wars 👇🏽,RKZPMyAvEXs
@FedericiStingley,1,You just earned a new subscriber,RKZPMyAvEXs
@PeterHaschburg,1,"Okay Wookie team leader and the evie skin are unnecessary, should have instead been Grievous or smth",RKZPMyAvEXs
@KartoffelGamingYT,1,Im quitting this season bye guys,RKZPMyAvEXs
@happyman697,1,BRING CAD BANE INTO FORTNITE PLEASE,RKZPMyAvEXs
@Nazli-t1o,1,I ve had this on repeat all day,RKZPMyAvEXs
@StayrichJr3,1,I’ve didn’t grow up to watch Star Wars but I love the cross over battles pass,RKZPMyAvEXs
@comositgamerz7569,1,I feel emotions of happiness,RKZPMyAvEXs
@ArvidsjSohansson,0,I learned more in 10 minutes than hours of Googling,RKZPMyAvEXs
@FredaAustin-p3f,0,That transition at 3:12 was chefs kiss,RKZPMyAvEXs
@BonsaWaldee,0,You just earned a new subscriber,RKZPMyAvEXs
@Aldonran,0,Dua lipa music in the background it could be the next music pass,RKZPMyAvEXs
@СахобидинКаримов-м2и,0,I learned more in 10 minutes than hours of Googling,RKZPMyAvEXs
@PriyankaNag-i4s,0,You just earned a new subscriber,RKZPMyAvEXs
@田淳臻,0,I didn t expect to love this as much as I do,RKZPMyAvEXs
@OmorFarouk-g3p,0,Can we all agree this creator deserves more recognition,RKZPMyAvEXs
@AT-ATonhoth,0,That cuddle team leader skin better not be in the pass 🙏,RKZPMyAvEXs
@SoniDevi-m3o,0,I learned more in 10 minutes than hours of Googling,RKZPMyAvEXs
@AnnarummoMaves,0,That transition at 3:12 was chefs kiss,RKZPMyAvEXs
@JaxCazarez,0,Peak is officially back,RKZPMyAvEXs
@MrBeastGaming,19916,I remembered the password for the account lol,2C6omXxIcyE
@badsir45,3,Chloriz from indonesia 🇮🇩,2C6omXxIcyE
@ТимурАсанов-ф2е,1,Джимми с днём рождения,2C6omXxIcyE
@OmamaSaker,1,Chocolate Dubai the best (l am sorry),2C6omXxIcyE
@OmamaSaker,1,44101$ in this the video🔥,2C6omXxIcyE
@MHYahya1,1,Azrealon,2C6omXxIcyE
@ssigmagaming786,1,😭😩meri video koi nahi dekhta😭😭😭😭😭😭😩😩,2C6omXxIcyE
@LuizFernandoRonqui,1,DUVIDO VOCE PASSAR 3 DIAS  NO RIO DE JANEIRO SEM SER PRESO,2C6omXxIcyE
@Orange-cc6us,1,You should do a contest with the hermit craft people,2C6omXxIcyE
@Sapik77,1,Mrbeast!! INVITE @Azrealon He is builder professional,2C6omXxIcyE
@erpanmaulana5834,1,caringin😊,2C6omXxIcyE
@YiyangLi-r4g,1,Cool vid,2C6omXxIcyE
@Sanjay-01-uk,1,More Beast gaming hopefully,2C6omXxIcyE
@Erfoot94-l9s,1,Y’a pas en français 😭😭,2C6omXxIcyE
@Krishinformal,1,Katihar Bihar indrapuri kaushlya garden,2C6omXxIcyE
@rodlynn5881,1,Thank you Mrbeast for bringing back gaming❤❤,2C6omXxIcyE
@EleniGarzaa,0,"Hopefully, those who lost received a reward for putting a lot of effort into their builds.",2C6omXxIcyE
@CharlieReed-p7s,0,I didn t expect to love this as much as I do,2C6omXxIcyE
@AriyaDamar-q5h,0,1$ pun ga punya😭,2C6omXxIcyE
@AndrewChinn-t7q,0,That transition at 3:12 was chefs kiss,2C6omXxIcyE
@securethebag1613,1,Lmao the commentator doe,9mEhaQQ0C8Y
@lilzae4848,1,Great game by Minnesota I just hope that Adam Silver not gonna make Timberwolves throw the series away after they go up 2- 0,9mEhaQQ0C8Y
@justuknown4059,1,"Jesus loves you all, He even died for you.  He went the most vile pain in this world . But he rose back up and now He will be returning. So please repent before it’s too late. God our gracious father has given us the best gift that can be offered in existence. It’s eternal life with him when Jesus the Lamb of God returns and a relationship with Him. He even offers more than that. All because He truly loves us. He can heal you from everything that draining and dragging you down. Everything that you struggle with; all the pain that you suffer daily and weekly. He knows what you need. He wants to heal you, you just have to let him. Trust in him and have faith that it will be done. Nothing in the is world can take away what you gone through and suffered. This world only provides temporary comfort. But Jesus can set you free from it completely and permanently. Don’t trust this world, because it will deceive and keep you in that dark place that you are in. Nothing in this world will give you peace nor heaven but only the one who created it. Jesus loves you❤️❤️
	◦",9mEhaQQ0C8Y
@ravendon,1,Lebron always loses the first game in every playoff series. Not too concerned.,9mEhaQQ0C8Y
@addacusfinch1510,1,LeBron James GOAT my ass really? Are you kidding me? In the history of the Lakers what a sorry game one.If the Lakers get bounced from the playoffs by the Timberwolves no more GOAT talk about LBJ ever!,9mEhaQQ0C8Y
@TuuguhcSDGhick,0,"Loved the content, keep it coming!",9mEhaQQ0C8Y
@bonisedgarhinzejasikdorianewby,0,"Came for the thumbnail, stayed for the vibes",9mEhaQQ0C8Y
@AlessandroKyro,0,This is going straight into my favorites playlist,9mEhaQQ0C8Y
@lưdmmen,0,That part at 2:45 Instant goosebumps,9mEhaQQ0C8Y
@PhillipBass-t6n,0,Algorithm finally did something right,9mEhaQQ0C8Y
@dharavathganesh-q9s3o,0,This video randomly popped up and I m glad it did,9mEhaQQ0C8Y
@frankenviews4069,0,It looked like the TW were the number 3 and the Lakers were the number 6.,9mEhaQQ0C8Y
@CharlesPeoples-fd7tx,0,Go Wolves! Anybody except LeBum!,9mEhaQQ0C8Y
@IrisCollins-h6u,0,Who else is here before this blows up,9mEhaQQ0C8Y
@UrmieJaved,0,Your consistency is inspiring—keep going,9mEhaQQ0C8Y
@Muhammadali-lr1gy,0,Who else is here before this blows up,9mEhaQQ0C8Y
@WilliamPhillips-x2j,0,The way you explained this is SO clear. Thank you,9mEhaQQ0C8Y
@NikkiKumari-xb4eg,0,I can t stop smiling watching this,9mEhaQQ0C8Y
@JashedereZasheder-g3q,0,That part at 2:45 Instant goosebumps,9mEhaQQ0C8Y
@AmandaAlvarado-p1f,0,Who else is here before this blows up,9mEhaQQ0C8Y
@AhmmedKhab,0,Can we all agree this creator deserves more recognition,qjcQpic8r3U
@MdRidoy-wb1fj,0,I didn t expect to love this as much as I do,qjcQpic8r3U
@KMSONI-u2t,0,I can t stop smiling watching this,qjcQpic8r3U
@XuânNguyễn-p7s4c,0,The editing is top-tier. Seriously impressive,qjcQpic8r3U
@TuấnThanhHà-o4y,0,This gave me chills… in the best way,qjcQpic8r3U
@indigodece,0,That transition at 3:12 was chefs kiss,qjcQpic8r3U
@CitlalliJackie,0,"Came for the thumbnail, stayed for the vibes",qjcQpic8r3U
@OscarLoaiza-w3h,0,Dani olmo a real one for letting him take the penal,qjcQpic8r3U
@BillQ-l3s,0,The way you explained this is SO clear. Thank you,qjcQpic8r3U
@HarryBrandow,0,Can we all agree this creator deserves more recognition,qjcQpic8r3U
@ShashiTiwariTiwari-i4v,0,That part at 2:45 Instant goosebumps,qjcQpic8r3U
@hunpowgenbyseryan,0,This gave me chills… in the best way,qjcQpic8r3U
@ThiXuânLý-d1s,0,The editing is top-tier. Seriously impressive,qjcQpic8r3U
@TierneyLillian,0,That transition at 3:12 was chefs kiss,qjcQpic8r3U
@kavithagowdakavithagowda6534,0,This is going straight into my favorites playlist,qjcQpic8r3U
@AIMABLENSANZIMANA-i4z,0,I can t stop smiling watching this,qjcQpic8r3U
@TaherSium,0,I didn t expect to love this as much as I do,qjcQpic8r3U
@sepalimog,0,The way you explained this is SO clear. Thank you,qjcQpic8r3U
@HươngXuânHoàng-n1c,0,I can t stop smiling watching this,qjcQpic8r3U
@ThiênLamHà,0,That part at 2:45 Instant goosebumps,qjcQpic8r3U
