comment_author,comment_likes,comment_text,video_id
@정진김-k8z,3,원작에서는 이런 내용이 없었는데 뭔가 통쾌하고 좋네,7rpwZLmAO4M
@tox3wn,3,"4:56 여기서 ""뭐?"" 하고 오른쪽 입꼬리 살짝 올라가는 디테일.. 연기 장난 없다",7rpwZLmAO4M
@풀잎이슬-y7f,2,강찬석역 이정현 언제나 연기잘하는 배우~포스가 강합니다,7rpwZLmAO4M
@FconWhitegoldGOD,1,전역하고도 저 ㅈㄹ하는거보면ㅋㅋㅋㅋ정신못차리네,7rpwZLmAO4M
@태균김-r9i,1,"진짜 군대에 폐급들 제발 오지마라
밖에서 맨날사고치는것들 군대에서 남피해주지말고 면제를받아라 
군대생활 잘하는분 밑에 폐급오면 군대생활 ㅈ됨
그분 신뢰도바닥됨
민폐주는것들 고쳐지면좋은데 안고쳐짐 그러면 걍 면제를받아야한다고 생각함
남한테 피해주는것보다 니들 정신교육이 중요한듯 
군대에서 고쳐진다 🐕 소리고",7rpwZLmAO4M
@태균김-r9i,1,"윤모 사패이면 반격시작이고
사패아니면 좋겠지만",7rpwZLmAO4M
@롱롱-m1x,1,와 조회수 무슨일 인급동 1위네,7rpwZLmAO4M
@btslove5353,1,😂😂😂😂,7rpwZLmAO4M
@도전아조씨,1,"7:15 나도 진짜 가기싫었지 그때 나는 내가왜 또 초중고 나와서 이제좀 
성인으로써 자유를얻었는데 또 억업받아야하나 했지",7rpwZLmAO4M
@semu-gc6ri,1,존나멋있네 찬석이 ㄷㄷㄷㅋㅋㅋㅋㅋㅋ,7rpwZLmAO4M
@구콘이,1,총명아 보고있냐?  너도 반성많이하길 바란다,7rpwZLmAO4M
@토종국내인,1,이수지 나오자마자 몰입확깨지네,7rpwZLmAO4M
@해피니즈-r9f,1,근데 최일구가 병장짬이고 강찬석이 상병짬이면.. 현역으로 강찬석이 전입 오기 전에 쟤네들이 전역했다는건가??,7rpwZLmAO4M
@유유-f1j4x,1,신병 시즌 10까지 하믄 좋겠당,7rpwZLmAO4M
@사람-j2n2o,1,찬슥아 찬슥아 아군되니 개멋잇네😂,7rpwZLmAO4M
@민우-h4b,1,마계의 부평 역시ㅋㅎㅋ,7rpwZLmAO4M
@ToTEYEUVU,1,신병의 핵심은 결국 청춘에 끌려온 평범한 청년들이 익숙하지 않은 환경에서 여러 사건들을 겪으며 성장하는게 아닌가,7rpwZLmAO4M
@Emacia._.05,1,군대가기 6일전 최고의 선택.,7rpwZLmAO4M
@대왕세종이도,1,"공대라고 세탁기를 잘 돌려? ㅋㅋㅋ
소대장 ㅋㅋㅋ 손주까지 봐야하는데 중간에 끊어버리면 어떡해? ㅋㅋㅋㅋ",7rpwZLmAO4M
@힘내자-y6x,1,어~ 천석 급나가 역활 짱입니다 충성!사랑합니다 ㅋㅋㅋ,7rpwZLmAO4M
@hebich,1782,"✅オーディオトラックの設定で、
韓国語版・日本語版の両方をお楽しみいただけます！！
✅오디오 트랙 설정을 통하여 
한/일 버전 모두 감상하실 수 있습니다!! 

🎧Hebi Chroma 3D Online Showcase
✅D-Day 04.22. 19:00 (KST) 

⏰ 4/22 저녁 6시부터
모든 음원 사이트에서
Hebi - 지금부터 (Onward)를 감상하실 수 있습니다!

⬇Hebi 1st Mini Album Chroma⬇ 

✅앨범 구매 링크 

위버스 : https://shop.weverse.io/ko/shop/JP/artists/229/categories/5472?subCategoryId=5473

예스 24 : https://www.yes24.com/product/category/series/003001018002001?SeriesNumber=358295 

알라딘 : https://www.aladin.co.kr/events/wevent.aspx?EventId=285547 

핫트랙스: https://hottracks.kyobobook.co.kr/ht/evnExh/evnExhDetail/94731",yomKWG44odg
@ExoticBankai,37,Incredible voice and song !,yomKWG44odg
@imwater_,11,今からずっと一緒だ,yomKWG44odg
@krymasuru,11,guys I can't take it anymore I love hebi aaaa!!!,yomKWG44odg
@matthewfan9274,7,이건 뭐 베토벤도 인정한거라,yomKWG44odg
@Tr-cs8hr,6,日本語感謝の嵐,yomKWG44odg
@oniu-sz1oo,5,ありがとう❤,yomKWG44odg
@토용2,5,인급동 1위!! 너무 축하해💙💙,yomKWG44odg
@파산왕국,4,"헤비 캐릭터 넘 귀엽네요 그리고 처음에 나오는 고음 쩌네요 ! 
노래 잘들었습니다",yomKWG44odg
@Deko_Produce,3,"앨범 잘 받았어
감동받아서 눈물나 진짜 평생 응원할게😢",yomKWG44odg
@AmeSansan0211,3,인급동 1위 축하해! 👏🎉,yomKWG44odg
@Dacan66,3,지금부터 헤비님의 노래를 알아가볼게요~ 앞으로도 좋은 노래 부탁드립니다.😊,yomKWG44odg
@안혜원-u3o,3,초반부터 고음 쩌는데요???,yomKWG44odg
@Reality_Yana,2,"지금부터 늘 그랬다는듯이 헤비님의 스케치북에서 헤비님의 노래를 마음껏 스케치해주세요 낙서라도 좋으니,부족하더라도 언제나 헤비님을 믿을테니까…💙",yomKWG44odg
@CHOONSIKSIK,2,조원상 실력 어디 안간다 진짜.....,yomKWG44odg
@mints3.,2,늘은 들으면서는 뭔가 현재 극복하지 못하고 부정당하는 일에대한 슬픔을 나누는 듯하게 느끼고 언젠간 극복할수 있을꺼라 생각이 드는 곡이고 지금부터는 자신을 믿고 현재에 자신의 색을 찾아가는 응원곡 같네요 🎤✨마음이 와닿는 노래 😭,yomKWG44odg
@thinker--,2,근데 이건 시작부터 기강을 잡아버리는데 커버가 되노? ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,yomKWG44odg
@hebiambiam,2,인급동 1위 축하해요,yomKWG44odg
@esadffff,2,나는 부르기 어려운 노래인데 좋다,yomKWG44odg
@user-tc6qp3sb6i,2,진짜 벅차는 목소리다,yomKWG44odg
@구구까까-c2o,867,"신기하다,, 남자가 끊기지 않는다는게",R9eaNhE-WVk
@youngandfree_25,97,좋은사람일것 같다... 잘 어울릴것 같다..,R9eaNhE-WVk
@베베베히리리리포,8,너무 괜찮은 분이신 거 같다..와코 예쁜연애해요><,R9eaNhE-WVk
@jlnenrul,5,진짜 성격을 알면 사람이 좋아지고 잘생겨보임... 맞말😢❤ 와코쨘 사랑둥이니까 이쁜 사랑해🥰,R9eaNhE-WVk
@iiieer,4,남자 isfj는 무조건 잡아야함 ㅋㅋㅋㅋㅋ 다른 유형들보다 괜찮은 남자가 많은 유형같아요 너무 나대지도않고 가치관 좋은편이고 가정적이고 착하고,R9eaNhE-WVk
@nigajoa9999,3,연애 공유 안하는게 진짜 좋은거 같아요.. 저도 연애 고민이라고 하고 남친 이야기 많이 했는데 너무너무 후회했어요 ㅜ  와코님 진짜 좋은 연애 가치관 가지구 계신거 같애요❤,R9eaNhE-WVk
@yee-tv9mm,2,엉니 마인드가 넘나 내 취향이야.... ❤❤ 행벅하게 사세여ㅜㅜㅜ❤❤,R9eaNhE-WVk
@다은-o7b,1,언니 인급동!!!!!!!! 축하해!!!!,R9eaNhE-WVk
@나야나야너야,1,행동력 좋은 남자 최고임 ....행복한 연애되길 🍀,R9eaNhE-WVk
@백설-l7z,1,사촌동생 연애하는거 듣는느낌 귀엽다..20살21살인데 21살도 얼마나 어린데 카드를 주면서 몰래계산하고나가달라하고 ㅋㅎㅋㅎㅋㅎㅋㅎㅋ 나중에 와코도 지나서 보면 남친분이 얼마나 어리지만귀엽게 노력했는지 알게될거에여,R9eaNhE-WVk
@kangyuuu,1,와코님을 보면서 마음 한구석이 찡했어요. 배울 게 정말 많고 무엇보다 스스로를 사랑하는 그 모습이 참 아름답다고 느꼈어요. 저는 예쁘지도 않고 살도 많이쪘다는 이유로 누군가 다가와도 세상에 이렇게 예쁜 사람이 많은데 왜 나야? 하고 스스로를 밀어냈거든요. 그런 제가 너무 안쓰러워서 이제는 저도 저를 조금씩 안아주고 싶어요. 마음을 바꿔보고 싶어요. 저도 누군가에게 그리고 제 자신에게 사랑받을 수 있는 사람이라는 걸 믿고 싶어졌어요.,R9eaNhE-WVk
@user-tc7iq8iv6z,1,우왓-?! 와코 매력 어쩔거냐묘❤,R9eaNhE-WVk
@자랑-s3w,1,썸넬보자마자 뛰어왔다,R9eaNhE-WVk
@박지은-f5i,1,와코깅행복하여라….,R9eaNhE-WVk
@코코볼먹고싶다-n8i,1,안자구 댓글에 하트 열심히 누르는거 넘 기엽당 ㅋㅋㅋㅋㅋㅋㅋ,R9eaNhE-WVk
@다슬-y6z,1,와코 영상 보는게 힐링이다..❤,R9eaNhE-WVk
@에베베베벱-r6m,1,마지막에 당근인거 보니 잘 됐나 보군,R9eaNhE-WVk
@chaehyun0.0,1,나도 연애 고프다......,R9eaNhE-WVk
@Tlswl-0,1,사람마다 생각의 차이가 있기도 하고 쉽게 제 의견을 댓글에 잘 못쓰는데 ..진짜 와코언니 보면 정말 생각이 너무 성숙하고 말 하나하나가 너무너무 이뻐서 왕창 칭찬..? ㅇ..좋은 말들만 해주고 싶고..! 사랑만 주고싶어요 ㅠㅠ 이쁜말만 듣고 행복하면 좋겠어요 ㅠㅠ,R9eaNhE-WVk
@gwalgii,1,오늘 썸네일 레전드 이쁘다.,R9eaNhE-WVk
@TWS내모든것,15,난 너네가 내 첫번째 아이돌인게 너무 자랑스러워 사랑해 벌써 1년이 넘었어,Csaj3X6PKxY
@kiiiyuuu3865,14,"I just like it when I hear a sound/ melody like this, the first thing that will come into your mind is tws. They own up this kind of music and I'm srsly loving it.",Csaj3X6PKxY
@my_lifedesign,8,"최고다！！！！
TWS 파이팅👊🏼🥇🌟",Csaj3X6PKxY
@kazootora,8,their style is so refreshing and youthful i love it so much. it makes me so happy to live in this moment,Csaj3X6PKxY
@jeongdavang,7,어른이 되면 이 10대의 색이 그리워 집니다 뮤비가 잘 담았네요 ^^,Csaj3X6PKxY
@devitapoppy7803,7,enak banget lagunya repeat terus,Csaj3X6PKxY
@user-pm7wy2vg7t,7,컴백 대박,Csaj3X6PKxY
@신프핑,6,음방 1등 ㄱㅂㅈㄱ!!!!,Csaj3X6PKxY
@yakosei.,6,今日もТWSの曲を聴いて、頑張れているし、失敗もあるけど挑戦してみよう！！って思える。ありがとう！！！,Csaj3X6PKxY
@Huntradersss,6,"UNIS 🤝 TWS
Swicy 🎉 Countdown",Csaj3X6PKxY
@kayoungsong,6,축구보다가 힘들었는데 투어스 뮤비보니까 마음이 진정된다😭🐯💙,Csaj3X6PKxY
@joshuahong5444,6,Pagiii Saideul~~ tetep semangat swimmingnya!!,Csaj3X6PKxY
@stories823,6,who is the first guy that sings I like his voice,Csaj3X6PKxY
@만두-i7d3p,6,2:58 부터 너무 좋은데 음원에 없어서 아쉬워요😢,Csaj3X6PKxY
@lIIlllllIlllI,5,청량 레전드 그룹,Csaj3X6PKxY
@searanettes,5,"500k more to 8M, fighting SAIs 💙💙‼️",Csaj3X6PKxY
@kidkid5913,5,youngjae in the intro literally has me levitating frrrr,Csaj3X6PKxY
@timsvt4309,5,countdown is the best,Csaj3X6PKxY
@plushiejeong._.,5,"pagii, jangan lupa tetap ikuti kata hatimu karna itu keren!",Csaj3X6PKxY
@muhammadbalyan3511,5,Awali hari dengan coutdown biar tambah semangat,Csaj3X6PKxY
@KBSLife,278,"00:01 강문경 & 최수호 ‘최진사댁 셋째 딸’ 🎵
03:24 오디션 참가기, 이제는 말할 수 있다
20:51 강문경 ‘매우’🎵
24:33 최수호 ‘나불도 연가’ 🎵",-_D1P1dFk00
@릴리-r7m,9,"강문경 가수님   아침마당에서 마지막 결승전에서 부른 매우가 제대로 빛을 발하네요 
역시 남달리 탁월한 곡을 선택했다 생각 했었는데~   예상 외로 점수가 너무 낮게 나와 실력이 평가절하 되었다는 생각에 무척  아쉬웠었는데 오늘 아침 마당을 통하여 우리 가수님이 매우를 얼마나 잘 부르는지를 제대로 보여주게 되어 기쁘고 위로가  되네요. 이제 우리 가수님 그만 시기 질투 하시고 피나는 노력과 인고의 결과물인 실력을 인정할 건 인정하면서 이 애절하고도 아름다운 노래, 함께 감상할 수 있는 노래만큼이나 아름다운 사람들이였음 하는 바램입니다.",-_D1P1dFk00
@김동순-c4z,8,역시 강문경님최선을 다하는 모습진심입니다 ! 최수호가수도항상웃음기있는모습보기좋아요~~,-_D1P1dFk00
@고복순-e4x,8,당연히  일등 가왕 강문영   앞으로 쭉  가왕이 될수있는 강문영 응원합니다   파이팅,-_D1P1dFk00
@춘자김-w5t,8,강문경가수님  나와서 깜놀 !  하루에도 몇번씩듣는 힐링됩니다  초대해주셔서 감사합니다,-_D1P1dFk00
@최희정-h7u,8,뭐해도 맛깔나 강문경 트롯지존,-_D1P1dFk00
@파랑새-m6f,8,"언젠가   이런날 올줄 알았어요
드디어  강문경 시대가  시작되었습니다~♡
( 매우)   너무  아픈 사랑이었네요
그대  때문에 행복합니다",-_D1P1dFk00
@솜구름-f4r,8,와 11시간 되었는데 조회수 10만이 넘었네요 강문경 최수호 가수님 인기가 하늘을 찌르네요 두분 꽃길 응원합니다 강문경 잘생겼다♡,-_D1P1dFk00
@삐삐-h2d,8,"내 가수다 
강문경",-_D1P1dFk00
@진아-u2x,8,울문경님 항상 응원합니다. 최고입니다  😊😊😊,-_D1P1dFk00
@임정희-q9s,7,강문경님 최수호님 승승장구 하세요 ❤🎉,-_D1P1dFk00
@명희송-u8h,7,강문경님 따 방송국  항상 대한민국 트로트 운수대통 대박 하시길 기원합니다  🙏 꼭꼭  🙏 🎉응원합니다 홧팅  아자 기원합니다 이제야 꽂 ~~~~~길,-_D1P1dFk00
@강미선-f4p,7,강믄경 가수님도 노래최고,-_D1P1dFk00
@hyonnacho4233,7,",강문경 최수호 화이팅 !!",-_D1P1dFk00
@unoki60,7,강문경님 응원합니다,-_D1P1dFk00
@장연숙-w3y,7,강문경 가수님 항상 응원 합니다 ~,-_D1P1dFk00
