category,categoryId,channelTitle,commentCount,country,description,id,likeCount,publishedAt,tags,title,url,viewCount
all,10,HYBE LABELS,4683,KR,"TWS (투어스) '마음 따라 뛰는 건 멋지지 않아?' Official MV

#TWS #투어스 #247WithUs
#TRY_WITH_US
#마음따라뛰는건멋지지않아 #Countdown


Credits:

Producer : HAN SUNGSOO
 
VP : Kim Daun

A&R : Yi Hyojin, Ahn Singyu, Jang Dahye, Kim Jiyoon, Park Shinyoung, Cho Inwook, Kim Yukyeong, Yang Chi Hwan

Visual Creative : Lee Hyemi, Kim Woojeong, Hwang Hyunjun
Performance Directing : Ryu Jaehee, Jeon Jongha, Lee Haesu (Assist Directing : Yoon Hyelim, Shin Minkyung)
Artist PM & Protocol & Operation : Ahn Solyang, Shin Doyun, Kim Hyejin, Park Yuri, Shim Yeonjin, Hong Ahyun, Cho Sungje, Hwang Yumi, Park Yoonjin, Che Huiling, Song Youngwoo

Production House | LIMINAL & TMTBS
Director | Lafic
Executive Producer | Soyoung Koo
A.D | Minkyeong Kim, Seoyeon Kim
Line Producer | Hyounggeun Kang, Yuseok Joung, Jungho Kee, Chanyoung Park
P.A | Seungjun Choi, Chanhyuk Park, Donghwan Youn, Dongju Lee, Seunghoon Baek, Kyunghun Park, Sunghyun Park

Director of Photography | Giung Seo
Focus Puller | Seungjong Lee
2nd AC | Hyukjae Yang
DIT | Younji Choi
3rd AC | Junsung Cha

B CAM Director l Lafic
Sub CAM | Junmo Lee, Hyunseop Song 
Synchronous Recording | Kyuri Kim, Jungsik Ahn

Gaffer | Joonghyuk Jung
Lighting Crew | Hyunsuk Kim, Minhyeok Baek, Daejin Kim, Bonhyeop Gu, Doohyun Han, Hwayong Chung, Jongseung Song, Byungjong Kim, Juyong Song, Jiseok Lee

Art Director | NOMESS
Art Team Leader | Jungsik Lee, Chaejeong Kim, Jihyun Park, Hyojin Oh, Seoyoung Lim

Jimmy Jib | Dongjin Lee
1st Assistant | Jeonghyun Yoo
2nd Assistant | Seongeum Jung
3rd Assistant | Gwanghyun Yoo

Special Effect | Changi Min(SF)

Edit | Lafic

Colorist | Changbeen Yu (THEPOSTLAB)
DI Assistant | Seowoo Kang, Yereum Yang

Sound | OV

SFX | KEYMAKER

3D VFX | Electric Leee

2D Cleaning | Kyungsik Kang, Minseo Kwon, Jurang Gong, Seoeun Kim

TItle Animation | Mareykrap

Location Management | Land Scape
Location Supervisor | Sangdong Park
Location Manager | Myeongjae Kim


Connect with TWS

Official Homepage : https://www.pledis.co.kr/artist/detail/TWS
Official YouTube : https://www.youtube.com/@TWS_PLEDIS
Official X(Twitter) : https://twitter.com/TWS_PLEDIS
Official Instagram : https://www.instagram.com/tws_pledis
Official TikTok : http://www.tiktok.com/@tws_pledis
Official Facebook : https://www.facebook.com/TWS.PLEDIS
Official Weverse : https://weverse.io/tws

ⓒ PLEDIS Entertainment. All Rights Reserved",Csaj3X6PKxY,62633,2025-04-21T08:56:07.000Z,"[HYBE, HYBE LABELS, 하이브, 하이브레이블즈]",TWS (투어스) '마음 따라 뛰는 건 멋지지 않아?' Official MV,https://www.youtube.com/watch?v=Csaj3X6PKxY,4536474
all,24,엠뚜루마뚜루 : MBC 공식 종합 채널,783,KR,"[전지적 참견 시점] 토요일 밤 11시 10분 방송!
MBC의 따끈따끈한 영상을 내 맘대로 편하게 즐기는 채널🌀
엠뚜루마뚜루 보러가기👉https://www.youtube.com/c/엠뚜루마뚜루
-
#전지적참견시점
#엠뚜루마뚜루

* 전지적 참견 시점 풀영상 보러가기
✔ WAVVE : https://www.wavve.com/player/vod?programid=M_1003594100000100000

✔ iMBC : http://playvod.imbc.com/templete/VodList?bid=1003594100000100000

ⓒ MBC&iMBC 무단 전재, 재배포 및 이용(AI학습 포함)금지",dtJ9j8grYHk,15306,2025-04-20T06:15:04.000Z,"[전지적참견시점, 전참시, 이영자, 전현무, 송은이, 양세형, 유병재, 홍현희, 참견, 일상, 탐구, 매니저, 연예인, 스타, 생활, 습관, 모습, 행동, 분석, MBC, MBC예능, 토요예능, T70517G, 250419, 윙, 윙 도파민, 지디, 지드래곤, GD, 윙 전참시, 윙 비트박스, 비트박스, 비트박서, 윙 무대, 윙 라이브, GD 콘서트, 지드래곤 콘서트, 전참시 윙, 지디 윙, 도파민, WING, 비트박서 윙, 콘서트, 라이브, 비하인드, 지드래곤 콜라보, GD 콜라보, GD 윙]",[전참시] 외쳐 갓 WING😎 지드래곤 콘서트에서 단독 무대 제대로 찢은 비트박서 윙ㅣ#윙 MBC250419방송,https://www.youtube.com/watch?v=dtJ9j8grYHk,1196348
all,23,숏박스,2608,KR,"#스케치코미디 #숏박스 #스튜디오지니

하이퍼 리얼리즘 코미디 [신병3]
지니 TV | ENA 매주 월, 화 밤 10시 공개
모바일 시청은 지니 TV 모바일에서
#스튜디오지니",Qhz2L8WzgIw,32047,2025-04-18T09:00:42.000Z,"[숏박스, 스케치코미디, 개그]",아침 점호,https://www.youtube.com/watch?v=Qhz2L8WzgIw,2598518
all,24,짧은대본 ShortPaper,603,KR,"#코카콜라 #코크타임 #CocaCola
짜릿함이 필요할 때, Coke TIME!
Coke TIME 즐기고 페스티벌 가자! 👇
https://coca-cola.or.kr/event202504/view

멤버십 가입 
https://www.youtube.com/channel/UChgOgRNxrtCcVARDQT_c-Zg/join


광고문의 - ad@shortenm.com
일반문의 - short_paper@naver.com
배우지원 - short_audi@naver.com
배우협업문의 - casting@shortenm.com",S5jaYVVSRy4,10320,2025-04-19T11:00:44.000Z,"[드라마, web drama, 남사친, 여사친, 로멘스, 연애, 사랑, love, 대학교, 대학생활, 코카콜라, 연애초반, 연애적응시기]",연애 적응 시기,https://www.youtube.com/watch?v=S5jaYVVSRy4,738794
all,20,우왁굳,414,KR,"포켓몬이 눕프로해커 마다 진화합니다 - 마인크래프트 눕프로해커

0:00 오프닝
0:18 첫번째 라인
2:11 두번째 라인 
4:23 세번째 라인
6:50 네번째 라인
9:26 다섯번째 라인
12:00 여섯번째 라인(썸네일)
15:20 작품 다시보기 
15:49 우승자 발표
16:48 엔딩


[서브채널]

● 왁타버스 : https://www.youtube.com/@waktaverse 
● 왁타버스 ZERO : https://www.youtube.com/@zerowaktaverse
● 우왁굳의 종겜 : https://www.youtube.com/@wakjonggame 

[MORE]

● 우왁굳 생방송 보러가기 : https://ch.sooplive.co.kr/ecvhao
● 우왁굳 팬카페 - 왁물원 : https://cafe.naver.com/steamindiegame 
● 카카오톡 팬치의 일상 : https://e.kakao.com/t/panzee-the-cute-chimpanzee
● 카카오톡 왁모티콘 1 : https://e.kakao.com/t/woowakgood-so-good
● 카카오톡 왁모티콘 2 : https://e.kakao.com/t/woowakgood-so-good-ver-2


[SNS]

● 우왁굳 인스타그램 : https://www.instagram.com/instawakgood 
● 웰시코기메시 인스타그램 : https://www.instagram.com/welshcorgimessi
● 트위터 : https://www.twitter.com/jinjjawakgood 


광고 문의 : marketing@parable-asia.com",x2L9Hfeok4o,9365,2025-04-21T03:58:04.000Z,"[우왁굳, 우왕굳, 왁두, 종합게임, 리그오브레전드, 스팀게임, 쿠소게임, 인디게임, 배틀그라운드, 배그, vr, 마인크래프트, 마크, vrchat, vr챗, 노가리, Minecraft, noop, pro, hacker, noobprohacker, 고정멤버, 고멤, 고멤아카데미, 아카데미, 유치원, 고멤유치원]",포켓몬이 눕프로해커 마다 진화합니다 - 마인크래프트 눕프로해커,https://www.youtube.com/watch?v=x2L9Hfeok4o,319592
all,17,이대호 [RE:DAEHO],735,KR,"퍼가실 때 본문에 출처와 링크를 꼭 기입해주세요

비지니스 문의 : REDAEHO2023@gmail.com",ekjqHG8Lu9k,6473,2025-04-21T10:00:04.000Z,"[이대호, 롯데, 한화, 예측, 시즌, kbo, 순위, 기아, 삼성, lg, 임찬규, 홈런, 노시환, 김영웅, 강백호, kt, 투수, 타자]",롯데가 잘해서 들뜬 이대호의 올시즌 재예측ㅋㅋㅋㅋㅋㅋ,https://www.youtube.com/watch?v=ekjqHG8Lu9k,341809
all,17,매미킴,2520,KR,"[매미킴 100만 구독자 달성을 위한 감사 이벤트]]

100만 구독자를 위해 립아이 스테이크 100인분 무료 이벤트!
구독자 여러분 총 100분께 립아이 스테이크를 쏩니다!

(유효기간 6개월)

참여 방법

1. 이 영상에 좋아요 + 구독


2. 댓글에 [참여완료]와 함께 간단한 응원 메시지를 남겨주세요

마감일: 2025년 04월 20일
당첨자 발표: 2025년 O5월 O1일 (커뮤니티 탭 공지 예정)

이벤트 제공: 마초스테이크

[구독]-[좋아요]는 큰! 큰! 힘이 됩니다🙏
김동현 이메일:memikim88@gmail.com
김동현 인스타그램 : https://www.instagram.com/stungunkim

#김동현 #추성훈 #추성훈스테이크 #매미킴 #스턴건",zU7LGJ5MGAo,10204,2025-04-20T03:07:18.000Z,"[김동현, 매미킴 TV, 매미킴, 건강, 다이어트, 홈트, 홈트레이닝, 호신술, 파이터, 종합격투기, 이종격투기, 주짓수, 스턴건, donghyunkim, kimdonghyun, donghyunkim ufc, kimdonghyun ufc, 매미특공대, MMA, HAVAS, 하바스, 크로스핏, 피지컬100, ufc, 레슬링, 정찬성, 추성훈, 헬스, 격투기, 넷플릭스, NEtflix]",한국에 생긴 추성훈 스테이크 먹어본 추성훈 김동현 반응,https://www.youtube.com/watch?v=zU7LGJ5MGAo,699351
all,17,SPOTV 오리지널,838,KR,"#이정후 #샌프란시스코 #MLB

👇 2025 MLB 시청하기 👇

SPOTV NOW 💻📱 ☞ https://spotv.net/mlb

SPOTV PRIME 📺👀 ☞  https://www.spotvprime.co.kr/channel",Ik4ckKTRz0w,10046,2025-04-18T11:38:04.000Z,"[이정후 홈런, 이정후 하이라이트, SPOTV, 스포티비, 이정후 안타, 오타니, 양키스, 이정후 양키스, MLB 하이라이트, MLB, 쇼헤이 오타니, 이정후 트라웃, 이정후 멀티홈런, 에런 저지, WBC, KBO, 키움, 김하성]",개막 한 달? 일단 모아 왔습니다.｜이정후 2025 MLB 활약상,https://www.youtube.com/watch?v=Ik4ckKTRz0w,823424
all,22,소피아패밀리(Sophia family),1937,KR,"🤝소피아패밀리 X 슈니엘 특별 할인 이벤트
🛡️ 1등급 미끄럼 방지 클로그 샌들 SL-600
4월 21일 ~ 25일 단 5일간!
◆ 비 오는 날의 주차장도 미끄러운 기름과 세제 바닥 위에서도 완벽한 1등급 미끄럼 방지,
◆ 아치서포트 설계로 발이 자주 피곤하고 평발인분들도 편하게 신을 수 있는 올인원 클로그!

정가 39,000원 → 33,000원
+ 간편가입 추가할인

http://shuniel.com/sophiafamily2
===============================
소피아패밀리 가족 되는법 https://www.youtube.com/channel/UCdK23vzK74N6SzL9VIKR3MQ/join
더 많은 사진과 일상 https://www.instagram.com/sofia_fmy
📧 E-mail : Contact.sofiafm@gmail.com
🎵 음원 : BGM president
===============================
* Copyright 2022. Sophiafamily All Rights Reserved.
* 해당 채널의 모든 저작권은 소피아패밀리에 있으며 단순 링크 공유 외 공식적인 허가 없이 영상의 일부 또는 전체의 무단게시나 변경하여 사용할 수 없습니다.",c_ZfktnCWwE,19849,2025-04-21T10:00:02.000Z,"[그리스, 국제커플, 짜장면]","반지하살던 그리스 아내와 드디어 신축으로 이사하고, 짜장면까지 먹었을때 반응은!?",https://www.youtube.com/watch?v=c_ZfktnCWwE,228830
all,22,가장(멋진)류진 petiteRyujin,806,KR,"오랜만에 찬호랑 같이 홍대에 갔는데...
뭐가 많이 바뀌었더라고요..?

조폭 떡볶이, 베니건스, 바이더웨이, 청기와 주유소…
제 추억의 장소들 기억하는 분 없으신가요??ㅠㅠ

[가장(멋진)류진 X 롯데웰푸드 구독자 프로모션]
🎁 [식사이론] 신제품 론칭 프로모션 🎁
요리가 서툰 이 시대 가장을 위한 간편식 브랜드,
'식사이론'으로 간편하고 건강한 한 끼 해결 어떠신가요?
 
에어프라이어 하나로 아빠 류진이
아들 찬호에게 칭찬받은 고단백 반찬!
100% 국산 돼지고기 통살 그대로의 풍미를 살린 '통살쏙 한입카츠'
통닭다리살을 그대로 튀겨 육즙촉촉 쫄깃식감 '통닭다리살 한입카츠'
 
'식사이론' 신제품 론칭 프로모션 기간에
가장의 무거운 어깨를 덜어줄 특별 할인가(무료배송)로 지금 만나보세요!
📌 특별혜택 : 선착순 100명 구매고객에게 '식사이론 떡튀만 430g' 증정
(515kcal로 떡볶이,김말이,군만두를 즐길 수 있는 1인용 분식 간편식)
 
행사기간 : 2025.4.21(월) ~ 2025.4.27(일) [ 한정수량 완판 시 조기 종료 ]
 
구매링크 : https://tinyurl.com/y8tbzt8d

#아빠어디가 #찬호 #홍대데이트

🙏섭외문의 : contents@oyee.co.kr
🙏광고문의 : contents@oyee.co.kr
🙏류진인스타 : @kissnsay1116",8dkimOsQ5EU,5985,2025-04-21T10:00:12.000Z,"[찬형, 찬호, 찬브로, chanbro, 류진, 류진아들, 날보러와요, 예능, 텔런트류진, 배유류진, 요리, 찬쉐프, 요리교실, 아빠와함께, 모던패밀리, 슈퍼맨이돌아왔다, 슈돌, 임찬호, 임찬형, the return of superman, return of superman, chanhyung, chanho, 아어가, 아빠어디가, 주말드라마, 일일드라마, 엄마, 아빠, 엄마고민, 아빠고민, 아빠어디안가, 아어가류진, 아어가찬호, 아어가찬형, 홍대데이트, 데이트코스, 아빠랑데이트, 홍대맛집, 홍대핫플, 홍대사진, 홍대오락실, 홍대먹방, 어버이날선물, 엄마선물, 아빠선물, 아빠랑쇼핑, 쇼핑리스트, 어버이날, 어버이날리스트]",'아빠어디가' 이후 100년만에 찬호랑 데이트 | 가장(멋진)류진,https://www.youtube.com/watch?v=8dkimOsQ5EU,225606
