comment_author,comment_likes,comment_text,video_id
@프시끌릭_I_9X_ONFAN_LEGEND,1842,*답변을 너무나도 예쁘고 정갈하게 잘 해주셨습니다 정말 인상 깊었어요*,ORoA7-K_Xe4
@쫀득쫀득_I9X_뉴버전,716,*연예인은 물론 모든 직업의 페이는 노력과 가치에 따라 존중받아야 해.*,ORoA7-K_Xe4
@tsmgold1641,3,아… 자꾸 성우 버젼으로 나오는데… 무조건 영어로만 나오게 세팅 못하나요?,ORoA7-K_Xe4
@탐켄치-o5o,3,저 더빙만 나오면 개듣기 싫음,ORoA7-K_Xe4
@시골Life,3,성우가 없는 나라라서 진짜 날먹이네.... 미스터 비스트 뜨면 바로 거르는데 저 목소리 때문에,ORoA7-K_Xe4
@로또1등은언제,3,근데 한국 성우가 더빙하면 재미가 몇배로 떨어짐...,ORoA7-K_Xe4
@10duckkhoon,2,요즘 예능 ㅈ망하는데에는 다 이유가 있는법이지,ORoA7-K_Xe4
@Sad_cat7,2,말 잘조리있게돌려서 이야기하시는듯... 저런 방법배우고싶다,ORoA7-K_Xe4
@박무명-q6x,1,한편에 몇백은 안된다는건 100언저리는 된다는 소리네 ㅎㄷ,ORoA7-K_Xe4
@GLAY_1123,1,"스튜디오에서 성우녹음 일했었는데 ""아! 이 성우 알어!""생각하면 시간당100~150정도입니다.",ORoA7-K_Xe4
@조세찬-z1s,1,"몇백이렇지는 않아는 편당 백은 넘는다는 소리고
로또만큼이라는 표현에서 평균 20억에서 30억사이인데 최소20억 밑이라고 생각하고
그럼 달러로 받는다 가정하면 환율기준 800~1000달러 언저리 받는다는건데 
최소 800기준 700편이면 56만달러 8억때인데
거진 10억은 벌었겠구만??
부럽노.... 나도 열심히 살아야겠구만",ORoA7-K_Xe4
@장우링,1,3억,ORoA7-K_Xe4
@댓글로만구독자모으기,1,"보통 s급 성우 기준 애니 20분~30분 짜리 한 편당 50 정도 받음. 애니는 혼자만 사운드를 채우는게 아니니까 유튜브같은 솔로 더빙같은건 10분에 50 정도 할 듯. 웃긴게 이게 20년전에도 그랬음. 대체로 한국 예체능 쪽이 그런 느낌임. 인력 입김이 쎈 연기자나 예능인 같은 직종은 기본 몸값이 계속 올라가는데,  음악, 출판, 스포츠같은 대형 기업이 투자하는 시장은 최고 연봉자 수입보면 30년전이나 지금이나 비슷함",ORoA7-K_Xe4
@히응-y3d,1,찬성반대 딸깍딸깍으로 돈버는 300명+@ 생각하면 별 생각 안든다...,ORoA7-K_Xe4
@Herbi-q5p,1,형 목소리 이제 질려서 더빙으로 나오면 안봐..,ORoA7-K_Xe4
@개복이-t4z,1,한편값 50만원 영상 길이마다 가격 달라짐,ORoA7-K_Xe4
@보더콜리너마저,1,50만원이어도 3.5억이네,ORoA7-K_Xe4
@user-gj6yg7xg3e,1,스토리 빌드업하는데 냅다 페이물어보고 자빠졌네 지들페이는 꽁꽁숨기면서 ㅋㅋ,ORoA7-K_Xe4
@꿍꽝꾸꽝,1,전혀 어울리지 않아....,ORoA7-K_Xe4
@블루스톰-v9b,1,연예인들 출연료 ㅋㅋㅋ 공개하면 욕 많이먹으니 안밝힘,ORoA7-K_Xe4
@쫀득쫀득_I9X_뉴버전,810,"*이수근 발차기, 예능에서도 빛나는 실력 인정!*",GmWDw5hkr78
@김은경-i4h6x,10,역시 방송의 제왕^^,GmWDw5hkr78
@착하게살,6,"태권도 20년 가까이 한 사람입니다.
이수근씨 발차기를  지금 이 영상만 봤는데.
발차기.스텝 여러가지로 꽤 잘했던분 같습니다.
운동신경은 당연하고!! 
참 대단해요..",GmWDw5hkr78
@bullykorean8745,2,"맞는말은 계속하지만
ㅈ나 불안해보이는건 이수근임",GmWDw5hkr78
@DQUASWAN,2,발펜싱 점수내기놀이,GmWDw5hkr78
@루나-x2p,1,"태권도로 이수근도 강호동을 뚜드려패는디 

Mma로는 호동이 큰일나지",GmWDw5hkr78
@다니엘퍼스트,1,풀영상으로 봤는데 강호동 턱에 이수근 발차기가 꽂히고 의식을 잃었습니다.,GmWDw5hkr78
@투혼-d4h,1,강호동은 그럴싸한 계획 밖에 없네,GmWDw5hkr78
@m싼타,0,이수근 뭐냐 ㅋㅋㅋ허세,GmWDw5hkr78
@having415,0,이수근: 이번에는 얼굴 확 돌아가는거 보여줄께요 ㅋㅋㅋ,GmWDw5hkr78
@awhile_biggii,0,"진짜 우리 나라 사람들은 배워본적도
없이 태권도 개무시함..태권도가
축구,복싱만큼 단순히 호흡만으로도
힘든 운동임..근력이나 근지구력도 엄청
있어야함..개나소나 무시해",GmWDw5hkr78
@피카츄-f5n,0,"이수근 : 1점도 못내죠 
강호동 : 격투 종목에 점수가 뭐야 
반으로 접어버리면되지",GmWDw5hkr78
@망빙ew,0,태권도는 예능이야 실전이 아니야,GmWDw5hkr78
@혼코노-h9v,0,"이수근이 친근하고 웃긴 이미지라 그렇지 진짜 강호동처럼 체급차이 엄청나지 않는한 우리같은 일반인들은 그냥 1분컷임 
이수근 태권도 공인5단이다ㅋㅋㅋㅋ",GmWDw5hkr78
@배고파가족,0,호동이 한테는 맞짱을 뜨자는걸로 들리나봄,GmWDw5hkr78
@kokkok7267,0,ㅇㅇ 잡기가 안되면 못이기긴 하지,GmWDw5hkr78
@주윤-h3d,0,자기분야 그거 절대로 무시 못하지,GmWDw5hkr78
@Gohosst,0,그놈의 태권도...룰.....펜싱된지오래임.. 잡히는순간 꿑날체급...,GmWDw5hkr78
@정혜윤-s5k,0,이수근5단입니다,GmWDw5hkr78
@김수민-q1p2x,0,와 스텝이랑 턴차기..ㅎㄷㄷ,GmWDw5hkr78
@Q-v3j,2,저러고도 못하면 줘도 못먹는 바보가 되는거죠.😅😅😅,0TyxWDdLWkk
@하니팜r,1,합법 로1리 빈1유,0TyxWDdLWkk
@TV-lz2ku,1,난 무조건 감당안됨.. 쑤셔야되,0TyxWDdLWkk
@토니스타크-x9k,1,저상태에서 안꼽으면 친구사이도 나가리됨ㅋㅋ,0TyxWDdLWkk
@우지원-x5e,1,저건 내가 감당하는게 아니야ㅋㅋㅋㅋ본능이라고 그건,0TyxWDdLWkk
@hewill1,0,저 여자라면 다 선다고본다,0TyxWDdLWkk
@영원의종결,0,"남녀 사이에 친구 사이란 존재가 불가능함.

남녀가 서로 이성으로 안보이려면 어느 한쪽이 

심하게 떨어지거나 맷돼지 수준이어야 가능한 이야기

이마저도 취향이 그쪽이면 불가능이고",0TyxWDdLWkk
@hewill1,0,썸네일만보고 순간 일본배우인줄..,0TyxWDdLWkk
@민들레-n7,0,난가능함 국민학교 여친하고 둥벙에서 홀닥벗고 멱감엇는디  지금본다구 꽈추가 화가 나겠어,0TyxWDdLWkk
@현김-x9f,0,아들 낳아라,0TyxWDdLWkk
@풍성風聲,0,"그녀석과 그의 인격은 다른거임
가끔 생각이 다를수도 있지
왜 애를 기세우고 그래",0TyxWDdLWkk
@너와나-l2l,0,저정도까지는 아닌것 같은데,0TyxWDdLWkk
@이대현-z7m,0,부럽다 젠장,0TyxWDdLWkk
@kimtiger3326,0,반응(?) 안하면 또 고자라고 평생 놀릴 것임.,0TyxWDdLWkk
@vete3278,0,통제불능 = 본능,0TyxWDdLWkk
@k-love8896,0,끝까지 가능하면 뭔 망신이야 ㅋ,0TyxWDdLWkk
@user-pungsu,0,솔직히 여자가 개이쁘고 적극적이라서 본능으로 못참지 저걸 어떻게 참냐,0TyxWDdLWkk
@jey3c2jq,0,잘 서고 갑니다ㅋㅋ,0TyxWDdLWkk
@Snacksongdo,0,"왁싱 해 본 사람은 알 거야. 남자 앞에서도 매우 강해져.. 
콘크리트처럼.",0TyxWDdLWkk
@일단히프-v2j,0,참 아이고..노가다나 뛰러 나가라 .,0TyxWDdLWkk
@내가이순신이다,6,문제많은 여자를  띄워주는 이유가 뭘까? 왜 ? 왜일까?,GQHhiQOwkpo
@yuriyuri1473,3,댓글 서예지 잊었나? 아니면 댓글 부대인가,GQHhiQOwkpo
@TheDkdl1176,2,엥 서예지 복귀함? 너무 싫은데,GQHhiQOwkpo
@HHHGK0924,2,여자는 냄자패도되고 남자는여자패면안되고,GQHhiQOwkpo
@Asdf24780,1,씨씨티비있다매 그럼 서예지가 먼저쳤으니까 남자도 뺨아리 후리면 쌍방이지,GQHhiQOwkpo
@shibainuford,1,김원훈 샴푸드립 ㅅ발ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 개뿜었네,GQHhiQOwkpo
@jinjuha5965,1,우셔서 참느라 볼빠는거임😂😂😂,GQHhiQOwkpo
@금수한의원,1,ㅈㄴ이쁘네,GQHhiQOwkpo
