comment_author,comment_likes,comment_text,video_id
@프사끌릭ONFAN_I_9X_Dopamin,1157,"*정말 다른 분이 했으면 전혀 재미없었을 텐데 이분이 하시니까 매 장면마다 터질 수밖에 없네요, 무슨 마법을 쓰시는 건지ㅎ*",oRQDGwrTtSo
@김정희-c7w,4,똑똑하신 분 멋쟁이 입니다,oRQDGwrTtSo
@hjc1966,2,재밋었어요 ~~~^^🎉🎉,oRQDGwrTtSo
@kmj6004,2,"톤 개웃기네 ㅋㅋㅋzzzzz 이예에에에에엑~~~ 감쐄다!
앋!!!!!!!!!!!!!!",oRQDGwrTtSo
@csk5312,1,당했네,oRQDGwrTtSo
@루비류비,1,다른사람 변장해서 핫도그2개를 가져가서 너무웃기다 ㅋㅋㅋㅋㅋ ㅋㅋㅋㅋ,oRQDGwrTtSo
@박신-w8d,1,잼없다,oRQDGwrTtSo
@minsooc5711,1,이제 아예 피지컬로 승부보시네 ㅋㅋㅋㅋㅋ,oRQDGwrTtSo
@슬윤-e9q,1,ㅋㅋ,oRQDGwrTtSo
@J.bombom,1,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,oRQDGwrTtSo
@야생마-e6h,1,염치없는 사람 너무좋아,oRQDGwrTtSo
@저인데용,0,육성으로 터졌네ㅋㅋㅋ 미쳤어진짜ㅋㅋㅋㅋㅋ,oRQDGwrTtSo
@lijin9742,0,개재밌누,oRQDGwrTtSo
@Ddd-k6l,0,넘기겠습니다 중독성있네 ㅋㅋㅋㅋㅋ,oRQDGwrTtSo
@Bear곰,0,재미 조또없고,oRQDGwrTtSo
@정아최-g9x,0,😂😂😂,oRQDGwrTtSo
@떡상가즈아-e5x,0,와ᆢ난 솔직히 동생나올줄ㅋ,oRQDGwrTtSo
@길-s9j,0,ㅋㅋ 돌고 돌아 삼각지 표현 하신거구나,oRQDGwrTtSo
@ds3dwu,0,아니 ㅋㅋ 뒤에서 나와서 감쏴합니다 하는거 진짜 웃기네 ㅋㅋㅋㅋㅋ,oRQDGwrTtSo
@cocobong871,0,아니 다시 줄 설줄은 알았는데 저런 기세일 줄은 몰랐지.,oRQDGwrTtSo
@동글-d6n,1,"아진짜 지랄 이런 드라마 못만들게 해야함 미혼모가 왜 생기는건데ㅠ 남자는 싸고튀면 그만이지만 여자는 뼈가 틀어지는 고통이며 저 애까지 책임져야함 저 애를 세포때 죽이면 죽였다고 지랄 책임못져서 베이비박스에 넣으면 넣었다고 지랄 여자죽이기는 정말 쉽고 자연스럽게 하는데 남자는 그저 하늘처럼 떠받들음 피임없는 관계는 내인생 망치기입니다 내가 하고싶은 여행, 화장, 쇼핑 그외 모든 자유를 포기하고 싶으면 피임없이 관계하세요",XT6C7WenSQA
@seahorse6989,1,니 부모를 병원에 데려와?? 철없는 소리 하고 있네,XT6C7WenSQA
@-_-...-_-...,1,지랄하네 진짜,XT6C7WenSQA
@leejunghun-i5z,1,"잘들어라 보통 정신머리가진 남자나 여자면 보통 관계할때 피임을 꼭한다. 여자가 약을먹던 남자가 콘돔을끼던 둘중하나는 꼭한다
뭐 콘돔이 찢어져서 새어버린 경우라면 바로 담날에 같이 산부인과 가서 긴급피임약이라도 타먹는게 정상적인 커플이다
근데 그것도안하고 그냥 노콘으로 즐겼는데 저렇게 책임진다는 말을한다??? 이미 앞뒤가 안맞는거임",XT6C7WenSQA
@Teddy-dm2oc,0,자가있고 자차있고 평생직장있고 모든게 준비된 상태에서 출산하고 육아해도 힘들어 뒤질거같은데... 진짜 철없다 ㅋㅋㅋ,XT6C7WenSQA
@베르무트_S2,0,고딩엄빠 본 이후로 이런거 보면 저 말들 저때는 진심이었겠지만 그 후에 보면 그런거 다 없음...,XT6C7WenSQA
@gomjaein,0,하던말던 자유인데 콘돔 좀 써라,XT6C7WenSQA
@숭구리-z4q,0,티비에서 보던 쓰레기남이 내 동생일 줄 몰랐다 환상 가지지마,XT6C7WenSQA
@hannam_jaegi,0,저런 아빠랑 저런 외모를 가진 남자는 현실에 없습니다 그저 철없는 한냄져밖에 안남아있을뿐,XT6C7WenSQA
@아네모네-r7x,0,화를 안 내면 그건 보호자가 아니지. 정상적으로 결혼해도 걱정되는게 출산 때인데,XT6C7WenSQA
@hoocho119,0,내 대학동기(남자애)는 여친이 임신함. 책임도 지려고 함. 근데 여친이 중절수술 해버려서 헤어졌다더라. 남자만 도망가는 거 아냐. 여자도 쓰레기 많아. 그냥 피임 똑바로 하고 인생 저당 잡히지마. 한순간 쾌락으로 남은 인생 누구 아내 누구 엄마로 살기엔 남은 인생이 너무 아깝고 길잖아.,XT6C7WenSQA
@RUBIES7,0,끝까지 남친 이름 부르넠ㅋㅋ어휴,XT6C7WenSQA
@천기신-z5j,0,그래 니들 말대로 저런 남자 없다 근데 요즘 낙태 합법 아니냐 난 요즘 끝까지 낳겠다는 여자 본 적 없다,XT6C7WenSQA
@초록여왕,0,임신했다고 하면 대부분 어린 남친들은   떠난다고 보는데,XT6C7WenSQA
@Greentree_0493,0,환상임,XT6C7WenSQA
@rimmd8677,0,이거 유튜브쇼츠로만 보는데도 슬의생작가보다 역량차가 현저히 낮은 걸 느끼고 있음 당장에 이거 전에 봤던 쇼츠가 자기 애낳는거 처음 아니라고 지금 남편보고 비밀로 해달라는거였나. 쪽지 몰래 쥐어주면서 부탁한게 아직도 이해가 안됨 그게 유쾌하다고 생각하나.,XT6C7WenSQA
@강병규-n9z,0,ㄱ ㅐ조옷같은 소재네,XT6C7WenSQA
@cellotv4535,0,"좀 현실적인 드라마좀 나와라
환자는 죽어가는데
의대 증원한다고 환자 안보고 파업하고
환자는 죽어가는 이야기가 훨씬더 현실적이지
이딴걸 드라마라고 어휴 
책임감 따윈 없고 지들 밥벌이 날아갈까봐
ㅂㄷㅂㄷ 하는게 더 현실적이라고",XT6C7WenSQA
@1217.8,0,내 딸 공부하라고 대학교 보냈는데 임신소식 들으면 억장이 무너지지,XT6C7WenSQA
@youngajeon2610,0,드라마는 드라마다 진짜 좋아하는 드라마지만 이건 우리애들은 안보여주고 싶다,XT6C7WenSQA
@프시끌릭_I_9X_ONFAN_LEGEND,1842,*답변을 너무나도 예쁘고 정갈하게 잘 해주셨습니다 정말 인상 깊었어요*,ORoA7-K_Xe4
@쫀득쫀득_I9X_뉴버전,716,*연예인은 물론 모든 직업의 페이는 노력과 가치에 따라 존중받아야 해.*,ORoA7-K_Xe4
