comment_author,comment_likes,comment_text,video_id
@삽질-y7s,89,"오늘도 출근하는 지하철에서 듣습니다.
아름다운 목소리를 듣는 아침...임영웅님과 영웅시대 여러분 오늘하루도 건행입니다.^^",W-1DWS-lZ9c
@LOHAS-p1f,70,"임영웅
임영웅 은 노래를 너무 잘한다 
임영웅 은 노래를 최고로 잘한다
그런데 더 잘하려고 끊임없이 노력한다
임영웅 은 그것이 팬들을 가장 사랑하는 법이란 걸 안다
그래서 이 곡이 미치게 좋은가 보다",W-1DWS-lZ9c
@정진연-s7l,65,"아침루틴으로 들어용
영웅님 팬들 즐거운 하루되세요",W-1DWS-lZ9c
@mulmangchobb,64,"임영웅 🩵 홈 Live Clip 
932만뷰/95번째 천만뷰 응원해요 
촉촉하게 빛나는 눈동자에 담긴
섹시 카리스마 ""비를 좋아한다""
흠뻑 내리는 비도 열정 카리스마
열정 임영웅 을 절대 막을 수 없지 
영웅시대 신나게 멋지게 소리질러
하늘을 찌르는 섹시함과 요염함
다양한 매력으로 우리들 시선을 
사로 잡는 매력남 우리 섹시가이",W-1DWS-lZ9c
@mulmangchobb,63,"🔈임영웅 95번째 천만뷰 응원합니다 
0) 천국보다 아름다운 (음원/M Clip)
0) 홈               (Live Clip) 932만뷰
3) 가슴은알죠      (미스터) 938만뷰
4) l'm not the only one  910만뷰
5) 폴라로이드            (음)  887만뷰
6) 보라빛 엽서        (미트) 882만뷰
7) 히어로               (EDM) 858만뷰
8) 미워요                    (음) 840만뷰
조회수 많은 순서대로 적었습니다
임영웅 님 원곡들을 먼저 응원 하는게
기본 상식 이고 당연한 일 입니다
* 저도 스밍 외에 사진 올리기 기사 공감 
  뮤 빗 차트 순위 올리기 블로그 댓글
  쓰기 등 하고 있으니 진빠지게 시비걸지 
  말고 시비 걸 시간에 님들도 홍보 글 
  한줄 이라도 올리기를 부탁드립니다
임영웅 응원합니다 건행ㄱ",W-1DWS-lZ9c
@beautifulday5569,63,"목소리가 악기다 
천상은 보이스 임영웅 
천국보다 아름다운 
300만 찍고 
500, 1000만 뷰 가즈아",W-1DWS-lZ9c
@갑순이-f1n,61,임영웅 님 천국보다 아름다운 마구마구 빠져든다,W-1DWS-lZ9c
@레진삼,61,임영웅  저에겐  최고의 힐링송 선물같은 천국보다아름다운  오늘도 빠져드네요,W-1DWS-lZ9c
@홍금순1,60,임영웅 님 천국보다 아름다운드라마ost            노래로하루가 시작됩니다들을때마다 감동입니다임영웅 님 노래마다감동을주고      참으로최고!아티스트 님!최고노래기술자 십니다👍👏💙🎉             영원도록응원하고 사랑할밖에 없는가수님이십니다 많은원곡노래들 영원도록찬란하게 빛날것입니다감동의 노래선물들 늘감사합니다                          임영웅국민아들님!               죽는날까지너무나      소중한나의원픽가수 아들님!         엄청사랑합니다💙🎉                   언제나건강관리잘하기 바랍니다.건행,W-1DWS-lZ9c
@babyblue4298,60,"임영웅 천국보다아름다운
꿈결에 듣는 듯
목소리가 너무 감미로워요 
오늘도  건행하세요 💙",W-1DWS-lZ9c
@엄지현-e2x,60,"임영웅  천국보다아름다워      94,번째천만축하합니다영원히응원합니다",W-1DWS-lZ9c
@ECED-zy3it,60,목소리안에 드라마  서사를 따듯하게 담았네요,W-1DWS-lZ9c
@해바라기-m3m,59,임영웅 감성에 감동먹었네요~,W-1DWS-lZ9c
@박민자-i7r,59,눈물나도록 가슴속에 영원히 기억되는목소리.,W-1DWS-lZ9c
@박민자-i7r,59,천국보다 아름다운 목소리.그자체입니다.사랑합니다,W-1DWS-lZ9c
@저감-p8b,59,임영웅 천국보다 아름다운  아침을 열어주는 목소리 너무 좋네요,W-1DWS-lZ9c
@김노영-r1o,59,임영웅 독보적 팔색조음색 언제들어도 감동입니다 신곡 화이팅,W-1DWS-lZ9c
@정옥여-f4g,59,"임영웅 
천국보다 아름다운 
맑고 청아한 보이스 
너무 좋아요 늘 응원합니다 사랑합니다 건행ㄱ",W-1DWS-lZ9c
@김노영-r1o,59,임영웅 감성천재 노래천재 독보적 음색 넘사벽 비교불가입니다,W-1DWS-lZ9c
@이연자-s3j,58,어쩜 이리도감동 일까요❤,W-1DWS-lZ9c
@YHJ-d3m,16,"투어스 노래는 공감을 할 수 있어서 좋음 평범한 인생을 살아가는 사람들에게 내 추억 내 일상, 그리고 그 시절의 내 마음을 돌아보게 해주는 노래들은 오래 사랑 받을 수 밖에 없는듯",Csaj3X6PKxY
@kiiiyuuu3865,12,"I just like it when I hear a sound/ melody like this, the first thing that will come into your mind is tws. They own up this kind of music and I'm srsly loving it.",Csaj3X6PKxY
@TWS내모든것,11,난 너네가 내 첫번째 아이돌인게 너무 자랑스러워 사랑해 벌써 1년이 넘었어,Csaj3X6PKxY
@devitapoppy7803,7,enak banget lagunya repeat terus,Csaj3X6PKxY
@user-pm7wy2vg7t,7,컴백 대박,Csaj3X6PKxY
@my_lifedesign,7,"최고다！！！！
TWS 파이팅👊🏼🥇🌟",Csaj3X6PKxY
@kazootora,7,their style is so refreshing and youthful i love it so much. it makes me so happy to live in this moment,Csaj3X6PKxY
@CathyTrisdiana,7,"Even if i already pass my twenties. This song give me that nostalgic feeling 🥹 let's just enjoy our youth, we don't have to be perfect at everything",Csaj3X6PKxY
@yakosei.,6,今日もТWSの曲を聴いて、頑張れているし、失敗もあるけど挑戦してみよう！！って思える。ありがとう！！！,Csaj3X6PKxY
@joshuahong5444,6,Pagiii Saideul~~ tetep semangat swimmingnya!!,Csaj3X6PKxY
@만두-i7d3p,6,2:58 부터 너무 좋은데 음원에 없어서 아쉬워요😢,Csaj3X6PKxY
@Huntradersss,5,"UNIS 🤝 TWS
Swicy 🎉 Countdown",Csaj3X6PKxY
@searanettes,5,"500k more to 8M, fighting SAIs 💙💙‼️",Csaj3X6PKxY
