comment_author,comment_likes,comment_text,video_id
@fairytenny,1631,배달 음식이 도시락보다 심플햌ㅋㅋㅋㅋㅋㅋㅋ,PrAx1qZ_xIY
@peace5001,926,"가끔 이렇게 사먹기도 해야 도시락생활을 오래 할 수 있는것 같아요.
그리고 신난 하말넘많팀 넘 기여워..",PrAx1qZ_xIY
@whateveryousay6,626,오널은 배달이다~ 끼얏호~~~! 졸귀넘귀,PrAx1qZ_xIY
@몽쨔-i5l,375,배달 음식 텐션 미쳤다ㅋㅋㅋㅋㅋㅋㅋ,PrAx1qZ_xIY
@user-pl7oi1eq4m,108,여태 본 모습중에 제일 행복해 보여요ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,PrAx1qZ_xIY
@lenoncookie,102,김밥에 닭강정이라니 완전 운동회 점심조합이잖아요 맛있겠다,PrAx1qZ_xIY
@Daisy_jihye,98,앜ㅋㅋㅋㅋㅋㅋㅋ 텐션 하늘 찌르신닼ㅋㅋㅋㅋㅋㅋ,PrAx1qZ_xIY
@한나-s6o,71,애장님 엠지샷 포즈 좋은느낌을 준다..,PrAx1qZ_xIY
@바람-t5l,56,배달작점 텐션 찢었다~~~~~🎉,PrAx1qZ_xIY
@시야-t3g,55,이런날도 있어야죠ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,PrAx1qZ_xIY
@매운닭발-e7m,53,도시락보다 소식하는 기이한 현상,PrAx1qZ_xIY
@user-lc1sh3bc6g,34,솔 님 메뉴 하나씩 보여줄 때마다 팔 쫙쫙 펴시는 거 귀여우심 ㅋㅋ,PrAx1qZ_xIY
@fangirl_S2,34,아 ㅋㅋㅋㅋ 텐션 너무 좋아요 남이해준밥 짱,PrAx1qZ_xIY
@sahada7517,15,"오토김밥 닭강정 진짜 진리,,,",PrAx1qZ_xIY
@alicej0613,14,배달이지만 엄청 건강한느낌,PrAx1qZ_xIY
@박혜원-j8t,11,"배달임에도 불구하고... 배달금지 작점보다 단출한 느낌이 드는 건 멀까요... 근데 맛있어보여,,,,",PrAx1qZ_xIY
@당신들이최고야,8,배달 텐션 좋닼ㅋㅋㅋㅋㅋㅋㅋㅋ❤❤,PrAx1qZ_xIY
@mgkim7080,8,ㅋㅋㅋㅋㅋㅋ 귀여워요!!! 그리고 나도 배달 시키고 싶다 휴 밥하기 시러..,PrAx1qZ_xIY
@izzypizzylemon,8,오늘 동일한 메뉴를 먹어 더더 반갑네용!!,PrAx1qZ_xIY
@김구미베어-q5m,7,아 그런날 있죠 ㅋㅋㅋㅋ와 진짜맛있겠다😂😂,PrAx1qZ_xIY
@구구까까-c2o,867,"신기하다,, 남자가 끊기지 않는다는게",R9eaNhE-WVk
@youngandfree_25,97,좋은사람일것 같다... 잘 어울릴것 같다..,R9eaNhE-WVk
@베베베히리리리포,8,너무 괜찮은 분이신 거 같다..와코 예쁜연애해요><,R9eaNhE-WVk
@jlnenrul,5,진짜 성격을 알면 사람이 좋아지고 잘생겨보임... 맞말😢❤ 와코쨘 사랑둥이니까 이쁜 사랑해🥰,R9eaNhE-WVk
@iiieer,4,남자 isfj는 무조건 잡아야함 ㅋㅋㅋㅋㅋ 다른 유형들보다 괜찮은 남자가 많은 유형같아요 너무 나대지도않고 가치관 좋은편이고 가정적이고 착하고,R9eaNhE-WVk
@nigajoa9999,3,연애 공유 안하는게 진짜 좋은거 같아요.. 저도 연애 고민이라고 하고 남친 이야기 많이 했는데 너무너무 후회했어요 ㅜ  와코님 진짜 좋은 연애 가치관 가지구 계신거 같애요❤,R9eaNhE-WVk
@yee-tv9mm,2,엉니 마인드가 넘나 내 취향이야.... ❤❤ 행벅하게 사세여ㅜㅜㅜ❤❤,R9eaNhE-WVk
@다은-o7b,1,언니 인급동!!!!!!!! 축하해!!!!,R9eaNhE-WVk
@나야나야너야,1,행동력 좋은 남자 최고임 ....행복한 연애되길 🍀,R9eaNhE-WVk
@백설-l7z,1,사촌동생 연애하는거 듣는느낌 귀엽다..20살21살인데 21살도 얼마나 어린데 카드를 주면서 몰래계산하고나가달라하고 ㅋㅎㅋㅎㅋㅎㅋㅎㅋ 나중에 와코도 지나서 보면 남친분이 얼마나 어리지만귀엽게 노력했는지 알게될거에여,R9eaNhE-WVk
@kangyuuu,1,와코님을 보면서 마음 한구석이 찡했어요. 배울 게 정말 많고 무엇보다 스스로를 사랑하는 그 모습이 참 아름답다고 느꼈어요. 저는 예쁘지도 않고 살도 많이쪘다는 이유로 누군가 다가와도 세상에 이렇게 예쁜 사람이 많은데 왜 나야? 하고 스스로를 밀어냈거든요. 그런 제가 너무 안쓰러워서 이제는 저도 저를 조금씩 안아주고 싶어요. 마음을 바꿔보고 싶어요. 저도 누군가에게 그리고 제 자신에게 사랑받을 수 있는 사람이라는 걸 믿고 싶어졌어요.,R9eaNhE-WVk
@user-tc7iq8iv6z,1,우왓-?! 와코 매력 어쩔거냐묘❤,R9eaNhE-WVk
@자랑-s3w,1,썸넬보자마자 뛰어왔다,R9eaNhE-WVk
@박지은-f5i,1,와코깅행복하여라….,R9eaNhE-WVk
@코코볼먹고싶다-n8i,1,안자구 댓글에 하트 열심히 누르는거 넘 기엽당 ㅋㅋㅋㅋㅋㅋㅋ,R9eaNhE-WVk
@다슬-y6z,1,와코 영상 보는게 힐링이다..❤,R9eaNhE-WVk
@에베베베벱-r6m,1,마지막에 당근인거 보니 잘 됐나 보군,R9eaNhE-WVk
@chaehyun0.0,1,나도 연애 고프다......,R9eaNhE-WVk
@Tlswl-0,1,사람마다 생각의 차이가 있기도 하고 쉽게 제 의견을 댓글에 잘 못쓰는데 ..진짜 와코언니 보면 정말 생각이 너무 성숙하고 말 하나하나가 너무너무 이뻐서 왕창 칭찬..? ㅇ..좋은 말들만 해주고 싶고..! 사랑만 주고싶어요 ㅠㅠ 이쁜말만 듣고 행복하면 좋겠어요 ㅠㅠ,R9eaNhE-WVk
